Reward Loss,Running Update Time,Real Det Return,Running Env Steps,Running Forward KL,Real Sto Return,Itration,Running Reverse KL
-21.324249267578125,0,191.58,0,33.213,208.95,0,17.1192
-406.4150695800781,1,315.6,5000,31.1401,309.03,1,38.256
-59.314029693603516,2,286.32,10000,32.7955,273.54,2,25.5022
-251.18939208984375,3,309.14,15000,30.595,300.8,3,20.5355
-388.2742919921875,4,260.69,20000,29.1302,248.13,4,27.2522
-385.3212585449219,5,346.53,25000,32.3219,351.01,5,29.0421
-469.0704650878906,6,272.06,30000,30.0589,287.12,6,34.7256
-354.38055419921875,7,343.83,35000,30.2142,371.97,7,33.9065
-498.4901428222656,8,15.8,40000,34.8344,18.77,8,33.641
9.457769393920898,9,127.17,45000,35.5924,122.16,9,55.1059
-713.4755249023438,10,555.24,50000,36.7682,539.05,10,48.6261
-707.8103637695312,11,399.86,55000,33.375,407.18,11,35.147
-736.39697265625,12,266.28,60000,32.747,269.06,12,20.2536
-847.2822875976562,13,978.29,65000,38.8914,978.08,13,58.0346
-393.8976745605469,14,157.32,70000,33.0783,156.37,14,32.4487
-21.07669448852539,15,278.51,75000,32.6913,293.2,15,25.4054
-613.5213623046875,16,104.48,80000,35.054,116.95,16,177.7564
-978.4595336914062,17,1023.06,85000,35.4178,1018.31,17,24.2141
-998.6172485351562,18,441.2,90000,32.7995,453.4,18,64.9016
-815.7849731445312,19,469.22,95000,29.2303,493.38,19,25.887
-920.5250854492188,20,935.79,100000,32.6343,901.9,20,25.0045
-682.2546997070312,21,341.28,105000,30.7426,375.17,21,24.342
-1338.1878662109375,22,486.13,110000,28.524,494.59,22,40.4659
-1355.4769287109375,23,1013.0,115000,37.4947,1010.53,23,37.1969
-1341.0323486328125,24,979.96,120000,39.4465,979.94,24,63.633
-1424.4083251953125,25,989.28,125000,38.4724,989.52,25,55.5588
-1313.652099609375,26,998.11,130000,37.2084,997.81,26,32.1688
-1461.7216796875,27,986.51,135000,34.9545,987.65,27,25.6247
-1374.3245849609375,28,1026.82,140000,33.351,894.37,28,23.8126
-1013.3178100585938,29,658.31,145000,32.2502,587.39,29,107.7161
-1297.5660400390625,30,229.47,150000,31.0075,223.23,30,16.3882
-1831.8304443359375,31,32.18,155000,30.8542,32.85,31,56.9682
-1585.388916015625,32,329.35,160000,31.3512,330.85,32,66.78
-1944.2769775390625,33,351.55,165000,30.6962,356.85,33,88.7089
-2454.505859375,34,161.86,170000,32.5091,160.16,34,197.7918
-1651.238037109375,35,207.24,175000,32.6726,205.49,35,26.9682
-1913.161376953125,36,975.43,180000,37.4874,974.51,36,49.7046
-2014.70849609375,37,1011.98,185000,35.7917,1012.01,37,65.5908
-2002.3218994140625,38,1018.12,190000,36.6298,1017.77,38,41.1446
-2087.561279296875,39,1000.85,195000,38.296,1001.06,39,33.4627
-2111.6806640625,40,979.93,200000,37.8655,980.0,40,51.6452
-1883.013671875,41,962.7,205000,34.9773,963.62,41,31.1936
-2074.2177734375,42,983.62,210000,35.5989,983.88,42,24.6797
-1472.7015380859375,43,435.86,215000,32.052,398.75,43,35.8467
-1415.177978515625,44,472.57,220000,35.097,469.99,44,66.7418
-245.56678771972656,45,-2.32,225000,39.6171,-2.41,45,219.4019
-2379.77099609375,46,40.62,230000,34.9959,41.35,46,214.897
-2234.63671875,47,984.71,235000,35.9038,985.81,47,35.7791
-719.9644775390625,48,99.87,240000,34.5992,130.09,48,193.2043
-1834.149169921875,49,1018.82,245000,34.248,1018.25,49,24.7479
-1941.41015625,50,1074.94,250000,33.426,1060.26,50,18.6326
-1851.44580078125,51,742.75,255000,32.8245,614.25,51,21.8162
-1750.20751953125,52,1107.13,260000,32.7761,1155.74,52,25.7567
-2018.8157958984375,53,714.68,265000,31.9626,606.61,53,19.187
-2015.9837646484375,54,920.91,270000,31.5532,909.01,54,19.7988
-1783.6522216796875,55,1165.42,275000,31.1621,1177.69,55,19.1367
-1963.322509765625,56,1179.47,280000,31.3343,1270.41,56,17.8738
-1834.8643798828125,57,1124.04,285000,30.8524,1089.42,57,18.3239
-2033.4033203125,58,817.37,290000,30.5781,808.96,58,20.8431
-2728.003173828125,59,294.22,295000,32.4548,291.74,59,147.3289
-3024.322509765625,60,978.76,300000,40.0011,978.34,60,84.3986
-2924.658935546875,61,992.24,305000,38.8151,989.02,61,46.9264
-2697.948974609375,62,198.32,310000,31.4665,197.18,62,34.256
-2769.543212890625,63,279.68,315000,32.1613,276.25,63,97.7757
-2594.558349609375,64,783.01,320000,32.0057,756.19,64,25.2969
-2408.338134765625,65,989.11,325000,33.4918,980.1,65,22.1822
-2546.114501953125,66,994.83,330000,33.0898,993.73,66,19.2049
-2959.120849609375,67,954.72,335000,32.7985,946.94,67,27.856
-3235.822265625,68,1040.2,340000,37.5937,1040.18,68,53.2696
-3303.7138671875,69,1046.12,345000,37.2734,1045.94,69,35.948
-2912.672119140625,70,487.98,350000,33.7498,486.68,70,41.632
-3366.8037109375,71,1013.0,355000,37.4392,1013.84,71,32.6205
-2829.392822265625,72,1123.08,360000,33.379,1123.9,72,18.9764
-2786.6884765625,73,1087.36,365000,32.9734,1087.09,73,18.8684
-3539.26171875,74,1022.34,370000,34.0029,1031.82,74,30.8175
-2932.59326171875,75,1215.25,375000,34.3419,1215.21,75,27.0307
-3604.759521484375,76,1019.16,380000,34.0704,1022.74,76,22.2948
-3702.296142578125,77,1020.54,385000,34.6483,1019.91,77,25.9262
-2602.26513671875,78,416.45,390000,31.0517,400.91,78,37.2651
-2610.043212890625,79,501.64,395000,30.1698,524.43,79,39.4997
-3260.987548828125,80,897.2,400000,30.0923,834.07,80,26.374
-3906.9755859375,81,1046.78,405000,35.1504,1048.09,81,40.8039
-3990.31591796875,82,1049.89,410000,37.7324,1049.95,82,57.9428
-3998.81787109375,83,1046.55,415000,36.7847,1046.65,83,64.5789
-4122.45556640625,84,1032.05,420000,36.6116,1032.29,84,65.0715
-4187.921875,85,978.05,425000,38.1004,978.17,85,63.4855
-4170.10205078125,86,978.36,430000,38.151,978.79,86,49.0849
-4232.9912109375,87,976.24,435000,38.2058,976.18,87,39.8088
-3108.000732421875,88,716.36,440000,32.9358,716.55,88,28.7944
-5138.1396484375,89,385.22,445000,32.6908,382.95,89,101.6087
-3404.26318359375,90,1320.69,450000,31.9124,1339.37,90,24.574
-3208.494140625,91,1022.69,455000,30.7552,1005.7,91,18.7808
-3321.062255859375,92,1086.71,460000,31.8785,1065.59,92,22.861
-3116.896484375,93,1173.36,465000,32.7332,1160.6,93,21.761
-3397.94189453125,94,1067.2,470000,32.8084,921.07,94,26.2448
-3397.549560546875,95,1259.98,475000,32.846,1263.19,95,15.9113
-3346.626953125,96,1130.07,480000,31.2556,1204.21,96,15.7903
-4649.4853515625,97,968.38,485000,34.1635,969.14,97,52.9727
-4278.20263671875,98,820.12,490000,29.6602,649.27,98,66.0858
-4337.193359375,99,1079.19,495000,32.5154,1091.01,99,30.1221
-4164.61572265625,100,1137.14,500000,31.8907,1180.49,100,28.1536
-4893.37060546875,101,1085.93,505000,33.7613,1067.05,101,49.2134
-4090.417236328125,102,1146.37,510000,31.6373,1104.72,102,38.4856
-4351.17431640625,103,1232.03,515000,33.1164,1217.03,103,35.9508
-4619.7099609375,104,698.2,520000,32.184,892.14,104,54.8297
-4484.26220703125,105,1221.61,525000,33.0431,1221.4,105,28.0948
-4727.87451171875,106,679.0,530000,32.8838,642.91,106,22.3183
-5228.1162109375,107,1002.16,535000,37.9991,1002.11,107,45.2396
-4997.92626953125,108,415.63,540000,32.6657,350.98,108,38.4514
-5536.9580078125,109,85.02,545000,34.1811,84.66,109,69.0024
-5579.2744140625,110,983.29,550000,37.2092,983.35,110,65.0866
-3089.82568359375,111,63.78,555000,36.9909,64.37,111,171.1211
-5520.78857421875,112,304.78,560000,34.0541,323.6,112,68.3603
-5430.224609375,113,967.22,565000,35.4557,969.43,113,27.7966
-5563.63134765625,114,1033.14,570000,36.8514,1033.28,114,104.5745
-4103.98046875,115,224.35,575000,31.9759,227.81,115,53.2528
-4360.390625,116,1093.22,580000,32.6151,1091.7,116,20.3847
