Itration,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return
0,0,0,303.64,-65.6669921875,36.5591,16.6614,303.92
1,5000,1,221.46,-70.54983520507812,35.7545,24.8498,243.44
2,10000,2,282.05,-94.60173797607422,36.8206,21.5009,297.42
3,15000,3,309.07,-93.54083251953125,35.2461,18.8876,312.0
4,20000,4,296.94,-102.13027954101562,34.341,17.7264,308.2
5,25000,5,314.83,-107.86019134521484,34.085,20.4937,314.22
6,30000,6,474.05,-113.8130111694336,33.6006,25.0351,583.67
7,35000,7,307.16,-126.7279052734375,36.5238,26.0701,279.11
8,40000,8,644.44,-128.71112060546875,32.8439,24.1011,350.03
9,45000,9,670.5,-119.06267547607422,32.9583,20.7375,599.04
10,50000,10,1177.92,-113.45230102539062,32.0482,22.0993,1510.93
11,55000,11,1504.33,-91.46903228759766,31.5882,18.356,306.03
12,60000,12,1106.67,-134.6941680908203,31.6792,23.2751,1174.58
13,65000,13,990.44,-145.5477752685547,31.4842,22.4233,952.24
14,70000,14,1237.44,-135.8008270263672,30.2742,17.6068,1397.52
15,75000,15,2800.2,-56.34451675415039,30.7806,16.8537,3127.71
16,80000,16,1387.95,-146.70762634277344,30.6594,19.1925,1322.06
17,85000,17,2066.01,-100.41229248046875,31.025,14.6522,2719.84
18,90000,18,997.03,-222.463134765625,33.574,37.1434,998.04
19,95000,19,1128.25,-180.35842895507812,31.6198,15.5171,1206.2
20,100000,20,1446.91,-164.2250518798828,31.0907,14.0465,1452.53
21,105000,21,1445.88,-143.62413024902344,30.6424,17.9622,1533.53
22,110000,22,1125.95,-195.08721923828125,31.7725,15.5265,1277.73
23,115000,23,1171.44,-167.9169158935547,30.6808,34.6585,1251.02
24,120000,24,2273.85,-133.2481231689453,30.1249,12.8411,2533.96
25,125000,25,2264.15,-83.73899841308594,28.4519,12.4553,3021.15
26,130000,26,989.8,-204.91543579101562,31.5603,34.4989,1239.56
27,135000,27,2080.93,-143.03964233398438,29.6856,14.6058,2051.85
28,140000,28,1800.35,-177.98699951171875,30.5992,18.5216,923.73
29,145000,29,2367.28,-110.53675079345703,29.5317,19.4449,2927.39
30,150000,30,1583.2,-176.1289825439453,29.9311,20.6774,3100.34
31,155000,31,1070.7,-245.96971130371094,31.625,31.8985,995.12
32,160000,32,1380.56,-234.73069763183594,29.7114,25.7491,2330.99
33,165000,33,1992.69,-156.13116455078125,29.5677,18.3114,1963.2
34,170000,34,2022.4,-120.17488098144531,29.6018,20.717,1706.79
35,175000,35,1551.01,-257.9753112792969,30.3347,21.6718,956.52
36,180000,36,1979.84,-172.25047302246094,28.931,15.7458,3231.64
37,185000,37,932.26,-278.802490234375,31.3012,23.7539,989.21
38,190000,38,2461.46,-159.63111877441406,29.2154,17.3426,1147.83
39,195000,39,1943.85,-125.74337768554688,29.1722,13.4733,3220.44
40,200000,40,2792.48,-78.06501007080078,27.5559,11.8092,3132.22
41,205000,41,2562.6,-65.27906799316406,28.1679,13.1361,3271.56
42,210000,42,3009.82,-65.48851776123047,27.2088,12.7615,3203.64
43,215000,43,2042.73,-241.79908752441406,28.4939,18.6541,1233.59
44,220000,44,3247.74,-72.61607360839844,27.3718,13.2495,3268.41
45,225000,45,3248.69,-56.93817138671875,28.0648,14.4738,3252.01
46,230000,46,3104.98,-70.8936767578125,28.3569,14.1099,3291.05
47,235000,47,3172.12,-81.9507827758789,27.3943,12.578,3194.34
48,240000,48,3313.41,-76.17789459228516,27.2312,13.2685,3319.59
