Running Forward KL,Itration,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return,Running Update Time,Real Det Return
30.1938,0,0,-1348.871337890625,25.2987,218.07,0,216.42
28.4077,1,5000,-985.345703125,37.1941,310.61,1,320.57
26.6101,2,10000,-1163.8638916015625,75.3452,427.42,2,485.49
25.5695,3,15000,-970.8248291015625,90.6287,396.66,3,394.95
24.9676,4,20000,-431.5131530761719,120.1025,428.04,4,434.05
24.3862,5,25000,-967.762939453125,55.3317,627.88,5,617.04
24.5274,6,30000,-973.1433715820312,55.8989,594.17,6,637.67
24.4555,7,35000,-316.737548828125,110.3317,774.61,7,664.46
24.9806,8,40000,-642.3303833007812,98.0974,719.02,8,666.17
23.6636,9,45000,-983.6220703125,51.735,1101.15,9,896.69
24.4059,10,50000,-1390.6922607421875,65.3282,640.77,10,674.52
22.8599,11,55000,-1033.018798828125,28.6405,1461.51,11,1605.15
24.0793,12,60000,-1043.149658203125,31.3216,541.75,12,949.64
23.2762,13,65000,-1193.3629150390625,30.0129,1297.18,13,1914.72
23.6575,14,70000,-1112.978515625,24.568,1202.03,14,1959.78
24.094,15,75000,-1433.997802734375,26.5849,984.24,15,955.37
23.5775,16,80000,-496.3064270019531,16.912,2490.42,16,1299.51
22.4902,17,85000,-641.3232421875,15.6101,2293.36,17,3112.58
23.1529,18,90000,-1273.3546142578125,29.8027,1264.27,18,1623.23
23.7721,19,95000,-1286.0545654296875,33.774,1311.14,19,1639.45
23.7665,20,100000,-1487.6988525390625,37.2049,1253.08,20,1590.96
23.6976,21,105000,-1129.30908203125,23.3124,1546.57,21,3139.68
24.6008,22,110000,-1294.521728515625,21.3661,1473.3,22,2654.69
24.3747,23,115000,-1454.6619873046875,25.5356,1083.86,23,2058.01
24.2515,24,120000,-1546.628173828125,18.1769,911.36,24,1077.9
22.4812,25,125000,-633.0923461914062,38.1207,1786.86,25,2709.96
23.1496,26,130000,-888.4966430664062,22.6547,2562.64,26,3131.29
22.4386,27,135000,-592.22509765625,19.5191,2135.43,27,1816.59
22.7443,28,140000,-786.4407958984375,15.1165,2838.01,28,3050.27
22.7957,29,145000,-983.6044921875,24.4884,1991.17,29,2694.21
22.6345,30,150000,-1253.787353515625,25.2686,1627.19,30,3202.64
22.5561,31,155000,-502.336181640625,15.922,3073.94,31,3083.46
22.764,32,160000,-656.4262084960938,15.6707,2120.22,32,2866.53
23.887,33,165000,-1697.552490234375,37.849,1371.69,33,1248.31
21.9205,34,170000,-543.6920166015625,15.9077,2889.36,34,3142.39
22.1774,35,175000,-1268.8218994140625,23.102,1753.53,35,2456.17
22.7179,36,180000,-547.126953125,16.5554,2267.12,36,3127.95
22.4415,37,185000,-483.6779479980469,16.7536,3040.96,37,3144.96
22.8926,38,190000,-555.2432861328125,16.4951,2762.28,38,2960.29
23.0334,39,195000,-553.578125,17.1558,2722.62,39,3100.46
22.5483,40,200000,-531.4537353515625,16.7861,2890.65,40,3121.25
22.5687,41,205000,-1228.9830322265625,20.9707,2198.67,41,3123.83
21.9862,42,210000,-576.6420288085938,16.832,2549.88,42,3149.02
22.0559,43,215000,-1298.9954833984375,27.1875,1997.37,43,2739.48
22.7508,44,220000,-1444.279296875,63.7497,1992.16,44,2110.92
22.6208,45,225000,-1049.381103515625,22.3283,1961.98,45,3170.79
22.7216,46,230000,-703.9267578125,16.5712,2777.56,46,3114.6
21.9286,47,235000,-595.701904296875,16.2116,2654.03,47,3117.49
22.4467,48,240000,-1162.535400390625,38.1554,2264.72,48,2216.26
22.0945,49,245000,-874.6826171875,16.4434,2653.4,49,3172.79
22.0986,50,250000,-716.4974975585938,15.4484,2506.64,50,3129.38
21.9406,51,255000,-976.8038940429688,16.3362,2567.82,51,3147.8
22.4432,52,260000,-972.9505615234375,15.6235,2470.21,52,3151.48
21.7948,53,265000,-1281.811279296875,22.7817,2413.4,53,2975.69
22.1611,54,270000,-1741.818603515625,16.2185,2005.63,54,3107.03
22.0129,55,275000,-613.7432861328125,15.9502,2938.83,55,3158.56
22.4991,56,280000,-1335.52978515625,26.7258,2521.4,56,2594.25
22.5104,57,285000,-1107.673828125,24.8036,2531.26,57,2388.8
22.5015,58,290000,-1824.3902587890625,38.5933,1977.06,58,3211.74
21.7062,59,295000,-1380.6383056640625,16.2764,2373.3,59,2537.53
21.6414,60,300000,-805.0892333984375,15.6269,2429.3,60,3187.23
