Running Reverse KL,Running Env Steps,Running Forward KL,Itration,Real Det Return,Running Update Time,Real Sto Return,Reward Loss
11.6333,0,158.4866,0,-28.38,0,-166.46,2101.850830078125
11.2514,5000,158.24,1,62.39,1,-53.41,1934.8392333984375
11.9749,10000,158.3637,2,332.06,2,110.57,1665.4693603515625
11.6022,15000,158.1982,3,676.15,3,168.29,1591.6708984375
11.485,20000,157.9848,4,873.06,4,314.89,1410.8197021484375
12.0107,25000,157.9952,5,1293.86,5,407.12,1286.8157958984375
11.9201,30000,157.6045,6,1525.19,6,533.13,1215.6439208984375
12.7324,35000,157.6025,7,1492.08,7,766.41,1053.3648681640625
12.9963,40000,157.2784,8,1994.03,8,1218.43,756.422119140625
14.0724,45000,157.025,9,2449.37,9,1611.84,443.47735595703125
13.3058,50000,156.7609,10,2570.46,10,1885.91,273.72259521484375
14.7314,55000,156.918,11,3230.13,11,2305.58,125.27772521972656
15.654,60000,156.2625,12,3491.35,12,2988.52,-130.40269470214844
15.4955,65000,156.2628,13,3721.89,13,3171.05,-471.052978515625
15.9043,70000,155.8285,14,4205.49,14,3630.62,-723.6893920898438
15.6873,75000,155.462,15,4661.57,15,4044.79,-916.00341796875
15.5463,80000,154.4432,16,4720.25,16,4456.55,-1010.9192504882812
16.699,85000,154.2616,17,5067.63,17,4677.33,-1082.1934814453125
16.2036,90000,152.9982,18,5875.73,18,5188.45,-1253.4346923828125
17.1771,95000,154.0583,19,5787.41,19,5339.71,-1329.5975341796875
16.9243,100000,152.5711,20,6149.56,20,5514.06,-1394.3096923828125
15.8854,105000,151.9911,21,6595.22,21,5976.35,-1530.2860107421875
16.5659,110000,151.8684,22,6643.17,22,6154.54,-1673.8961181640625
16.7746,115000,152.2178,23,6888.07,23,6313.44,-1729.8687744140625
16.6634,120000,151.6174,24,6848.76,24,6342.39,-1765.656982421875
17.0125,125000,150.8919,25,7132.88,25,6889.18,-1997.920654296875
17.7392,130000,151.0128,26,7531.93,26,6984.44,-2114.910888671875
16.1149,135000,149.577,27,7815.83,27,7177.28,-2248.50927734375
16.657,140000,149.3608,28,7774.17,28,7308.46,-2333.534912109375
17.5032,145000,148.8093,29,8408.42,29,7577.24,-2389.085205078125
16.8691,150000,148.5563,30,8645.91,30,7953.6,-2489.94189453125
16.7326,155000,148.45,31,8478.43,31,7277.57,-2561.06103515625
18.2768,160000,149.5091,32,8261.18,32,7901.48,-2685.98876953125
16.9664,165000,147.6574,33,8952.38,33,8301.89,-2711.26611328125
17.2153,170000,148.2197,34,8717.44,34,8234.32,-2771.3095703125
17.3812,175000,148.8066,35,8740.86,35,8363.46,-2908.906005859375
17.7679,180000,148.6781,36,8716.39,36,8239.83,-3067.596435546875
17.3807,185000,148.1783,37,8881.37,37,8386.61,-3159.560546875
17.5444,190000,148.3787,38,8677.48,38,8202.92,-3268.907470703125
17.3944,195000,147.6729,39,9274.33,39,8615.29,-3178.650390625
17.7675,200000,148.18,40,8668.66,40,8320.84,-3388.46533203125
17.3077,205000,147.9583,41,9134.06,41,8685.04,-3461.665283203125
17.7177,210000,146.9625,42,9561.96,42,8995.34,-3506.64453125
17.3545,215000,147.2289,43,9521.91,43,8982.73,-3577.41015625
18.0737,220000,147.9645,44,9174.46,44,8736.39,-3632.625244140625
17.5874,225000,146.8716,45,10020.46,45,9295.55,-3687.184326171875
17.4307,230000,146.5215,46,9398.29,46,8968.31,-3813.9970703125
17.1382,235000,146.4659,47,9696.38,47,8591.97,-3817.35205078125
18.4442,240000,147.6684,48,9976.0,48,9425.34,-3850.981689453125
17.0193,245000,146.9068,49,9930.45,49,8711.71,-4026.88134765625
