Real Det Return,Running Forward KL,Running Env Steps,Running Reverse KL,Reward Loss,Itration,Real Sto Return,Running Update Time
353.31,38.1067,0,26.8028,-117.35380554199219,0,347.45,0
169.3,37.6446,5000,26.4366,-129.56016540527344,1,221.38,1
267.99,37.1931,10000,27.5716,-131.76364135742188,2,273.38,2
288.34,36.886,15000,19.9602,-86.321533203125,3,284.19,3
305.61,36.0169,20000,17.1343,-100.1064453125,4,310.74,4
308.86,37.6422,25000,29.9493,-159.52352905273438,5,309.05,5
344.01,36.8382,30000,37.6775,-156.7375030517578,6,341.76,6
293.0,36.7588,35000,27.1515,-165.528564453125,7,324.2,7
361.15,37.3279,40000,32.9648,-201.0522918701172,8,361.6,8
365.8,35.3045,45000,32.0003,-214.1481475830078,9,355.31,9
333.06,35.2415,50000,24.8226,-199.40016174316406,10,372.97,10
309.89,35.4439,55000,21.8353,-173.491455078125,11,357.12,11
425.67,36.6449,60000,31.4468,-238.16795349121094,12,400.52,12
368.67,36.4436,65000,35.6349,-249.5429229736328,13,376.99,13
453.63,35.8782,70000,30.7627,-253.13702392578125,14,443.07,14
417.42,35.0552,75000,30.3607,-263.5130615234375,15,393.24,15
477.25,33.6974,80000,29.8888,-258.34478759765625,16,486.96,16
478.1,33.802,85000,27.9001,-269.6103210449219,17,463.34,17
606.34,34.1649,90000,28.8287,-266.9912414550781,18,593.61,18
490.27,31.883,95000,17.6893,-245.12069702148438,19,479.65,19
549.51,33.4201,100000,25.7535,-287.2010192871094,20,547.05,20
483.77,32.0993,105000,25.1585,-301.8507995605469,21,471.77,21
489.34,33.5609,110000,22.0334,-295.824951171875,22,487.03,22
662.98,31.1535,115000,20.6831,-281.9123229980469,23,645.84,23
579.03,31.338,120000,25.1248,-301.75457763671875,24,584.13,24
2327.92,32.236,125000,19.9543,-258.0711669921875,25,1018.18,25
743.71,31.7845,130000,18.3088,-282.7253112792969,26,677.86,26
700.79,32.8036,135000,18.1522,-279.0817565917969,27,680.8,27
1039.3,32.117,140000,17.189,-264.7626037597656,28,805.36,28
1207.79,28.664,145000,17.8422,-249.3182373046875,29,1071.7,29
945.77,30.3576,150000,20.3727,-308.7292175292969,30,847.0,30
2965.09,28.7589,155000,16.3543,-186.57080078125,31,1370.78,31
2661.15,28.9975,160000,16.213,-80.89822387695312,32,2730.45,32
507.5,34.678,165000,18.2764,-187.981689453125,33,741.56,33
2950.67,27.2871,170000,15.6565,-94.403564453125,34,2381.26,34
3237.87,29.0282,175000,18.1841,-234.12779235839844,35,1751.33,35
1070.63,31.2179,180000,20.4533,-331.9134216308594,36,965.21,36
3193.2,28.8193,185000,16.5211,-287.75079345703125,37,1338.97,37
3226.41,28.1828,190000,16.1342,-121.98126220703125,38,2831.08,38
3186.12,27.5001,195000,15.8856,-60.658634185791016,39,3075.74,39
3293.67,28.9618,200000,14.6954,-213.55809020996094,40,1294.92,40
3127.09,30.0242,205000,14.0618,-254.4564971923828,41,1403.62,41
3262.51,27.9069,210000,17.1368,-57.636173248291016,42,3248.79,42
3238.62,28.447,215000,17.4759,-78.25186920166016,43,3250.24,43
3293.7,27.7766,220000,16.3094,-68.97109985351562,44,3277.06,44
3324.5,27.8602,225000,16.7391,-58.53664779663086,45,3129.04,45
3351.25,28.1405,230000,17.0224,-132.19801330566406,46,2478.17,46
3358.28,29.4798,235000,22.3822,-260.9413757324219,47,2190.69,47
3397.83,29.3455,240000,21.2196,-240.20523071289062,48,2323.75,48
2002.89,30.0684,245000,25.921,-346.86468505859375,49,1409.55,49
3342.85,27.5009,250000,16.2338,-74.98478698730469,50,3302.98,50
3251.0,28.1783,255000,20.3818,-280.4170837402344,51,1714.96,51
3316.95,26.9703,260000,15.754,-75.9751205444336,52,3290.43,52
3402.87,27.2079,265000,16.3327,-63.82864761352539,53,3379.33,53
3350.89,27.8954,270000,15.1303,-228.38148498535156,54,2604.08,54
3418.9,28.9411,275000,21.9475,-351.1473388671875,55,1640.32,55
3379.83,26.4879,280000,15.0475,-95.60275268554688,56,3115.66,56
3364.72,27.6461,285000,16.8202,-74.8083267211914,57,3339.59,57
