Running Env Steps,Real Det Return,Real Sto Return,Running Update Time,Itration,Running Reverse KL,Reward Loss,Running Forward KL
0,427.42,347.38,0,0,232.1181,522.0462646484375,453.9306
5000,269.94,282.19,1,1,261.4998,328.3090515136719,464.3361
10000,361.48,369.95,2,2,233.8184,-162.58482360839844,441.3558
15000,356.61,340.52,3,3,248.6116,-709.6228637695312,444.7459
20000,571.79,467.6,4,4,236.4919,-577.0660400390625,420.2664
25000,492.95,441.99,5,5,241.3901,-875.7747192382812,413.6712
30000,469.65,417.67,6,6,258.7969,-1383.34765625,429.5885
35000,477.6,415.01,7,7,246.8036,-1787.0228271484375,421.1457
40000,375.96,424.12,8,8,246.0259,-1945.1103515625,404.0602
45000,485.99,457.28,9,9,240.412,-2248.846923828125,399.1756
50000,362.4,432.87,10,10,290.7336,-2846.927978515625,433.3998
55000,408.69,462.39,11,11,271.0655,-3043.076904296875,419.6756
60000,431.51,455.61,12,12,244.1387,-2976.37939453125,411.914
65000,549.55,508.4,13,13,248.415,-3200.44677734375,399.9145
70000,556.67,470.7,14,14,247.3165,-3291.70703125,407.9139
75000,540.24,487.84,15,15,249.7886,-3637.73681640625,411.6181
80000,517.38,469.57,16,16,257.0552,-3983.92333984375,425.4746
85000,551.68,487.42,17,17,228.8594,-3974.871337890625,399.2586
90000,563.64,483.21,18,18,248.8435,-4279.38134765625,402.3287
95000,501.53,493.79,19,19,243.9004,-4429.46240234375,401.793
100000,558.47,501.75,20,20,244.5097,-4476.6279296875,399.985
105000,599.73,555.3,21,21,238.3533,-4730.62548828125,403.7502
110000,563.86,555.75,22,22,238.9431,-5131.72802734375,387.8381
115000,555.11,577.75,23,23,237.9171,-5242.97021484375,404.4891
120000,363.94,487.74,24,24,256.5082,-5702.1064453125,420.6959
125000,457.57,541.46,25,25,262.1385,-5866.9130859375,397.2968
130000,589.58,590.12,26,26,240.7942,-5995.9013671875,396.6854
135000,698.83,583.71,27,27,253.9694,-6192.16845703125,396.0936
140000,471.9,656.54,28,28,251.149,-6326.9326171875,406.616
145000,634.5,571.36,29,29,245.2834,-6617.0693359375,389.5393
150000,537.05,561.87,30,30,234.4771,-6581.4951171875,397.7449
155000,513.41,609.25,31,31,228.671,-6642.162109375,375.9775
160000,609.52,717.54,32,32,241.4848,-7142.771484375,381.5372
165000,392.2,548.31,33,33,239.931,-7463.98779296875,401.0137
170000,465.08,581.75,34,34,268.4162,-7431.3056640625,384.6181
175000,517.17,578.51,35,35,259.1731,-7755.328125,393.6595
180000,570.46,591.68,36,36,239.904,-7803.474609375,389.2695
185000,634.1,689.98,37,37,239.6418,-7931.82470703125,387.9538
190000,411.06,534.89,38,38,241.6331,-8195.9013671875,384.4145
195000,673.75,725.87,39,39,237.1898,-8256.1630859375,382.2762
200000,456.56,678.2,40,40,256.3309,-8608.8876953125,373.5548
205000,537.78,724.67,41,41,232.4434,-8524.9326171875,371.8851
210000,485.82,674.88,42,42,241.5536,-9012.3583984375,379.7391
215000,546.3,670.14,43,43,235.9766,-8662.984375,373.3868
220000,468.78,598.27,44,44,269.0407,-9069.9755859375,369.6704
225000,560.98,668.69,45,45,261.6021,-9408.9140625,368.3885
230000,666.45,805.24,46,46,238.7956,-9060.939453125,361.7317
235000,447.37,585.48,47,47,270.0032,-9754.5205078125,378.8987
240000,629.53,791.49,48,48,217.9499,-8896.17578125,376.1274
245000,807.49,861.07,49,49,225.2784,-9300.8896484375,356.9497
250000,538.29,661.45,50,50,246.4782,-10013.6171875,350.3475
255000,605.86,877.71,51,51,228.43,-9673.4873046875,357.1868
260000,619.54,956.93,52,52,273.519,-10930.0322265625,369.3315
265000,626.72,882.82,53,53,241.8144,-10337.7744140625,358.299
270000,820.87,1303.89,54,54,233.9971,-10415.7119140625,352.4106
275000,970.14,1126.98,55,55,237.2094,-10139.5439453125,340.4282
280000,545.39,880.11,56,56,253.1623,-10837.44921875,364.7027
285000,872.79,1170.19,57,57,227.8907,-10086.3056640625,346.783
290000,847.53,928.16,58,58,236.6313,-10540.46484375,350.7516
295000,686.55,988.97,59,59,239.16,-10498.3974609375,351.5027
300000,1054.86,1321.13,60,60,229.0189,-10596.591796875,366.369
305000,728.16,958.57,61,61,245.6094,-10923.3017578125,350.818
310000,741.27,985.05,62,62,210.4615,-9950.2275390625,334.8777
315000,1123.81,1298.65,63,63,223.4383,-10582.173828125,346.9105
