Running Update Time,Real Det Return,Real Sto Return,Itration,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL
0,307.74,326.41,0,3327.00390625,252.4502,0,438.5781
1,291.21,300.04,1,3655.01220703125,301.0241,5000,447.8024
2,294.59,327.27,2,2693.609130859375,273.9806,10000,452.7433
3,359.29,385.06,3,2400.432373046875,263.1689,15000,428.8567
4,364.43,375.44,4,2330.496826171875,256.9315,20000,443.5449
5,385.73,393.53,5,2138.15380859375,281.5689,25000,431.4469
6,316.6,386.07,6,2051.68896484375,273.9728,30000,438.2881
7,523.39,432.46,7,2426.2490234375,268.857,35000,423.5939
8,443.94,432.88,8,1677.7547607421875,271.2139,40000,418.4014
9,507.5,466.67,9,1381.5235595703125,259.9651,45000,429.7722
10,460.17,464.47,10,1258.9359130859375,259.1172,50000,422.9513
11,458.68,454.59,11,273.7787780761719,240.4023,55000,406.897
12,440.07,463.12,12,746.2987670898438,260.0217,60000,418.1964
13,504.76,498.44,13,656.3404541015625,286.2945,65000,405.9823
14,503.77,542.91,14,756.8388061523438,266.4441,70000,409.6253
15,398.73,527.01,15,246.43218994140625,291.5745,75000,405.2706
16,441.87,496.4,16,-88.09608459472656,290.5773,80000,413.3688
17,428.82,604.8,17,-292.6447448730469,270.3999,85000,398.0637
18,471.31,579.09,18,-818.1378784179688,284.4002,90000,402.9562
19,526.49,702.22,19,-894.5099487304688,256.6172,95000,394.4915
20,418.38,514.7,20,-1468.089599609375,266.8814,100000,410.3557
21,536.44,756.71,21,-1136.29541015625,246.7737,105000,390.2792
22,509.0,663.56,22,-2452.572998046875,244.0895,110000,385.7955
23,493.72,629.83,23,-2344.209228515625,273.0056,115000,404.9163
24,792.25,837.12,24,-1941.1640625,256.0902,120000,388.0491
25,534.59,714.87,25,-2105.76025390625,247.1198,125000,380.5826
26,500.33,754.62,26,-3032.8798828125,243.5581,130000,398.0564
27,477.11,826.6,27,-2222.15576171875,252.212,135000,373.2755
28,666.71,957.55,28,-3151.525146484375,223.0007,140000,375.3007
29,670.1,743.51,29,-3073.515380859375,240.0396,145000,385.0297
