Running Reverse KL,Real Det Return,Reward Loss,Running Forward KL,Real Sto Return,Running Env Steps,Itration,Running Update Time
11.9173,-0.8,233.09251403808594,158.6648,-198.95,0,0,0
11.7672,3.43,217.17864990234375,158.2911,-48.43,5000,1,1
12.5808,-14.39,298.9821472167969,158.2314,175.65,10000,2,2
12.9994,906.32,402.1369934082031,158.02,423.77,15000,3,3
14.0432,1000.26,682.8323364257812,157.8814,567.51,20000,4,4
13.4453,1064.74,269.26165771484375,157.8656,639.03,25000,5,5
13.5683,883.96,-258.8992919921875,157.9192,531.88,30000,6,6
14.6944,1109.92,-235.787353515625,157.9837,737.73,35000,7,7
15.7215,1429.26,-260.1604309082031,157.7057,1017.02,40000,8,8
15.7882,1495.6,-543.7897338867188,157.593,1032.31,45000,9,9
16.7341,1532.62,-571.859375,157.9862,1171.23,50000,10,10
16.4374,1587.7,-865.0047607421875,157.6599,1134.45,55000,11,11
16.723,1564.59,-1119.4132080078125,157.9236,1176.08,60000,12,12
16.5822,1657.63,-1293.3145751953125,157.704,1233.09,65000,13,13
16.2872,1688.94,-1363.0606689453125,157.8235,1239.41,70000,14,14
16.5597,1714.76,-1646.126220703125,157.6086,1299.97,75000,15,15
16.7405,1746.87,-1736.59521484375,157.5676,1359.47,80000,16,16
16.3324,1747.31,-2061.683349609375,157.7202,1313.37,85000,17,17
16.0804,1803.93,-2252.8642578125,157.5232,1369.31,90000,18,18
16.4886,1814.67,-2404.031494140625,157.7588,1373.7,95000,19,19
16.4583,1797.51,-2606.966552734375,157.7247,1333.13,100000,20,20
16.2568,1838.67,-2812.536865234375,157.6039,1437.99,105000,21,21
15.9393,1833.73,-3144.693115234375,157.5792,1479.77,110000,22,22
16.2633,1887.68,-3170.599365234375,157.6644,1511.12,115000,23,23
16.2561,1899.89,-3419.54638671875,157.6606,1518.73,120000,24,24
16.4114,1933.67,-3521.67919921875,157.5867,1573.06,125000,25,25
16.1745,1958.09,-3690.0224609375,157.5002,1534.31,130000,26,26
15.9584,1876.46,-4034.269287109375,157.5171,1527.82,135000,27,27
16.1223,1959.66,-4165.97119140625,157.4597,1597.67,140000,28,28
15.7723,1948.76,-4268.8984375,157.4331,1570.46,145000,29,29
16.1735,1978.47,-4487.201171875,157.5922,1608.56,150000,30,30
16.4567,2023.15,-4660.19873046875,157.6437,1630.1,155000,31,31
15.9953,1966.9,-4853.58447265625,157.493,1598.5,160000,32,32
16.7138,2026.86,-5088.77001953125,157.4188,1661.88,165000,33,33
16.3347,2030.89,-5149.55126953125,157.359,1647.34,170000,34,34
16.6078,2043.95,-5397.216796875,157.4199,1667.51,175000,35,35
16.2426,2013.5,-5477.708984375,157.4264,1650.98,180000,36,36
15.74,1980.83,-5743.91796875,157.294,1619.9,185000,37,37
16.0291,1985.71,-6010.72900390625,157.1419,1677.34,190000,38,38
16.2052,1997.25,-6117.07958984375,157.5101,1666.79,195000,39,39
15.92,1946.01,-6395.228515625,157.179,1656.98,200000,40,40
16.1642,2041.98,-6514.18359375,157.4276,1705.92,205000,41,41
16.1839,2021.74,-6689.81201171875,157.3583,1688.92,210000,42,42
16.2805,2047.26,-6894.2275390625,157.1725,1708.44,215000,43,43
16.0854,2088.33,-6970.5673828125,157.315,1685.35,220000,44,44
16.2247,2084.8,-7213.97021484375,157.3053,1718.39,225000,45,45
16.1459,2053.0,-7334.28955078125,157.1686,1691.11,230000,46,46
15.5873,1981.62,-7589.11376953125,157.0058,1656.22,235000,47,47
15.9944,2117.9,-7732.1455078125,157.1756,1716.21,240000,48,48
16.1188,2072.08,-7880.72412109375,157.1378,1724.12,245000,49,49
15.7334,2083.09,-8078.125,156.9694,1725.84,250000,50,50
15.8299,2092.36,-8325.5498046875,157.0869,1726.66,255000,51,51
16.2922,2075.57,-8418.7568359375,157.0337,1738.57,260000,52,52
15.8645,2109.53,-8632.0947265625,156.9215,1721.92,265000,53,53
15.6511,2093.08,-8770.3369140625,157.0912,1706.24,270000,54,54
16.0407,2107.32,-9068.7021484375,156.9153,1777.1,275000,55,55
16.1227,2116.38,-9291.953125,156.9985,1759.79,280000,56,56
15.7126,2081.37,-9447.6513671875,157.1049,1709.71,285000,57,57
15.7251,2064.85,-9676.33203125,157.0965,1719.57,290000,58,58
16.0662,2085.92,-9820.443359375,156.9583,1730.49,295000,59,59
15.8932,2125.83,-9982.9873046875,157.1898,1749.64,300000,60,60
16.0789,2096.92,-10204.9951171875,157.1655,1751.71,305000,61,61
15.3152,2063.41,-10328.0595703125,156.9012,1708.74,310000,62,62
15.7985,2090.66,-10567.3623046875,157.0049,1768.72,315000,63,63
15.7175,2123.47,-10812.4013671875,156.9125,1757.86,320000,64,64
15.8471,2098.72,-11045.34765625,157.0332,1758.09,325000,65,65
15.7607,2096.92,-11186.892578125,156.8887,1732.21,330000,66,66
15.764,2110.82,-11346.923828125,156.7965,1768.85,335000,67,67
15.7179,2046.92,-11587.55859375,157.0382,1770.6,340000,68,68
15.6681,2136.2,-11816.8525390625,157.0008,1765.27,345000,69,69
15.5294,2038.01,-11929.8583984375,156.8664,1763.3,350000,70,70
15.4797,2161.46,-12024.896484375,156.7602,1793.02,355000,71,71
15.565,2097.07,-12410.1328125,157.0286,1761.93,360000,72,72
15.9385,2110.48,-12592.7138671875,157.0948,1776.18,365000,73,73
15.4776,2101.2,-12828.8642578125,156.8686,1756.17,370000,74,74
15.5045,2117.81,-12906.908203125,156.8457,1781.6,375000,75,75
15.5037,2114.47,-13285.2822265625,156.9481,1758.11,380000,76,76
15.3952,2092.02,-13395.7060546875,156.8664,1777.76,385000,77,77
