Itration,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL
0,0,146.76,97.71,0,20.5724,-713.518798828125,31.1332
1,1,359.15,361.33,5000,58.0276,-1072.3868408203125,30.4027
2,2,291.96,307.46,10000,56.0586,-1158.06494140625,31.8674
3,3,318.0,326.1,15000,44.1452,-1113.72607421875,30.9701
4,4,380.87,392.51,20000,46.7112,-1343.0714111328125,29.2769
5,5,429.44,409.71,25000,48.2707,-1273.9405517578125,27.6583
6,6,642.04,655.46,30000,37.3458,-1168.72119140625,26.9223
7,7,546.1,422.69,35000,49.578,-1215.106201171875,28.6196
8,8,391.05,378.02,40000,44.1662,-1575.9178466796875,29.3619
9,9,784.85,1032.09,45000,60.3732,-1329.4266357421875,27.9933
10,10,749.67,841.36,50000,43.1486,-1397.1038818359375,27.192
11,11,757.45,783.41,55000,49.9418,-1213.9986572265625,27.3511
12,12,898.06,855.92,60000,25.663,-1586.750732421875,27.7038
13,13,1051.15,969.74,65000,35.7369,-1300.286865234375,28.2168
14,14,977.01,637.01,70000,26.086,-1066.5728759765625,27.6578
15,15,960.48,1306.88,75000,32.3237,-974.5923461914062,27.864
16,16,853.47,876.37,80000,29.0114,-1564.73779296875,27.6361
17,17,1111.7,970.86,85000,41.4533,-1492.132568359375,27.918
18,18,958.07,961.43,90000,58.0271,-1762.016845703125,29.3038
19,19,1043.32,929.28,95000,27.2699,-1756.75537109375,28.4382
20,20,983.68,955.64,100000,29.512,-1782.1781005859375,28.6491
21,21,1069.01,947.26,105000,31.8287,-1776.511962890625,28.1949
22,22,969.42,818.95,110000,29.324,-1959.3524169921875,29.1938
23,23,915.7,879.47,115000,29.1875,-1973.7330322265625,28.6061
24,24,1264.08,1488.0,120000,22.3539,-1169.2322998046875,27.3449
25,25,1110.47,950.91,125000,37.9011,-1708.63232421875,28.0327
26,26,1333.17,1099.31,130000,18.2355,-1393.0445556640625,27.2576
27,27,1069.0,979.97,135000,29.2375,-2013.12353515625,27.6555
28,28,1888.34,2786.83,140000,27.7977,-1844.5013427734375,28.0298
29,29,1169.07,1046.91,145000,29.7655,-1839.3126220703125,27.5344
30,30,1683.64,2082.9,150000,25.5578,-1837.918701171875,28.1592
31,31,1696.72,2043.85,155000,29.3936,-1800.66748046875,27.6299
32,32,1824.71,3200.64,160000,29.768,-1333.13134765625,26.8039
33,33,1806.4,3232.9,165000,20.9183,-927.9701538085938,27.63
34,34,1437.2,1300.63,170000,23.574,-1847.6864013671875,28.1851
35,35,1222.29,1147.35,175000,43.0791,-2049.177490234375,28.1293
36,36,1474.19,1268.06,180000,23.3633,-1862.115234375,27.9188
37,37,1307.0,1771.79,185000,22.962,-1902.830078125,27.6093
38,38,1244.32,1160.88,190000,26.3887,-2255.397216796875,27.9166
39,39,1250.42,1234.75,195000,28.6099,-2371.693359375,28.3764
40,40,1299.71,1237.9,200000,23.4075,-2065.558837890625,27.6559
41,41,1557.53,2243.64,205000,39.9576,-2268.16845703125,27.3061
42,42,1405.26,1604.78,210000,31.3778,-2290.291748046875,27.6589
43,43,1499.09,2749.49,215000,28.6565,-1812.0474853515625,27.4379
44,44,1442.39,1436.92,220000,36.9554,-2213.833740234375,27.4669
45,45,2013.15,3124.49,225000,22.0708,-1732.40478515625,26.8631
46,46,2325.27,3227.63,230000,27.9745,-1438.356201171875,27.8714
47,47,1721.13,2615.82,235000,55.7859,-2148.23291015625,27.1668
48,48,1620.71,3038.34,240000,28.0161,-2133.304443359375,27.6377
49,49,1771.91,2640.9,245000,32.5453,-2455.998779296875,28.3106
50,50,1965.91,3156.86,250000,33.2023,-2172.90673828125,27.5307
51,51,2119.94,3065.71,255000,27.4341,-1914.960693359375,28.036
52,52,1933.1,1622.68,260000,25.0766,-2089.1083984375,27.9578
53,53,1326.34,1520.72,265000,25.5905,-2449.344970703125,28.1091
54,54,1386.33,1481.41,270000,29.4145,-2444.565185546875,27.3689
55,55,1429.81,2087.77,275000,22.4772,-2583.7529296875,27.6107
56,56,2058.68,3088.26,280000,21.3645,-1931.1044921875,27.4582
57,57,1697.59,3145.7,285000,17.9681,-2272.004150390625,27.4561
58,58,2261.11,2989.6,290000,21.1637,-1495.7255859375,27.5138
59,59,2275.4,943.18,295000,16.5632,-1717.847900390625,25.7952
60,60,2298.44,2043.17,300000,22.743,-1827.177490234375,27.6018
61,61,2552.42,3238.93,305000,22.2306,-1768.3935546875,27.8513
62,62,1587.07,3025.33,310000,24.9431,-2516.67919921875,28.2077
63,63,1655.39,2774.7,315000,19.7991,-2536.1181640625,27.7377
64,64,1592.48,2870.54,320000,26.0356,-2273.9423828125,28.1346
65,65,2375.07,3257.84,325000,20.1037,-1907.8399658203125,27.8719
66,66,1561.78,2419.27,330000,29.1907,-2217.533935546875,27.751
67,67,2098.17,3239.37,335000,18.3764,-2239.858154296875,28.0069
68,68,1909.72,2849.72,340000,17.9627,-2839.291015625,27.4232
69,69,1486.11,2024.26,345000,17.6976,-2572.68310546875,27.9351
70,70,1724.55,3271.75,350000,17.3144,-2223.859619140625,28.2695
71,71,1436.54,1181.03,355000,15.953,-2808.767822265625,28.9363
72,72,1717.78,1436.98,360000,18.2837,-2103.6083984375,27.9184
73,73,2345.53,3273.13,365000,20.6143,-1747.07275390625,28.2012
74,74,1416.12,2749.61,370000,15.5912,-3033.645263671875,27.7409
75,75,1905.65,2330.84,375000,16.1391,-2562.21337890625,27.241
76,76,1945.12,1790.13,380000,16.4504,-2674.90625,28.0134
77,77,1826.17,3232.83,385000,32.0303,-2516.970458984375,27.9316
78,78,2320.03,3284.31,390000,18.5439,-1998.0462646484375,27.4578
79,79,2405.51,3293.36,395000,25.5977,-2189.66259765625,27.8478
80,80,2479.61,2249.76,400000,17.3685,-2157.1416015625,26.5488
81,81,1908.68,3329.76,405000,22.2033,-2534.732421875,27.214
