Running Reverse KL,Running Forward KL,Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Itration,Running Env Steps
11.4215,158.4386,-220.66,-1488.9830322265625,-29.0,0,0,0
11.7155,158.4467,-100.84,-1721.7008056640625,-8.17,1,1,5000
12.0857,158.3522,56.51,-2098.347412109375,340.73,2,2,10000
12.5516,158.1938,234.2,-2769.729248046875,639.64,3,3,15000
12.6943,157.8511,306.59,-2906.525146484375,583.87,4,4,20000
13.0004,157.7598,493.54,-3415.761962890625,967.55,5,5,25000
13.5913,158.0246,593.87,-3586.446044921875,924.04,6,6,30000
14.3154,157.7752,710.88,-3660.017578125,999.18,7,7,35000
15.5534,157.7261,986.09,-4163.5361328125,1377.5,8,8,40000
15.7574,157.5163,1065.45,-4283.68017578125,1399.06,9,9,45000
15.9542,157.8015,1070.42,-4367.02880859375,1475.6,10,10,50000
15.8723,157.6431,1126.01,-4580.0888671875,1530.66,11,11,55000
16.2556,158.0917,1135.13,-4772.19384765625,1508.32,12,12,60000
16.4408,157.8201,1239.8,-5003.28369140625,1646.79,13,13,65000
15.8963,158.0205,1193.98,-5179.46240234375,1608.92,14,14,70000
16.3039,157.9884,1287.34,-5410.62353515625,1686.6,15,15,75000
16.3919,157.8731,1326.93,-5451.8955078125,1708.15,16,16,80000
16.6098,157.843,1401.74,-5733.8857421875,1791.35,17,17,85000
16.0778,157.6998,1417.23,-5910.8994140625,1798.97,18,18,90000
16.1516,157.5453,1450.67,-5972.5126953125,1813.75,19,19,95000
16.2095,157.9744,1460.91,-6125.419921875,1812.84,20,20,100000
16.3576,157.6893,1466.2,-6310.74609375,1840.88,21,21,105000
16.6837,157.9581,1493.29,-6594.26123046875,1847.35,22,22,110000
16.2511,157.5623,1538.0,-6803.85205078125,1861.13,23,23,115000
16.7242,157.731,1572.07,-6973.04052734375,1933.8,24,24,120000
16.5101,157.7352,1557.6,-6986.30712890625,1914.71,25,25,125000
16.3464,157.5156,1603.69,-7315.630859375,1952.47,26,26,130000
16.3393,157.643,1564.82,-7533.00537109375,1942.14,27,27,135000
16.7061,157.5225,1614.83,-7649.92578125,1965.97,28,28,140000
16.4391,157.494,1566.67,-7705.478515625,1862.26,29,29,145000
16.3166,157.5135,1599.0,-8131.75341796875,1910.52,30,30,150000
16.3118,157.6794,1607.58,-8218.5771484375,1908.23,31,31,155000
16.5117,157.6841,1587.24,-8397.291015625,1941.22,32,32,160000
16.167,157.3444,1606.41,-8653.71484375,1909.85,33,33,165000
16.3335,157.4857,1616.36,-8730.6201171875,1975.41,34,34,170000
16.6457,157.3635,1635.47,-9022.4775390625,1991.36,35,35,175000
16.1977,157.2752,1652.32,-9110.2451171875,1986.85,36,36,180000
16.4759,157.5138,1651.63,-9411.3740234375,2025.51,37,37,185000
16.25,157.3372,1674.06,-9562.689453125,2050.23,38,38,190000
15.9222,157.2213,1650.94,-9831.609375,2052.13,39,39,195000
16.15,156.9973,1708.09,-10060.83984375,2077.29,40,40,200000
16.5085,157.2192,1683.99,-10208.849609375,2046.06,41,41,205000
16.3143,157.4259,1688.62,-10368.7451171875,1997.35,42,42,210000
16.1495,157.2183,1692.65,-10638.7490234375,2048.2,43,43,215000
16.0861,157.2449,1657.45,-10759.236328125,2024.44,44,44,220000
16.3331,157.0683,1721.67,-10986.0849609375,2046.63,45,45,225000
16.5612,157.107,1762.3,-11177.373046875,2117.9,46,46,230000
16.379,157.3543,1666.48,-11636.587890625,1984.71,47,47,235000
16.1281,157.2056,1723.14,-11569.1201171875,2048.26,48,48,240000
16.1937,157.2489,1719.3,-11803.2822265625,2058.25,49,49,245000
15.747,156.9128,1712.56,-11904.5986328125,2043.47,50,50,250000
16.1659,157.1355,1740.28,-12202.3623046875,2095.79,51,51,255000
15.8129,157.0007,1710.01,-12430.20703125,2075.17,52,52,260000
15.8263,156.7947,1714.93,-12576.703125,2062.94,53,53,265000
16.0762,157.1485,1723.72,-12867.4443359375,2070.11,54,54,270000
16.1497,157.1619,1754.89,-13006.419921875,2095.55,55,55,275000
15.8636,157.0525,1735.31,-13231.484375,2035.19,56,56,280000
15.7552,157.0151,1733.39,-13465.6318359375,2086.41,57,57,285000
15.9817,156.9636,1734.0,-13626.2578125,2066.3,58,58,290000
15.7742,156.7953,1755.18,-13808.470703125,2085.34,59,59,295000
15.8593,157.0102,1746.72,-14037.7060546875,2078.14,60,60,300000
15.8948,156.9294,1766.43,-14205.3681640625,2096.13,61,61,305000
15.895,156.7916,1748.49,-14531.751953125,2100.57,62,62,310000
16.5928,157.2291,1770.61,-14793.6484375,2099.85,63,63,315000
15.9223,156.8831,1784.26,-14935.6083984375,2137.54,64,64,320000
15.8074,156.8993,1795.12,-15187.1357421875,2176.78,65,65,325000
15.8976,156.9949,1785.1,-15299.9501953125,2128.9,66,66,330000
15.4692,156.8724,1742.8,-15479.3046875,2081.04,67,67,335000
15.6343,157.1153,1711.4,-15666.7470703125,2029.87,68,68,340000
16.0591,156.891,1798.52,-16026.0810546875,2116.88,69,69,345000
15.8778,156.9597,1787.66,-16102.5556640625,2147.48,70,70,350000
15.8511,156.7107,1791.72,-16533.208984375,2155.71,71,71,355000
16.0898,156.85,1809.64,-16633.91015625,2152.58,72,72,360000
15.6899,156.9443,1802.0,-16790.85546875,2127.1,73,73,365000
15.7654,156.7384,1796.64,-17080.23828125,2112.05,74,74,370000
16.0648,157.0203,1806.83,-17295.087890625,2164.58,75,75,375000
15.9375,156.947,1818.3,-17465.466796875,2143.57,76,76,380000
16.1058,156.8804,1819.39,-17852.0,2140.9,77,77,385000
15.5812,156.8693,1785.75,-17906.919921875,2148.13,78,78,390000
15.9766,156.8828,1818.45,-18169.65625,2115.95,79,79,395000
15.543,156.8965,1807.12,-18409.5390625,2158.33,80,80,400000
15.478,156.8374,1812.21,-18655.7890625,2160.09,81,81,405000
15.746,156.8614,1837.89,-18883.25390625,2180.15,82,82,410000
15.9633,156.9256,1811.5,-19182.53515625,2142.86,83,83,415000
15.4782,156.8021,1794.3,-19331.255859375,2169.2,84,84,420000
15.902,156.8464,1850.02,-19487.8671875,2171.38,85,85,425000
15.4798,156.9342,1773.96,-19751.201171875,2145.76,86,86,430000
15.8087,156.8253,1846.6,-19955.59375,2187.18,87,87,435000
15.4757,156.9119,1811.25,-20144.7578125,2116.07,88,88,440000
15.7891,157.0013,1823.88,-20558.54296875,2139.33,89,89,445000
15.8449,156.8453,1830.24,-20659.982421875,2142.8,90,90,450000
15.6606,156.7159,1798.05,-20755.40234375,2149.51,91,91,455000
15.5944,156.7428,1810.33,-21163.244140625,2109.73,92,92,460000
15.5432,156.7398,1833.92,-21423.0859375,2176.43,93,93,465000
15.5179,156.8619,1806.65,-21650.720703125,2175.98,94,94,470000
