Running Forward KL,Running Env Steps,Running Reverse KL,Itration,Reward Loss,Running Update Time,Real Sto Return,Real Det Return
48.7662,0,12.6701,0,-474.7496337890625,0,311.05,321.55
49.7199,5000,15.9919,1,-417.1477355957031,1,256.9,272.17
49.733,10000,21.8684,2,-964.4650268554688,2,302.51,398.27
49.8556,15000,19.9762,3,-366.9523010253906,3,542.1,716.33
49.6391,20000,40.1874,4,-914.7861328125,4,286.85,341.85
50.0985,25000,29.1058,5,-585.9817504882812,5,338.92,296.83
48.5249,30000,16.3114,6,-1181.2508544921875,6,441.98,497.58
49.5776,35000,35.3895,7,-811.1444702148438,7,405.28,630.17
48.9692,40000,38.6787,8,-968.5573120117188,8,460.38,975.21
49.0864,45000,28.3053,9,-1461.0936279296875,9,486.66,515.51
49.67,50000,20.903,10,-1110.735595703125,10,752.33,619.56
46.2292,55000,18.4459,11,-1148.601806640625,11,925.32,1174.39
45.3453,60000,21.2617,12,-853.5424194335938,12,1544.78,1438.16
47.2189,65000,38.3896,13,-1619.443603515625,13,880.3,737.61
47.6463,70000,16.6575,14,-1029.431396484375,14,1363.88,1031.16
47.5663,75000,37.6561,15,-1474.9910888671875,15,574.13,919.21
47.1416,80000,14.7195,16,-727.2626342773438,16,2223.93,1475.16
46.2946,85000,17.2696,17,-756.0805053710938,17,2478.52,2730.0
46.4999,90000,16.5162,18,-1399.9259033203125,18,391.21,35.45
46.0786,95000,22.5223,19,-1329.7037353515625,19,1560.32,1098.72
45.3847,100000,14.8845,20,-1343.03271484375,20,2331.02,2547.79
45.5212,105000,19.026,21,-1656.796142578125,21,1917.35,1149.93
45.9587,110000,19.5814,22,-1954.0504150390625,22,1147.11,732.02
45.0681,115000,17.691,23,-860.7612915039062,23,3106.38,3250.3
45.0531,120000,14.7631,24,-1406.862060546875,24,2448.61,3043.88
45.279,125000,16.3164,25,-1024.388427734375,25,3014.49,3103.66
44.0565,130000,15.8205,26,-1139.8743896484375,26,2614.66,2815.01
44.598,135000,15.4308,27,-1819.9739990234375,27,1631.03,1322.36
45.1195,140000,18.0587,28,-909.02978515625,28,3285.64,3169.16
44.3623,145000,16.4102,29,-1015.5787353515625,29,3086.36,3024.38
44.1584,150000,16.3131,30,-1189.388916015625,30,3189.24,3280.99
44.4601,155000,15.738,31,-1095.3287353515625,31,3084.24,2645.46
44.193,160000,17.0655,32,-1095.945068359375,32,3237.76,3265.72
43.8136,165000,17.8568,33,-1089.9178466796875,33,3307.98,3403.81
42.4493,170000,17.6731,34,-1109.43359375,34,3849.17,4019.19
43.7191,175000,18.7812,35,-1213.59130859375,35,3562.11,3464.96
43.4548,180000,17.4034,36,-1179.1324462890625,36,3368.24,1698.0
43.4182,185000,15.3982,37,-1592.8758544921875,37,3124.22,3335.05
43.0598,190000,16.7502,38,-1237.34326171875,38,3218.25,3466.49
43.8443,195000,17.7989,39,-1997.7728271484375,39,2778.69,3369.47
43.1924,200000,15.809,40,-1499.5523681640625,40,2851.56,3385.26
43.8496,205000,16.8722,41,-1610.7041015625,41,3101.24,3185.71
42.5797,210000,16.0534,42,-1356.54833984375,42,3582.24,3816.51
42.7505,215000,19.4193,43,-1610.441162109375,43,3756.25,1916.65
42.8555,220000,20.2338,44,-1335.537109375,44,3965.33,3920.62
42.6216,225000,19.523,45,-1440.42724609375,45,3885.74,3957.31
43.6586,230000,18.8498,46,-1526.02978515625,46,3708.35,3733.21
42.9626,235000,19.4434,47,-1457.05810546875,47,3985.31,4041.66
42.2377,240000,19.2483,48,-1467.8060302734375,48,4001.51,3947.13
43.0515,245000,19.3384,49,-1449.6131591796875,49,3940.99,3752.29
43.0617,250000,17.2919,50,-1379.4874267578125,50,3818.95,3777.38
42.7604,255000,19.3512,51,-1663.6981201171875,51,4000.94,4130.87
42.5253,260000,19.82,52,-1427.388427734375,52,4065.23,3975.92
41.2968,265000,19.2609,53,-1536.564453125,53,4101.62,4060.85
42.6436,270000,18.2189,54,-1553.5069580078125,54,3952.21,3816.52
40.7506,275000,16.296,55,-1603.18359375,55,4106.35,4116.56
41.8326,280000,20.4589,56,-1657.5279541015625,56,4024.23,4057.44
41.8919,285000,17.1649,57,-1682.5150146484375,57,4004.93,3790.32
41.0536,290000,18.303,58,-1728.517578125,58,4155.08,4246.95
41.0137,295000,17.9974,59,-1788.73828125,59,4239.72,4124.74
41.4068,300000,19.2303,60,-2320.22216796875,60,4251.59,4406.9
41.019,305000,18.4045,61,-1854.73583984375,61,4167.24,4329.86
41.5296,310000,20.4165,62,-1872.3983154296875,62,4213.26,4340.27
40.3234,315000,18.2947,63,-1827.70556640625,63,4178.46,4287.91
41.3667,320000,18.5141,64,-1886.0386962890625,64,4186.31,4407.68
41.1468,325000,19.6985,65,-1929.21337890625,65,4215.6,4373.8
