Running Env Steps,Real Det Return,Itration,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Running Update Time
360000,2054.73,72,15.4447,-14081.71875,156.9977,1701.11,72
365000,2168.73,73,15.9929,-14286.287109375,157.0503,1785.55,73
370000,2145.69,74,15.7951,-14560.630859375,157.1129,1781.63,74
375000,2148.36,75,15.8497,-14671.865234375,156.8699,1784.81,75
380000,2141.65,76,16.0706,-14868.50390625,157.0326,1756.88,76
385000,2102.33,77,15.8346,-15113.111328125,157.0738,1768.41,77
390000,2153.82,78,15.8876,-15332.3642578125,157.0538,1760.56,78
395000,2170.64,79,15.5577,-15381.6806640625,156.8412,1788.12,79
400000,2158.31,80,16.0929,-15843.9091796875,157.1954,1787.73,80
405000,2179.77,81,15.7677,-15985.3203125,156.9936,1785.19,81
410000,2139.56,82,15.6735,-16182.2080078125,156.8242,1798.13,82
415000,2108.44,83,15.507,-16380.8779296875,156.9027,1763.25,83
420000,2153.89,84,15.9067,-16744.982421875,157.0376,1795.42,84
425000,2138.37,85,15.7831,-16959.173828125,157.0515,1785.23,85
430000,2124.96,86,15.6136,-17076.916015625,156.888,1778.08,86
435000,2168.89,87,16.0068,-17306.490234375,157.0746,1823.38,87
440000,2143.52,88,15.8438,-17591.65234375,157.1191,1800.44,88
445000,2115.61,89,15.8647,-17838.9375,156.957,1783.75,89
450000,2139.67,90,15.4072,-17816.650390625,157.0685,1765.13,90
455000,2173.79,91,15.9408,-18150.333984375,156.7789,1841.78,91
460000,2094.65,92,15.1165,-18295.365234375,156.8843,1750.69,92
465000,2188.41,93,16.1643,-18621.818359375,157.065,1831.29,93
470000,2205.37,94,16.1467,-18932.41015625,156.9758,1811.07,94
475000,2191.94,95,15.7579,-19087.2421875,157.1056,1815.37,95
480000,2198.5,96,15.8663,-19200.3828125,156.9202,1848.15,96
485000,2202.28,97,15.8757,-19549.60546875,156.9866,1825.62,97
490000,2225.15,98,16.0885,-19805.470703125,157.0798,1846.88,98
495000,2106.1,99,15.3979,-19914.89453125,156.7883,1806.29,99
500000,2195.77,100,15.8648,-20128.275390625,156.9154,1841.96,100
505000,2190.87,101,15.8004,-20462.28515625,156.9147,1840.53,101
510000,2243.2,102,15.9372,-20772.833984375,156.8011,1854.86,102
515000,2190.98,103,15.6515,-20956.7734375,156.7053,1839.79,103
520000,2192.07,104,16.033,-21133.314453125,156.9185,1850.22,104
525000,2169.92,105,15.5073,-21300.740234375,156.885,1824.06,105
530000,2212.12,106,15.8817,-21584.876953125,157.0214,1854.74,106
535000,2173.24,107,15.6294,-21788.19921875,156.9148,1842.63,107
540000,2176.89,108,15.4196,-22083.2890625,156.795,1834.86,108
545000,2115.6,109,15.6134,-22377.0078125,156.9425,1846.93,109
550000,2181.01,110,15.8121,-22646.927734375,156.8854,1838.25,110
555000,2186.03,111,15.7148,-22861.9140625,156.8025,1844.58,111
560000,2162.81,112,15.4092,-22910.181640625,156.9643,1805.33,112
565000,2193.57,113,15.9094,-23306.90625,156.8806,1867.88,113
570000,2139.06,114,15.3196,-23432.60546875,156.871,1809.22,114
575000,2216.7,115,16.123,-23829.8984375,156.9323,1902.71,115
580000,2157.42,116,15.6851,-24042.205078125,157.0048,1838.27,116
585000,2216.19,117,15.7533,-24281.49609375,157.0801,1854.18,117
590000,2184.26,118,15.5533,-24413.412109375,156.6546,1855.35,118
595000,2225.15,119,15.7429,-24684.431640625,156.8629,1854.86,119
600000,2176.77,120,15.6522,-25036.064453125,156.8899,1836.33,120
605000,2191.34,121,15.5769,-25421.3359375,156.7815,1846.67,121
610000,2254.52,122,15.8573,-25482.66015625,156.5734,1878.08,122
615000,2221.82,123,15.4969,-25707.3671875,156.7713,1829.03,123
620000,2179.25,124,15.9999,-26052.90234375,156.8894,1870.86,124
625000,2270.67,125,15.7336,-26251.748046875,156.8711,1868.06,125
630000,2169.23,126,15.2074,-26459.265625,156.8179,1833.98,126
635000,2200.73,127,15.5612,-26814.9375,156.6857,1853.38,127
640000,2228.62,128,15.5445,-27002.36328125,156.6923,1843.38,128
645000,2256.66,129,16.1829,-27360.185546875,156.9065,1892.71,129
650000,2213.26,130,15.605,-27716.720703125,157.0154,1861.54,130
655000,2148.11,131,15.5205,-27923.837890625,156.8794,1832.11,131
660000,2187.65,132,15.5329,-28143.025390625,156.9351,1823.25,132
665000,2186.36,133,15.6,-28316.66796875,156.6928,1878.19,133
670000,2170.74,134,15.5279,-28696.857421875,156.7387,1880.03,134
675000,2145.04,135,15.5217,-28769.78515625,156.8847,1849.89,135
680000,2199.51,136,15.7384,-29167.578125,156.8947,1874.64,136
685000,2210.54,137,15.4805,-29373.841796875,156.7272,1869.65,137
690000,2228.53,138,15.6899,-29741.087890625,156.7578,1880.41,138
695000,2241.19,139,15.7026,-29960.62109375,156.7508,1880.98,139
700000,2184.59,140,15.5982,-30382.876953125,156.8383,1864.63,140
705000,2221.8,141,15.9024,-30470.119140625,156.8504,1886.97,141
710000,2187.42,142,15.3522,-30753.97265625,156.9624,1852.05,142
715000,2182.87,143,15.5726,-31097.287109375,156.7923,1860.48,143
