Itration,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return
0,296.11,25.695,74.4938,-89.02
1,333.3,24.6487,72.7874,-63.8
2,587.96,27.3287,73.6745,-41.72
3,406.82,27.2165,73.0598,0.34
4,651.39,26.1571,69.8849,11.37
5,743.99,28.4115,70.5282,40.29
6,627.37,28.9441,71.8519,71.68
7,778.95,28.4636,68.3695,133.07
8,635.68,29.9839,69.8698,146.92
9,500.03,30.3224,71.7873,118.7
10,571.32,31.1637,71.6586,125.52
11,746.17,29.1597,67.437,190.27
12,631.98,31.1151,73.4217,146.33
13,622.18,30.593,72.6508,119.42
14,910.57,31.3162,71.3457,335.33
15,1064.63,29.571,67.1242,323.4
16,834.57,30.898,70.2037,157.84
17,594.32,27.2563,63.9444,327.95
18,957.18,28.4636,66.728,308.14
19,732.62,26.2836,63.6685,220.27
20,991.1,28.8406,66.3397,306.27
21,710.37,29.0141,65.4341,262.32
22,788.71,30.1575,69.0243,191.0
23,651.16,31.2264,68.7229,271.85
24,613.4,30.1859,68.16,338.14
25,820.28,29.8567,69.2835,332.14
26,555.75,27.9545,65.6753,310.85
27,933.48,28.5822,64.9173,476.55
28,993.69,29.6562,66.6113,444.36
29,887.89,29.1234,68.3256,413.87
30,849.92,26.2941,61.6853,346.45
31,1267.62,27.2332,63.3292,345.69
32,1793.76,24.7587,59.1428,802.86
33,971.88,27.7809,64.5025,588.57
34,1120.64,28.7013,65.4613,791.18
35,1398.95,27.0079,64.6977,557.9
36,1285.44,24.2938,61.7173,415.01
37,1104.92,26.5805,62.0214,484.03
38,1767.47,26.3625,63.8157,899.66
39,1883.17,31.4243,63.513,1374.76
40,1467.97,25.568,61.5902,771.36
41,1393.25,26.9028,65.4816,809.48
42,2404.6,31.7113,64.1748,1734.24
43,1640.63,26.7822,61.4862,571.3
44,2193.04,28.244,62.9365,1445.57
45,1872.17,26.9883,61.5396,1261.57
46,1835.19,29.6838,63.8176,1425.79
47,1824.67,25.1569,63.0132,1083.71
48,1346.92,25.8125,64.2123,464.79
49,2197.87,27.7455,59.591,1274.03
50,1193.54,26.6114,64.5153,940.19
51,1837.81,25.9841,60.6935,928.47
52,2201.59,26.7239,62.8594,1570.16
53,1762.04,26.5851,59.4388,1361.91
54,2137.55,36.1282,65.209,1871.28
55,2385.58,39.875,69.2013,2002.44
56,3181.57,38.2227,65.5355,2344.06
57,2875.82,34.7047,65.8724,1465.44
58,2870.55,40.4208,65.9364,1962.69
