Running Env Steps,Real Sto Return,Real Det Return,Reward Loss,Itration,Running Reverse KL,Running Update Time,Running Forward KL
0,213.67,205.46,176.43753051757812,0,36.7344,0,32.2063
5000,291.85,284.12,156.25997924804688,1,58.135,1,31.5126
10000,255.64,253.96,147.22264099121094,2,62.8262,2,31.6855
15000,322.08,318.07,88.9195327758789,3,68.2376,3,30.7208
20000,338.3,291.73,117.28899383544922,4,48.9044,4,28.2005
25000,348.28,339.82,89.09081268310547,5,39.3143,5,30.3833
30000,140.5,162.46,22.754974365234375,6,40.9084,6,27.0825
35000,42.76,43.97,-18.723756790161133,7,55.9334,7,38.8904
40000,134.03,134.61,-22.11060333251953,8,91.4335,8,35.9551
45000,1015.68,1014.46,-14.611303329467773,9,31.2117,9,37.1746
50000,154.45,154.31,37.49521255493164,10,17.9574,10,30.8159
55000,291.59,287.62,-28.919973373413086,11,56.6448,11,32.5378
60000,329.87,325.42,-16.27001953125,12,104.5844,12,31.4095
65000,433.21,398.32,-53.914955139160156,13,46.8654,13,29.108
70000,380.28,381.64,-106.35627746582031,14,96.1559,14,30.7826
75000,347.22,357.4,-105.6822738647461,15,152.6004,15,30.8135
80000,356.88,352.35,-127.23027038574219,16,97.5535,16,34.1349
85000,84.34,84.03,-153.64759826660156,17,104.4161,17,32.782
90000,277.27,277.22,-29.115333557128906,18,134.7031,18,31.536
95000,1030.99,1032.43,-103.98332214355469,19,28.4453,19,36.9543
100000,1048.32,1050.76,-106.89218139648438,20,23.6102,20,35.2314
105000,1060.06,1058.36,-122.33338165283203,21,27.6396,21,35.3442
110000,978.12,979.19,-127.32237243652344,22,34.1223,22,36.3527
115000,224.11,221.82,-110.71772766113281,23,33.4728,23,32.2528
120000,1052.12,1050.06,-152.81605529785156,24,35.8072,24,35.5771
125000,434.87,472.66,12.131929397583008,25,20.4178,25,28.1367
130000,285.33,284.62,-214.5867156982422,26,40.9049,26,33.9259
135000,189.81,189.18,-56.10492706298828,27,41.1595,27,32.3618
140000,400.02,426.24,-52.436485290527344,28,22.9923,28,29.9308
145000,1019.49,1044.66,-189.12599182128906,29,24.5779,29,33.478
150000,1050.67,1050.08,-202.91258239746094,30,37.9821,30,33.119
155000,1040.41,1040.08,-200.0916748046875,31,24.5262,31,34.4167
160000,1059.34,1059.6,-185.40460205078125,32,24.3029,32,33.4247
165000,946.95,574.31,-214.8444061279297,33,42.4776,33,33.2394
170000,1035.92,1035.57,-222.99366760253906,34,44.2324,34,33.819
175000,564.48,632.89,-222.08721923828125,35,23.6027,35,31.4597
180000,974.87,1008.43,-245.8280029296875,36,20.5982,36,32.2148
185000,1041.61,1032.03,-263.5971374511719,37,24.9207,37,35.326
190000,1034.99,1040.37,-278.3645324707031,38,30.009,38,35.4171
195000,1005.6,1037.33,-281.1769104003906,39,21.8336,39,32.9759
200000,1033.3,1036.02,-302.6387939453125,40,26.7794,40,36.1111
205000,998.8,999.73,-313.4718017578125,41,50.663,41,37.7756
210000,1005.1,1005.87,-326.0997314453125,42,49.8519,42,39.162
215000,1026.84,1027.14,-338.2057800292969,43,38.9227,43,38.1825
220000,1073.11,1074.03,-346.70477294921875,44,32.6238,44,38.0075
225000,188.59,197.05,-304.555908203125,45,63.581,45,30.9301
230000,536.97,550.17,-315.69732666015625,46,27.3665,46,31.6519
235000,218.5,286.0,-323.56243896484375,47,22.7853,47,30.831
240000,892.65,843.04,-379.3732604980469,48,34.491,48,33.1268
245000,1053.32,1053.92,-397.5364074707031,49,43.3698,49,37.8603
250000,898.69,991.71,-402.910400390625,50,24.7741,50,32.8756
255000,1056.16,1052.62,-423.73663330078125,51,32.4983,51,39.8786
260000,1052.58,1051.91,-431.7640686035156,52,32.8215,52,37.4893
265000,465.72,438.38,-412.892333984375,53,25.3579,53,31.5392
270000,309.95,250.98,-378.87542724609375,54,18.1511,54,30.4846
275000,266.24,227.77,-460.5091247558594,55,21.7695,55,31.7829
280000,169.6,170.31,-385.6436767578125,56,42.3951,56,32.0983
285000,178.47,178.92,-544.07861328125,57,46.1707,57,31.8191
