Real Det Return,Itration,Real Sto Return,Running Forward KL,Running Reverse KL
251.41,0,255.23,37.3439,22.8687
354.41,1,350.86,37.4226,30.2155
399.78,2,392.11,36.9898,32.3784
380.94,3,401.43,36.3302,36.1913
454.21,4,441.14,36.6872,39.1023
455.85,5,449.21,36.0578,38.163
586.2,6,574.22,34.5917,25.0507
680.62,7,636.06,34.2264,29.8495
709.72,8,704.94,31.4608,31.6665
282.67,9,722.56,31.6549,35.6006
677.97,10,644.97,33.5931,41.8332
658.53,11,643.9,33.3741,35.5654
715.26,12,730.11,33.4432,26.2131
866.4,13,883.23,31.3317,22.4805
2130.74,14,1682.0,29.4875,20.5051
965.85,15,931.03,30.0154,23.7071
1111.06,16,1064.08,31.0498,18.2687
2848.08,17,1919.22,30.3429,18.2157
1376.83,18,1319.02,29.9482,20.1834
1245.06,19,1249.78,29.4136,17.5984
2411.31,20,2252.47,29.6614,19.3082
1604.43,21,1269.01,29.6071,24.2228
1431.66,22,1299.87,29.6688,23.6686
1687.85,23,1375.34,28.6027,20.9014
2024.31,24,2346.0,28.9659,11.74
2993.36,25,1666.19,28.9518,11.9255
2594.88,26,2282.4,29.229,11.9334
991.47,27,1807.25,30.2158,14.5156
1936.29,28,1593.06,30.3803,13.0435
3000.97,29,2498.0,29.2523,12.1639
1559.94,30,2440.22,29.0487,12.3057
1095.45,31,2854.91,29.179,12.6064
1788.6,32,2556.23,29.1353,12.9328
3083.17,33,2529.68,28.8198,12.5113
3037.52,34,3097.19,28.9822,13.8192
3127.94,35,3211.22,28.2419,12.9367
3192.05,36,2516.52,28.5801,13.1921
3134.95,37,3178.97,29.1368,13.6199
3266.19,38,1890.09,28.1051,14.7093
3173.58,39,2418.02,27.8626,12.5498
3201.06,40,2894.81,27.769,12.3951
3176.22,41,3153.05,28.9363,12.9727
3147.4,42,3165.85,28.4338,12.6314
3151.75,43,3200.03,27.7262,13.2581
3186.26,44,3115.55,26.9487,12.17
3238.77,45,3031.91,27.3985,12.4211
3225.08,46,3226.0,27.1418,12.7234
3216.7,47,3179.94,26.703,12.5975
3218.03,48,3227.38,27.0043,11.7656
3203.63,49,3238.29,27.0321,11.874
3264.05,50,3194.88,26.521,11.2699
3231.21,51,3031.4,27.8594,12.632
3293.41,52,3044.94,26.7765,11.5103
3185.66,53,3204.8,27.0161,12.6334
3232.8,54,3140.23,26.511,12.595
3162.9,55,3153.14,26.573,11.6908
3150.16,56,3185.24,27.6627,12.9427
3241.8,57,3261.4,26.0245,12.6141
3242.74,58,3256.7,26.5866,12.1837
3276.76,59,3283.71,26.326,11.9649
3271.39,60,3278.4,25.8847,11.7256
3335.71,61,3146.34,26.1638,10.9167
3207.53,62,3196.01,26.8151,12.4795
3269.88,63,3284.97,25.8228,12.5106
3049.88,64,2928.8,28.4001,13.3862
3300.63,65,3294.4,25.38,12.5583
3320.06,66,3295.64,24.6689,10.8992
3258.96,67,3282.04,25.6247,11.4556
3262.59,68,3262.49,26.1113,11.7862
3322.85,69,3315.12,25.0388,11.0511
3302.17,70,3130.21,25.0834,11.0089
3349.35,71,3260.44,24.857,11.7244
3292.39,72,3292.39,25.7207,11.7018
3320.52,73,3307.47,25.3591,11.4413
3326.3,74,3311.45,25.5679,11.827
3337.94,75,3347.89,24.9424,10.9978
3252.33,76,3185.96,26.0645,11.6245
3326.71,77,3308.15,24.8572,10.9826
3344.15,78,3309.92,25.9911,10.8628
3257.7,79,3275.8,25.4282,12.2121
3332.82,80,3335.5,24.956,11.3737
3299.32,81,3307.67,25.7433,11.1642
3376.92,82,3336.04,25.442,11.1974
3332.59,83,3334.36,24.9344,11.2941
3333.78,84,3339.61,25.4091,11.2172
3319.51,85,3313.61,24.4925,11.3339
3321.99,86,3319.98,25.2233,12.2823
3326.49,87,3326.85,24.1676,10.2537
3340.86,88,3246.89,24.4317,10.8482
3305.81,89,3318.01,24.5016,11.2293
3339.0,90,3319.97,24.199,10.9601
3360.23,91,3341.39,24.3879,11.3366
3326.6,92,3319.91,24.5078,11.1296
3350.77,93,3346.04,23.6979,10.1129
3333.68,94,3332.57,24.1668,10.5907
3322.71,95,3295.22,24.5016,11.5147
3349.67,96,3158.52,25.7407,13.0852
3330.59,97,3305.47,25.3492,11.4543
3341.39,98,3312.63,25.7532,10.3791
3383.97,99,3372.06,24.5425,10.5863
3330.5,100,3273.76,24.7864,11.2735
3337.47,101,3313.85,24.6824,10.6662
3377.1,102,3368.54,24.4803,10.6566
3346.01,103,3340.1,24.8479,10.5575
3366.07,104,3351.68,24.3725,10.8179
3351.18,105,3311.53,25.2868,11.0429
3378.83,106,3359.69,24.2111,10.4419
3388.73,107,3366.66,24.549,11.3343
3382.79,108,3368.14,24.1053,10.7757
3371.5,109,3358.55,24.7667,11.2927
3400.16,110,3264.05,24.3137,10.1649
3385.08,111,3355.59,24.8793,10.4189
3337.76,112,3336.18,24.5427,10.7533
3384.18,113,3355.29,24.3862,10.7831
3372.73,114,3352.19,24.1365,10.4216
3392.9,115,3339.61,24.4381,10.3293
3397.34,116,3388.94,24.3201,10.4144
3411.15,117,3395.56,23.9429,10.5391
3422.55,118,3397.17,24.0092,10.8542
3326.81,119,3307.91,24.6523,10.4639
3376.08,120,3331.51,23.5708,10.0001
3401.13,121,3371.25,23.9431,10.414
3426.36,122,3396.6,23.5278,9.8297
3423.13,123,3403.98,23.9911,10.6311
3390.87,124,3218.85,24.6758,11.1134
3363.24,125,3342.54,24.6727,10.6481
3394.38,126,1528.4,24.7734,11.5377
3384.45,127,3354.11,24.1713,10.0577
3420.55,128,3274.92,24.5408,10.4554
3425.87,129,3387.15,24.1943,10.7091
3438.92,130,3411.52,24.1374,10.1326
3447.69,131,3413.55,23.6796,9.8192
3439.26,132,3414.08,23.4241,9.7409
3467.12,133,3386.17,23.9458,9.7547
3431.6,134,3398.78,23.7054,9.9491
3423.29,135,3396.44,23.6782,10.2672
3414.71,136,3322.75,23.6033,9.6638
3412.59,137,3395.1,24.2062,10.3936
3418.49,138,3399.64,24.3029,10.3236
3417.42,139,3397.08,23.1827,9.9636
3414.29,140,3398.93,23.6807,10.2302
3414.81,141,3374.59,23.7015,9.8644
3438.14,142,3331.86,23.6444,10.1118
3439.01,143,3295.82,23.0853,11.6415
3411.34,144,3385.71,23.5941,9.7418
3440.97,145,3411.84,24.0277,10.0552
3450.35,146,3427.22,24.2672,10.3465
3481.14,147,3457.43,23.5441,10.0507
3460.81,148,3439.62,22.9713,9.6395
3414.75,149,3387.34,23.6951,10.1262
3478.77,150,3456.43,23.6608,10.6961
3402.35,151,3153.07,23.3841,9.8086
