Running Update Time,Running Env Steps,Running Reverse KL,Itration,Real Det Return,Real Sto Return,Running Forward KL,Reward Loss
0,0,11.6123,0,37.54,-172.12,158.5095,158.67950439453125
1,5000,11.1697,1,-15.88,-165.69,158.2803,-24.957523345947266
2,10000,10.9716,2,202.81,-52.56,158.111,-83.85982513427734
3,15000,11.0802,3,369.29,97.67,157.7184,57.822845458984375
4,20000,11.1776,4,554.53,171.13,157.682,-213.02450561523438
5,25000,11.1072,5,724.08,290.1,157.3468,-392.57025146484375
6,30000,11.5781,6,745.14,366.83,157.4742,-501.3182067871094
7,35000,11.4527,7,666.47,432.78,157.1569,-649.9545288085938
8,40000,12.2691,8,240.93,437.79,157.2945,-890.1990966796875
9,45000,11.6518,9,870.89,636.22,157.2865,-969.6788940429688
10,50000,11.7635,10,994.42,690.7,157.2068,-1125.23095703125
11,55000,12.2548,11,1159.89,710.71,157.1589,-1264.029541015625
12,60000,12.9648,12,1303.9,904.49,157.1049,-1272.383056640625
13,65000,13.1387,13,1304.76,931.15,157.0611,-1438.529541015625
14,70000,13.4469,14,1400.06,1009.25,157.0812,-1598.7685546875
15,75000,13.77,15,1501.35,1052.99,157.0277,-1687.5255126953125
16,80000,13.8169,16,1580.92,1129.78,156.9756,-1756.3553466796875
17,85000,13.9067,17,1605.87,1155.5,157.1135,-2060.69873046875
18,90000,14.2305,18,1638.23,1179.44,157.1091,-2136.773681640625
19,95000,14.26,19,1636.88,1197.32,157.1047,-2339.515869140625
20,100000,14.3316,20,1678.22,1232.21,157.1508,-2615.224853515625
21,105000,14.5021,21,1769.5,1333.84,157.041,-2729.56640625
22,110000,14.3879,22,1789.21,1332.65,157.0987,-2890.943603515625
23,115000,14.6859,23,1861.35,1422.98,156.8778,-3049.481201171875
24,120000,14.8715,24,1862.31,1450.89,156.9562,-3297.896728515625
25,125000,14.913,25,1880.7,1478.78,156.907,-3346.024169921875
26,130000,14.7658,26,1909.61,1517.85,156.9507,-3683.724609375
27,135000,15.0689,27,1890.22,1504.4,157.0426,-3792.395263671875
28,140000,15.0908,28,1967.1,1566.68,156.9934,-4039.26953125
29,145000,15.175,29,1960.27,1624.89,156.8496,-4052.383056640625
30,150000,15.1987,30,1987.25,1602.1,156.8645,-4440.08740234375
31,155000,15.1857,31,1925.45,1587.55,156.8949,-4559.171875
32,160000,15.0239,32,1995.43,1610.05,156.9089,-4757.439453125
33,165000,15.0798,33,2002.62,1623.78,156.8549,-4915.7744140625
34,170000,15.0752,34,2046.21,1653.69,156.8445,-5059.97216796875
35,175000,15.2655,35,2018.53,1641.11,156.9148,-5241.83056640625
36,180000,15.1221,36,2053.49,1669.62,156.9043,-5425.6796875
37,185000,15.4332,37,2049.9,1675.8,156.973,-5590.3271484375
38,190000,15.2324,38,2091.98,1663.49,156.7581,-5784.0654296875
39,195000,15.1439,39,2082.66,1666.07,156.9611,-6057.69677734375
40,200000,15.0436,40,2015.61,1676.35,156.8022,-6214.2509765625
41,205000,14.953,41,2043.41,1689.4,156.8086,-6362.4248046875
42,210000,15.1654,42,2012.05,1658.93,156.8783,-6626.33642578125
43,215000,15.358,43,2078.33,1674.7,156.7238,-6731.47021484375
44,220000,15.3433,44,2079.57,1727.3,156.7853,-6918.68994140625
45,225000,15.1823,45,2090.39,1699.47,156.9197,-7061.158203125
46,230000,15.1745,46,2078.14,1727.69,156.8025,-7258.58740234375
47,235000,15.1186,47,2076.2,1710.96,157.1541,-7545.34912109375
48,240000,15.067,48,2085.86,1722.66,156.7642,-7540.146484375
