Running Env Steps,Itration,Running Update Time,Running Forward KL,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL
0,0,0,31.6745,279.91,371.0194396972656,265.39,22.9237
5000,1,1,30.8762,279.81,254.75526428222656,277.81,44.5166
10000,2,2,31.074,283.97,316.0149230957031,290.43,55.4549
15000,3,3,31.0491,230.26,77.23943328857422,254.67,40.6133
20000,4,4,30.5613,314.0,122.08477783203125,308.19,62.285
25000,5,5,30.7707,302.21,35.79814147949219,327.93,58.4673
30000,6,6,30.3709,404.49,-104.41128540039062,383.15,46.411
35000,7,7,27.8592,571.97,38.725067138671875,518.02,70.2172
40000,8,8,24.8741,946.96,-59.37139129638672,1063.66,47.1559
45000,9,9,25.8646,1341.86,-96.31166076660156,1003.92,62.8938
50000,10,10,25.2625,756.71,-65.64875030517578,814.09,87.3619
55000,11,11,24.5265,1340.65,-151.38133239746094,1136.64,58.1759
60000,12,12,25.0509,1167.02,-176.4185791015625,984.89,62.4002
65000,13,13,25.0591,1141.1,-80.44872283935547,1008.32,102.7572
70000,14,14,25.3036,1105.41,-262.0936279296875,928.25,64.1123
75000,15,15,25.5831,1180.73,-243.47976684570312,1031.28,68.13
80000,16,16,24.228,2530.52,-279.8376159667969,1711.8,42.5608
85000,17,17,24.0318,1853.11,-370.4042053222656,1994.98,26.7218
90000,18,18,25.1496,1805.13,-466.72406005859375,1604.48,36.9127
95000,19,19,25.5175,2231.87,-538.0344848632812,1188.3,38.4919
100000,20,20,25.706,911.16,-507.72674560546875,961.17,42.2704
105000,21,21,27.3356,902.88,-672.2645874023438,860.89,50.6206
110000,22,22,26.6362,932.43,-545.4058227539062,940.43,22.5161
115000,23,23,25.6056,1090.89,-531.9282836914062,1106.07,21.5067
120000,24,24,25.7349,904.65,-283.73431396484375,921.99,14.1741
125000,25,25,25.5417,983.4,-471.0010070800781,1010.04,19.3105
130000,26,26,25.6552,1094.5,-664.1190185546875,1102.14,18.0878
135000,27,27,24.9698,1408.95,-609.6983642578125,1572.24,16.8768
140000,28,28,23.5765,3143.66,-356.2884826660156,2390.99,15.7404
145000,29,29,23.5231,3178.22,-289.21441650390625,3043.26,16.1205
150000,30,30,24.1555,3241.28,-596.5230102539062,1885.31,17.8776
155000,31,31,24.6491,3008.36,-577.941650390625,1767.54,15.4707
160000,32,32,25.2791,2990.9,-724.6837158203125,1617.31,17.8901
165000,33,33,24.4298,3181.86,-574.0625610351562,1733.62,15.6963
170000,34,34,23.5059,3207.77,-421.69488525390625,2726.01,14.8072
175000,35,35,24.8411,1381.06,-614.3474731445312,1570.89,14.993
180000,36,36,23.6572,3217.13,-293.928466796875,2428.76,15.7555
185000,37,37,24.2328,1449.03,-644.61376953125,1756.15,14.6529
190000,38,38,24.6752,3218.73,-583.5381469726562,2226.17,14.6593
195000,39,39,23.4133,3193.22,-381.91192626953125,1778.49,13.483
200000,40,40,24.4735,3262.61,-471.937744140625,1799.05,13.491
205000,41,41,22.9656,3174.4,-357.6837158203125,2193.9,14.9255
210000,42,42,24.4202,1203.01,-650.6016845703125,1810.12,13.9918
215000,43,43,24.1477,1541.46,-484.4599914550781,1773.35,12.7627
220000,44,44,23.0803,3250.18,-609.0682373046875,2788.77,17.1998
225000,45,45,23.9696,3236.5,-375.0151672363281,3240.42,17.178
230000,46,46,23.1638,3235.12,-552.9591674804688,2933.68,14.5685
235000,47,47,22.7207,3225.84,-387.639892578125,3133.34,15.9629
240000,48,48,24.1663,1216.3,-928.5142822265625,1706.65,17.3911
245000,49,49,23.2706,3204.42,-561.9096069335938,2410.39,15.5667
250000,50,50,22.9821,3258.48,-492.3774719238281,2543.46,16.3697
255000,51,51,22.771,3202.56,-643.0889892578125,2784.64,17.2145
260000,52,52,24.203,1444.39,-815.4650268554688,1930.14,14.9651
265000,53,53,24.0865,1713.76,-509.24267578125,2761.52,16.2195
270000,54,54,23.4655,3273.26,-598.1980590820312,2580.62,16.2941
275000,55,55,24.9266,1155.9,-846.188720703125,1222.83,13.445
280000,56,56,23.0686,3174.05,-675.8013305664062,2443.03,13.4259
285000,57,57,23.1176,3225.93,-425.35833740234375,3126.69,16.878
290000,58,58,23.0185,3223.66,-811.3229370117188,1904.33,14.7638
295000,59,59,24.0263,3212.17,-473.93316650390625,3144.16,16.9931
300000,60,60,23.3593,1518.5,-985.3043823242188,1636.55,16.0673
305000,61,61,22.4983,3222.9,-448.5240173339844,3192.51,16.054
310000,62,62,22.9555,3203.73,-712.8319702148438,2662.08,15.2383
315000,63,63,23.1524,3234.57,-624.22705078125,2280.76,18.2346
320000,64,64,23.6228,3270.82,-948.9141235351562,3081.43,19.5612
325000,65,65,22.8367,3136.07,-677.73486328125,2822.61,17.0872
330000,66,66,23.2259,3221.98,-695.8278198242188,2009.53,13.551
335000,67,67,22.6735,2929.28,-991.6398315429688,2257.62,15.8386
340000,68,68,24.0691,1302.82,-1026.4266357421875,1700.27,13.9531
345000,69,69,23.0516,1705.75,-856.1917724609375,1970.93,14.8374
350000,70,70,23.6409,3267.63,-999.2232055664062,2344.86,16.8987
355000,71,71,24.5876,3260.68,-982.3455810546875,2006.53,13.2917
360000,72,72,22.8602,3257.14,-697.966064453125,3078.57,16.3204
