Running Forward KL,Real Det Return,Itration,Running Reverse KL,Real Sto Return
49.285,322.96,0,13.7567,329.3
49.6487,425.43,1,15.8626,277.78
49.5035,396.9,2,19.2316,379.45
49.2486,495.41,3,13.9581,459.02
49.2399,513.76,4,20.2454,569.37
48.8817,430.94,5,14.1695,464.77
48.9931,482.68,6,16.9817,470.75
48.6823,536.58,7,14.6159,533.84
54.2811,-4.6,8,28.0801,-0.86
49.5352,423.83,9,14.5904,453.7
49.951,365.61,10,18.3375,321.35
54.165,124.45,11,63.768,112.98
48.7731,307.06,12,28.3741,372.39
50.6199,556.54,13,16.672,470.41
50.7538,444.61,14,56.3251,442.16
49.0586,541.99,15,21.0811,517.85
54.7211,128.42,16,31.387,71.11
50.4001,790.17,17,24.6487,695.6
49.9806,387.94,18,19.9662,363.12
50.8407,1305.28,19,23.2237,1103.77
48.7243,813.57,20,17.3335,629.49
50.3003,582.44,21,18.3371,682.59
52.099,1268.59,22,27.4661,1148.43
51.1401,1067.19,23,20.3349,989.44
50.5887,493.89,24,13.9738,541.48
49.8591,890.54,25,19.817,934.7
49.8828,1036.83,26,17.7401,1002.64
49.9503,1185.13,27,20.399,1006.65
50.0795,581.55,28,20.3855,314.8
54.1043,1060.21,29,38.1838,1023.6
55.0545,1049.61,30,44.6212,1052.93
50.9194,126.76,31,49.1576,116.37
52.4324,-46.84,32,23.9203,-10.55
51.5413,1041.0,33,28.5165,1029.87
56.4064,1009.96,34,55.2008,1006.93
52.6623,309.72,35,32.584,108.27
53.6555,-0.24,36,185.9402,115.62
54.6635,-10.55,37,58.3619,-9.86
53.4403,415.98,38,50.4339,365.62
52.0883,121.35,39,24.3976,350.18
55.7476,922.5,40,39.1483,829.64
54.271,1045.07,41,37.1952,1041.01
53.3409,126.32,42,32.0039,227.49
51.1071,452.32,43,63.2432,457.67
52.3143,322.52,44,43.4324,226.46
51.7305,504.04,45,54.8455,503.29
50.8965,985.62,46,34.0373,896.63
50.6584,509.48,47,45.8202,303.34
50.7425,419.53,48,34.838,273.37
52.3006,42.97,49,48.9942,45.92
52.183,236.52,50,30.61,87.4
52.1639,29.45,51,42.2738,30.6
57.4392,995.49,52,50.8574,995.15
57.0262,996.61,53,53.9381,947.74
52.2178,36.38,54,58.0464,29.64
55.668,1014.01,55,54.0735,1014.25
55.2753,1014.66,56,53.1937,1012.98
55.6286,1010.85,57,46.6002,1007.44
54.0786,1017.79,58,26.1898,1018.5
55.4398,1005.23,59,43.685,1003.06
53.6681,1061.64,60,34.6222,1042.01
50.8053,700.13,61,22.1972,599.02
53.9565,63.62,62,58.4586,83.26
53.0183,347.1,63,64.2463,374.47
52.1559,429.56,64,52.3228,444.83
56.9366,-18.71,65,56.6919,-18.26
50.455,219.51,66,26.8049,198.5
55.6568,1019.53,67,59.2047,1019.75
56.7361,1012.12,68,52.1403,1011.53
56.7225,1012.07,69,49.632,1011.81
56.6872,998.68,70,47.258,992.56
56.0024,105.43,71,48.1805,94.73
53.2145,402.85,72,55.6056,433.92
50.4624,368.61,73,32.1409,354.07
55.9156,198.1,74,56.4478,261.78
52.1316,1092.43,75,35.8572,925.92
55.1356,313.83,76,68.3049,461.5
51.1501,1066.68,77,38.1928,803.77
55.7726,1053.71,78,49.8241,1061.99
53.3392,1037.44,79,33.7167,1128.4
55.9307,1018.41,80,46.3954,1019.17
52.081,1374.03,81,31.1684,1252.66
56.0817,1017.09,82,43.7868,1017.6
57.4872,999.64,83,53.7834,998.98
49.7469,97.31,84,25.1822,131.38
57.2617,1028.75,85,55.7261,1028.6
56.2254,1022.13,86,49.895,1021.36
56.0339,984.83,87,48.7765,982.25
54.0338,159.14,88,89.1474,168.66
55.9094,-9.88,89,114.6116,-10.88
57.9706,-29.11,90,90.8296,-27.92
55.8212,1005.46,91,45.4223,1011.22
50.9424,737.02,92,38.6297,647.86
50.879,431.42,93,60.626,442.83
51.3899,390.05,94,66.7226,387.58
51.1761,341.89,95,46.4984,356.47
50.1368,700.78,96,45.9336,376.67
56.304,1020.17,97,45.5649,1020.67
54.3042,147.42,98,56.021,169.62
55.6965,1023.41,99,47.6954,883.88
51.4523,1157.1,100,23.917,1137.59
52.0689,1086.32,101,19.4949,1139.14
52.1621,1102.42,102,19.0508,1159.63
51.3365,1271.9,103,16.0387,1221.33
52.8493,1029.03,104,27.3258,1052.98
50.6493,1032.29,105,14.5976,895.8
51.3555,1041.43,106,15.3264,1166.66
52.1583,682.1,107,24.6272,527.58
50.1377,1057.47,108,14.2269,847.0
50.3176,970.76,109,15.1368,707.23
49.4966,463.87,110,17.0403,454.32
49.5444,537.61,111,21.8888,455.83
49.9284,596.81,112,16.4778,452.32
49.8858,592.74,113,20.4808,548.9
48.8813,420.85,114,22.3332,370.48
48.1362,1736.13,115,15.0145,578.46
48.6281,696.66,116,14.1296,436.67
48.635,469.37,117,15.8277,477.23
49.4059,609.28,118,15.2894,402.55
49.126,845.04,119,14.98,426.37
48.4287,1427.39,120,14.4259,682.9
49.5454,475.57,121,17.2501,430.91
48.2625,1370.97,122,13.5967,794.14
49.0993,889.15,123,13.4961,530.26
48.458,532.54,124,13.7455,680.72
48.9478,1443.96,125,14.1067,828.92
48.578,1200.63,126,12.6834,999.29
49.023,395.1,127,18.7611,536.46
48.2608,1079.93,128,13.3123,885.15
