Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL,Running Update Time,Running Forward KL,Running Env Steps,Itration
176.43,273.64349365234375,188.35,21.0717,0,38.0915,0,0
263.1,197.73431396484375,279.71,18.206,1,34.0608,5000,1
840.17,167.59957885742188,716.12,22.4463,2,33.552,10000,2
283.92,194.09938049316406,277.52,25.4056,3,36.0245,15000,3
353.1,130.90174865722656,349.55,18.0033,4,35.0806,20000,4
543.9,194.6139373779297,520.87,165.9868,5,31.5494,25000,5
797.72,151.74588012695312,743.89,137.4162,6,31.9526,30000,6
711.55,84.171630859375,717.74,18.5788,7,30.3367,35000,7
727.51,138.814453125,737.12,114.9888,8,31.1431,40000,8
780.09,100.55636596679688,708.02,73.3174,9,30.4445,45000,9
857.07,112.87310791015625,844.32,106.9207,10,29.4257,50000,10
1641.0,79.1755142211914,1038.5,70.6784,11,28.6971,55000,11
893.27,78.83818054199219,1063.94,26.6555,12,28.1798,60000,12
1055.76,67.46253204345703,1404.55,72.1379,13,28.4498,65000,13
1647.53,48.94560241699219,1449.58,57.7374,14,27.4741,70000,14
878.46,67.93021392822266,1232.34,48.0408,15,29.0429,75000,15
2099.64,61.879661560058594,1519.15,40.2614,16,28.5328,80000,16
968.78,59.72096633911133,1389.5,96.5734,17,29.408,85000,17
921.59,59.453277587890625,1235.94,30.2954,18,28.9227,90000,18
835.62,47.56266784667969,1253.34,69.0145,19,29.4798,95000,19
848.17,30.959766387939453,1406.29,142.092,20,30.3225,100000,20
885.15,-3.598632335662842,1058.43,100.2297,21,29.7717,105000,21
853.47,-0.5290331244468689,1626.42,57.377,22,29.0169,110000,22
986.39,2.566589593887329,1540.22,44.3651,23,27.9425,115000,23
2624.59,3.1471545696258545,1770.98,18.3383,24,27.0975,120000,24
