Itration,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Real Det Return
0,262.0538,0,0,323.21,-365.1639099121094,440.0925,311.47
1,309.0048,5000,1,333.82,-2366.05859375,430.6531,340.68
2,277.9586,10000,2,346.49,-1044.7237548828125,418.1375,241.07
3,277.7189,15000,3,356.11,-623.3671875,422.7883,274.39
4,290.7968,20000,4,401.6,-638.7759399414062,399.6296,380.6
5,252.9532,25000,5,397.87,-2101.728759765625,404.922,409.24
6,287.7218,30000,6,351.66,-3425.698486328125,399.4133,367.98
7,305.2032,35000,7,366.2,-3667.915771484375,403.2768,345.61
8,296.1281,40000,8,407.4,-4426.47216796875,395.8078,415.92
9,250.6653,45000,9,488.97,-3073.6064453125,394.795,593.13
10,252.9642,50000,10,533.02,-3454.74755859375,421.9633,563.29
11,261.5942,55000,11,465.56,-4409.205078125,398.7549,564.14
12,267.5265,60000,12,455.84,-4227.98486328125,396.2931,436.83
13,267.4746,65000,13,504.22,-4095.4208984375,386.2803,517.79
14,277.9775,70000,14,611.6,-4441.25830078125,373.7949,635.35
15,259.952,75000,15,534.1,-3180.976318359375,370.7673,666.93
16,281.6359,80000,16,543.69,-3540.482421875,378.0968,593.45
17,272.3409,85000,17,578.23,-3526.06689453125,381.9775,500.63
18,268.9269,90000,18,540.92,-4090.20703125,383.9021,500.7
19,255.3682,95000,19,633.61,-4886.28955078125,368.8924,592.72
20,282.4664,100000,20,532.35,-6074.6689453125,380.9938,612.55
21,270.0015,105000,21,582.47,-6040.83837890625,368.1485,595.77
22,317.9396,110000,22,495.77,-6963.71875,389.354,533.32
23,276.8725,115000,23,572.93,-6510.79296875,367.6869,810.36
24,261.7832,120000,24,624.51,-6612.5498046875,363.3475,739.16
25,259.363,125000,25,551.21,-5268.70703125,374.2877,526.3
26,230.6587,130000,26,668.39,-5308.3212890625,362.1079,885.64
27,248.5269,135000,27,577.28,-6268.50634765625,357.4255,557.09
28,259.6882,140000,28,685.84,-6521.5419921875,356.3349,662.58
29,255.9613,145000,29,755.89,-5089.28466796875,380.1764,659.4
30,250.4837,150000,30,704.59,-5533.84130859375,376.2832,887.28
31,227.1027,155000,31,791.67,-5488.63330078125,363.2209,526.0
32,239.9126,160000,32,625.68,-6350.28515625,359.2141,632.74
33,251.5327,165000,33,853.23,-7724.78173828125,343.8203,706.5
34,361.9445,170000,34,809.67,-8250.876953125,361.4098,661.24
35,335.1741,175000,35,751.13,-7556.12841796875,375.8872,684.99
36,292.7657,180000,36,836.19,-7865.05517578125,364.6202,709.97
37,268.1548,185000,37,1141.7,-6058.45166015625,358.429,910.26
38,271.741,190000,38,934.08,-7612.5751953125,351.7883,765.14
39,439.5176,195000,39,991.16,-7495.3701171875,342.0003,992.48
40,399.3357,200000,40,751.15,-9244.5947265625,352.064,981.37
41,372.5906,205000,41,1023.61,-8867.044921875,338.6208,1164.2
42,245.0959,210000,42,1061.36,-7366.7294921875,332.6932,1110.85
43,288.6246,215000,43,772.61,-9126.06640625,336.2581,850.15
44,297.503,220000,44,1108.92,-8693.236328125,334.5287,973.91
45,270.5767,225000,45,1015.58,-8652.0,360.6078,1045.08
46,245.7325,230000,46,891.96,-8978.892578125,336.3022,1025.43
47,233.2497,235000,47,1196.77,-8378.9091796875,327.5479,1221.36
48,214.1567,240000,48,1019.36,-8001.30859375,332.5837,1101.6
49,220.0121,245000,49,1174.32,-7981.9033203125,336.3309,848.42
50,269.6424,250000,50,775.74,-9913.076171875,347.1446,731.28
51,200.3702,255000,51,1543.43,-8034.07861328125,333.4138,821.63
52,190.3448,260000,52,2248.18,-7439.826171875,321.4912,1186.17
53,228.6751,265000,53,2098.85,-8517.556640625,346.5906,1137.82
54,228.3981,270000,54,1274.56,-9432.72265625,326.9793,979.73
55,208.3895,275000,55,2053.45,-8136.873046875,327.4759,1650.46
56,268.991,280000,56,1322.1,-11106.9638671875,335.0744,1186.18
57,209.4853,285000,57,1490.28,-8965.513671875,326.1932,1099.15
58,241.0404,290000,58,1672.01,-10409.2197265625,322.4558,1642.99
59,248.8838,295000,59,1279.78,-10817.6953125,329.7507,1327.05
60,261.2827,300000,60,2216.5,-11326.7919921875,319.601,1288.23
61,205.1411,305000,61,2324.63,-8920.486328125,296.6532,3585.66
62,161.032,310000,62,1909.27,-7600.14404296875,299.4908,1426.45
63,196.1846,315000,63,2496.01,-8640.9150390625,299.5088,1910.9
64,175.203,320000,64,2182.45,-7690.23974609375,312.3725,1114.4
65,226.7355,325000,65,2168.28,-9748.037109375,322.3126,1866.12
66,287.917,330000,66,1616.56,-12169.7177734375,323.3056,1626.49
67,182.5943,335000,67,2169.76,-7898.81787109375,319.3354,2424.07
68,146.9864,340000,68,3380.39,-6283.3583984375,304.718,1659.84
69,238.0435,345000,69,1594.85,-10720.712890625,330.6329,1971.55
70,227.9921,350000,70,2272.03,-10561.33984375,307.8216,1586.35
71,166.3803,355000,71,3605.79,-8552.7607421875,297.4389,3386.21
72,202.1256,360000,72,2326.79,-9622.8818359375,306.586,1287.36
73,239.9756,365000,73,1660.99,-11751.5400390625,327.3681,1976.06
74,241.9215,370000,74,2045.25,-11232.978515625,324.4849,924.7
75,170.0169,375000,75,3304.89,-9133.15234375,307.4314,1642.82
76,265.314,380000,76,2152.93,-11719.28515625,309.053,2063.75
77,119.8609,385000,77,3913.51,-6738.4404296875,288.6022,2554.93
78,146.4557,390000,78,4189.99,-7155.82958984375,309.3622,3601.94
79,131.6644,395000,79,4023.86,-6023.0703125,300.5011,3060.33
80,98.7539,400000,80,4641.53,-3751.1982421875,293.5815,3082.8
81,151.5547,405000,81,3139.99,-7273.1220703125,312.8984,3533.75
82,146.0345,410000,82,3747.9,-7622.89453125,283.9377,1302.37
83,217.3969,415000,83,3027.76,-10676.7587890625,307.9329,3621.2
84,157.6506,420000,84,2704.8,-8066.88427734375,273.8827,754.54
85,82.0669,425000,85,4345.92,-4429.7236328125,283.1611,1527.39
86,90.6495,430000,86,3982.72,-5758.955078125,275.9231,4486.29
87,153.6068,435000,87,4154.32,-8602.9365234375,307.3412,2135.8
88,122.4123,440000,88,3743.28,-7479.75732421875,288.3786,2592.16
89,113.3002,445000,89,3860.93,-7154.2109375,289.2942,2196.12
90,122.7168,450000,90,3674.04,-7290.84716796875,282.9128,1389.76
91,218.8968,455000,91,1679.72,-10856.8134765625,304.4128,1004.29
92,158.3069,460000,92,3116.73,-8858.798828125,277.3633,1658.52
93,149.7715,465000,93,2898.66,-9352.6220703125,297.7001,1715.07
94,201.1072,470000,94,1706.66,-9944.458984375,286.5223,1139.49
95,100.1318,475000,95,4403.47,-6726.90673828125,288.3616,2570.07
96,114.4665,480000,96,4598.88,-8051.82861328125,289.2106,3511.66
97,120.037,485000,97,3776.31,-8558.9404296875,279.9553,2315.23
98,87.3585,490000,98,4975.24,-7142.40625,289.2376,4441.98
99,84.7581,495000,99,4819.21,-6382.54443359375,265.817,2642.11
100,203.3262,500000,100,3229.61,-11679.5205078125,308.3227,3204.48
101,101.1052,505000,101,4427.14,-7588.56396484375,295.4563,3547.8
102,86.2447,510000,102,4152.97,-7531.4482421875,290.8668,3483.04
103,142.2389,515000,103,2866.69,-9936.162109375,301.1445,1418.03
104,177.8066,520000,104,3700.06,-11050.3271484375,312.4625,3334.05
105,197.3764,525000,105,2331.55,-10572.349609375,298.4361,936.83
106,130.4119,530000,106,4129.09,-9150.8564453125,298.7723,3417.36
107,101.9807,535000,107,4758.28,-8958.640625,293.6488,4148.92
108,110.4295,540000,108,3884.63,-8133.876953125,274.3555,1649.76
109,97.4061,545000,109,3722.14,-8916.791015625,290.5353,1842.88
110,93.6158,550000,110,4104.65,-8642.896484375,282.8073,2313.06
111,142.1946,555000,111,3804.7,-10306.693359375,290.741,2021.54
112,117.5799,560000,112,3518.26,-9956.5048828125,300.7583,1526.64
113,94.7814,565000,113,3872.23,-8377.0712890625,279.6781,1534.26
114,102.6888,570000,114,4573.82,-8173.3818359375,275.5133,2069.38
115,99.503,575000,115,4750.86,-9508.814453125,288.0855,3826.55
116,110.4826,580000,116,4015.75,-9530.01171875,290.0398,2647.14
117,147.0615,585000,117,3041.68,-10694.330078125,283.0522,927.5
118,92.8077,590000,118,3678.36,-9387.2822265625,277.0846,3199.65
119,112.0924,595000,119,3664.81,-9751.6435546875,274.1868,1618.57
120,134.9774,600000,120,3679.88,-10283.0751953125,276.999,3066.8
121,116.2471,605000,121,3500.66,-10309.9306640625,287.8207,2796.88
122,91.706,610000,122,4575.0,-7907.47216796875,264.0466,2016.64
123,104.1145,615000,123,4228.94,-10536.5234375,282.9247,5163.81
124,100.2667,620000,124,2905.44,-10154.9677734375,273.8482,4041.48
125,84.8114,625000,125,4293.23,-9266.3173828125,269.25,3702.32
126,116.5635,630000,126,4111.82,-10727.359375,277.5141,1546.36
127,86.9171,635000,127,4445.53,-8791.3369140625,259.0852,4657.83
