Reward Loss,Running Update Time,Real Det Return,Running Forward KL,Running Reverse KL,Running Env Steps,Itration,Real Sto Return
11.286311149597168,0,455.61,75.7469,26.5739,0,0,-55.18
-0.1438632607460022,1,270.22,75.2481,26.491,5000,1,-72.65
-15.027992248535156,2,323.69,73.4449,28.0415,10000,2,-63.02
-27.74395751953125,3,461.96,74.2403,26.1869,15000,3,-44.23
-38.70099639892578,4,482.66,72.6835,27.6197,20000,4,-17.49
-50.51657485961914,5,584.06,72.6376,27.3608,25000,5,18.48
-63.185020446777344,6,657.46,73.2611,29.8366,30000,6,20.05
-80.91211700439453,7,811.37,70.5931,28.6213,35000,7,96.7
-87.85047149658203,8,598.06,72.7519,29.4453,40000,8,94.92
-100.44820404052734,9,677.96,70.8821,29.3545,45000,9,86.79
-114.75606536865234,10,616.18,74.3046,29.688,50000,10,99.99
-126.26063537597656,11,606.04,71.0227,29.8087,55000,11,94.72
-135.22238159179688,12,716.33,70.7487,29.4874,60000,12,111.87
-152.71615600585938,13,416.0,71.923,29.5669,65000,13,129.65
-163.09454345703125,14,747.1,71.0108,30.0301,70000,14,181.87
-175.90097045898438,15,549.99,70.7565,30.0944,75000,15,180.43
-188.2793426513672,16,806.28,71.1319,30.3687,80000,16,173.9
-203.87164306640625,17,723.07,71.9703,29.8682,85000,17,148.02
-207.4130401611328,18,730.97,67.9224,28.6724,90000,18,171.56
-229.27587890625,19,805.82,71.4138,30.6792,95000,19,143.73
-237.23446655273438,20,767.31,70.3391,30.2337,100000,20,163.81
-254.75320434570312,21,720.9,70.8285,30.4236,105000,21,171.92
-267.74957275390625,22,611.85,69.4338,29.5988,110000,22,216.0
-281.0650634765625,23,805.03,71.7467,30.1387,115000,23,261.64
-288.32415771484375,24,887.38,68.184,29.573,120000,24,198.96
-302.90667724609375,25,889.2,69.9476,30.1851,125000,25,237.64
-319.2616882324219,26,749.87,71.1316,30.1784,130000,26,208.98
