Running Forward KL,Itration,Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL,Real Sto Return,Running Update Time
32.7318,0,0,297.7776794433594,218.19,28.1744,211.17,0
31.9718,1,5000,361.95428466796875,188.36,28.232,197.74,1
30.616,2,10000,133.7080841064453,209.16,19.3699,227.14,2
31.629,3,15000,5.590141773223877,361.33,39.5717,334.9,3
32.3564,4,20000,-40.486053466796875,265.69,26.8985,259.8,4
30.5503,5,25000,-48.53565979003906,327.01,32.4339,314.28,5
28.7312,6,30000,-28.60439109802246,209.41,28.2086,278.07,6
29.7978,7,35000,-119.0670166015625,376.98,35.0262,357.04,7
36.9152,8,40000,-478.4783935546875,7.67,149.3352,7.82,8
34.0521,9,45000,-465.27880859375,278.72,146.692,265.24,9
30.3707,10,50000,-185.6158905029297,668.47,28.9788,644.25,10
29.0301,11,55000,-241.26400756835938,1543.24,17.9271,1138.52,11
32.7071,12,60000,-306.7818603515625,1278.14,19.1291,1248.03,12
34.5487,13,65000,-570.790771484375,155.59,21.4864,109.85,13
29.3369,14,70000,-266.41326904296875,1346.09,14.9356,869.34,14
28.4146,15,75000,-172.91970825195312,962.64,12.2037,821.84,15
31.0464,16,80000,-429.6316833496094,1431.35,16.4716,1372.64,16
28.0421,17,85000,-296.91815185546875,792.97,12.4388,627.07,17
26.2892,18,90000,-377.8652038574219,1207.23,16.5439,1161.63,18
31.1594,19,95000,-720.1158447265625,157.48,92.4373,170.46,19
30.0423,20,100000,-783.3001098632812,148.57,176.824,154.17,20
25.9069,21,105000,-409.52069091796875,1682.42,13.7954,926.55,21
27.9855,22,110000,-345.5035400390625,1424.49,38.6156,854.47,22
25.5024,23,115000,-325.0426025390625,282.1,12.8188,966.54,23
30.9632,24,120000,-917.8031005859375,359.42,66.0601,341.67,24
26.7397,25,125000,-490.23895263671875,2938.43,19.7044,1371.0,25
27.2257,26,130000,-367.3891296386719,2438.0,17.2257,2005.93,26
25.1317,27,135000,-426.0402526855469,250.1,15.8697,1470.8,27
26.188,28,140000,-364.2018127441406,1808.25,15.1898,1265.82,28
23.4599,29,145000,-267.24267578125,3122.43,16.0517,2372.78,29
23.8263,30,150000,-331.1897277832031,275.19,14.5872,2510.88,30
24.1516,31,155000,-313.95709228515625,2868.35,21.2373,2332.47,31
24.9439,32,160000,-318.7630920410156,2433.24,22.1999,2198.37,32
24.7281,33,165000,-305.6806945800781,1260.08,73.0508,1314.13,33
23.2779,34,170000,-311.7928771972656,491.86,41.458,1528.1,34
22.6207,35,175000,-436.7971496582031,2577.61,19.7374,1500.13,35
23.6768,36,180000,-505.6996765136719,2440.35,25.438,1272.72,36
24.8109,37,185000,-450.49444580078125,1897.85,19.869,1392.53,37
23.2068,38,190000,-287.6494445800781,2986.19,13.3196,2692.64,38
22.3401,39,195000,-373.51416015625,2763.53,14.7145,2121.56,39
21.9113,40,200000,-306.1181945800781,3407.69,14.4776,2467.53,40
21.547,41,205000,-480.63287353515625,3422.9,19.8132,2903.0,41
21.7726,42,210000,-290.3892517089844,3432.03,17.9705,2717.6,42
22.7976,43,215000,-611.6361083984375,2960.67,23.5507,1906.91,43
23.3996,44,220000,-793.6751098632812,1374.92,29.0611,1362.8,44
23.6936,45,225000,-792.2366333007812,2059.73,33.3067,1011.96,45
23.2737,46,230000,-778.5640869140625,1313.64,28.0268,1299.62,46
24.4538,47,235000,-737.637451171875,1281.9,34.5739,1525.1,47
23.6153,48,240000,-823.742431640625,1401.19,48.1891,1470.48,48
22.771,49,245000,-805.6455688476562,1264.46,39.4226,1667.76,49
22.5436,50,250000,-655.956787109375,242.87,21.1156,451.38,50
22.935,51,255000,-929.0360107421875,1376.11,32.7531,1658.13,51
23.5158,52,260000,-900.1848754882812,2913.5,29.8303,1463.99,52
23.4269,53,265000,-1159.62841796875,1464.86,47.7556,1434.36,53
22.9199,54,270000,-960.2573852539062,2189.62,46.9881,1808.78,54
22.7329,55,275000,-704.2723999023438,2193.62,33.7325,1871.21,55
23.1557,56,280000,-1074.603759765625,2299.12,53.8644,1708.4,56
22.9439,57,285000,-1004.4555053710938,1634.24,64.6183,1583.23,57
22.5503,58,290000,-1072.1072998046875,2902.09,38.6296,1689.87,58
