Running Forward KL,Itration,Running Env Steps,Real Sto Return,Reward Loss,Running Reverse KL,Real Det Return,Running Update Time
448.113,0,0,330.02,163.64942932128906,248.7568,285.17,0
413.9603,1,5000,413.74,-3783.510986328125,258.0192,399.77,1
412.9061,2,10000,404.63,-4167.85498046875,272.417,477.45,2
421.5447,3,15000,348.12,-4242.89697265625,284.5112,285.89,3
416.0962,4,20000,432.05,-6078.662109375,249.5654,411.11,4
413.4948,5,25000,490.73,-7999.67431640625,262.0168,406.6,5
404.8957,6,30000,490.78,-7759.9013671875,259.0757,385.65,6
403.4192,7,35000,450.19,-10268.33984375,283.341,559.74,7
413.2569,8,40000,433.33,-9879.279296875,273.3466,445.7,8
405.0725,9,45000,500.77,-12866.73046875,310.1764,547.22,9
399.4423,10,50000,499.73,-15110.322265625,319.0942,520.94,10
394.0154,11,55000,532.22,-16888.994140625,330.6486,615.7,11
391.9325,12,60000,554.85,-15906.77734375,266.6664,568.06,12
377.8109,13,65000,594.49,-16465.052734375,252.7506,605.24,13
391.7783,14,70000,609.66,-18062.212890625,266.8754,624.93,14
384.9453,15,75000,601.16,-18779.302734375,260.8051,524.31,15
380.8212,16,80000,640.23,-20965.591796875,259.0576,827.92,16
378.0713,17,85000,609.39,-20959.55078125,245.3188,655.83,17
387.1525,18,90000,548.74,-22438.0546875,263.1319,654.09,18
380.0443,19,95000,610.45,-22815.498046875,249.6547,563.39,19
380.7358,20,100000,632.92,-22485.0234375,243.4256,597.0,20
386.7947,21,105000,524.83,-25598.20703125,252.5265,506.72,21
370.0735,22,110000,616.06,-25574.25,240.4177,782.97,22
380.1759,23,115000,639.98,-27141.798828125,254.6039,781.64,23
385.9527,24,120000,701.28,-28506.515625,256.0497,649.21,24
373.7734,25,125000,595.15,-29978.767578125,263.9124,577.3,25
378.3463,26,130000,666.73,-30177.431640625,253.2108,558.71,26
370.3593,27,135000,748.31,-31341.79296875,275.6953,683.89,27
378.9095,28,140000,599.61,-32849.5625,279.1306,478.92,28
373.1238,29,145000,805.72,-33302.47265625,259.568,617.25,29
373.7775,30,150000,721.38,-35251.921875,252.128,499.71,30
370.9744,31,155000,853.3,-35877.30078125,262.3828,800.41,31
365.3116,32,160000,845.66,-36477.81640625,250.7771,726.86,32
371.4531,33,165000,696.36,-38731.234375,290.369,829.05,33
366.7244,34,170000,801.48,-39001.078125,286.8268,621.54,34
371.6606,35,175000,958.37,-37555.7421875,252.4879,777.16,35
377.7014,36,180000,882.42,-37931.8359375,252.6615,679.54,36
354.7118,37,185000,935.74,-38006.81640625,246.95,646.65,37
360.129,38,190000,993.99,-40669.9296875,249.933,641.32,38
366.5555,39,195000,1002.05,-44590.90234375,299.9412,873.13,39
361.114,40,200000,815.67,-43255.2421875,282.3364,882.62,40
368.6067,41,205000,829.48,-44671.734375,263.5555,772.46,41
370.4094,42,210000,959.33,-41953.14453125,244.7396,502.37,42
364.5708,43,215000,1039.5,-42189.515625,233.7211,527.71,43
363.2004,44,220000,954.54,-39605.87109375,225.0269,683.81,44
363.1739,45,225000,1013.06,-49856.80859375,330.2328,590.33,45
353.3156,46,230000,1100.21,-43196.26171875,245.9085,730.14,46
365.8519,47,235000,1014.45,-47767.65234375,256.1133,1018.91,47
355.9637,48,240000,1131.93,-46247.90234375,279.5488,1093.97,48
350.8485,49,245000,1214.36,-46235.98828125,250.7191,1180.26,49
347.692,50,250000,1009.43,-50174.046875,285.0359,1239.8,50
337.4141,51,255000,1250.27,-46205.921875,241.9294,1474.4,51
351.0157,52,260000,1226.95,-52158.015625,322.197,1158.06,52
354.1215,53,265000,1312.34,-49641.0234375,283.6963,1626.11,53
350.634,54,270000,1238.91,-50901.56640625,276.1016,2168.97,54
339.9579,55,275000,1500.14,-47377.93359375,255.6186,2957.62,55
354.0163,56,280000,1151.9,-51734.43359375,260.0049,2428.22,56
351.3843,57,285000,1349.05,-49188.7578125,235.5418,2564.86,57
346.0301,58,290000,1894.75,-47097.578125,223.4959,1277.95,58
335.23,59,295000,1871.2,-42065.93359375,205.2152,1560.41,59
334.0662,60,300000,2827.15,-41837.4921875,210.1808,1839.05,60
341.1916,61,305000,1711.04,-47438.36328125,212.8516,1949.81,61
333.216,62,310000,1924.12,-42184.18359375,188.8576,1990.92,62
327.8222,63,315000,2622.11,-39311.30078125,201.0512,3149.98,63
338.8021,64,320000,1983.99,-46240.9453125,208.0134,1863.61,64
332.8761,65,325000,2428.19,-44672.33203125,193.9194,1761.87,65
329.0005,66,330000,2587.17,-34227.72265625,169.5749,3203.38,66
331.9077,67,335000,2693.5,-41048.08984375,175.8875,2516.1,67
330.7086,68,340000,1938.7,-40321.33984375,182.8876,2052.89,68
343.9361,69,345000,1715.74,-45318.53515625,202.2683,1779.79,69
338.5172,70,350000,2110.61,-46492.390625,199.7811,1550.42,70
325.1861,71,355000,2663.97,-32529.376953125,170.0526,3314.9,71
344.5146,72,360000,2816.01,-45806.98046875,202.2382,2069.86,72
327.3178,73,365000,2216.13,-27474.47265625,148.6816,2869.12,73
336.0419,74,370000,2288.68,-41355.625,176.8492,1843.94,74
325.1428,75,375000,3457.27,-30655.318359375,159.9138,1854.0,75
343.5007,76,380000,2541.77,-48337.6640625,189.5412,2690.29,76
330.9808,77,385000,2690.98,-37586.8046875,161.1869,1524.29,77
329.4031,78,390000,2693.82,-39245.3203125,161.1528,1372.78,78
333.689,79,395000,2390.86,-44682.0,170.4995,1645.53,79
332.1285,80,400000,2445.45,-37952.83984375,167.171,2401.29,80
327.7197,81,405000,3269.55,-35478.21875,152.5955,3168.81,81
339.3965,82,410000,3475.39,-44592.1484375,185.9002,2262.74,82
331.5136,83,415000,2678.18,-37528.8125,163.9265,4112.38,83
346.6219,84,420000,2484.01,-49095.98046875,199.6777,1460.2,84
332.4197,85,425000,2302.82,-44238.453125,173.2302,1700.24,85
322.2853,86,430000,2846.86,-37600.875,153.756,1281.99,86
341.3474,87,435000,2951.24,-49377.91015625,189.924,1624.65,87
316.8963,88,440000,3533.5,-33332.09765625,149.5736,1261.49,88
321.6247,89,445000,3591.07,-31289.3046875,144.4073,1435.46,89
339.8158,90,450000,2133.32,-49913.3984375,187.5636,1730.59,90
332.6428,91,455000,2323.72,-43308.5703125,163.7325,1374.94,91
335.3,92,460000,2902.02,-42894.26953125,164.7489,1337.24,92
324.0393,93,465000,3384.75,-37028.09375,156.2488,1501.01,93
321.5247,94,470000,4696.81,-29759.4921875,160.9155,1911.94,94
325.1504,95,475000,3453.2,-36874.69140625,149.4074,2013.19,95
314.6413,96,480000,4161.77,-32309.451171875,152.1029,2524.41,96
327.0327,97,485000,4007.97,-41642.140625,158.426,2232.65,97
328.0152,98,490000,4233.0,-40761.3515625,159.472,1525.16,98
317.0478,99,495000,4214.27,-29618.03125,139.284,1665.66,99
323.9962,100,500000,4697.54,-43749.5625,176.0053,1866.12,100
310.6955,101,505000,4329.54,-38244.734375,152.2831,3428.84,101
310.9913,102,510000,4815.91,-36886.265625,153.2783,1885.23,102
316.9354,103,515000,4264.99,-37180.61328125,136.0876,3106.49,103
313.2993,104,520000,4340.8,-34201.19140625,129.5802,4583.78,104
307.3065,105,525000,4361.3,-36942.41015625,139.6232,3267.39,105
312.6328,106,530000,4928.7,-34613.90625,139.2665,1948.18,106
312.7073,107,535000,4811.53,-40721.01953125,148.1349,3271.75,107
311.2401,108,540000,4915.74,-38020.99609375,140.6643,3621.02,108
317.5001,109,545000,3464.66,-42607.3359375,145.3433,3772.23,109
313.1155,110,550000,4890.71,-41458.69921875,142.3878,4757.9,110
309.3582,111,555000,4826.6,-42693.9140625,138.0938,3475.86,111
303.5196,112,560000,4340.63,-38783.30859375,130.5315,4552.5,112
311.3086,113,565000,4918.5,-43626.015625,137.3741,2450.86,113
301.6158,114,570000,4809.99,-41374.7265625,126.0069,2589.42,114
307.5856,115,575000,4517.49,-42958.62109375,135.0216,4580.53,115
319.5177,116,580000,3938.91,-49626.8203125,147.1785,3880.08,116
309.7978,117,585000,4590.48,-47072.8671875,128.784,3550.58,117
304.2716,118,590000,4974.76,-44347.46484375,122.241,2513.12,118
302.4307,119,595000,4948.85,-43978.3515625,119.4927,4915.15,119
304.3716,120,600000,4785.15,-47370.28125,120.505,3946.25,120
303.8332,121,605000,4998.73,-47476.921875,123.0178,5076.36,121
305.0104,122,610000,4992.45,-48846.578125,129.5222,4833.79,122
319.1217,123,615000,3610.18,-54502.64453125,148.0964,2883.54,123
315.4459,124,620000,3809.62,-53165.42578125,136.1555,3202.36,124
319.4964,125,625000,3028.75,-56682.31640625,155.1435,2627.58,125
303.0528,126,630000,4797.89,-51544.859375,118.8119,3954.42,126
311.6658,127,635000,4990.46,-54247.3828125,130.3772,4189.55,127
305.6198,128,640000,5003.76,-53581.62890625,127.1709,4109.18,128
309.2767,129,645000,4417.5,-55382.8984375,128.516,2915.13,129
304.1139,130,650000,4798.74,-54438.1328125,117.6733,4844.08,130
303.2721,131,655000,5012.84,-55305.40625,123.7842,4213.26,131
307.1233,132,660000,4959.36,-55838.32421875,115.6339,5069.65,132
309.3711,133,665000,4595.63,-57506.0859375,122.8616,4662.2,133
309.7786,134,670000,4626.06,-59155.30859375,123.9697,4899.64,134
307.996,135,675000,5034.14,-59081.01171875,124.1516,5067.9,135
306.564,136,680000,5033.64,-58936.6640625,125.177,4612.2,136
305.1448,137,685000,5028.2,-59462.76953125,120.798,4075.98,137
309.2285,138,690000,5055.57,-60791.421875,129.6713,4673.09,138
307.5973,139,695000,4988.54,-61546.54296875,118.7936,5097.37,139
308.8911,140,700000,4592.85,-62010.7890625,119.9364,4081.53,140
