Running Forward KL,Itration,Running Reverse KL,Real Sto Return,Running Update Time,Running Env Steps,Real Det Return,Reward Loss
29.84,0,17.8985,286.53,0,0,337.69,304.08056640625
28.9481,1,29.7793,334.02,1,5000,353.58,155.90118408203125
27.4853,2,39.6422,419.49,2,10000,431.2,145.798828125
26.4808,3,55.6327,501.7,3,15000,535.27,235.8315887451172
26.4292,4,37.84,817.53,4,20000,813.23,109.88203430175781
26.6505,5,80.5522,840.56,5,25000,908.18,302.364990234375
26.1425,6,38.1478,1658.6,6,30000,3040.79,114.03963470458984
25.2751,7,28.7764,2155.18,7,35000,3015.27,127.49691772460938
24.3794,8,18.6954,2816.43,8,40000,2959.63,40.47005844116211
25.6831,9,47.8992,1087.87,9,45000,1112.86,115.35404968261719
25.3398,10,36.0794,2005.63,10,50000,2741.76,28.599079132080078
25.5522,11,50.0212,1040.69,11,55000,1375.94,63.130348205566406
23.8023,12,37.9149,1517.11,12,60000,3053.68,-18.900842666625977
25.2712,13,34.8064,2252.37,13,65000,1738.49,-67.54592895507812
24.4146,14,29.1417,2573.0,14,70000,3028.23,-71.89065551757812
24.5011,15,21.0142,2479.48,15,75000,2387.7,-59.500797271728516
24.7457,16,41.2682,1948.72,16,80000,3110.01,-87.63574981689453
24.9832,17,62.5789,1194.67,17,85000,1678.33,-132.16636657714844
23.8483,18,14.1076,2097.14,18,90000,2350.46,-139.04193115234375
24.5285,19,17.1342,2393.96,19,95000,3200.04,-86.65264129638672
24.81,20,22.5857,2104.76,20,100000,3156.74,-144.10362243652344
25.074,21,44.4912,1628.09,21,105000,3094.21,-190.23106384277344
25.0833,22,32.1977,1632.28,22,110000,3164.98,-165.0318603515625
24.468,23,15.8969,2515.32,23,115000,3074.55,-155.46620178222656
24.898,24,36.7246,2636.78,24,120000,3151.47,-226.5312042236328
25.1676,25,62.0267,1747.56,25,125000,2079.92,-338.4474792480469
23.6845,26,18.4856,2971.54,26,130000,3133.62,-193.7797088623047
23.4611,27,17.6684,2950.54,27,135000,3104.84,-243.61813354492188
23.8973,28,17.4216,3093.27,28,140000,2572.28,-263.2635803222656
23.191,29,30.9158,2878.38,29,145000,1122.84,-316.3810119628906
24.0525,30,21.2038,2718.46,30,150000,2794.05,-279.805908203125
25.1906,31,61.334,1497.63,31,155000,1404.83,-512.1382446289062
