Itration,Reward Loss,Running Env Steps,Real Sto Return,Running Reverse KL,Running Update Time,Real Det Return,Running Forward KL
0,36.44856643676758,0,-82.3,29.5978,0,300.29,75.7629
1,30.578750610351562,5000,-25.08,28.5917,1,351.1,73.5434
2,34.42533874511719,10000,-7.85,34.089,2,46.26,74.3272
3,10.679319381713867,15000,32.04,29.4817,3,622.61,74.101
4,-1.87420654296875,20000,51.75,29.534,4,264.89,75.2068
5,-10.628020286560059,25000,43.82,29.1407,5,364.83,73.7595
6,-24.451799392700195,30000,66.8,29.8772,6,388.92,73.9235
7,-34.078590393066406,35000,112.52,30.4855,7,482.53,74.9607
8,-47.89508056640625,40000,86.29,29.4461,8,375.59,72.5869
9,-57.61492156982422,45000,62.26,30.2507,9,284.88,73.6208
10,-70.17383575439453,50000,113.73,30.4684,10,338.0,73.2335
11,-80.70838165283203,55000,140.6,30.1037,11,646.75,74.3355
12,-98.17945861816406,60000,131.82,30.5683,12,592.98,72.734
13,-105.30917358398438,65000,120.8,30.2487,13,373.33,73.2802
14,-121.64981842041016,70000,106.93,30.5881,14,452.48,72.4009
15,-126.79087829589844,75000,114.3,30.5512,15,510.29,75.1593
16,-141.7744903564453,80000,131.97,29.2022,16,472.27,70.5398
17,-156.5706787109375,85000,148.89,30.9668,17,584.94,73.4366
18,-162.24273681640625,90000,176.39,29.6695,18,521.51,71.8836
19,-169.6885528564453,95000,211.87,30.2613,19,607.25,71.3613
20,-183.82211303710938,100000,140.93,30.2945,20,625.32,71.2145
21,-195.72848510742188,105000,167.97,30.5555,21,538.73,73.036
22,-209.20558166503906,110000,212.49,30.0585,22,421.31,71.1008
23,-216.44131469726562,115000,170.24,29.4472,23,460.57,70.9582
24,-227.88609313964844,120000,180.28,29.9059,24,798.4,70.7606
25,-239.9256134033203,125000,191.1,30.3728,25,601.55,73.3975
26,-257.0028381347656,130000,127.99,30.1279,26,607.88,72.5027
27,-270.6367492675781,135000,175.78,29.952,27,444.65,72.0546
28,-275.7584533691406,140000,215.87,29.947,28,605.74,70.5917
29,-292.10113525390625,145000,151.96,29.6983,29,626.56,71.219
30,-299.620361328125,150000,168.39,30.4553,30,481.91,72.3181
31,-314.18212890625,155000,238.15,30.4769,31,483.12,71.3208
32,-330.6788330078125,160000,207.54,29.9518,32,567.72,69.7494
33,-339.4650573730469,165000,197.53,29.7711,33,801.23,71.1052
34,-352.3671569824219,170000,162.89,30.4395,34,739.54,71.6615
35,-366.9824523925781,175000,179.04,30.4139,35,587.23,71.208
36,-371.0484924316406,180000,189.2,29.1966,36,574.83,69.0906
37,-391.3601989746094,185000,149.49,29.8125,37,510.53,70.2272
38,-408.8690185546875,190000,206.26,29.8429,38,635.68,70.9261
39,-417.0989685058594,195000,206.31,29.8556,39,338.05,71.9321
40,-426.8971862792969,200000,108.43,29.6076,40,326.17,70.8059
41,-448.4513854980469,205000,106.85,29.2186,41,471.92,71.4463
42,-454.9492492675781,210000,153.43,29.6739,42,446.59,71.6332
43,-469.5917053222656,215000,134.67,29.1914,43,512.6,72.6137
44,-475.2222900390625,220000,189.61,29.3219,44,363.87,69.7672
45,-492.1761779785156,225000,88.84,29.4079,45,325.26,71.4325
46,-512.1452026367188,230000,96.17,29.5169,46,390.44,72.2951
47,-524.8325805664062,235000,208.67,29.2833,47,468.27,71.3062
48,-540.0501708984375,240000,188.21,29.5188,48,444.39,72.2934
49,-552.3926391601562,245000,224.44,29.618,49,480.97,71.7962
50,-560.442626953125,250000,286.49,29.6406,50,757.13,69.9652
51,-591.2772827148438,255000,147.1,30.1535,51,625.24,71.9554
52,-599.4845581054688,260000,135.0,29.6342,52,768.18,71.3465
