Itration,Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return
0,14.6115,276.71,49.6562,279.01
1,14.375,261.57,49.2763,267.34
2,12.758,422.18,49.4278,424.7
3,13.7993,482.4,49.8485,416.38
4,20.37,515.23,49.2157,434.83
5,12.148,391.38,49.2603,412.53
6,12.4065,684.45,49.032,484.84
7,13.2525,265.04,49.3537,99.92
8,15.5472,421.0,48.3366,414.0
9,14.5662,153.22,49.0792,192.39
10,23.4421,433.63,48.3768,540.54
11,13.9655,825.1,47.4768,1128.07
12,12.8445,1343.64,47.1421,966.12
13,13.2171,728.76,46.7063,824.49
14,13.5058,1534.75,47.8412,1174.95
15,14.1295,1281.82,46.7959,921.59
