Real Det Return,Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL,Real Sto Return,Itration,Running Update Time
330.55,75.2212,36.299537658691406,0,28.8089,-121.02,0,0
431.71,74.9184,29.19887351989746,5000,26.2556,-52.87,1,1
424.39,73.822,14.902003288269043,10000,26.3654,-27.21,2,2
545.64,73.795,9.23119068145752,15000,27.8734,-7.37,3,3
465.71,72.7199,1.1870079040527344,20000,29.8266,3.88,4,4
449.91,73.2075,-7.916346073150635,25000,29.0245,56.44,5,5
594.65,71.8234,-23.72426986694336,30000,29.3246,104.3,6,6
694.97,73.4663,-32.03831481933594,35000,30.2894,81.14,7,7
630.31,71.4745,-42.69183349609375,40000,29.8973,96.31,8,8
273.68,71.2035,-48.2895622253418,45000,30.8978,112.14,9,9
579.87,71.7289,-68.57324981689453,50000,31.0343,167.25,10,10
685.96,69.7875,-70.48844146728516,55000,29.9137,141.92,11,11
828.95,71.5167,-88.87416076660156,60000,31.1036,170.09,12,12
552.98,71.7441,-97.84275817871094,65000,31.5543,151.43,13,13
605.03,72.0359,-110.26014709472656,70000,30.442,221.85,14,14
714.24,67.3316,-117.75239562988281,75000,28.3186,201.38,15,15
722.6,65.7921,-123.07357788085938,80000,28.8625,247.38,16,16
1067.95,67.9155,-140.10464477539062,85000,29.3786,287.65,17,17
464.97,69.6376,-159.2688446044922,90000,30.5285,156.84,18,18
347.94,69.0615,-164.1751708984375,95000,30.1955,206.75,19,19
825.63,66.8569,-172.19284057617188,100000,29.3208,311.28,20,20
957.66,64.8733,-180.31378173828125,105000,28.3905,250.94,21,21
756.3,70.6526,-209.77857971191406,110000,31.0959,200.56,22,22
653.6,68.6409,-210.8140411376953,115000,31.2173,201.28,23,23
107.25,74.3777,-232.47264099121094,120000,34.7558,-26.8,24,24
229.09,79.1995,-247.57003784179688,125000,38.692,-68.59,25,25
-404.6,79.4707,-244.90972900390625,130000,136.3434,-420.61,26,26
103.59,68.2159,-258.4068603515625,135000,31.9827,-33.85,27,27
90.51,71.8927,-278.44842529296875,140000,30.4879,-159.37,28,28
256.84,67.8756,-284.3598327636719,145000,26.9351,-21.49,29,29
431.15,70.7525,-299.3529357910156,150000,26.9491,-14.96,30,30
874.61,70.1088,-310.26214599609375,155000,27.5441,56.01,31,31
704.64,66.2425,-309.1268615722656,160000,28.958,217.24,32,32
958.31,66.6409,-328.81329345703125,165000,27.2732,78.19,33,33
848.71,66.0397,-333.8443908691406,170000,26.2709,265.21,34,34
688.96,64.7443,-333.0836181640625,175000,26.316,352.7,35,35
1162.53,59.9376,-286.4615783691406,180000,24.7554,301.63,36,36
487.78,64.3033,-362.4969787597656,185000,25.491,179.01,37,37
269.9,65.8674,-375.3552551269531,190000,26.9725,208.64,38,38
570.22,69.1918,-399.1615905761719,195000,29.4827,139.34,39,39
432.63,67.7776,-406.0016784667969,200000,33.7454,98.12,40,40
508.43,64.9438,-414.9396057128906,205000,27.136,174.58,41,41
398.31,66.9399,-434.2959899902344,210000,31.2841,165.54,42,42
545.42,67.59,-451.19512939453125,215000,28.4254,103.44,43,43
451.08,64.6405,-450.5442810058594,220000,26.1202,147.01,44,44
476.85,65.5811,-455.8111877441406,225000,26.2405,144.27,45,45
777.83,66.4494,-480.5814208984375,230000,27.1123,290.38,46,46
1337.58,60.1217,-452.47930908203125,235000,23.9975,584.84,47,47
1151.59,61.9889,-466.8027038574219,240000,25.1913,404.51,48,48
2332.22,56.9319,-391.8083801269531,245000,23.7117,1079.3,49,49
1703.38,61.1361,-495.8195495605469,250000,24.1304,600.26,50,50
1963.93,54.9534,-440.6075134277344,255000,20.4624,709.7,51,51
773.8,59.02,-509.8104553222656,260000,22.6617,261.49,52,52
426.85,57.7602,-497.68280029296875,265000,23.3559,306.64,53,53
982.19,59.7326,-537.383056640625,270000,23.0383,368.56,54,54
919.4,57.8712,-525.4957885742188,275000,22.1154,451.05,55,55
1189.98,57.4674,-521.9346313476562,280000,22.1711,701.6,56,56
553.82,63.9204,-617.0223388671875,285000,26.2805,162.63,57,57
684.16,58.96,-591.6362915039062,290000,23.6263,422.99,58,58
618.19,60.0796,-596.8218994140625,295000,23.3119,441.27,59,59
1233.82,58.4568,-592.396484375,300000,22.384,668.15,60,60
1891.89,55.5925,-580.5546875,305000,21.2423,838.67,61,61
964.35,57.0311,-594.2672729492188,310000,21.0016,536.58,62,62
877.13,57.7032,-639.7820434570312,315000,22.3056,331.0,63,63
1565.03,55.8853,-630.1607055664062,320000,22.718,657.15,64,64
1503.88,54.3231,-557.416748046875,325000,20.6524,825.82,65,65
1784.38,54.0381,-559.0642700195312,330000,20.2142,794.5,66,66
1259.74,59.0237,-677.8544311523438,335000,23.2567,999.6,67,67
1980.86,54.7185,-607.2875366210938,340000,19.7459,579.03,68,68
2311.7,53.6708,-494.26739501953125,345000,22.9995,1214.56,69,69
1837.76,53.8521,-635.5299072265625,350000,19.2361,1107.83,70,70
1766.57,55.1011,-557.7586669921875,355000,24.0048,1085.13,71,71
2308.37,52.8808,-509.41448974609375,360000,22.9928,1421.12,72,72
2075.12,51.8451,-521.5730590820312,365000,18.9865,1406.13,73,73
2800.29,52.3944,-574.1149291992188,370000,20.7508,1415.03,74,74
1382.68,54.0542,-685.9261474609375,375000,20.3698,876.19,75,75
1569.26,55.2562,-666.039794921875,380000,20.2474,1043.1,76,76
1761.99,52.2606,-648.9266967773438,385000,18.0007,986.27,77,77
1682.69,54.3181,-734.2586669921875,390000,19.7711,878.67,78,78
1567.07,56.2186,-790.8057861328125,395000,22.0413,798.67,79,79
2413.56,51.2006,-607.815185546875,400000,19.9295,1360.8,80,80
1312.54,55.6416,-827.3033447265625,405000,19.7951,1062.93,81,81
2524.15,54.7042,-691.8435668945312,410000,21.0211,1328.0,82,82
2470.22,53.5335,-688.2872924804688,415000,21.4028,1228.64,83,83
2917.23,51.6547,-670.0126953125,420000,18.4531,1602.02,84,84
2710.84,53.244,-650.9308471679688,425000,19.926,1646.16,85,85
1271.17,52.2657,-664.8196411132812,430000,20.8398,925.2,86,86
1990.14,53.0047,-683.4082641601562,435000,21.1811,1653.68,87,87
1192.8,52.2903,-518.2395629882812,440000,24.6946,835.7,88,88
3118.44,52.3507,-703.4948120117188,445000,20.685,1593.82,89,89
2968.67,50.4784,-549.6495971679688,450000,23.6901,1731.63,90,90
2872.61,54.1758,-739.5535888671875,455000,26.0978,1991.89,91,91
2716.49,52.2129,-651.50439453125,460000,22.3782,1994.94,92,92
2673.36,55.0596,-765.7290649414062,465000,24.042,1608.31,93,93
2188.36,51.8992,-741.6539306640625,470000,22.5844,1973.6,94,94
2290.55,54.4431,-827.5328369140625,475000,22.1302,1516.81,95,95
3011.99,57.5336,-858.6196899414062,480000,29.4026,2067.38,96,96
1550.88,53.4081,-850.5227661132812,485000,23.3374,578.95,97,97
2683.11,51.5984,-771.7101440429688,490000,23.5914,1455.46,98,98
1170.75,54.661,-876.359130859375,495000,22.4544,1528.02,99,99
3397.85,52.7519,-778.5386962890625,500000,21.0895,1619.57,100,100
2900.16,53.9919,-870.1096801757812,505000,30.7378,1738.49,101,101
2643.74,51.1967,-697.2661743164062,510000,25.3056,2270.49,102,102
2367.14,53.6596,-811.6364135742188,515000,20.9606,1231.58,103,103
2555.99,52.3395,-815.1586303710938,520000,24.0646,2072.15,104,104
3491.83,52.9339,-608.5093383789062,525000,26.5501,2837.91,105,105
2211.2,51.4463,-776.3120727539062,530000,21.6055,1435.61,106,106
4006.41,52.6135,-645.6849365234375,535000,29.18,3127.23,107,107
4146.26,52.4792,-783.0914306640625,540000,26.0026,3257.13,108,108
2866.44,56.8806,-1144.5765380859375,545000,24.2882,1800.54,109,109
3544.07,54.9413,-749.9095458984375,550000,24.4018,2336.94,110,110
2592.98,55.4147,-827.4981689453125,555000,28.5182,2321.9,111,111
3433.0,56.0404,-940.3427734375,560000,26.4694,2735.43,112,112
3662.46,57.1591,-964.3646240234375,565000,31.3359,2575.99,113,113
3504.98,52.9602,-714.3560791015625,570000,27.1631,2343.54,114,114
4039.79,56.2038,-1036.295654296875,575000,25.7232,2847.72,115,115
3593.17,53.2217,-702.0703125,580000,27.5252,2943.7,116,116
3127.42,54.6042,-1034.73828125,585000,26.1017,2271.28,117,117
