Itration,Real Det Return,Running Forward KL,Reward Loss,Running Env Steps,Running Reverse KL,Real Sto Return,Running Update Time
0,213.0,447.1346,-404.034423828125,0,262.5633,241.5,0
1,266.0,446.1154,469.6390686035156,5000,314.9822,307.25,1
2,393.59,430.3556,-193.93563842773438,10000,248.3949,396.8,2
3,356.64,428.202,-428.6361999511719,15000,269.8551,397.19,3
4,390.78,433.9008,-355.84759521484375,20000,289.0529,464.48,4
5,406.75,426.1881,17.659664154052734,25000,368.7664,451.38,5
6,347.25,430.527,-1021.0294799804688,30000,251.9824,434.36,6
7,438.38,424.2518,-1194.63525390625,35000,253.3647,460.9,7
8,467.94,415.0167,-1786.9571533203125,40000,236.9179,486.55,8
9,464.7,417.9445,-1833.8175048828125,45000,253.0451,454.31,9
10,584.43,412.8295,-2205.403076171875,50000,249.2917,556.01,10
11,706.21,416.255,-2637.244873046875,55000,262.7508,571.25,11
12,396.84,407.2605,-2570.513427734375,60000,252.4426,563.26,12
13,506.72,404.9282,-2519.810302734375,65000,268.9757,653.37,13
14,529.1,405.0105,-2777.38671875,70000,254.164,607.61,14
15,607.21,418.4437,-2925.27783203125,75000,252.2846,571.08,15
