Running Update Time,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return,Itration,Running Env Steps,Running Forward KL
0,349.85,255.7007,-539.76904296875,349.15,0,0,439.2104
1,363.81,242.0821,-1527.93896484375,338.47,1,5000,437.1228
2,359.74,238.411,-1025.7900390625,312.14,2,10000,409.6471
3,403.12,230.3839,-1060.1439208984375,501.11,3,15000,423.7187
4,413.44,239.7028,-1611.2276611328125,432.14,4,20000,417.4556
5,351.3,273.7847,-2807.2470703125,297.21,5,25000,424.539
6,368.2,264.1213,-2947.55078125,357.44,6,30000,436.0418
7,432.24,252.249,-2542.554931640625,431.25,7,35000,425.6285
8,447.35,278.5908,-2643.510498046875,375.87,8,40000,431.7927
9,475.76,272.7706,-2322.131591796875,349.19,9,45000,415.0219
10,510.9,260.4839,-2521.95556640625,388.79,10,50000,404.202
11,423.16,251.9816,-3086.781005859375,442.36,11,55000,406.1397
12,457.54,264.5447,-3281.710205078125,377.01,12,60000,404.0602
13,481.83,272.0557,-3948.392822265625,343.84,13,65000,422.8927
14,525.68,253.9963,-4521.43115234375,512.6,14,70000,406.5213
15,569.97,259.4578,-4529.44384765625,501.94,15,75000,420.1214
16,590.66,249.361,-4878.44091796875,546.05,16,80000,420.8919
17,588.09,267.9962,-5018.7744140625,581.88,17,85000,417.7793
18,644.1,248.3546,-5393.23095703125,613.53,18,90000,395.9487
19,660.88,262.176,-5260.5556640625,627.15,19,95000,410.1545
20,636.86,250.6393,-5201.1416015625,671.57,20,100000,412.4897
21,568.62,231.8944,-5352.587890625,626.74,21,105000,402.5449
22,587.91,230.6206,-5636.27734375,531.94,22,110000,410.2694
23,699.52,253.1107,-6682.99072265625,515.67,23,115000,418.141
24,752.46,230.2243,-6083.26806640625,597.5,24,120000,399.0168
25,761.52,231.0597,-6307.2548828125,532.47,25,125000,399.2197
26,655.23,229.6063,-6568.466796875,509.05,26,130000,414.0249
27,685.89,232.4515,-6785.283203125,847.94,27,135000,400.5977
28,780.66,233.3966,-6776.4365234375,777.83,28,140000,399.6115
29,740.6,258.2911,-6742.16357421875,785.84,29,145000,398.3548
30,786.78,252.9662,-7387.31591796875,644.14,30,150000,400.3438
31,889.12,260.2079,-7449.98876953125,718.55,31,155000,404.8782
32,765.4,248.1154,-7627.17236328125,737.67,32,160000,404.0638
33,791.46,232.2816,-7304.3134765625,676.36,33,165000,404.0282
34,725.16,251.7858,-8007.70751953125,766.88,34,170000,406.7039
35,925.22,294.1474,-9010.3984375,670.52,35,175000,402.9751
