Itration,Real Det Return,Reward Loss,Running Update Time,Running Forward KL,Running Env Steps,Real Sto Return,Running Reverse KL
0,172.11,371.6897277832031,0,33.6934,0,174.3,32.7434
1,165.96,269.8138732910156,1,30.4631,5000,292.58,20.5939
2,355.44,186.48829650878906,2,29.4853,10000,357.46,19.8459
3,432.63,337.4478454589844,3,29.319,15000,394.6,21.5462
4,334.83,241.30850219726562,4,29.1202,20000,327.71,17.1839
5,756.85,249.72256469726562,5,28.2182,25000,772.42,14.5849
6,474.71,167.04209899902344,6,28.0001,30000,592.79,15.4264
7,1147.42,43.25477981567383,7,33.275,35000,1126.81,20.4663
8,217.57,75.41956329345703,8,29.8921,40000,231.47,18.7563
9,1011.44,110.569580078125,9,36.9016,45000,1012.86,25.086
10,496.21,58.39265441894531,10,28.5522,50000,542.79,33.9028
11,447.46,-0.9011484384536743,11,29.151,55000,445.09,44.0458
12,427.8,-44.76607131958008,12,27.4286,60000,550.18,45.2632
13,491.74,-30.27884292602539,13,29.4152,65000,422.25,25.7039
14,552.95,-164.03341674804688,14,28.1026,70000,542.23,41.7995
15,549.44,98.93834686279297,15,27.5781,75000,570.69,14.1653
16,477.59,-86.65864562988281,16,27.7079,80000,472.64,16.2797
17,719.32,54.79365539550781,17,25.8107,85000,1113.12,12.8825
18,1837.49,26.390840530395508,18,26.7785,90000,1354.09,15.3192
19,1455.86,-122.86302947998047,19,27.9153,95000,948.21,14.664
20,1058.3,-81.67658996582031,20,26.041,100000,805.55,17.4119
21,1039.67,-25.035173416137695,21,25.8005,105000,965.11,17.9325
22,782.92,-142.23660278320312,22,25.0356,110000,819.45,19.5188
23,1595.37,-225.07899475097656,23,27.3776,115000,1618.95,13.2224
24,1945.14,-124.43840789794922,24,26.1879,120000,1437.42,29.831
25,1513.54,-395.1348876953125,25,26.9714,125000,1598.38,22.9733
26,1456.04,-289.5384521484375,26,26.2444,130000,1902.23,23.4776
27,2648.37,-226.10525512695312,27,23.4354,135000,2591.92,13.2059
28,2287.23,-300.2334289550781,28,23.3284,140000,2203.55,13.0958
29,2466.09,-284.8158874511719,29,24.1534,145000,2486.32,11.4704
30,2041.39,-270.81158447265625,30,23.2036,150000,2027.42,13.1424
31,2509.35,-256.260986328125,31,25.6879,155000,2514.79,15.8165
32,2563.85,-309.578125,32,24.2414,160000,2454.72,14.0777
33,2433.21,-246.97149658203125,33,23.7101,165000,2200.31,16.9948
34,2751.36,-303.40972900390625,34,21.4871,170000,2566.04,12.6575
35,2375.79,-407.5928649902344,35,21.5835,175000,2576.87,40.1459
36,887.49,-245.3238067626953,36,21.595,180000,692.98,13.0774
37,737.44,-339.52581787109375,37,22.4174,185000,1618.68,18.2709
38,2853.69,-176.1146697998047,38,20.9085,190000,2855.26,12.0303
39,3178.64,-302.9059753417969,39,19.5732,195000,3178.76,11.4279
40,3002.59,-312.4438781738281,40,21.2947,200000,2856.61,12.6987
41,2183.89,-396.9521179199219,41,20.1671,205000,2552.28,23.1526
42,3341.64,-245.19775390625,42,19.2164,210000,3217.94,10.6437
43,3131.38,-366.23077392578125,43,20.429,215000,3122.37,12.9627
44,3255.08,-405.2562255859375,44,18.9661,220000,2432.7,13.378
45,3044.48,-395.6904602050781,45,20.2258,225000,2667.98,11.2449
46,3246.38,-366.4209899902344,46,21.0321,230000,3199.21,12.8177
47,2562.78,-646.2377319335938,47,22.1957,235000,2287.31,29.2752
48,3260.97,-334.20404052734375,48,19.7814,240000,3225.5,11.2677
49,3401.58,-294.0857238769531,49,18.9505,245000,3347.42,12.8144
50,3316.2,-448.96331787109375,50,18.8222,250000,3081.74,15.0392
51,1083.4,-602.1813354492188,51,22.0947,255000,1351.32,46.3247
52,3159.57,-386.14453125,52,19.0169,260000,3118.38,11.5348
53,3463.69,-222.37574768066406,53,20.0038,265000,3387.0,14.5456
54,3375.78,-422.4233703613281,54,20.2398,270000,3287.9,12.88
55,989.55,-754.112060546875,55,21.3599,275000,2059.99,15.7482
56,1005.0,-1110.8148193359375,56,34.9544,280000,1007.21,27.4349
57,1000.86,-1173.1402587890625,57,39.0739,285000,1001.33,28.6685
58,1972.38,-714.0222778320312,58,27.6673,290000,1865.43,15.4614
59,709.28,-952.4977416992188,59,27.2218,295000,1408.84,13.5553
60,1634.5,-717.2827758789062,60,24.352,300000,1239.15,34.461
61,1025.92,-1280.7694091796875,61,34.247,305000,1020.29,29.8368
62,744.08,-412.7275085449219,62,21.283,310000,588.19,13.7926
63,1015.7,-1278.3714599609375,63,34.1427,315000,884.34,18.8839
64,724.19,-1258.04248046875,64,24.7375,320000,666.3,17.3708
65,784.92,-1304.5931396484375,65,26.7362,325000,850.38,69.4715
66,1650.61,-771.7472534179688,66,23.1843,330000,1272.3,12.5777
67,532.34,-1253.2431640625,67,25.2453,335000,869.26,18.0985
68,1016.77,-629.626953125,68,22.8533,340000,1812.48,14.4232
69,2722.29,-602.9448852539062,69,20.9361,345000,2730.47,10.9144
70,3187.86,-674.567138671875,70,21.2823,350000,3051.12,12.5566
71,3080.28,-748.4168701171875,71,23.0267,355000,3059.03,14.6348
72,2985.75,-367.50830078125,72,20.742,360000,2809.5,11.4964
73,700.92,-783.6033935546875,73,20.9967,365000,649.49,15.8458
74,1005.71,-529.8915405273438,74,21.2284,370000,2557.17,13.8087
75,2156.43,-612.69384765625,75,20.4901,375000,2775.55,11.8588
76,3122.77,-512.5844116210938,76,21.4759,380000,3081.06,14.1139
77,3304.67,-536.3394165039062,77,19.1971,385000,2914.75,13.0075
78,3156.48,-841.6985473632812,78,21.0857,390000,3128.17,12.4593
79,848.7,-975.3456420898438,79,22.088,395000,1916.32,37.2435
80,3474.33,-859.1755981445312,80,19.8251,400000,1843.6,23.5712
81,3478.5,-433.083740234375,81,19.1574,405000,3420.17,11.0594
82,3451.44,-537.8784790039062,82,20.9891,410000,3402.83,14.3183
83,3398.01,-636.11962890625,83,18.8675,415000,3387.15,11.6076
84,3452.4,-517.4820556640625,84,18.7168,420000,3353.04,12.7633
85,3386.56,-814.7896118164062,85,17.3899,425000,2811.36,18.9201
86,2734.83,-1359.449951171875,86,21.1567,430000,2317.02,14.9021
87,1808.92,-1029.7401123046875,87,22.263,435000,2489.22,12.6783
88,1529.25,-1327.78125,88,23.4079,440000,2587.76,20.4867
89,992.12,-1920.490966796875,89,28.4163,445000,1016.33,17.9407
90,2360.56,-1046.6553955078125,90,23.7205,450000,2347.71,14.561
91,653.11,-2274.3388671875,91,28.3712,455000,665.44,20.012
92,399.84,-2252.033447265625,92,33.0503,460000,601.2,115.442
93,981.39,-2314.68359375,93,37.6389,465000,979.96,34.6287
94,991.44,-2355.24609375,94,37.9188,470000,989.92,26.462
95,368.22,-2296.38427734375,95,30.4774,475000,408.39,18.9135
96,854.52,-1659.98388671875,96,24.7325,480000,1192.45,40.0
97,1776.19,-1424.765380859375,97,23.7906,485000,1740.83,10.9845
98,518.29,-2244.5576171875,98,26.3825,490000,552.27,47.6555
99,614.17,-1289.5439453125,99,22.9667,495000,530.01,13.6292
100,54.42,-2799.944091796875,100,36.003,500000,105.79,116.9478
101,229.8,-1934.578369140625,101,24.3042,505000,854.9,131.0699
102,976.64,-2729.258544921875,102,37.2357,510000,975.69,36.5908
103,975.8,-2723.235595703125,103,36.8907,515000,968.76,30.8064
104,979.33,-2814.548095703125,104,36.6883,520000,987.9,26.3738
105,733.8,-2640.288818359375,105,25.9069,525000,995.4,33.2718
106,395.31,-3100.774169921875,106,32.4382,530000,491.62,46.6578
107,1035.95,-2309.342529296875,107,25.0508,535000,1397.97,26.3004
108,896.68,-1448.2991943359375,108,21.8586,540000,995.76,17.286
109,1008.35,-3055.25537109375,109,28.338,545000,914.42,26.5099
110,594.1,-2338.74658203125,110,26.23,550000,756.26,18.0693
111,285.6,-3522.80908203125,111,30.7682,555000,276.99,42.6823
112,2516.97,-1457.007568359375,112,22.9299,560000,2631.01,14.697
113,2291.17,-1313.26708984375,113,24.8685,565000,1606.93,13.0009
114,1034.47,-3332.356689453125,114,33.7095,570000,657.26,25.0517
115,1014.35,-3701.973388671875,115,32.518,575000,561.0,117.567
116,1488.23,-1935.46044921875,116,22.0326,580000,1961.67,19.9638
117,2161.06,-1889.644287109375,117,25.5597,585000,1457.01,18.2665
118,890.46,-3084.11669921875,118,31.7901,590000,644.37,49.9885
119,739.76,-2903.741943359375,119,25.8019,595000,1099.8,37.013
120,1391.92,-1358.00634765625,120,24.2045,600000,1213.13,13.6572
121,1317.84,-1766.5692138671875,121,29.0076,605000,1671.28,13.2747
122,1337.63,-2890.135009765625,122,24.9453,610000,1171.83,43.6229
123,44.97,-4374.9521484375,123,30.3458,615000,225.03,182.756
124,269.91,-3781.2412109375,124,26.9725,620000,292.33,49.724
125,532.62,-3555.55615234375,125,27.1447,625000,796.01,23.8074
126,2590.42,-1133.9493408203125,126,23.7004,630000,2592.92,12.2917
127,2342.7,-2039.8118896484375,127,23.354,635000,1802.9,14.7072
128,281.6,-4638.5087890625,128,32.4711,640000,249.4,169.0792
129,967.82,-4544.73095703125,129,36.0167,645000,798.47,47.3342
130,1006.96,-4277.03857421875,130,38.9807,650000,1006.04,42.812
131,1030.3,-4462.74755859375,131,36.8034,655000,1030.66,34.3592
132,71.64,-4746.70556640625,132,33.6712,660000,91.26,35.8715
133,581.77,-3463.01611328125,133,24.9272,665000,844.45,35.1816
134,346.71,-3783.672119140625,134,26.3744,670000,1005.99,34.4874
