Real Sto Return,Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Running Env Steps,Itration,Running Reverse KL
204.74,33.8163,186.56,57.07597351074219,0,0,0,18.3327
237.57,34.0351,223.31,135.25587463378906,1,5000,1,52.6291
187.23,32.1139,187.15,107.5440902709961,2,10000,2,73.5389
269.64,32.1062,275.42,46.946712493896484,3,15000,3,68.4346
298.9,32.3002,184.62,28.73506736755371,4,20000,4,62.521
303.03,32.0444,304.21,20.781301498413086,5,25000,5,52.9961
321.12,31.9719,321.15,56.023902893066406,6,30000,6,56.6995
329.38,30.6618,324.25,-0.6966069340705872,7,35000,7,39.5873
334.41,30.4499,336.5,-11.930379867553711,8,40000,8,54.7156
318.76,30.1301,324.41,-20.97842025756836,9,45000,9,62.8037
314.56,30.7615,317.69,-34.427303314208984,10,50000,10,61.737
338.61,30.6276,351.42,32.351627349853516,11,55000,11,54.8148
320.58,30.4793,324.59,-49.10388946533203,12,60000,12,51.7222
334.29,31.2885,340.12,-69.08099365234375,13,65000,13,54.6381
335.81,31.3064,342.3,-80.78591918945312,14,70000,14,57.5691
335.03,30.907,334.3,-88.27125549316406,15,75000,15,61.3952
346.49,30.574,330.94,-98.61540222167969,16,80000,16,66.6134
345.46,30.6191,325.25,-117.813232421875,17,85000,17,61.1154
369.21,30.1467,372.31,-93.8967056274414,18,90000,18,36.3892
442.48,27.1885,463.88,-128.28421020507812,19,95000,19,33.5451
417.11,27.6952,427.12,-135.2736053466797,20,100000,20,63.704
626.47,26.0606,633.84,-113.2581558227539,21,105000,21,35.1542
400.59,27.8497,409.28,-148.03799438476562,22,110000,22,72.2369
636.02,26.2565,678.4,-148.815673828125,23,115000,23,28.1649
745.37,25.938,752.55,-124.62498474121094,24,120000,24,55.0251
711.84,26.678,690.6,-116.7324447631836,25,125000,25,54.8234
687.65,24.539,425.98,-82.24722290039062,26,130000,26,38.4928
674.7,26.0149,423.51,-114.10118865966797,27,135000,27,23.5814
875.31,25.3816,952.26,-109.33676147460938,28,140000,28,20.3943
1029.46,25.548,1105.73,-103.635009765625,29,145000,29,18.9123
1386.97,24.8494,2013.34,-99.94236755371094,30,150000,30,19.5266
921.37,25.8351,710.97,-98.20829772949219,31,155000,31,23.4536
1284.66,24.9936,1834.84,-82.9433364868164,32,160000,32,20.1995
1294.39,24.3121,1559.09,-136.77552795410156,33,165000,33,20.0999
1032.78,25.0444,1265.75,-155.14453125,34,170000,34,22.2008
2952.13,23.0869,3024.28,-41.236331939697266,35,175000,35,12.8397
763.29,24.0827,433.96,-30.77501106262207,36,180000,36,13.7507
1287.47,24.6334,1629.16,-140.24046325683594,37,185000,37,21.2446
2029.71,24.1008,3128.13,-78.28244018554688,38,190000,38,13.5689
