Real Sto Return,Reward Loss,Running Reverse KL,Running Env Steps,Itration,Running Forward KL,Real Det Return,Running Update Time
222.94,349.3348388671875,18.9801,0,0,32.8307,239.95,0
222.14,646.0442504882812,19.9898,5000,1,30.6308,233.94,1
245.64,862.0061645507812,41.9778,10000,2,31.3945,232.49,2
337.95,493.1507263183594,71.7767,15000,3,30.9288,426.67,3
316.28,435.0007629394531,33.1569,20000,4,29.2455,362.94,4
523.78,399.72900390625,64.5168,25000,5,27.17,480.05,5
590.03,517.0167236328125,99.0904,30000,6,27.1224,623.47,6
611.7,254.0220489501953,38.1583,35000,7,26.7575,650.11,7
504.98,222.056884765625,43.9307,40000,8,28.0814,447.35,8
829.42,340.2637634277344,58.8156,45000,9,25.945,940.25,9
991.7,104.44277954101562,27.2402,50000,10,24.7172,1166.62,10
1036.89,-46.870609283447266,12.064,55000,11,22.1825,2150.08,11
1531.32,186.14004516601562,67.5124,60000,12,23.7454,2819.63,12
1900.63,9.717717170715332,14.4817,65000,13,25.267,2284.03,13
2129.61,65.31692504882812,36.2454,70000,14,23.8897,2588.45,14
1714.88,-22.358909606933594,16.2116,75000,15,25.0242,2640.83,15
2057.42,-95.6427230834961,26.4702,80000,16,23.7078,1731.75,16
1746.38,-94.3759994506836,40.1249,85000,17,24.9802,1315.26,17
1417.5,-157.31607055664062,41.9154,90000,18,23.919,1709.46,18
1646.88,-159.2022247314453,20.5888,95000,19,23.9922,1136.84,19
2748.04,-97.07963562011719,19.2552,100000,20,23.206,2897.51,20
1194.76,-53.29922866821289,32.0634,105000,21,23.6891,1166.53,21
1858.71,-23.899433135986328,39.1183,110000,22,23.4279,1008.74,22
1802.28,-204.75030517578125,23.1285,115000,23,23.0881,907.87,23
2507.36,-139.23016357421875,17.7789,120000,24,23.2524,2817.16,24
2883.24,-136.70272827148438,15.4146,125000,25,22.7803,2878.61,25
1881.24,-271.58880615234375,25.1928,130000,26,22.6623,1791.26,26
2805.47,-149.9866180419922,12.4382,135000,27,21.0505,2993.64,27
3038.55,-124.45352935791016,13.0123,140000,28,21.8141,2990.6,28
2221.79,-174.9939727783203,13.0119,145000,29,21.8355,2637.8,29
2768.88,-202.77203369140625,21.3317,150000,30,22.7018,2924.37,30
2336.5,-251.02516174316406,17.8921,155000,31,22.548,554.52,31
2118.14,-232.0403289794922,18.9024,160000,32,22.0152,3163.93,32
2168.16,-217.39999389648438,20.4822,165000,33,22.0618,3032.54,33
2697.42,-212.0541534423828,27.1392,170000,34,22.3329,2940.32,34
2388.1,-250.3230438232422,13.9374,175000,35,21.5911,2899.96,35
2658.01,-298.753173828125,20.7428,180000,36,22.6112,3198.74,36
1380.93,-467.0216979980469,20.0613,185000,37,23.865,1368.38,37
2277.66,-409.7231750488281,26.6674,190000,38,22.3384,947.36,38
2877.73,-198.59658813476562,13.8933,195000,39,22.7781,3285.91,39
2031.11,-449.08062744140625,31.2875,200000,40,21.8301,2298.93,40
1070.71,-808.4171752929688,73.8412,205000,41,24.6253,1566.71,41
1914.33,-465.9904479980469,28.0603,210000,42,21.2574,1663.32,42
1113.65,-874.0552978515625,102.477,215000,43,23.3707,1952.16,43
924.02,-811.6044311523438,49.1626,220000,44,23.8766,1258.83,44
977.61,-1010.389404296875,109.7389,225000,45,23.9088,1103.54,45
593.76,-694.9134521484375,45.0454,230000,46,24.3203,1838.6,46
846.62,-723.807861328125,60.3408,235000,47,23.9376,1131.15,47
1361.7,-991.2357788085938,65.7836,240000,48,23.2543,1399.13,48
853.51,-1227.900634765625,142.0623,245000,49,24.053,1605.74,49
1205.33,-1076.388671875,76.4715,250000,50,23.9352,2095.6,50
1353.35,-957.8314819335938,49.9822,255000,51,22.4422,2666.82,51
728.42,-1044.4859619140625,58.8382,260000,52,23.3462,634.24,52
1610.67,-1070.4000244140625,58.8966,265000,53,23.1731,1299.48,53
1457.57,-1052.812744140625,50.6139,270000,54,21.9143,1763.02,54
1043.68,-1015.4443359375,27.2736,275000,55,21.8421,2364.53,55
1177.05,-1121.810791015625,37.6132,280000,56,22.6234,1449.2,56
1077.75,-1389.8985595703125,72.9459,285000,57,23.6835,989.93,57
1195.08,-1608.5513916015625,108.3033,290000,58,23.661,1709.3,58
1706.83,-1244.18798828125,88.7485,295000,59,21.4297,3339.81,59
1659.92,-1508.130615234375,67.3704,300000,60,22.821,2420.76,60
1346.09,-1506.8885498046875,81.8201,305000,61,22.7062,1150.02,61
1451.29,-1244.5174560546875,28.5168,310000,62,22.4854,3229.58,62
1146.38,-1930.029052734375,76.269,315000,63,23.6806,1133.1,63
1818.37,-1483.2398681640625,81.402,320000,64,21.0826,2318.58,64
1426.31,-1820.1558837890625,96.1296,325000,65,22.1913,1304.64,65
1284.54,-1575.065185546875,80.0719,330000,66,20.9292,1143.63,66
1617.05,-1858.477783203125,80.7075,335000,67,21.7916,1921.7,67
1672.44,-1422.3582763671875,45.8173,340000,68,20.1918,3359.8,68
1708.13,-1680.8406982421875,50.5854,345000,69,21.5762,1368.3,69
1067.18,-2514.63720703125,121.1628,350000,70,22.8037,1054.71,70
1179.26,-2449.6103515625,106.2302,355000,71,21.7051,1161.07,71
1022.9,-2717.03564453125,108.5338,360000,72,22.2437,992.6,72
1450.02,-2076.176513671875,73.1987,365000,73,21.0431,2219.68,73
1421.51,-2208.08447265625,65.979,370000,74,22.097,1327.66,74
1340.34,-2604.94970703125,105.2341,375000,75,21.9485,1483.57,75
1326.1,-2314.798095703125,75.9025,380000,76,21.9209,1125.34,76
1116.17,-3023.578857421875,107.144,385000,77,22.4216,984.6,77
935.8,-2767.191650390625,91.0328,390000,78,22.2035,995.71,78
1490.97,-2180.056884765625,57.1817,395000,79,21.1357,2353.55,79
1220.98,-3217.279541015625,91.049,400000,80,22.4271,1050.38,80
981.6,-2907.19189453125,58.6941,405000,81,22.2158,960.39,81
1626.82,-1579.3212890625,27.9306,410000,82,21.6529,1171.83,82
1797.05,-2425.1875,65.893,415000,83,21.2671,1627.8,83
2261.34,-1460.6749267578125,40.2417,420000,84,20.967,3419.75,84
2220.58,-2349.523193359375,76.0952,425000,85,21.4265,3376.3,85
1908.75,-1696.32421875,19.3203,430000,86,22.8025,2745.7,86
1490.72,-1440.67578125,34.1528,435000,87,20.0331,1024.92,87
1502.69,-2153.11328125,23.3397,440000,88,20.6497,3312.23,88
2100.48,-2240.982421875,46.4933,445000,89,20.8712,3263.16,89
1866.52,-1912.5609130859375,40.3459,450000,90,21.3825,3450.62,90
1912.79,-1998.1519775390625,45.5002,455000,91,20.3605,3386.55,91
1775.32,-2002.052734375,45.6139,460000,92,20.397,3291.57,92
1866.85,-2681.87060546875,74.0591,465000,93,21.6842,3456.64,93
2263.81,-2315.753662109375,43.3261,470000,94,21.1859,3283.39,94
1498.84,-2668.680419921875,60.5235,475000,95,21.3439,3403.3,95
2051.51,-2752.8798828125,48.4926,480000,96,22.2933,3283.74,96
1833.97,-2725.130615234375,48.9525,485000,97,21.2487,3155.53,97
1931.72,-1276.6790771484375,20.8221,490000,98,18.8246,3059.03,98
1613.13,-3843.57666015625,85.6529,495000,99,22.3323,3350.5,99
2201.31,-1189.218994140625,22.2151,500000,100,20.8885,3097.44,100
1282.44,-3166.802734375,49.8679,505000,101,22.6643,516.9,101
1075.39,-3525.508056640625,67.8634,510000,102,23.1476,2791.28,102
1370.11,-4053.660888671875,92.483,515000,103,22.3401,3354.3,103
1222.63,-4309.61865234375,96.6215,520000,104,23.7868,1139.1,104
2102.6,-2875.199462890625,66.1026,525000,105,21.3913,2944.41,105
1313.82,-4266.0546875,84.3907,530000,106,22.8885,1557.4,106
1552.49,-2345.65234375,46.4541,535000,107,20.2841,3230.8,107
2122.2,-2572.01318359375,39.0368,540000,108,21.5355,1180.69,108
1988.88,-3326.6533203125,56.5953,545000,109,22.9419,3448.26,109
2081.33,-1404.4366455078125,25.8536,550000,110,20.9756,3478.28,110
2095.0,-1910.6495361328125,38.7759,555000,111,20.9215,3457.12,111
1669.42,-2540.686767578125,22.3543,560000,112,21.3001,3243.54,112
2994.3,-1083.5968017578125,18.2242,565000,113,22.0138,3331.4,113
3233.77,-833.1906127929688,19.2654,570000,114,20.7772,3401.85,114
1332.33,-4210.51416015625,68.6351,575000,115,21.233,3522.24,115
1513.75,-4043.589599609375,79.8364,580000,116,22.0076,3508.52,116
2155.4,-2133.683349609375,41.4708,585000,117,20.0998,3414.18,117
1243.69,-3114.97802734375,57.2706,590000,118,22.3221,3493.53,118
2006.72,-2515.604248046875,33.0843,595000,119,21.0418,3396.84,119
2271.03,-2375.854248046875,47.8907,600000,120,21.4115,3502.51,120
2029.12,-2568.640380859375,46.3963,605000,121,21.2336,1394.69,121
1731.97,-2786.05712890625,31.6589,610000,122,22.8374,3047.97,122
1088.66,-3105.820068359375,54.6203,615000,123,20.7503,3237.48,123
2439.14,-771.3073120117188,22.6494,620000,124,21.0244,3170.67,124
1783.66,-2257.982421875,20.8845,625000,125,21.3301,3512.77,125
1558.31,-2921.364501953125,34.9644,630000,126,21.9352,3490.5,126
1737.38,-1992.39892578125,17.9988,635000,127,20.7661,3298.94,127
1693.23,-2748.74267578125,41.2086,640000,128,21.7156,1115.07,128
1682.57,-1964.440673828125,12.4171,645000,129,22.2337,3204.55,129
1213.85,-1876.063720703125,11.0114,650000,130,23.7207,1242.51,130
1775.74,-3961.320068359375,43.5628,655000,131,22.1825,2631.25,131
1255.74,-3466.644287109375,27.7684,660000,132,23.7265,3348.3,132
303.65,-3687.88671875,39.6954,665000,133,22.1316,933.73,133
1245.11,-3410.9853515625,26.0406,670000,134,22.3726,1216.75,134
1287.68,-3916.383056640625,43.6845,675000,135,22.1351,2735.08,135
1294.89,-3694.072998046875,45.2455,680000,136,23.8034,1319.16,136
1071.96,-2269.863525390625,10.9944,685000,137,21.602,1008.43,137
1115.31,-5377.14697265625,78.4314,690000,138,24.4553,1034.03,138
1020.5,-4183.25439453125,49.7465,695000,139,24.3951,963.2,139
1220.92,-4484.60693359375,76.5832,700000,140,22.0487,1374.16,140
1123.7,-5544.111328125,82.8708,705000,141,22.7778,1043.28,141
1260.09,-4928.5712890625,53.9542,710000,142,22.886,2307.11,142
1290.27,-5249.34814453125,85.1416,715000,143,24.7502,1058.4,143
1374.98,-5641.59130859375,47.8724,720000,144,23.4895,1142.44,144
1587.13,-5941.3779296875,94.6167,725000,145,23.9698,3433.07,145
1693.38,-4502.611328125,49.9583,730000,146,21.9681,3105.36,146
1114.09,-6807.35009765625,91.0149,735000,147,25.0696,1204.65,147
1073.36,-4946.5009765625,50.8723,740000,148,24.0759,1096.88,148
1402.69,-4801.05615234375,43.3151,745000,149,23.8332,1188.3,149
1170.1,-5231.34765625,63.858,750000,150,23.6656,1150.94,150
1532.19,-3209.02587890625,30.1659,755000,151,20.653,3449.78,151
1414.13,-4927.2431640625,56.043,760000,152,23.0461,1104.07,152
1582.79,-5257.09228515625,55.484,765000,153,23.5217,3378.61,153
931.66,-5470.669921875,36.6747,770000,154,24.7268,1795.64,154
1155.0,-5599.29833984375,45.0337,775000,155,23.3935,1522.95,155
1504.62,-5314.59716796875,55.6261,780000,156,23.4001,2207.84,156
1293.08,-4075.335205078125,17.0161,785000,157,23.5902,1073.83,157
1178.39,-6114.3330078125,50.0895,790000,158,24.093,1849.88,158
1352.72,-4229.04736328125,37.1414,795000,159,23.6923,2882.68,159
1624.51,-5760.46044921875,84.8269,800000,160,23.3608,3191.41,160
1720.36,-5461.7119140625,49.8176,805000,161,24.3611,1500.51,161
1316.59,-6251.02783203125,61.1718,810000,162,22.2408,3440.55,162
1872.71,-4046.064208984375,18.7304,815000,163,21.2023,1709.96,163
1757.16,-3388.20361328125,26.813,820000,164,20.6624,3487.35,164
1397.28,-6516.404296875,89.3536,825000,165,23.2382,1664.55,165
1049.27,-5873.25390625,62.7916,830000,166,23.9189,1064.14,166
1201.73,-6942.78076171875,124.1741,835000,167,23.6956,1000.21,167
1384.9,-4357.9130859375,25.0319,840000,168,22.8927,1834.94,168
1267.12,-5391.50732421875,24.3487,845000,169,22.1809,1501.8,169
1242.17,-6138.30615234375,62.4334,850000,170,22.5155,1230.43,170
1109.55,-7266.03564453125,91.7297,855000,171,25.0181,1202.4,171
1296.43,-6652.8662109375,37.7206,860000,172,24.715,1227.46,172
1167.41,-5559.76708984375,40.3979,865000,173,22.766,1684.41,173
1957.23,-3233.75390625,41.9309,870000,174,20.8757,3492.39,174
1360.39,-6082.74560546875,65.4602,875000,175,22.0288,1450.37,175
1916.58,-4141.6904296875,24.9339,880000,176,20.8981,2183.41,176
1418.84,-6922.6298828125,64.4067,885000,177,22.6687,2937.06,177
1497.43,-6923.169921875,81.2574,890000,178,23.8796,3482.13,178
1354.67,-7837.703125,81.7096,895000,179,23.6094,1266.09,179
1203.55,-7764.2099609375,37.8478,900000,180,24.9305,938.58,180
1569.8,-6158.19384765625,26.72,905000,181,22.2946,1411.12,181
2069.76,-3505.359130859375,34.4055,910000,182,20.8728,3501.38,182
1302.81,-7475.13427734375,36.4602,915000,183,25.1271,2879.86,183
1797.95,-7250.6162109375,28.7218,920000,184,22.8399,3335.58,184
1675.1,-5900.31396484375,53.882,925000,185,22.5763,2089.33,185
1244.69,-6095.49267578125,51.896,930000,186,21.4781,1258.16,186
1299.54,-7347.4892578125,52.4953,935000,187,22.9738,961.98,187
1297.13,-7504.64501953125,36.1635,940000,188,24.4705,3406.12,188
2249.34,-4406.09912109375,38.4379,945000,189,21.806,2250.05,189
1709.75,-4373.6572265625,38.9922,950000,190,21.8984,1437.26,190
