Reward Loss,Running Env Steps,Real Det Return,Running Update Time,Itration,Real Sto Return,Running Forward KL,Running Reverse KL
36.39501190185547,0,179.9,0,0,194.45,32.5637,17.5063
14.882810592651367,5000,293.7,1,1,303.78,30.6793,30.7188
15.940755844116211,10000,365.14,2,2,362.59,30.695,36.7968
13.309046745300293,15000,370.31,3,3,360.57,32.1246,35.1349
2.6343538761138916,20000,385.75,4,4,375.17,31.9871,36.9908
-2.225898265838623,25000,662.76,5,5,437.46,26.1816,43.3782
-1.6251355409622192,30000,421.94,6,6,391.08,27.7555,45.9554
-14.169301986694336,35000,448.06,7,7,431.34,27.7198,44.9792
-26.805225372314453,40000,414.13,8,8,358.86,25.8389,39.6297
-33.69198226928711,45000,448.54,9,9,430.24,27.0404,43.4411
-39.57387924194336,50000,553.55,10,10,514.36,27.2978,37.3448
-47.07139587402344,55000,629.03,11,11,590.13,25.9366,42.0736
-54.45798873901367,60000,630.51,12,12,603.3,25.8248,37.566
-63.66191101074219,65000,670.47,13,13,619.98,26.6715,40.0413
-70.1298828125,70000,733.09,14,14,670.42,26.1798,40.4192
-79.55575561523438,75000,702.11,15,15,688.33,25.8903,41.2169
-82.13438415527344,80000,1107.79,16,16,797.79,24.4505,41.2245
-88.66375732421875,85000,820.14,17,17,737.98,25.7708,39.0691
-89.4968490600586,90000,902.48,18,18,889.01,25.3459,35.5902
-84.12844848632812,95000,1457.09,19,19,1128.02,24.3253,34.4416
-96.85780334472656,100000,1092.75,20,20,1011.16,24.2614,36.8159
-104.14034271240234,105000,1085.66,21,21,1001.08,24.7606,34.6743
-91.09129333496094,110000,2776.05,22,22,1670.84,23.4789,28.7517
-31.142793655395508,115000,3039.29,23,23,2837.62,23.0937,16.6304
-115.71265411376953,120000,1181.3,24,24,1075.48,23.0758,22.6319
-112.0793685913086,125000,1135.77,25,25,1285.65,23.5332,21.8961
-113.6275634765625,130000,1123.53,26,26,1134.81,24.4935,18.7617
-117.13050079345703,135000,1143.45,27,27,1478.11,23.7289,18.6498
-127.55447387695312,140000,1025.09,28,28,1012.76,23.933,19.7424
-141.90139770507812,145000,918.25,29,29,1076.87,24.3939,22.3733
-61.359764099121094,150000,3009.08,30,30,2126.35,23.594,15.6472
-140.28530883789062,155000,1126.7,31,31,1344.43,24.0618,19.0753
-166.68963623046875,160000,1007.27,32,32,1057.39,24.4111,22.3504
-118.21812438964844,165000,2961.05,33,33,1680.97,24.1969,17.5861
-129.50125122070312,170000,1062.7,34,34,1744.44,23.2159,19.6793
-61.5833625793457,175000,2898.98,35,35,2600.03,24.6289,16.3214
-87.88031768798828,180000,2964.57,36,36,2493.89,24.0026,18.9815
-201.96754455566406,185000,1107.93,37,37,1082.08,25.1651,26.2756
-206.875,190000,1120.78,38,38,1111.21,24.9089,27.0792
-210.64401245117188,195000,1040.22,39,39,1105.41,23.8816,27.9865
-150.46963500976562,200000,1076.28,40,40,1513.81,24.0166,28.1748
-107.35213470458984,205000,1496.3,41,41,1899.05,23.5818,21.5518
-146.34605407714844,210000,1126.96,42,42,1503.51,23.6544,24.5702
-186.88121032714844,215000,1295.73,43,43,1296.44,24.1419,33.1198
-219.72657775878906,220000,1151.94,44,44,1656.38,24.6532,33.7634
-167.5573272705078,225000,2359.35,45,45,1640.75,23.6684,32.2223
-200.660888671875,230000,1304.72,46,46,1371.73,24.4444,32.822
-156.14669799804688,235000,3082.6,47,47,1719.96,23.8074,26.2142
-110.45207214355469,240000,2935.74,48,48,2520.55,23.8629,19.8776
-164.94400024414062,245000,1391.58,49,49,1827.71,23.0686,24.2075
-94.56725311279297,250000,3027.38,50,50,3031.07,24.4751,15.4527
-194.5242156982422,255000,2150.96,51,51,1730.25,23.5015,26.0825
-163.86508178710938,260000,2693.08,52,52,2116.0,23.2334,18.5852
-72.89744567871094,265000,3123.84,53,53,2826.94,25.2178,16.6031
-181.26025390625,270000,1747.69,54,54,1996.31,24.5393,19.446
-156.0952606201172,275000,3059.09,55,55,1885.45,23.872,20.0794
-111.46221923828125,280000,3083.0,56,56,2703.32,23.3378,14.8471
-127.71837615966797,285000,2963.97,57,57,2151.75,24.5213,16.2472
-159.54774475097656,290000,3108.5,58,58,2528.09,24.0779,17.4699
-140.1861114501953,295000,3111.16,59,59,2451.05,23.5239,15.7532
-168.029541015625,300000,3144.63,60,60,2269.81,24.1343,18.4756
