Running Env Steps,Running Forward KL,Itration,Running Update Time,Real Det Return,Running Reverse KL,Reward Loss,Real Sto Return
0,32.3282,0,0,235.15,25.2287,-1543.938232421875,228.41
5000,31.9294,1,1,222.26,33.517,-1720.879150390625,225.29
10000,30.814,2,2,220.12,16.2458,-1357.693359375,231.78
15000,31.7044,3,3,260.37,30.9992,-1746.573486328125,269.75
20000,32.6582,4,4,287.29,26.9553,-1618.671142578125,291.11
25000,29.9148,5,5,49.53,17.0603,-1428.280029296875,50.79
30000,37.453,6,6,64.5,63.9943,-2626.339111328125,63.85
35000,37.9022,7,7,993.46,42.0471,-2069.472412109375,991.97
40000,38.5438,8,8,989.96,50.3792,-2140.60888671875,990.17
45000,39.1782,9,9,993.45,50.1892,-2156.689697265625,993.58
50000,39.0853,10,10,982.81,44.0485,-2290.506103515625,985.24
55000,36.7733,11,11,1018.62,35.9262,-2209.1298828125,1018.64
60000,31.9822,12,12,108.17,34.0901,-2063.793701171875,107.84
65000,36.2859,13,13,999.99,24.6518,-2284.586181640625,998.21
70000,32.0835,14,14,153.36,25.6611,-2470.593505859375,364.25
75000,31.5112,15,15,251.25,21.2871,-2146.656005859375,273.31
80000,30.2413,16,16,353.04,51.7181,-2486.215087890625,310.82
85000,32.7416,17,17,222.69,52.451,-2133.87255859375,230.4
90000,38.5072,18,18,991.56,48.4637,-2656.610595703125,991.0
95000,31.8651,19,19,278.67,19.0459,-2243.370361328125,277.52
100000,29.0961,20,20,308.32,28.2482,-2295.72412109375,317.98
105000,38.5027,21,21,992.09,37.2907,-2794.365478515625,991.03
110000,31.0326,22,22,490.28,25.5127,-2460.49560546875,465.43
115000,30.6889,23,23,416.73,16.7593,-1770.2293701171875,463.23
120000,31.8858,24,24,803.74,24.3584,-2635.39453125,734.68
125000,35.4039,25,25,1028.06,59.4954,-3145.7958984375,831.01
130000,33.9254,26,26,660.81,34.6588,-3015.638427734375,904.49
135000,39.4128,27,27,976.89,50.6116,-3134.933837890625,976.92
140000,37.4727,28,28,984.17,40.882,-3162.250732421875,983.29
145000,39.5808,29,29,993.14,38.0353,-3176.5986328125,917.8
150000,34.0381,30,30,709.9,31.8801,-3274.21875,826.7
155000,36.126,31,31,1030.12,35.6061,-3367.3017578125,972.04
160000,33.9808,32,32,1016.19,38.3993,-3367.98486328125,852.96
165000,37.3726,33,33,1009.68,38.7935,-3512.4853515625,1009.85
170000,34.4162,34,34,1048.52,30.3907,-3516.69921875,1045.87
175000,32.6409,35,35,355.11,26.1911,-3155.27490234375,584.32
180000,32.331,36,36,975.3,35.4893,-3384.236572265625,854.81
185000,30.036,37,37,694.48,26.1399,-2896.593994140625,332.7
190000,40.4312,38,38,972.14,50.666,-3761.03076171875,971.87
195000,40.1936,39,39,971.33,53.2421,-3801.027587890625,970.98
200000,33.3817,40,40,1062.46,27.8327,-3672.576904296875,1063.46
205000,39.4661,41,41,1012.64,38.9965,-3789.266845703125,1012.54
210000,39.9857,42,42,1013.11,40.6059,-3796.884033203125,1013.16
215000,35.4229,43,43,1040.33,42.4257,-4040.306884765625,1040.29
220000,33.9396,44,44,1033.28,51.9147,-4155.333984375,1033.45
225000,34.7412,45,45,1053.93,35.2143,-4145.1416015625,1054.68
230000,34.4955,46,46,1049.96,35.8834,-4232.3544921875,1049.68
235000,34.4004,47,47,1034.8,49.571,-4350.01220703125,1034.86
240000,39.4142,48,48,985.78,46.9166,-4329.0830078125,984.68
245000,40.4105,49,49,969.71,51.1196,-4432.048828125,263.79
250000,34.9494,50,50,1020.75,44.6496,-4532.25830078125,1022.82
255000,34.0061,51,51,1043.95,38.0204,-4482.60693359375,995.19
260000,40.054,52,52,1002.82,35.4424,-4475.84765625,1002.02
265000,33.2186,53,53,1058.51,32.6935,-4557.96630859375,1059.94
270000,31.617,54,54,1036.7,27.6428,-4190.525390625,948.91
275000,33.9164,55,55,1042.09,42.9573,-4781.94287109375,990.89
280000,34.5063,56,56,1034.71,35.6356,-4697.49462890625,1039.82
285000,32.069,57,57,1054.24,38.6875,-4734.75439453125,960.44
290000,34.6672,58,58,1055.34,37.5409,-4748.58984375,1054.9
295000,34.5967,59,59,1064.41,36.7952,-4709.755859375,1064.51
300000,34.2016,60,60,1062.35,34.3298,-4995.099609375,1062.57
305000,29.0494,61,61,1065.51,35.5471,-3900.465576171875,575.42
310000,29.2364,62,62,512.67,31.4375,-3385.070068359375,543.64
315000,33.778,63,63,1061.82,41.9219,-5147.56298828125,1062.36
320000,33.8363,64,64,1055.3,47.321,-5360.98583984375,1055.31
325000,34.7667,65,65,1063.8,40.5923,-5233.74462890625,1063.91
330000,34.3257,66,66,1063.61,40.7256,-5413.5478515625,1063.36
335000,40.8835,67,67,973.5,54.3231,-5502.5673828125,973.0
340000,36.623,68,68,1053.99,42.5154,-5655.06591796875,1053.25
345000,37.9798,69,69,1011.56,50.5452,-5430.2724609375,1011.42
350000,37.5906,70,70,1013.74,39.4063,-5381.01220703125,1014.26
355000,32.2205,71,71,413.23,37.6407,-4995.32373046875,415.22
360000,37.295,72,72,1031.2,34.4108,-5525.904296875,1031.34
365000,36.6762,73,73,1007.25,33.2606,-5549.404296875,1006.22
370000,35.8364,74,74,979.47,42.0466,-5793.46240234375,977.87
375000,33.4439,75,75,1062.64,31.4072,-5623.16357421875,1062.25
380000,30.4072,76,76,166.27,105.0638,-4609.1962890625,165.85
385000,31.909,77,77,406.48,30.6832,-5322.7666015625,385.91
390000,28.5174,78,78,499.82,21.0418,-3705.35205078125,522.95
395000,28.0079,79,79,313.94,26.7241,-3194.125,354.45
400000,26.8128,80,80,285.16,17.7826,-2998.19140625,274.57
405000,33.9431,81,81,1041.8,30.3826,-6460.0537109375,1042.18
410000,29.742,82,82,436.45,18.5902,-3030.721923828125,403.6
415000,32.5501,83,83,658.69,22.1955,-6042.6103515625,596.66
420000,40.6793,84,84,986.44,53.4907,-6437.8681640625,986.29
425000,34.1477,85,85,1003.94,39.5327,-6532.50390625,929.29
430000,31.0969,86,86,154.33,75.6223,-5481.22900390625,185.46
435000,36.606,87,87,982.51,48.0579,-6648.2958984375,981.3
440000,33.6029,88,88,1052.29,33.8557,-6723.25634765625,1047.12
445000,33.4359,89,89,1062.78,36.0494,-6544.82177734375,1062.72
450000,38.4541,90,90,1028.77,30.1187,-6544.16455078125,1030.48
455000,39.0778,91,91,1008.3,52.1841,-6716.681640625,1008.08
460000,37.9201,92,92,1010.62,40.3419,-6743.16259765625,1010.42
465000,37.6365,93,93,1018.45,38.6146,-6763.70654296875,1019.69
470000,37.6973,94,94,998.92,24.8623,-6944.07080078125,1000.85
475000,39.0016,95,95,974.25,47.8997,-7179.51123046875,972.89
480000,37.7116,96,96,1027.76,33.8251,-6779.36767578125,1027.92
485000,32.8632,97,97,85.82,26.6639,-6239.32080078125,91.64
490000,34.0548,98,98,1062.38,35.1519,-7080.75146484375,1006.13
495000,36.9916,99,99,1055.67,42.3366,-7612.06298828125,1056.09
500000,39.7033,100,100,1014.44,52.3127,-7358.43603515625,1013.78
505000,36.6035,101,101,1041.04,29.8484,-7383.396484375,1039.91
510000,38.7478,102,102,1026.8,35.9232,-7408.44287109375,1026.74
515000,38.4877,103,103,1038.69,36.3118,-7529.0283203125,1022.36
520000,35.0612,104,104,960.8,36.2511,-7849.74658203125,911.77
525000,31.6331,105,105,429.09,95.5282,-6798.5224609375,364.27
530000,33.242,106,106,1043.94,41.2236,-8027.4716796875,919.11
535000,37.7228,107,107,1025.73,46.8052,-7733.71240234375,1025.7
540000,34.6929,108,108,1049.89,52.515,-8191.328125,1049.37
545000,39.7654,109,109,972.87,56.4951,-8177.3095703125,972.48
550000,38.091,110,110,1043.77,48.0172,-8135.828125,1043.79
555000,37.3035,111,111,982.89,38.3506,-8334.4150390625,983.6
560000,36.6797,112,112,1063.37,32.2486,-8149.11669921875,1063.27
565000,29.0904,113,113,69.45,45.7843,-6709.83056640625,123.24
570000,39.2103,114,114,1043.35,33.4276,-8548.912109375,1043.0
575000,40.4293,115,115,992.39,37.4861,-8613.92578125,992.68
580000,40.1158,116,116,996.57,41.4912,-8592.78125,995.55
585000,40.4916,117,117,995.1,49.9664,-8659.203125,995.15
590000,27.8307,118,118,942.59,20.6217,-6257.6640625,821.14
595000,29.1866,119,119,705.79,75.4034,-4901.505859375,702.73
600000,34.5276,120,120,1027.85,38.3997,-8687.171875,1028.07
605000,38.1423,121,121,1015.64,39.1236,-8942.5107421875,1011.54
610000,40.6435,122,122,150.67,66.6766,-9287.3330078125,158.48
615000,34.8683,123,123,1047.86,37.9456,-9084.8408203125,1047.84
620000,35.8106,124,124,411.94,43.6377,-9459.259765625,788.79
625000,36.817,125,125,990.89,44.0009,-9311.4345703125,990.05
630000,34.5558,126,126,1050.37,34.1479,-9186.2841796875,1049.45
