Running Reverse KL,Itration,Reward Loss,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Running Forward KL
12.9909,0,115.94542694091797,0,308.72,268.87,0,49.0092
21.8663,1,-37.762596130371094,1,322.83,325.52,5000,50.1621
14.0444,2,201.2985382080078,2,325.51,308.14,10000,49.1632
12.8263,3,114.25144958496094,3,460.32,418.47,15000,49.2758
27.9693,4,281.1966552734375,4,362.29,277.07,20000,49.8737
22.5534,5,198.7275390625,5,438.03,468.72,25000,49.0598
15.0111,6,202.14505004882812,6,575.61,713.65,30000,49.5925
15.7514,7,165.76719665527344,7,547.84,667.59,35000,49.5017
15.7879,8,167.95571899414062,8,620.27,1081.1,40000,50.2207
44.1856,9,-180.46421813964844,9,649.11,652.49,45000,49.0959
19.2681,10,-183.1749725341797,10,643.34,694.89,50000,49.0134
16.8426,11,-135.6702880859375,11,575.84,672.76,55000,48.4273
16.0955,12,-100.2740707397461,12,524.23,631.46,60000,48.8648
22.7105,13,-129.4038848876953,13,682.78,691.09,65000,48.0834
20.1061,14,-175.90721130371094,14,694.59,682.61,70000,47.8199
26.1125,15,-236.25448608398438,15,545.78,629.13,75000,48.7506
23.3484,16,-244.33157348632812,16,887.94,826.04,80000,48.4604
35.9404,17,-237.114990234375,17,616.04,675.96,85000,48.9849
22.2541,18,-247.98170471191406,18,810.7,793.39,90000,47.4746
26.0915,19,-146.20962524414062,19,660.23,732.93,95000,48.6567
19.1176,20,-198.54002380371094,20,757.1,773.33,100000,47.8956
18.3412,21,-176.75863647460938,21,810.62,834.73,105000,47.9958
15.8776,22,-244.27133178710938,22,903.62,913.69,110000,47.5172
16.2286,23,-212.73199462890625,23,833.91,834.02,115000,47.1748
14.8536,24,-111.77921295166016,24,974.35,1000.7,120000,47.3152
16.5179,25,-152.65187072753906,25,925.6,951.06,125000,46.2689
17.4365,26,-214.1324920654297,26,849.69,886.09,130000,47.4993
16.0075,27,-192.16604614257812,27,969.67,1142.45,135000,46.433
18.6853,28,-175.5814208984375,28,1198.57,1340.79,140000,46.1139
20.5854,29,-308.48193359375,29,1216.0,1169.04,145000,47.5206
18.1164,30,-275.19683837890625,30,1399.08,1239.81,150000,46.8701
18.1587,31,-309.3657531738281,31,1233.57,1454.05,155000,46.4107
16.4789,32,-192.46536254882812,32,1940.18,2125.88,160000,45.7601
17.5436,33,-323.78594970703125,33,1330.5,1365.87,165000,46.3101
16.6602,34,-298.42498779296875,34,1357.09,1305.79,170000,45.6254
17.5118,35,-275.2652282714844,35,1894.69,3593.95,175000,45.039
17.3134,36,-279.777099609375,36,2141.94,2715.14,180000,45.5851
21.5742,37,-201.25564575195312,37,3254.03,3233.59,185000,45.7392
21.7111,38,-174.7042236328125,38,3429.27,3674.26,190000,46.5859
24.0801,39,-186.62759399414062,39,3456.99,3617.44,195000,46.6292
20.5735,40,-201.13206481933594,40,3550.31,3753.98,200000,45.1017
19.1873,41,-238.55116271972656,41,3288.42,3489.29,205000,45.8917
22.8729,42,-198.77561950683594,42,3533.54,3675.91,210000,45.9344
25.6979,43,-208.35467529296875,43,3628.27,3611.97,215000,48.0191
21.9206,44,-221.97129821777344,44,3480.54,3638.84,220000,46.1531
21.0634,45,-237.81857299804688,45,3608.04,3620.16,225000,46.0907
19.3086,46,-240.1768798828125,46,3698.16,3674.43,230000,45.227
19.9595,47,-243.5859375,47,3709.44,3861.11,235000,46.4567
21.7132,48,-262.5677185058594,48,3704.34,3886.28,240000,45.778
21.8291,49,-261.7572021484375,49,3599.74,3576.29,245000,45.956
18.224,50,-321.224609375,50,1664.82,3744.34,250000,45.5683
30.1156,51,-480.1724548339844,51,-22.35,-22.66,255000,51.3352
24.8289,52,-293.33740234375,52,3619.82,3594.63,260000,46.6084
17.5253,53,-439.5962219238281,53,1955.19,655.25,265000,46.1878
20.5381,54,-267.78765869140625,54,3791.89,3778.19,270000,46.1057
19.5429,55,-281.3503112792969,55,3706.9,3741.79,275000,44.9186
22.2261,56,-288.200927734375,56,3832.09,3912.4,280000,45.5814
24.063,57,-303.69927978515625,57,3817.3,3883.56,285000,45.5301
25.6138,58,-315.8232727050781,58,3825.83,3850.67,290000,46.4277
22.7414,59,-334.8738098144531,59,3569.66,3796.3,295000,45.559
22.7034,60,-310.2613830566406,60,3895.01,3919.0,300000,45.6968
24.9627,61,-332.6263732910156,61,3869.79,3899.65,305000,46.8597
27.9249,62,-490.976806640625,62,3290.66,3733.85,310000,47.6493
25.3104,63,-437.78778076171875,63,21.45,6.77,315000,47.4703
24.3683,64,-338.7818908691406,64,3947.39,3944.99,320000,45.8713
23.5041,65,-329.861572265625,65,3961.72,3972.37,325000,45.6195
22.975,66,-356.40704345703125,66,3820.67,3839.73,330000,45.3633
22.6995,67,-358.53851318359375,67,3853.35,3862.67,335000,44.6943
19.6021,68,-361.0152893066406,68,3268.3,3831.16,340000,44.1275
22.1352,69,-403.35211181640625,69,3310.23,3657.82,345000,46.5633
19.7935,70,-380.91754150390625,70,3690.37,3821.47,350000,45.1688
32.813,71,-666.1470947265625,71,989.61,720.51,355000,47.5147
23.9139,72,-423.9053039550781,72,3794.59,3790.69,360000,45.9689
22.6529,73,-720.344482421875,73,-6.16,-5.8,365000,52.8252
28.4049,74,-427.96295166015625,74,0.11,1.15,370000,45.0771
23.6994,75,-407.3704833984375,75,3631.01,3861.95,375000,44.3329
19.6973,76,-379.2957763671875,76,3927.21,4051.46,380000,43.8265
20.1585,77,-422.4753723144531,77,3680.95,3842.9,385000,44.07
26.2842,78,-722.968017578125,78,-0.69,-0.81,390000,54.327
24.0968,79,-464.4436950683594,79,3820.97,3850.45,395000,44.9899
20.2795,80,-459.0718078613281,80,3436.63,3608.6,400000,45.0902
26.1276,81,-553.2348022460938,81,3719.89,3851.92,405000,45.5505
48.8579,82,-599.3187255859375,82,46.55,40.13,410000,54.5667
24.7259,83,-499.460205078125,83,3797.98,3873.67,415000,45.2735
45.4734,84,-612.420654296875,84,-28.71,-29.54,420000,55.6895
18.1625,85,-696.9020385742188,85,1549.25,1058.1,425000,46.7066
22.879,86,-504.5882568359375,86,3814.36,3918.13,430000,44.8786
21.8592,87,-507.6044921875,87,3559.83,3837.98,435000,44.5342
23.8347,88,-523.5208740234375,88,3856.43,3936.25,440000,44.0627
23.6751,89,-456.6540222167969,89,2560.35,290.98,445000,47.0483
19.8351,90,-514.8036499023438,90,3334.62,1032.98,450000,43.2727
24.7323,91,-334.0945739746094,91,-24.88,-22.97,455000,52.0014
44.7268,92,-828.607177734375,92,49.26,13.17,460000,55.2222
22.2532,93,-544.7039794921875,93,3661.19,3848.74,465000,43.8809
21.552,94,-644.881103515625,94,3443.56,3600.1,470000,43.9557
23.2046,95,-589.1698608398438,95,3489.32,3675.39,475000,45.1466
23.9459,96,-828.0916748046875,96,991.52,1004.01,480000,53.2644
20.257,97,-709.6746826171875,97,1711.04,737.52,485000,44.476
22.2827,98,-606.6729125976562,98,3285.33,3768.92,490000,44.6898
18.8912,99,-562.0148315429688,99,3455.23,3848.02,495000,43.2396
63.7614,100,-719.526611328125,100,-16.69,-16.74,500000,54.1877
22.1763,101,-624.8720092773438,101,3592.79,3751.81,505000,43.936
19.59,102,-606.3110961914062,102,3892.45,3922.82,510000,43.8537
19.0855,103,-628.6049194335938,103,2808.06,3726.9,515000,43.993
17.4101,104,-640.051025390625,104,3787.39,3990.08,520000,43.5319
20.7944,105,-622.8099365234375,105,3938.49,3961.66,525000,44.0603
18.8661,106,-594.3880004882812,106,4061.11,3976.28,530000,42.5627
32.0762,107,-914.3231201171875,107,1290.19,2025.71,535000,44.6748
19.8868,108,-598.9443359375,108,4109.32,4127.25,540000,42.325
18.1527,109,-618.0438842773438,109,4040.14,4028.91,545000,42.6413
18.7259,110,-611.6526489257812,110,4053.66,4127.19,550000,43.2011
17.5256,111,-572.5823974609375,111,4028.07,4079.36,555000,41.7618
25.847,112,-926.9666137695312,112,2201.48,451.05,560000,44.7765
27.1043,113,-996.2446899414062,113,65.48,12.6,565000,53.0127
17.8221,114,-703.5109252929688,114,3862.94,4138.46,570000,43.863
17.4098,115,-698.047607421875,115,3506.0,4017.24,575000,43.188
18.0886,116,-697.3766479492188,116,3795.4,3810.24,580000,43.3861
34.8928,117,-835.3593139648438,117,1625.22,973.17,585000,44.2577
19.2342,118,-728.5830078125,118,3893.97,4112.9,590000,42.8755
23.358,119,-968.9183349609375,119,2251.38,1934.47,595000,45.0199
16.5506,120,-690.612060546875,120,3904.31,3869.75,600000,42.0066
13.245,121,-684.032470703125,121,3502.62,4054.96,605000,42.026
17.7674,122,-849.8477783203125,122,1879.56,43.14,610000,45.2156
19.3019,123,-734.3214721679688,123,4037.94,4187.93,615000,43.4694
16.8455,124,-870.3872680664062,124,1201.88,2115.43,620000,43.703
17.0367,125,-769.4736938476562,125,3729.11,4148.12,625000,43.1211
16.9776,126,-791.648193359375,126,3746.63,3553.37,630000,42.5103
17.1355,127,-751.2611083984375,127,3904.01,4141.15,635000,42.5245
16.5835,128,-709.112060546875,128,4005.96,4037.02,640000,43.1208
17.1174,129,-731.27490234375,129,4212.81,4279.75,645000,42.7084
15.7846,130,-701.5828247070312,130,4197.51,4213.26,650000,42.1936
15.968,131,-754.2064208984375,131,3361.44,4100.98,655000,43.1241
16.5761,132,-819.097412109375,132,3656.85,4057.36,660000,42.9506
16.8038,133,-760.7294921875,133,4099.26,4085.42,665000,42.5051
17.5407,134,-772.7627563476562,134,4168.27,4234.44,670000,43.0708
17.355,135,-820.4420776367188,135,3989.18,4299.72,675000,43.4279
15.4754,136,-796.0078125,136,4071.8,4255.63,680000,42.1907
17.6004,137,-802.0036010742188,137,4055.66,4215.55,685000,42.0103
17.1086,138,-847.4696655273438,138,3976.65,3921.12,690000,42.9869
14.7201,139,-777.13818359375,139,3949.32,4026.85,695000,41.6954
17.9243,140,-909.5657958984375,140,1930.87,2911.05,700000,43.1329
19.0339,141,-844.3994750976562,141,2002.82,2491.27,705000,44.2414
17.2067,142,-866.6683349609375,142,4078.66,4125.82,710000,42.4098
18.5453,143,-877.49609375,143,4126.35,4171.31,715000,42.9033
19.6964,144,-880.4540405273438,144,4259.21,4286.34,720000,43.2806
16.5257,145,-848.269287109375,145,4237.03,4251.32,725000,42.9209
16.7866,146,-893.6920166015625,146,3898.73,4285.78,730000,43.3822
16.8664,147,-857.0006713867188,147,4199.89,4268.83,735000,41.9555
15.2003,148,-864.5381469726562,148,4027.11,4323.87,740000,42.6149
16.2219,149,-843.6473999023438,149,4230.05,4296.63,745000,42.3936
16.7472,150,-937.6580200195312,150,4155.47,4252.14,750000,43.0493
15.33,151,-857.4122924804688,151,4268.46,4332.29,755000,42.4947
17.764,152,-907.7571411132812,152,4296.67,4357.92,760000,42.405
18.5355,153,-818.1558227539062,153,2844.51,4240.78,765000,42.1713
16.2093,154,-934.7826538085938,154,4186.0,4252.5,770000,42.664
16.8605,155,-967.1987915039062,155,4033.85,4138.26,775000,43.5566
