Running Forward KL,Running Reverse KL,Real Sto Return,Itration,Real Det Return
36.8904,20.5694,173.43,0,150.06
32.9571,32.4124,390.41,1,337.39
33.3804,18.1206,420.33,2,479.43
32.6165,15.6244,482.44,3,511.59
33.4075,17.7033,391.09,4,412.87
31.6135,18.1554,1549.44,5,1220.89
31.4986,19.0378,1048.46,6,924.65
31.0004,17.2417,2153.7,7,2108.72
31.275,16.9519,2633.63,8,2740.69
30.6909,17.3301,1862.43,9,2520.39
29.6663,22.1261,1410.03,10,2429.8
30.7618,16.7193,2245.96,11,3024.48
29.5409,16.7229,1661.49,12,3089.28
30.3633,16.4168,2332.76,13,3078.48
30.3748,23.1111,1314.76,14,1133.91
30.9004,16.4802,2975.72,15,3078.49
30.8042,16.6871,2853.93,16,3041.73
30.7151,17.4222,2754.14,17,3048.62
31.0527,17.3608,2714.0,18,3108.22
30.9872,17.2006,2810.4,19,3101.51
30.4947,16.7026,2750.16,20,3091.03
31.7389,19.3964,1776.77,21,2531.44
30.7415,17.0511,2874.68,22,3119.85
30.6581,16.8574,2747.55,23,3092.51
30.8995,16.4036,2803.61,24,3107.86
30.8439,17.4042,2989.72,25,2994.49
30.1765,16.7117,3052.14,26,3045.2
30.2382,16.1682,2989.64,27,2999.21
29.3222,15.159,3061.26,28,3089.24
28.9657,15.69,2613.72,29,3112.68
30.1209,15.9648,2984.08,30,3099.38
29.6299,15.3615,2981.76,31,3051.23
27.7438,14.5519,2939.19,32,3136.72
