Running Forward KL,Running Reverse KL,Real Sto Return,Itration,Real Det Return
49.5946,13.5424,433.87,0,371.56
49.3987,12.3627,398.71,1,348.47
49.0526,14.8895,319.96,2,338.96
48.8953,13.7381,420.02,3,398.48
48.9951,13.3444,382.33,4,344.88
48.3733,14.1524,509.14,5,518.3
48.1238,15.8525,508.44,6,634.67
49.1354,15.201,447.37,7,440.93
48.4007,15.4216,462.39,8,549.88
47.9471,13.1141,453.15,9,468.7
47.3056,16.2164,857.37,10,774.7
48.0267,20.1297,738.57,11,713.22
47.5838,19.2272,1784.33,12,2286.39
46.78,20.0926,1239.4,13,1470.95
47.1814,17.8368,1055.04,14,1123.11
47.2922,27.8345,1103.28,15,1409.77
46.9582,24.9324,1238.02,16,1776.93
