Running Env Steps,Running Reverse KL,Real Sto Return,Running Forward KL,Running Update Time,Real Det Return,Itration,Reward Loss
0,13.0633,428.77,48.9929,0,466.56,0,-27.02469253540039
5000,13.2434,340.89,48.7853,1,307.17,1,-137.9197540283203
10000,13.4532,417.25,49.6711,2,474.52,2,-250.67910766601562
15000,15.4259,336.01,49.1972,3,347.07,3,-338.42413330078125
20000,19.2516,630.8,49.0387,4,1930.18,4,7.342000961303711
25000,20.6297,397.64,49.6932,5,395.99,5,-1036.605712890625
30000,23.8483,540.27,48.4087,6,485.4,6,-1297.4029541015625
35000,19.6526,575.76,48.1432,7,366.24,7,-1085.2664794921875
40000,32.9109,795.39,47.4343,8,792.27,8,-683.6129760742188
45000,23.7907,1531.81,46.8502,9,2211.68,9,-378.1398010253906
50000,26.4658,1029.4,47.2096,10,1427.19,10,-537.5567016601562
55000,18.7692,1212.89,47.8907,11,1586.57,11,-680.69775390625
60000,16.2368,1107.84,47.2116,12,1483.03,12,-677.0882568359375
65000,14.9711,1038.73,46.918,13,649.68,13,-950.4159545898438
70000,14.27,797.63,47.2497,14,593.57,14,-1176.6611328125
75000,17.8118,759.55,47.3326,15,1107.67,15,-912.5486450195312
80000,19.7968,927.25,47.4676,16,804.95,16,-893.3133544921875
85000,18.8706,1129.55,47.1336,17,645.56,17,-668.9368896484375
90000,17.7092,1056.12,47.2382,18,1526.96,18,-1233.101318359375
95000,24.892,1980.06,46.8609,19,2094.61,19,-1085.8883056640625
100000,21.8552,2262.39,47.6985,20,2944.16,20,-1086.8868408203125
105000,22.4756,1738.78,47.2254,21,2553.8,21,-824.8653564453125
110000,26.728,2537.17,47.5335,22,3074.76,22,-737.9818115234375
115000,26.0158,2257.18,46.8778,23,3215.8,23,-971.73095703125
120000,23.6426,2131.63,47.182,24,3161.07,24,-1286.8284912109375
125000,24.8139,2007.66,46.9122,25,3068.94,25,-1322.2305908203125
130000,28.77,2149.88,47.0434,26,3038.07,26,-1488.4278564453125
135000,27.4333,2144.23,47.149,27,3053.89,27,-1344.06982421875
140000,29.8757,2120.69,46.8155,28,2977.37,28,-1516.669921875
145000,22.5971,2578.38,46.7689,29,3157.08,29,-1462.8853759765625
150000,29.565,2213.35,46.4158,30,3234.99,30,-1478.114501953125
155000,25.657,2439.01,47.5327,31,3027.24,31,-1747.6229248046875
160000,31.5645,2016.62,46.7585,32,3178.86,32,-1665.549560546875
165000,39.1279,2421.07,46.6502,33,3131.76,33,-1710.317626953125
170000,29.4813,1693.62,46.6006,34,3007.14,34,-1944.7432861328125
175000,29.7935,1395.4,46.938,35,2489.22,35,-2048.3125
180000,27.502,1854.03,46.9027,36,3077.07,36,-1864.0687255859375
185000,22.1711,2157.87,46.6945,37,2903.54,37,-1895.708984375
