Running Forward KL,Itration,Real Sto Return,Running Reverse KL,Reward Loss,Running Env Steps,Real Det Return,Running Update Time
444.0937,0,246.56,255.6714,-2513.200927734375,0,158.34,0
425.795,1,314.1,271.5142,-7090.39208984375,5000,309.25,1
428.1089,2,407.44,247.8357,-6669.25048828125,10000,336.99,2
427.9049,3,440.46,249.9823,-6872.98388671875,15000,346.4,3
428.3809,4,341.77,256.6634,-5672.06640625,20000,338.57,4
427.0106,5,349.38,250.6131,-12521.185546875,25000,388.02,5
417.8108,6,376.51,279.9264,-14546.61328125,30000,399.67,6
418.7,7,396.74,285.7387,-13345.931640625,35000,536.48,7
409.5306,8,483.39,251.2879,-16442.03125,40000,482.2,8
403.016,9,458.31,256.3809,-18190.615234375,45000,571.11,9
395.3386,10,423.64,272.8177,-20804.58203125,50000,489.24,10
383.261,11,505.46,300.0349,-21789.38671875,55000,603.15,11
376.8859,12,509.56,274.585,-20153.142578125,60000,522.0,12
379.8272,13,603.91,289.4971,-23210.58203125,65000,634.18,13
379.915,14,570.95,276.5469,-23760.314453125,70000,592.91,14
379.9627,15,552.88,277.2827,-21125.912109375,75000,590.3,15
368.8675,16,562.53,258.9311,-20316.796875,80000,671.05,16
379.4754,17,610.55,317.7135,-27252.16796875,85000,721.39,17
362.0881,18,640.77,311.3382,-29253.05859375,90000,572.06,18
351.2766,19,652.78,259.8653,-26864.8828125,95000,940.31,19
351.5995,20,884.1,242.9037,-26542.861328125,100000,841.69,20
341.6526,21,709.52,264.5779,-24891.275390625,105000,482.82,21
356.2595,22,573.11,325.6623,-34477.34765625,110000,395.57,22
363.7962,23,655.93,243.7998,-29305.994140625,115000,701.98,23
358.551,24,818.65,269.0919,-26893.62109375,120000,813.23,24
366.7778,25,734.99,302.5826,-34106.046875,125000,752.17,25
369.2798,26,755.69,267.6969,-31748.76171875,130000,1038.1,26
358.2298,27,831.63,246.6831,-30550.69140625,135000,711.3,27
360.0014,28,783.94,284.7938,-37167.34765625,140000,699.29,28
372.3596,29,804.15,266.3455,-33478.44140625,145000,618.69,29
347.1233,30,1211.47,223.8834,-32488.29296875,150000,940.98,30
322.8935,31,1447.78,180.5361,-25501.376953125,155000,1132.8,31
337.2722,32,1305.58,207.6047,-34634.9375,160000,1087.77,32
327.3601,33,1232.21,204.7456,-29733.455078125,165000,987.51,33
321.2374,34,1314.71,209.0662,-31189.537109375,170000,1132.79,34
332.6669,35,1560.5,249.3159,-39196.22265625,175000,880.98,35
331.3848,36,1327.35,233.5102,-34196.2421875,180000,1486.06,36
335.7911,37,1610.21,248.0827,-38556.5859375,185000,1041.92,37
316.822,38,1609.94,205.0315,-31853.21484375,190000,1909.64,38
322.594,39,1704.59,260.7576,-42303.80859375,195000,1317.64,39
314.8721,40,2138.62,208.8377,-33860.2578125,200000,2517.2,40
302.2296,41,1865.54,140.9991,-23989.130859375,205000,2208.31,41
343.0743,42,1383.99,219.1894,-32594.16015625,210000,1357.64,42
335.0779,43,1232.25,265.5424,-43536.9296875,215000,2456.59,43
308.3758,44,1653.36,250.602,-41544.640625,220000,1232.37,44
313.342,45,3204.9,174.8833,-31533.619140625,225000,3185.27,45
296.2423,46,2315.92,169.089,-32218.30859375,230000,2530.93,46
315.8797,47,1567.65,183.0148,-32301.603515625,235000,418.94,47
304.698,48,2208.58,154.3144,-30425.40625,240000,2520.05,48
292.5167,49,3080.39,138.0109,-24151.4609375,245000,590.51,49
321.409,50,2409.3,186.1272,-35639.9765625,250000,1689.35,50
313.1785,51,3140.51,162.2651,-31026.673828125,255000,4072.17,51
299.1371,52,2148.37,148.3255,-32320.40625,260000,1319.03,52
315.8529,53,1882.44,178.469,-35603.48046875,265000,1944.69,53
312.5934,54,2863.8,138.7564,-25540.84765625,270000,2516.08,54
313.8897,55,3215.87,147.1985,-27955.76171875,275000,760.44,55
304.3521,56,3221.05,171.5044,-34935.33203125,280000,1156.19,56
319.728,57,2546.5,220.4289,-44653.73046875,285000,2026.41,57
295.9485,58,2744.49,173.6835,-35996.2578125,290000,874.16,58
284.6289,59,4406.99,88.9411,-15620.12890625,295000,3081.64,59
321.9102,60,2348.89,171.4683,-30820.974609375,300000,2345.45,60
309.8946,61,4246.69,184.11,-37805.65625,305000,4042.17,61
280.8109,62,3962.74,93.6089,-14781.126953125,310000,1481.71,62
287.3886,63,4000.92,115.3086,-23389.615234375,315000,2269.31,63
298.8582,64,3414.74,127.436,-27363.826171875,320000,1501.09,64
284.3456,65,3536.61,104.1668,-21270.58203125,325000,2373.95,65
296.7414,66,3061.52,105.1585,-18425.794921875,330000,2648.52,66
302.0606,67,2329.23,135.753,-27526.41796875,335000,1618.97,67
299.284,68,4080.33,125.007,-26338.34375,340000,943.25,68
278.0317,69,4857.16,75.1368,-14666.103515625,345000,2103.71,69
302.0061,70,4336.08,113.6214,-21741.337890625,350000,3846.86,70
302.6501,71,3778.49,120.9298,-25823.23828125,355000,3238.16,71
284.0551,72,3628.02,69.0151,-16681.40234375,360000,2202.24,72
279.8267,73,4162.73,82.8409,-20925.74609375,365000,3812.25,73
285.5761,74,4722.33,104.9671,-23029.140625,370000,3689.59,74
