Reward Loss,Itration,Running Update Time,Real Sto Return,Running Forward KL,Real Det Return,Running Env Steps,Running Reverse KL
113.10765838623047,0,0,-98.4,75.584,408.55,0,28.1619
3.65938401222229,1,1,-39.71,73.7047,608.94,5000,26.1851
-46.59309768676758,2,2,14.0,72.7483,659.17,10000,26.7606
-106.52864074707031,3,3,8.06,73.8625,522.54,15000,28.225
-126.74325561523438,4,4,61.32,70.6944,862.02,20000,28.3765
-155.5410614013672,5,5,146.38,70.5138,695.33,25000,29.539
-224.6776580810547,6,6,145.03,70.1416,863.22,30000,29.1052
-272.1337890625,7,7,218.44,73.4825,776.55,35000,30.8721
-330.03448486328125,8,8,165.66,73.391,844.84,40000,32.3021
-389.4049072265625,9,9,342.75,69.2937,1179.32,45000,30.7145
-442.2718811035156,10,10,250.23,69.1384,1044.94,50000,30.7537
-491.1678466796875,11,11,397.22,69.575,1292.34,55000,31.6779
-561.0521850585938,12,12,318.38,71.0827,1148.05,60000,31.6533
-608.7904052734375,13,13,269.56,68.2529,402.68,65000,30.033
-653.9398803710938,14,14,410.64,68.2457,917.24,70000,30.0284
-691.6622314453125,15,15,600.44,64.3837,954.17,75000,28.9295
-743.1920166015625,16,16,409.05,65.7388,918.45,80000,29.1023
-836.0833129882812,17,17,420.73,67.9041,937.61,85000,29.45
-862.4715576171875,18,18,605.58,66.8345,1362.19,90000,29.6106
-932.2647705078125,19,19,627.76,66.6534,1050.99,95000,29.4466
-973.7259521484375,20,20,544.89,66.8549,1034.93,100000,29.1114
-986.5860595703125,21,21,728.9,67.5006,846.6,105000,33.2211
-1162.107177734375,22,22,539.53,71.5571,519.76,110000,30.2581
-1079.070068359375,23,23,1273.98,68.0369,2140.87,115000,35.2985
-1151.2542724609375,24,24,775.38,66.9916,1330.0,120000,30.9697
-1188.4111328125,25,25,1109.94,67.3164,1380.88,125000,30.9391
-1245.81884765625,26,26,1603.53,69.2167,2235.55,130000,34.6045
-1217.859130859375,27,27,1994.96,67.572,2474.62,135000,37.155
-1289.2242431640625,28,28,1458.34,67.851,2826.12,140000,34.6359
-1291.1510009765625,29,29,2205.2,68.6169,2957.46,145000,37.8861
-1265.503662109375,30,30,2083.46,69.081,2311.75,150000,41.4795
-1309.54833984375,31,31,2003.44,72.1524,2918.63,155000,44.5117
-1395.2325439453125,32,32,1533.89,69.0114,2237.51,160000,39.4684
-1402.2520751953125,33,33,2246.24,70.6652,2583.12,165000,39.3455
-1416.95263671875,34,34,2624.0,70.7899,2951.66,170000,43.3726
-1575.170166015625,35,35,2026.96,69.9056,2916.84,175000,37.6078
-1492.075439453125,36,36,2886.48,75.5822,3485.08,180000,47.8913
-1559.968505859375,37,37,2683.96,71.205,3451.25,185000,43.55
-1485.424072265625,38,38,2059.8,72.5879,3227.58,190000,46.1383
-1603.045166015625,39,39,2337.02,69.9687,2673.76,195000,40.4872
-1698.3470458984375,40,40,2247.1,70.0943,3417.06,200000,41.0573
-1628.938232421875,41,41,1928.39,70.8989,2642.78,205000,43.3842
-1692.3438720703125,42,42,3150.39,69.8113,2970.09,210000,40.8296
-1728.444091796875,43,43,2506.89,70.8122,3491.24,215000,43.0606
-1757.8148193359375,44,44,2893.17,75.3822,4119.41,220000,54.0984
-1836.890380859375,45,45,3022.43,69.2887,3792.43,225000,40.0003
-1763.1280517578125,46,46,3218.65,74.0676,3571.67,230000,51.1872
