Real Det Return,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps,Itration,Real Sto Return,Reward Loss
-22.72,0,12.5354,158.7375,0,0,-193.46,83.55553436279297
17.56,1,11.8236,158.442,5000,1,-134.99,-73.43119049072266
49.99,2,11.7614,158.22,10000,2,-13.65,-297.3046569824219
764.76,3,12.4751,158.0748,15000,3,217.25,-598.5995483398438
1095.05,4,12.3538,157.724,20000,4,421.93,-791.9466552734375
1252.21,5,13.2245,157.9738,25000,5,597.7,-1006.342041015625
1318.67,6,13.3757,157.4871,30000,6,773.01,-1224.5009765625
1357.04,7,13.2717,157.3848,35000,7,828.69,-1305.8819580078125
1825.73,8,14.1035,157.4776,40000,8,941.44,-1658.2603759765625
1787.32,9,14.3081,157.6075,45000,9,1138.12,-1834.8291015625
1924.91,10,14.219,157.7095,50000,10,1288.44,-2078.8818359375
1956.66,11,14.4879,157.6054,55000,11,1502.26,-2350.072021484375
2308.38,12,13.6716,157.2885,60000,12,1765.2,-2437.650146484375
2694.89,13,14.0684,156.9871,65000,13,2227.97,-2707.115966796875
3195.32,14,16.3589,157.402,70000,14,2763.09,-3056.3056640625
3722.38,15,16.9853,157.6309,75000,15,3114.9,-3217.05078125
3926.33,16,16.798,157.1915,80000,16,3184.31,-3319.593505859375
4269.57,17,18.7526,157.3442,85000,17,3645.75,-3629.57568359375
4296.39,18,17.1879,157.1484,90000,18,3643.35,-3749.82763671875
4570.45,19,17.405,156.7056,95000,19,3801.4,-3971.753662109375
4602.47,20,16.9938,156.6634,100000,20,3949.88,-4140.263671875
4603.85,21,18.0334,156.91,105000,21,4069.15,-4346.8779296875
4806.25,22,16.7663,156.9066,110000,22,4110.77,-4309.5380859375
4915.3,23,16.5323,156.1971,115000,23,4378.73,-4613.1123046875
4936.73,24,17.6371,156.3398,120000,24,4555.44,-4766.24072265625
5150.83,25,17.3709,156.0819,125000,25,4688.88,-4805.87744140625
5239.61,26,16.8361,156.1128,130000,26,4799.37,-4926.12548828125
5547.25,27,16.8902,155.6662,135000,27,5151.37,-4922.154296875
5677.88,28,16.2193,154.8765,140000,28,5172.4,-5084.5634765625
5826.1,29,15.3074,155.2162,145000,29,5351.79,-5117.197265625
6050.77,30,15.6505,155.2113,150000,30,5578.12,-5178.5830078125
6150.92,31,16.2727,154.6186,155000,31,5441.38,-5344.2958984375
6416.18,32,14.925,154.0107,160000,32,6005.12,-5392.7060546875
6098.95,33,15.7832,154.1284,165000,33,5941.95,-5315.9794921875
6653.73,34,16.2978,154.0659,170000,34,6364.67,-5463.31982421875
6780.32,35,16.0025,153.8915,175000,35,6485.98,-5503.8740234375
6948.38,36,14.8928,152.9249,180000,36,6639.23,-5523.30908203125
6988.45,37,15.7881,153.2692,185000,37,6274.71,-5691.65869140625
7270.0,38,16.6783,154.0411,190000,38,6705.46,-5548.9619140625
7378.78,39,14.4304,152.0529,195000,39,6723.56,-6136.46435546875
7499.73,40,16.8575,152.4995,200000,40,6720.62,-5561.60546875
7591.0,41,16.8778,153.0339,205000,41,7155.49,-5564.935546875
7922.92,42,16.9304,152.9125,210000,42,7488.92,-5827.6103515625
8118.05,43,17.9726,151.565,215000,43,7419.59,-5680.90087890625
8428.39,44,17.4281,152.1089,220000,44,7560.43,-5832.94482421875
7811.45,45,17.2219,152.6457,225000,45,7415.04,-6024.0146484375
8389.29,46,18.1801,151.9834,230000,46,7984.26,-5858.30810546875
8328.45,47,17.8613,152.4924,235000,47,7799.03,-6126.2490234375
8535.19,48,18.2705,151.8322,240000,48,7996.76,-6235.431640625
8491.35,49,18.7396,151.8293,245000,49,8129.75,-6148.14794921875
8110.27,50,16.2344,151.3867,250000,50,7287.43,-6597.267578125
9125.36,51,18.3956,151.0959,255000,51,7855.96,-6148.33544921875
8858.55,52,17.3405,150.513,260000,52,7728.89,-6284.87353515625
8683.33,53,18.1632,152.3394,265000,53,8316.47,-6537.08837890625
9176.14,54,18.7549,150.353,270000,54,8531.14,-6323.20751953125
8433.72,55,18.8915,150.7962,275000,55,8334.85,-6660.45703125
9377.59,56,18.4396,150.7726,280000,56,8777.56,-6554.24365234375
8998.75,57,19.3668,149.4249,285000,57,8633.9,-6476.9677734375
9447.59,58,18.9988,150.1731,290000,58,9004.19,-6622.427734375
9507.74,59,18.5465,150.2862,295000,59,9070.86,-6567.20166015625
8868.4,60,18.7532,150.0736,300000,60,8786.7,-6711.5302734375
9654.48,61,18.9851,150.2507,305000,61,9133.74,-6632.0751953125
9639.27,62,18.4186,150.1849,310000,62,9176.43,-6827.75732421875
9043.09,63,19.9573,149.7242,315000,63,8928.7,-6997.49365234375
9716.6,64,18.6777,149.33,320000,64,9247.18,-6851.59912109375
9824.78,65,18.4532,149.0102,325000,65,9311.93,-7112.0419921875
9890.55,66,19.4908,149.6899,330000,66,9349.61,-7228.46533203125
10036.58,67,17.7119,148.6196,335000,67,9449.23,-7100.44677734375
9740.37,68,19.0254,149.4325,340000,68,9318.95,-7444.91796875
9934.2,69,19.0919,148.2293,345000,69,9455.08,-7249.82421875
9872.05,70,17.7724,148.6565,350000,70,9493.24,-7356.763671875
9982.13,71,19.5372,148.6857,355000,71,9628.12,-7315.96337890625
9980.52,72,19.2039,148.4136,360000,72,9522.56,-7655.36083984375
9249.0,73,16.5385,149.8287,365000,73,8783.52,-7999.8984375
1551.52,74,13.5992,154.1021,370000,74,1991.28,-11429.3779296875
8569.44,75,17.1429,150.1829,375000,75,8142.45,-8956.2802734375
9747.81,76,18.1675,149.014,380000,76,8834.56,-7940.779296875
9752.21,77,15.7229,147.7898,385000,77,8993.5,-8173.60595703125
-497.23,78,36.7896,160.7433,390000,78,-431.19,-12024.5341796875
9929.4,79,18.2373,148.5735,395000,79,9460.14,-8052.4169921875
10352.82,80,18.9853,148.4294,400000,80,9828.25,-8137.537109375
9670.97,81,17.4384,148.5314,405000,81,9313.62,-8222.1484375
10064.93,82,19.0752,148.4963,410000,82,9639.97,-8572.583984375
9518.58,83,18.189,148.1793,415000,83,9416.2,-8544.900390625
10338.79,84,16.4086,146.8076,420000,84,9593.42,-8494.423828125
5838.17,85,19.2514,148.2662,425000,85,7601.54,-9293.05859375
9726.95,86,17.7865,147.5158,430000,86,9236.84,-9062.2431640625
8973.16,87,20.1557,150.2292,435000,87,8914.81,-9579.1015625
9494.14,88,19.1523,148.8775,440000,88,9247.01,-9513.6591796875
9823.48,89,18.877,149.0025,445000,89,9573.75,-9070.2490234375
9697.77,90,19.3621,148.2901,450000,90,9320.69,-9554.658203125
5424.51,91,13.8516,148.2623,455000,91,5965.09,-11542.224609375
9668.93,92,14.9627,146.9075,460000,92,9260.23,-9303.8935546875
9837.92,93,18.925,147.5588,465000,93,9544.49,-9474.3505859375
10842.46,94,17.9876,146.1331,470000,94,10255.9,-8479.3330078125
10430.61,95,17.1107,147.1319,475000,95,9621.25,-9649.146484375
10995.22,96,17.7879,147.1306,480000,96,10482.58,-8862.875
10666.37,97,18.695,147.4946,485000,97,9968.91,-9319.3642578125
10852.24,98,19.3986,147.6268,490000,98,10372.38,-9177.8330078125
10291.58,99,18.1714,146.4857,495000,99,9263.55,-9792.15625
10733.34,100,18.0062,145.9529,500000,100,10609.64,-9155.9384765625
11176.37,101,17.8508,146.4922,505000,101,10690.43,-8899.1640625
10638.27,102,20.0653,147.0919,510000,102,10393.06,-9758.11328125
11112.54,103,17.6317,146.6956,515000,103,10122.42,-9528.5654296875
10870.8,104,18.4567,146.944,520000,104,10598.56,-9516.78125
10896.24,105,18.5507,147.0697,525000,105,10452.81,-9903.009765625
10987.21,106,17.77,145.9815,530000,106,9980.17,-10080.451171875
10766.28,107,18.7265,145.6789,535000,107,10429.36,-9739.4912109375
11071.11,108,17.4576,146.1652,540000,108,10500.43,-9786.7841796875
11188.77,109,18.6424,145.2508,545000,109,10803.23,-9397.4052734375
