Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Itration,Real Det Return
26.0788,192.78,265.1759948730469,33.7544,0,0,0,190.93
21.204,298.45,307.4026794433594,31.6672,1,5000,1,289.89
19.0271,237.5,347.110107421875,31.3439,2,10000,2,233.74
18.4672,312.87,320.496826171875,29.2958,3,15000,3,314.21
16.3773,326.31,210.17752075195312,27.6226,4,20000,4,322.31
12.7052,666.98,277.71875,25.5124,5,25000,5,672.28
15.204,555.1,201.77671813964844,26.7445,6,30000,6,577.57
14.5821,1166.01,206.84434509277344,22.8514,7,35000,7,730.8
20.3449,1058.51,-74.44139862060547,22.6613,8,40000,8,2403.21
36.1216,663.79,156.24314880371094,25.9924,9,45000,9,641.82
28.482,635.3,191.48678588867188,26.6549,10,50000,10,597.12
20.0208,1374.32,-17.5576171875,24.314,11,55000,11,990.52
29.6152,706.13,-16.571142196655273,25.1461,12,60000,12,678.48
26.0367,754.31,-35.46723175048828,24.6224,13,65000,13,685.3
26.4849,892.39,-165.0896453857422,25.1569,14,70000,14,785.79
24.2663,877.91,-174.87167358398438,23.9722,15,75000,15,770.58
27.6913,853.95,-234.6289825439453,25.1988,16,80000,16,744.07
36.0143,1006.87,-96.65155792236328,23.7044,17,85000,17,822.06
34.4664,803.0,-185.73599243164062,24.8351,18,90000,18,882.43
37.0137,1493.04,-198.9272918701172,22.545,19,95000,19,2504.57
23.0442,1313.12,-265.2198486328125,23.0905,20,100000,20,1949.33
39.3434,949.66,-265.59393310546875,23.95,21,105000,21,2642.34
22.482,1828.3,-394.2222900390625,22.4462,22,110000,22,925.82
40.6671,1027.62,-423.4845275878906,22.7671,23,115000,23,969.26
23.4819,1629.22,-580.4879760742188,22.9735,24,120000,24,978.21
18.8476,1641.32,-452.85382080078125,22.1289,25,125000,25,1027.9
48.0575,863.43,-546.9935913085938,23.4785,26,130000,26,781.32
18.8762,2263.18,-504.24237060546875,21.0234,27,135000,27,2913.45
17.2285,1604.06,-401.0645446777344,20.8874,28,140000,28,1136.93
16.8855,2067.76,-379.3341979980469,20.4351,29,145000,29,2357.94
35.8715,953.0,-810.366455078125,22.9627,30,150000,30,1273.18
26.5858,981.65,-889.5955200195312,22.9205,31,155000,31,1055.23
22.3259,1267.81,-881.14208984375,22.8736,32,160000,32,1449.77
24.8587,1397.84,-639.7919921875,21.4229,33,165000,33,1465.62
20.7523,2490.26,-367.7173767089844,20.442,34,170000,34,3293.99
30.0076,1346.31,-852.6624755859375,23.3456,35,175000,35,2559.63
25.7316,1394.44,-825.041259765625,22.7924,36,180000,36,2867.36
17.2863,3271.19,-345.1455383300781,20.742,37,185000,37,3499.56
17.5966,1781.99,-774.590087890625,21.7821,38,190000,38,3193.77
16.7041,2803.87,-389.8827819824219,21.0929,39,195000,39,3350.61
16.318,2932.39,-226.92196655273438,20.1831,40,200000,40,3482.05
22.6451,2239.9,-518.3986206054688,21.4516,41,205000,41,1224.15
21.3646,2334.2,-396.7101135253906,20.7979,42,210000,42,1330.59
40.6761,1237.12,-932.8196411132812,21.6831,43,215000,43,1089.9
35.4472,2149.98,-648.4304809570312,21.73,44,220000,44,1208.74
14.9159,3480.92,12.864984512329102,20.418,45,225000,45,3515.94
20.0783,2477.94,-585.2885131835938,20.3514,46,230000,46,2558.24
30.4913,3058.15,-455.9778137207031,20.4349,47,235000,47,3511.77
17.1296,3254.18,-115.4466323852539,19.5323,48,240000,48,3491.07
20.9067,2378.84,-436.5392150878906,20.1058,49,245000,49,3532.35
20.6036,3034.29,-290.1315002441406,20.0425,50,250000,50,3486.78
13.1014,3428.71,-53.1313591003418,19.172,51,255000,51,3490.31
14.9849,3362.54,-33.96650695800781,20.3811,52,260000,52,3504.07
14.8842,3459.77,-41.64822769165039,19.928,53,265000,53,3509.03
14.1544,3185.61,-17.926374435424805,19.714,54,270000,54,3510.76
14.5366,3397.57,-206.56097412109375,20.3983,55,275000,55,3545.13
26.7439,2429.32,-476.4576110839844,19.7042,56,280000,56,1256.96
