Running Update Time,Reward Loss,Itration,Running Forward KL,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return
0,-3727.24560546875,0,430.7323,0,483.36,238.5368,373.61
1,-9575.037109375,1,420.8136,5000,357.31,271.6331,359.78
2,-12449.451171875,2,412.1828,10000,382.32,307.8131,355.71
3,-13275.4873046875,3,418.9175,15000,387.98,306.2163,374.56
4,-2711.84375,4,403.8944,20000,471.59,287.4805,406.49
5,-3761.176025390625,5,400.7886,25000,492.83,257.0216,484.86
6,-11527.283203125,6,415.4057,30000,391.34,294.1063,383.23
7,-6280.12109375,7,411.3789,35000,429.14,243.594,483.83
8,-11297.7119140625,8,413.4356,40000,434.6,260.0509,429.23
9,-12701.1884765625,9,411.5624,45000,448.64,257.5212,432.64
10,-11705.0888671875,10,382.535,50000,418.11,273.6136,548.93
11,-19181.078125,11,388.6561,55000,492.08,281.2514,505.7
12,-18714.50390625,12,383.7076,60000,598.92,267.3457,609.48
13,-17195.857421875,13,388.6721,65000,660.85,258.2964,598.45
14,-22242.55078125,14,388.4862,70000,585.42,259.4625,563.62
15,-18007.60546875,15,369.619,75000,570.06,234.9683,758.0
16,-21161.529296875,16,366.7263,80000,546.1,250.3763,674.87
17,-18884.04296875,17,381.684,85000,564.53,242.1128,674.03
18,-25929.427734375,18,359.3312,90000,534.29,258.499,667.24
19,-26677.185546875,19,360.4982,95000,515.31,281.923,728.67
20,-22007.802734375,20,351.3814,100000,436.23,239.1696,676.79
21,-30534.51171875,21,363.344,105000,430.91,287.8035,653.8
22,-29510.455078125,22,366.9644,110000,503.49,285.5069,669.35
23,-32136.55078125,23,354.5391,115000,660.95,305.2769,837.07
24,-22509.330078125,24,365.6022,120000,774.41,248.2477,851.26
25,-25166.5859375,25,356.84,125000,783.91,246.9197,959.72
26,-30854.59375,26,364.913,130000,824.81,259.7254,873.02
27,-34116.9296875,27,362.7149,135000,577.14,283.6514,994.06
28,-28791.1171875,28,345.9763,140000,646.11,252.8694,1080.35
29,-35607.65625,29,345.4272,145000,607.24,261.9417,1516.19
30,-28904.416015625,30,346.7583,150000,596.85,234.8358,1600.27
31,-33913.0234375,31,340.6312,155000,628.52,257.4683,1691.71
32,-30456.591796875,32,322.4387,160000,614.66,236.3951,1964.58
33,-39747.16796875,33,339.032,165000,601.45,338.7146,1972.42
34,-32637.232421875,34,347.2087,170000,612.51,261.4844,1741.96
35,-29863.69140625,35,332.4269,175000,857.05,208.9836,2334.57
36,-36647.1875,36,313.5753,180000,588.98,250.3207,2147.91
37,-32187.734375,37,302.9129,185000,564.75,195.9114,3027.51
38,-36360.5625,38,317.1429,190000,600.32,203.3034,2349.0
39,-22280.474609375,39,293.2255,195000,605.48,138.2315,2446.42
40,-22392.021484375,40,283.077,200000,759.71,132.59,3265.92
41,-19362.53515625,41,285.4164,205000,881.84,118.6471,2897.79
42,-26584.97265625,42,316.5656,210000,764.04,175.5349,1858.72
43,-17101.71484375,43,292.8043,215000,681.9,123.4111,3302.08
44,-16976.3046875,44,286.7497,220000,1369.12,107.2277,3414.14
45,-18254.345703125,45,272.9772,225000,1114.49,103.8694,3757.8
46,-18821.908203125,46,306.9815,230000,1213.87,167.7277,2502.27
47,-27414.201171875,47,284.0183,235000,2205.28,152.0411,2939.13
48,-15026.3115234375,48,265.5242,240000,2379.97,90.9642,3897.32
49,-23668.1640625,49,276.6761,245000,3564.78,122.6902,3510.87
50,-12029.9833984375,50,277.3826,250000,3413.63,94.4259,4477.47
51,-19634.60546875,51,278.906,255000,2232.57,108.4213,4283.72
52,-21708.4609375,52,285.1019,260000,1412.34,118.0915,3611.24
53,-20131.970703125,53,286.4959,265000,3141.93,118.6046,4591.9
54,-14882.455078125,54,282.3248,270000,2772.11,89.8709,4607.07
55,-23856.5859375,55,270.39,275000,2862.48,114.2727,3539.39
56,-19126.57421875,56,271.4383,280000,2078.21,82.3005,4250.81
57,-29937.59375,57,280.6292,285000,2860.84,119.5854,3650.91
58,-22168.83984375,58,277.1307,290000,1193.33,109.1189,3706.46
59,-18369.900390625,59,272.1715,295000,1371.72,81.3984,4835.29
60,-17988.177734375,60,279.1096,300000,2873.66,78.8435,4282.03
61,-35009.81640625,61,296.1306,305000,2139.6,151.7317,2396.56
62,-29866.498046875,62,286.3681,310000,2662.92,109.0377,3738.63
63,-20094.5078125,63,267.2627,315000,3539.81,82.1651,4624.62
64,-21731.314453125,64,276.7084,320000,3475.64,88.4059,3953.2
65,-23566.8671875,65,258.1952,325000,3999.15,77.4828,4696.86
66,-20513.2578125,66,274.0984,330000,4666.69,75.5073,4644.11
67,-24677.712890625,67,292.4595,335000,4625.81,113.3952,4302.21
68,-30078.7578125,68,269.3945,340000,3198.71,108.7261,4427.32
69,-25330.74609375,69,258.5733,345000,3879.97,79.0716,4006.89
70,-32908.01171875,70,286.184,350000,2877.15,119.4917,3601.06
71,-30428.6953125,71,276.1765,355000,1853.02,91.4599,3831.42
72,-23991.05859375,72,256.6643,360000,1998.96,57.0556,4613.04
73,-23652.384765625,73,271.4826,365000,2856.79,73.9569,4431.73
74,-26439.455078125,74,261.4187,370000,1855.07,74.0165,4257.13
75,-25193.869140625,75,277.5441,375000,4556.41,69.9621,4793.58
76,-24560.478515625,76,269.1665,380000,3633.87,62.9845,4381.26
77,-33030.28515625,77,303.5608,385000,4169.85,162.642,3570.9
78,-25990.15625,78,273.4662,390000,2826.59,64.1995,4464.68
79,-28076.224609375,79,261.1224,395000,1030.28,71.0301,4430.18
80,-27766.595703125,80,267.4141,400000,2131.26,79.5958,3343.31
81,-31688.658203125,81,266.731,405000,1549.77,86.0389,4231.91
82,-33285.02734375,82,265.4224,410000,2121.9,78.034,4625.67
83,-26209.205078125,83,268.5317,415000,1596.35,59.7805,3698.5
84,-30721.384765625,84,274.0397,420000,1164.5,76.9384,4030.04
85,-27677.70703125,85,268.0344,425000,2072.94,58.928,4295.23
86,-36413.421875,86,285.7752,430000,1205.36,96.6851,3505.37
87,-32252.837890625,87,269.5611,435000,2371.25,82.9163,2711.13
88,-35780.56640625,88,285.4712,440000,1544.99,114.6634,2692.52
89,-31681.03125,89,273.1524,445000,1432.3,70.1069,4368.41
90,-33273.578125,90,274.9952,450000,2438.79,64.5855,4711.76
91,-34723.5546875,91,271.4186,455000,2149.82,69.3375,4567.83
92,-38358.0546875,92,281.2838,460000,2273.98,105.4574,4362.34
93,-38580.57421875,93,272.9801,465000,2480.36,72.8644,3912.07
94,-34481.32421875,94,261.0484,470000,1278.02,61.7235,4603.52
95,-36944.71875,95,267.8157,475000,1374.34,69.2369,4310.1
96,-36961.84765625,96,262.773,480000,2327.6,72.1456,4074.89
97,-36785.8828125,97,258.4403,485000,1947.26,57.9076,4277.14
98,-41868.65234375,98,274.0037,490000,3175.39,77.2297,4553.97
99,-35735.2578125,99,261.0965,495000,1716.17,55.8055,4631.19
100,-39739.05078125,100,282.4553,500000,3190.25,77.1877,4542.86
101,-39298.5703125,101,257.6814,505000,3174.3,56.4904,4822.58
102,-40330.20703125,102,250.527,510000,1879.63,63.2092,4857.59
103,-39974.28125,103,270.1225,515000,1309.06,71.9842,4243.8
104,-39461.26953125,104,253.0016,520000,2579.09,48.7282,4698.68
105,-43330.3046875,105,274.4578,525000,1520.17,80.8188,4600.85
106,-42934.26171875,106,266.4053,530000,909.86,85.8268,4263.15
107,-44325.39453125,107,270.2229,535000,1117.27,71.2894,3988.52
108,-43045.7421875,108,264.4073,540000,1418.92,62.0883,4678.01
109,-42900.328125,109,249.5983,545000,2010.49,49.0673,4830.49
110,-43571.5546875,110,263.1448,550000,1303.31,64.7567,4601.17
111,-43396.58984375,111,252.0445,555000,3349.91,44.0403,4653.2
112,-45133.37890625,112,265.236,560000,3074.65,72.4717,4290.42
113,-44660.98828125,113,258.8938,565000,1983.13,51.0092,4556.86
114,-45458.0,114,257.6629,570000,2045.78,52.0268,4865.19
115,-45186.69140625,115,261.4901,575000,1863.42,76.0419,4231.45
116,-46324.1875,116,254.0854,580000,3025.44,53.0963,4688.72
117,-45515.1953125,117,248.904,585000,1517.29,44.7899,4501.67
118,-46972.953125,118,259.8851,590000,1799.86,52.3364,4791.39
119,-47645.42578125,119,269.854,595000,2010.77,66.2765,4408.06
120,-45744.6015625,120,254.2629,600000,2066.14,48.2043,4823.66
121,-47759.30078125,121,258.4396,605000,1800.72,57.5951,4646.21
122,-46894.546875,122,245.8996,610000,1727.64,45.4954,4545.58
123,-48413.01953125,123,257.2281,615000,2311.44,50.1925,4423.51
124,-47389.8203125,124,250.3705,620000,2122.15,45.8482,4340.12
125,-47369.28125,125,253.1951,625000,2152.55,46.1827,4769.37
126,-48821.63671875,126,245.3756,630000,3038.45,42.7463,4560.36
127,-48629.59765625,127,247.1043,635000,4576.98,54.7086,4922.83
