Running Update Time,Reward Loss,Running Reverse KL,Itration,Running Env Steps,Real Det Return,Real Sto Return,Running Forward KL
0,473.0438232421875,15.1841,0,0,219.75,219.07,33.387
1,354.1963195800781,15.6577,1,5000,218.55,220.49,32.9453
2,92.48330688476562,25.9421,2,10000,227.95,221.78,33.175
3,17.30548667907715,34.8413,3,15000,257.26,259.85,33.3006
4,-19.142301559448242,36.0004,4,20000,278.43,277.14,32.1637
5,-67.30912017822266,34.1869,5,25000,308.91,326.18,31.9464
6,-39.59416580200195,28.7082,6,30000,219.62,244.22,31.7674
7,-177.72674560546875,51.4673,7,35000,423.21,447.07,29.2386
8,-254.30470275878906,42.6523,8,40000,651.18,632.12,30.3291
9,-310.337158203125,36.457,9,45000,453.65,536.87,28.7479
10,-365.71685791015625,39.355,10,50000,657.04,625.76,28.8202
11,-401.8927001953125,45.4647,11,55000,670.84,655.58,28.143
12,-491.0887451171875,50.4199,12,60000,657.05,640.42,27.5105
13,-516.9056396484375,48.6468,13,65000,678.92,660.14,27.5458
14,-555.8775024414062,45.4657,14,70000,654.75,609.41,26.6696
15,-609.0049438476562,38.5457,15,75000,699.17,681.15,27.2652
16,-613.7797241210938,39.634,16,80000,832.04,793.77,26.3249
17,-651.1845092773438,36.1331,17,85000,967.79,935.07,27.3344
18,-710.443603515625,28.2451,18,90000,905.7,779.05,27.4606
19,-695.70751953125,29.436,19,95000,1019.35,994.83,25.5115
20,-748.2720336914062,28.0557,20,100000,996.89,1024.79,28.0281
21,-410.55950927734375,20.1671,21,105000,3100.67,2118.3,25.7433
22,-100.83082580566406,17.8623,22,110000,2955.09,2906.28,25.8358
23,-193.9249725341797,16.6243,23,115000,2651.86,2133.99,25.9891
24,-258.4581604003906,17.0313,24,120000,2899.4,2684.19,25.6083
25,-294.2149963378906,16.0272,25,125000,2938.73,2475.51,25.1803
26,-405.5596618652344,17.2194,26,130000,2966.16,2268.45,25.7182
27,-328.5048828125,18.508,27,135000,1941.07,1969.49,26.3471
28,-911.0216064453125,25.6451,28,140000,1350.98,1677.15,26.4139
29,-750.6903686523438,23.3865,29,145000,2950.5,1628.55,25.3682
30,-441.2046203613281,19.3654,30,150000,3120.51,2515.74,26.3741
31,-913.1923828125,21.546,31,155000,1358.29,1501.51,25.8827
32,-592.0355224609375,18.7603,32,160000,3123.03,2053.87,25.8464
33,-572.9714965820312,19.0186,33,165000,3077.85,2279.55,25.5289
34,-1096.052734375,23.2808,34,170000,1230.93,1241.57,25.439
35,-297.6993713378906,17.9065,35,175000,3079.42,2976.7,25.8687
36,-1002.7658081054688,22.5607,36,180000,2000.7,1311.5,25.3795
37,-600.35791015625,18.5586,37,185000,3141.05,2489.59,24.8456
38,-1104.5679931640625,23.5872,38,190000,1180.84,1190.51,25.8008
39,-997.3744506835938,21.2538,39,195000,1906.23,1435.96,24.8386
40,-1161.1373291015625,21.871,40,200000,1165.37,1145.18,25.9435
41,-1038.7049560546875,20.353,41,205000,3201.06,1531.82,27.1409
42,-248.88148498535156,19.0786,42,210000,3190.93,2711.7,27.0373
43,-1185.323974609375,19.7021,43,215000,1315.53,1197.02,25.7839
44,-1201.626953125,20.0008,44,220000,1136.95,1388.84,25.5457
45,-1266.0087890625,18.8856,45,225000,1200.74,1395.45,26.3166
46,-1321.2613525390625,21.0312,46,230000,1258.8,1333.36,26.1469
47,-647.1441040039062,16.6472,47,235000,3111.05,2104.71,24.4263
48,-1612.571044921875,26.2688,48,240000,1037.35,942.75,25.65
49,-1236.8145751953125,21.0408,49,245000,2347.06,1624.07,25.8504
50,-1544.48876953125,28.5168,50,250000,1128.5,1238.1,25.8033
51,-436.01934814453125,18.0746,51,255000,3134.83,2565.65,25.4076
52,-1592.6763916015625,26.7845,52,260000,1193.4,1159.24,26.1959
53,-1615.0609130859375,30.3105,53,265000,1279.41,1196.69,24.9011
54,-1566.0743408203125,28.3279,54,270000,1611.73,1162.26,24.6834
55,-662.5513916015625,18.9972,55,275000,3112.46,1809.42,25.443
56,-1110.1038818359375,23.0181,56,280000,3183.41,1888.94,25.2687
57,-554.24072265625,16.7563,57,285000,3141.35,2025.82,25.0563
58,-437.546142578125,14.9897,58,290000,2912.42,2896.0,24.3756
59,-695.3863525390625,18.7664,59,295000,3184.45,1901.91,24.9652
60,-1190.5478515625,21.8316,60,300000,2576.63,1974.63,24.9679
61,-506.85260009765625,18.1959,61,305000,3111.45,2693.51,25.7199
62,-674.8633422851562,17.9961,62,310000,3172.34,2893.87,24.9973
63,-913.8589477539062,20.3581,63,315000,3157.85,1855.95,24.6048
64,-889.223388671875,20.0105,64,320000,3121.25,2260.81,23.9793
65,-1063.17333984375,21.142,65,325000,3167.78,2000.61,24.6235
66,-1200.8428955078125,21.0694,66,330000,3176.9,2289.35,24.3574
67,-1967.979248046875,29.2717,67,335000,1084.12,1031.03,25.505
68,-1958.053955078125,21.9556,68,340000,1304.87,1091.03,25.2691
69,-1776.3563232421875,23.8021,69,345000,1259.8,1283.07,24.751
70,-1527.751220703125,19.159,70,350000,3187.21,1912.5,24.7833
71,-1053.3084716796875,19.0445,71,355000,3127.06,2094.28,24.0583
72,-1154.0396728515625,18.8933,72,360000,3176.29,2100.53,24.1509
73,-1409.3785400390625,21.129,73,365000,3189.33,2515.51,24.3068
74,-1030.9156494140625,18.9125,74,370000,3175.21,2198.55,24.659
75,-999.1838989257812,17.482,75,375000,3141.79,2225.13,24.1197
76,-844.4066162109375,16.1949,76,380000,3144.36,2488.78,23.8986
77,-806.6677856445312,16.675,77,385000,3157.01,2679.47,24.9282
78,-1672.5877685546875,24.0091,78,390000,1988.84,1534.49,24.5389
79,-496.1388854980469,17.777,79,395000,3188.71,2479.79,24.4116
80,-571.1582641601562,17.5442,80,400000,3164.51,3162.39,24.2677
81,-1276.4892578125,20.2168,81,405000,3158.09,1668.76,23.7635
82,-2153.426025390625,26.1434,82,410000,1706.02,1183.61,24.6005
83,-842.9599609375,17.2558,83,415000,3175.65,2572.34,24.2536
84,-817.4832153320312,16.0804,84,420000,3194.86,2277.52,23.994
85,-1251.0499267578125,19.4832,85,425000,3161.32,2284.71,23.3465
86,-708.97216796875,17.8168,86,430000,3177.03,2788.79,23.9827
87,-1236.780029296875,19.3161,87,435000,3133.83,2589.02,23.7156
88,-1298.7918701171875,20.57,88,440000,3180.48,2259.84,23.5067
89,-527.0752563476562,16.5774,89,445000,3133.77,3052.03,24.6518
90,-521.037353515625,17.5648,90,450000,3113.97,3150.69,25.1033
91,-1044.9442138671875,18.1436,91,455000,3183.75,2208.36,23.578
92,-1651.662109375,20.9843,92,460000,3225.1,1805.86,24.4758
93,-1393.889892578125,19.9905,93,465000,3142.14,2276.13,23.7014
94,-417.70867919921875,16.9697,94,470000,3180.02,2984.08,24.8551
95,-487.8730773925781,15.152,95,475000,3177.13,2701.73,22.7043
96,-570.73681640625,16.3466,96,480000,3167.99,3151.68,24.2138
97,-351.5400085449219,14.983,97,485000,3139.45,2932.18,23.5068
98,-2346.666015625,19.0637,98,490000,3207.59,1387.64,23.4886
99,-1305.4403076171875,16.9219,99,495000,3254.41,2031.08,24.81
100,-1253.76806640625,15.2017,100,500000,3211.76,2015.05,22.8752
101,-675.2360229492188,14.0827,101,505000,3187.73,2505.41,21.9287
102,-556.2743530273438,17.2586,102,510000,3087.64,3084.44,25.4785
103,-617.5567626953125,16.5919,103,515000,3117.77,3131.37,23.9122
104,-1750.530029296875,14.7784,104,520000,3197.58,1933.82,22.8035
105,-652.8671264648438,16.0096,105,525000,3131.12,2949.8,23.8383
106,-2320.49462890625,15.6325,106,530000,1493.34,1241.8,23.1822
107,-2095.92138671875,15.328,107,535000,3164.59,1904.29,23.093
108,-922.2501220703125,13.4881,108,540000,3192.42,1927.27,22.0537
109,-1077.3173828125,15.0419,109,545000,3206.92,2346.12,23.1836
110,-628.0576171875,15.0889,110,550000,3164.82,2790.01,22.9682
111,-1757.6292724609375,14.5272,111,555000,1621.17,1419.43,22.7639
112,-2644.48388671875,16.3086,112,560000,1279.11,1173.28,23.1029
113,-2169.2373046875,15.9373,113,565000,1477.44,1501.06,23.3726
114,-774.91650390625,14.3289,114,570000,3163.14,2710.81,22.6117
115,-1330.2562255859375,14.1817,115,575000,3166.52,2180.1,22.2027
116,-2800.094970703125,17.0694,116,580000,1183.55,1219.25,23.5905
117,-2005.0146484375,15.3927,117,585000,1835.61,1933.46,22.6847
118,-802.2245483398438,15.2853,118,590000,3156.58,2983.11,23.1507
119,-1387.9610595703125,14.2765,119,595000,3181.03,2598.65,21.2718
120,-1311.17822265625,13.9314,120,600000,3146.37,2514.86,21.5498
121,-612.2076416015625,12.9744,121,605000,3129.77,2883.79,20.9534
122,-1017.536865234375,13.1653,122,610000,3113.1,2975.24,21.3779
123,-2454.11865234375,14.6753,123,615000,1401.52,1462.1,22.4358
124,-1595.914306640625,13.9199,124,620000,3238.63,1893.84,21.6753
125,-951.7219848632812,15.1454,125,625000,3204.94,2866.67,22.2053
126,-1342.80078125,14.2779,126,630000,3235.81,2552.29,21.6536
127,-1754.1490478515625,14.3383,127,635000,3190.41,2071.01,21.5091
128,-687.1754760742188,14.0563,128,640000,3140.92,3028.0,21.4583
129,-1041.8427734375,14.0833,129,645000,3148.17,2963.75,21.7739
130,-581.8099365234375,13.0431,130,650000,3181.81,3027.1,20.5082
131,-1784.2532958984375,13.3707,131,655000,3156.86,2764.0,20.5894
132,-1364.9840087890625,14.2385,132,660000,3316.0,2324.28,21.7236
133,-1396.1085205078125,13.8625,133,665000,3119.2,2827.14,20.566
134,-959.2297973632812,13.9813,134,670000,3289.94,2358.72,20.8615
135,-2677.45654296875,16.072,135,675000,3040.71,1843.57,22.2687
136,-1714.963623046875,15.34,136,680000,3183.23,2321.58,21.1199
137,-2168.062744140625,17.2404,137,685000,3145.68,1798.73,21.9694
138,-2020.479736328125,15.8644,138,690000,3066.25,1526.2,21.0851
139,-2095.502685546875,15.9601,139,695000,2556.58,1578.8,21.0015
140,-2107.10400390625,17.4326,140,700000,3298.86,1549.62,21.6239
141,-1216.896728515625,13.5773,141,705000,3212.69,2343.85,21.0239
