Real Sto Return,Real Det Return,Running Forward KL,Reward Loss,Itration,Running Reverse KL,Running Update Time,Running Env Steps
198.47,196.58,39.5658,-146.9784698486328,0,22.0563,0,0
247.16,252.56,38.8385,-141.76026916503906,1,26.4038,1,5000
268.42,263.88,37.5996,-135.088623046875,2,27.4123,2,10000
297.32,303.56,37.1755,-153.35186767578125,3,32.9181,3,15000
319.34,315.38,35.6298,-158.64071655273438,4,24.9514,4,20000
390.47,388.88,34.1324,-174.98988342285156,5,24.3321,5,25000
353.93,241.57,33.6696,-183.34432983398438,6,26.996,6,30000
194.21,364.99,35.4997,-213.5532989501953,7,66.043,7,35000
32.19,33.91,42.2366,-222.175537109375,8,35.4845,8,40000
611.74,618.73,34.3272,-157.31201171875,9,25.4871,9,45000
640.1,657.11,32.5643,-186.10556030273438,10,23.226,10,50000
645.91,455.44,32.8006,-183.45132446289062,11,22.3727,11,55000
790.1,893.79,33.5466,-186.5869598388672,12,16.838,12,60000
874.07,926.41,32.5273,-208.68508911132812,13,22.6902,13,65000
966.81,990.57,30.8624,-198.0025177001953,14,19.5554,14,70000
1095.8,1137.25,30.6418,-199.89097595214844,15,21.3584,15,75000
889.12,975.05,31.1459,-230.11183166503906,16,28.407,16,80000
1101.58,1182.36,29.878,-204.71473693847656,17,18.1036,17,85000
1073.15,1057.2,30.1927,-206.0619659423828,18,16.183,18,90000
2048.8,2702.72,28.6218,-141.068115234375,19,14.6345,19,95000
2265.21,3381.11,27.8691,-103.95136260986328,20,12.8405,20,100000
3136.62,3166.86,26.7721,-37.35736083984375,21,13.4583,21,105000
3224.4,3199.74,28.4171,-46.54438781738281,22,15.6032,22,110000
3275.73,3264.96,27.1655,-46.5019645690918,23,14.6292,23,115000
3234.95,3249.48,27.7333,-49.328060150146484,24,14.6631,24,120000
3246.58,3266.58,27.8703,-49.69245147705078,25,14.8321,25,125000
3220.41,3224.69,27.9223,-51.15801239013672,26,13.6294,26,130000
3404.69,3394.25,27.2053,-44.90277099609375,27,15.8558,27,135000
3345.2,3405.28,27.2776,-45.27252960205078,28,14.5829,28,140000
3264.24,3417.03,27.9027,-49.030364990234375,29,16.0787,29,145000
3342.05,3369.83,27.6134,-50.89738845825195,30,15.8287,30,150000
3363.74,3389.36,27.4068,-54.29524230957031,31,16.0144,31,155000
3276.21,3397.22,27.1922,-47.09410858154297,32,15.2754,32,160000
3326.38,3321.73,28.2092,-57.984710693359375,33,15.9344,33,165000
3279.87,3402.72,27.8331,-55.892616271972656,34,15.6515,34,170000
3348.66,3358.55,28.0212,-54.410369873046875,35,15.289,35,175000
3305.34,3312.15,27.831,-58.40635299682617,36,14.125,36,180000
3331.97,3328.44,28.1788,-60.78472900390625,37,15.2364,37,185000
3301.55,3254.39,26.6449,-64.19515991210938,38,14.3048,38,190000
3360.77,3420.73,27.6697,-75.13317108154297,39,14.4069,39,195000
3307.39,3387.76,27.2419,-58.798072814941406,40,14.7463,40,200000
3300.34,3410.38,26.4811,-58.64566421508789,41,14.4353,41,205000
3255.75,3425.0,26.6438,-75.6426773071289,42,13.5599,42,210000
3349.98,3421.99,26.012,-70.99476623535156,43,13.6922,43,215000
3374.95,3416.27,26.2224,-63.00789260864258,44,13.7187,44,220000
3365.85,3395.91,26.6041,-77.85063934326172,45,13.4809,45,225000
3147.48,3407.75,26.3582,-62.69758987426758,46,13.741,46,230000
3343.7,3386.86,26.3946,-75.01274108886719,47,13.983,47,235000
3329.23,3347.0,27.0458,-78.60672760009766,48,15.0418,48,240000
3073.14,3410.24,25.94,-82.38249969482422,49,15.3782,49,245000
3411.24,3436.7,25.405,-66.90037536621094,50,13.4532,50,250000
3365.17,3409.72,26.0133,-76.89163208007812,51,14.136,51,255000
3381.17,3415.88,25.8947,-73.58160400390625,52,13.4688,52,260000
3314.35,3279.29,27.0752,-79.22315979003906,53,14.6812,53,265000
3164.2,3420.33,26.3763,-75.45462036132812,54,14.2456,54,270000
2999.03,3416.45,26.1313,-80.90144348144531,55,13.4105,55,275000
3288.03,3444.01,25.8626,-76.35977935791016,56,14.0006,56,280000
3364.69,3399.22,25.89,-101.59021759033203,57,14.3264,57,285000
3342.43,3398.95,25.0345,-71.61817169189453,58,13.5357,58,290000
3233.14,3232.79,27.0009,-87.15265655517578,59,13.5886,59,295000
3341.37,3412.51,25.0081,-77.93798828125,60,13.4249,60,300000
3338.89,3441.7,25.7505,-72.15065002441406,61,13.6946,61,305000
3277.78,3420.4,25.0548,-82.21077728271484,62,13.198,62,310000
3384.93,3412.96,25.2074,-84.83580017089844,63,13.1905,63,315000
1270.02,3147.33,28.1679,-340.77685546875,64,53.0018,64,320000
1558.61,2439.73,29.5794,-247.83465576171875,65,22.4697,65,325000
646.28,687.64,33.1299,-413.2569580078125,66,37.4394,66,330000
2535.3,3248.43,27.012,-93.24884033203125,67,14.2921,67,335000
3322.34,3235.64,26.3476,-88.84513092041016,68,14.4734,68,340000
3323.53,3366.2,26.3958,-99.1613540649414,69,14.6527,69,345000
3323.69,3366.93,25.0676,-89.7761001586914,70,13.1738,70,350000
3387.91,3410.77,26.2792,-101.70689392089844,71,14.9119,71,355000
3395.07,3429.46,26.6533,-89.68019104003906,72,13.7505,72,360000
3386.08,3429.84,26.0907,-98.16393280029297,73,13.6897,73,365000
3366.8,3403.76,25.8789,-91.49676513671875,74,13.8657,74,370000
3328.26,3435.25,25.8009,-92.3083724975586,75,13.2438,75,375000
3382.49,3405.89,25.6902,-90.1675796508789,76,12.8742,76,380000
3389.1,3431.49,26.0229,-89.98572540283203,77,13.1146,77,385000
3346.99,3422.77,25.6148,-94.65241241455078,78,13.2434,78,390000
3397.68,3425.61,25.7154,-93.34486389160156,79,13.1441,79,395000
3296.93,3435.52,25.975,-87.27819061279297,80,13.2022,80,400000
3410.87,3434.75,25.6491,-91.2933349609375,81,12.6322,81,405000
3437.47,3457.6,26.1039,-97.47332000732422,82,13.3191,82,410000
3441.42,3459.15,25.2722,-99.59053802490234,83,13.0744,83,415000
3434.05,3456.33,25.4058,-89.95098114013672,84,12.5576,84,420000
3379.94,3406.52,25.3912,-101.052490234375,85,13.5002,85,425000
3405.3,3438.93,25.753,-101.68096160888672,86,12.6637,86,430000
3412.46,3437.05,25.8234,-110.67244720458984,87,13.3049,87,435000
3452.25,3462.89,25.4575,-99.47764587402344,88,12.7961,88,440000
3323.32,3457.0,25.1651,-102.0683364868164,89,12.6468,89,445000
3445.38,3460.37,25.4691,-137.08192443847656,90,12.4336,90,450000
3429.34,3456.05,25.9508,-107.04025268554688,91,12.781,91,455000
3432.2,3451.37,24.6057,-103.03485107421875,92,11.9903,92,460000
3419.41,3442.22,25.2323,-109.24273681640625,93,12.8311,93,465000
3423.05,3440.45,24.6548,-93.64655303955078,94,11.8353,94,470000
3240.75,3448.41,25.1785,-107.78128814697266,95,12.6318,95,475000
3423.19,3453.19,25.4205,-112.31133270263672,96,12.7332,96,480000
3397.84,3436.37,25.2677,-117.77454376220703,97,12.2493,97,485000
3445.23,3467.34,25.6406,-119.21498107910156,98,12.5223,98,490000
3391.8,3420.53,25.3089,-124.33045959472656,99,12.9462,99,495000
3403.59,3444.41,25.6213,-118.03170776367188,100,12.8132,100,500000
3430.01,3451.99,25.6676,-130.5127716064453,101,12.9025,101,505000
