Running Update Time,Itration,Reward Loss,Running Reverse KL,Real Det Return,Running Forward KL,Running Env Steps,Real Sto Return
0,0,0.47138333320617676,13.6153,-77.32,158.8289,0,-135.94
1,1,-38.11481475830078,12.6052,-52.15,158.6466,5000,-78.87
2,2,-73.0669174194336,12.6075,-5.54,158.5033,10000,84.13
3,3,-119.44937896728516,12.4318,-3.91,158.1541,15000,236.85
4,4,-163.62921142578125,12.8625,-32.33,158.3045,20000,272.41
5,5,-236.13427734375,14.042,466.6,158.1673,25000,495.66
6,6,-300.4415588378906,13.9916,514.82,158.1668,30000,632.49
7,7,-322.9179382324219,13.7411,141.35,158.0046,35000,633.66
8,8,-363.0665588378906,14.4342,944.02,157.9801,40000,689.98
9,9,-421.0089111328125,15.5375,1254.98,158.0693,45000,839.65
10,10,-477.3490905761719,15.4187,1277.23,158.2757,50000,937.62
11,11,-496.782958984375,15.7545,1436.84,157.826,55000,978.23
12,12,-556.1253662109375,15.7665,1457.88,157.9977,60000,1066.45
13,13,-584.902587890625,16.4292,1525.68,158.0593,65000,1122.59
14,14,-615.4459228515625,16.7102,1614.33,157.748,70000,1190.79
15,15,-657.6929321289062,16.444,1629.26,157.698,75000,1214.12
16,16,-704.5250854492188,16.6404,1677.58,157.9273,80000,1205.89
17,17,-737.8348388671875,16.5108,1684.41,157.9249,85000,1244.29
18,18,-762.6250610351562,16.5317,1740.62,157.5479,90000,1330.29
19,19,-805.6005859375,16.8139,1725.18,157.8781,95000,1329.06
20,20,-832.7796630859375,16.5459,1728.4,157.759,100000,1319.3
21,21,-880.3045043945312,16.0895,1784.76,157.703,105000,1378.62
22,22,-907.0691528320312,16.6929,1759.78,157.9395,110000,1389.73
23,23,-965.9583740234375,16.6819,1808.76,157.9605,115000,1438.66
24,24,-982.111572265625,16.2817,1856.22,157.5525,120000,1486.29
25,25,-1026.4969482421875,16.3821,1820.49,157.8176,125000,1481.12
26,26,-1054.440673828125,16.3877,1815.59,157.746,130000,1458.49
27,27,-1088.8389892578125,16.3251,1807.73,157.7694,135000,1484.01
28,28,-1129.3017578125,16.6154,1867.47,157.7197,140000,1499.96
29,29,-1172.6287841796875,16.4655,1865.75,157.8458,145000,1515.84
30,30,-1210.2225341796875,16.8451,1940.56,157.7084,150000,1565.99
31,31,-1245.561767578125,16.6119,1839.82,157.6104,155000,1521.09
32,32,-1275.2130126953125,16.7905,1954.14,157.5229,160000,1605.37
33,33,-1328.33056640625,16.4972,1875.57,157.6765,165000,1557.04
34,34,-1349.54296875,16.3527,1952.06,157.6142,170000,1598.14
35,35,-1408.3345947265625,16.8066,1928.24,157.6147,175000,1601.71
36,36,-1436.70361328125,16.5645,1978.82,157.5362,180000,1620.45
37,37,-1459.4576416015625,16.4381,1965.09,157.4625,185000,1618.51
38,38,-1492.3179931640625,16.544,1983.07,157.5193,190000,1623.25
39,39,-1541.396240234375,16.3223,2003.88,157.4227,195000,1635.3
40,40,-1569.587158203125,16.5897,1984.16,157.3296,200000,1652.93
41,41,-1635.6513671875,16.3088,1886.15,157.6434,205000,1607.83
42,42,-1666.1314697265625,16.1777,1956.18,157.6195,210000,1621.63
43,43,-1695.216552734375,15.9307,1888.93,157.2772,215000,1608.74
44,44,-1717.437744140625,16.2975,1993.88,157.3829,220000,1657.9
45,45,-1768.123779296875,15.9989,1984.27,157.2405,225000,1644.08
46,46,-1806.0482177734375,15.9264,1969.09,157.4158,230000,1657.93
47,47,-1844.3660888671875,16.2301,1965.42,157.2538,235000,1635.81
48,48,-1860.34912109375,15.5557,1949.79,157.0475,240000,1633.61
49,49,-1914.904541015625,15.8184,1982.51,157.0595,245000,1654.11
50,50,-1957.8018798828125,15.7484,1992.24,157.1761,250000,1680.45
51,51,-1980.3441162109375,15.9359,1970.54,157.1485,255000,1658.12
52,52,-2047.5640869140625,15.8976,2006.79,157.1709,260000,1656.39
53,53,-2070.075439453125,16.2715,1958.99,157.1726,265000,1693.43
54,54,-2096.137939453125,15.943,2024.22,157.2736,270000,1691.47
55,55,-2140.944580078125,16.0372,2007.77,157.1199,275000,1661.42
56,56,-2174.073974609375,15.9601,1946.49,157.0776,280000,1669.07
57,57,-2252.424560546875,16.1388,2042.52,157.2879,285000,1676.77
58,58,-2251.330322265625,16.6824,2074.07,157.1753,290000,1736.34
59,59,-2309.172607421875,15.9594,1989.31,157.2865,295000,1704.75
60,60,-2343.816162109375,16.2842,2038.7,157.1138,300000,1700.96
61,61,-2381.947265625,15.9534,2078.02,156.9389,305000,1739.09
62,62,-2413.155029296875,15.4921,2006.26,157.0142,310000,1718.33
63,63,-2451.12939453125,15.771,2093.2,157.0566,315000,1705.21
64,64,-2508.716552734375,15.5662,1982.81,157.0081,320000,1671.15
65,65,-2538.4140625,15.9244,2083.39,156.8139,325000,1749.1
66,66,-2536.337158203125,15.902,2092.98,156.9097,330000,1725.47
67,67,-2613.09521484375,16.0736,2072.31,156.9113,335000,1735.05
68,68,-2648.63720703125,15.2966,1958.14,156.9099,340000,1661.01
69,69,-2658.07861328125,15.5356,2083.84,156.831,345000,1728.28
70,70,-2707.93017578125,15.8151,2096.8,156.8515,350000,1737.54
71,71,-2755.807373046875,15.6468,2060.22,156.889,355000,1732.22
72,72,-2803.490478515625,15.6223,2030.08,157.1508,360000,1705.47
73,73,-2856.982666015625,15.6549,2095.46,156.9549,365000,1721.34
74,74,-2882.7802734375,15.6973,2084.71,157.057,370000,1714.14
75,75,-2927.72265625,15.5785,2043.37,156.9488,375000,1721.7
76,76,-2950.0615234375,16.1075,2145.83,156.8399,380000,1790.26
77,77,-3017.26806640625,15.7377,2097.26,156.8998,385000,1737.6
78,78,-3063.244384765625,15.8989,2034.93,157.0363,390000,1722.32
79,79,-3073.701171875,15.3538,2040.22,156.7724,395000,1712.99
80,80,-3124.213623046875,15.8214,2117.89,157.1981,400000,1777.22
81,81,-3184.744140625,15.9958,2076.95,157.1842,405000,1735.02
82,82,-3193.687255859375,16.0409,2110.37,157.0268,410000,1768.09
83,83,-3239.351806640625,15.7456,2042.1,156.9167,415000,1747.26
84,84,-3303.52734375,15.9359,2124.97,156.8952,420000,1769.61
85,85,-3286.443603515625,15.4273,2066.04,156.8164,425000,1752.24
86,86,-3377.896728515625,15.5751,2085.72,156.9137,430000,1765.08
87,87,-3421.12939453125,15.4622,2016.66,156.7603,435000,1744.29
88,88,-3482.9111328125,15.5122,2109.78,156.7998,440000,1759.98
89,89,-3524.388671875,15.7481,2078.15,157.1011,445000,1754.74
90,90,-3538.097900390625,15.4943,2089.79,157.0018,450000,1762.58
91,91,-3577.118896484375,15.7518,2041.11,157.0789,455000,1739.06
92,92,-3625.085693359375,15.7012,2079.27,156.9086,460000,1775.46
93,93,-3687.4677734375,15.4672,2061.22,156.8817,465000,1727.68
94,94,-3700.46435546875,15.6178,2122.79,156.8479,470000,1769.76
95,95,-3736.421630859375,15.3703,2076.27,156.9159,475000,1744.46
96,96,-3800.388916015625,15.1663,1974.83,156.9418,480000,1709.25
97,97,-3849.905029296875,15.6949,2126.49,156.8835,485000,1786.11
98,98,-3912.63720703125,15.8302,2129.68,156.9505,490000,1768.19
99,99,-3934.45751953125,15.8448,2100.7,156.9974,495000,1789.16
100,100,-3968.556884765625,15.7953,2178.01,156.8915,500000,1810.74
101,101,-4033.6708984375,15.3166,2066.55,156.9205,505000,1743.91
102,102,-4063.94287109375,15.7526,2140.37,156.8977,510000,1812.17
103,103,-4092.59423828125,15.4777,2087.86,156.9107,515000,1791.11
104,104,-4173.439453125,15.2788,2033.04,157.1201,520000,1723.3
105,105,-4190.30322265625,15.3116,2039.84,156.9341,525000,1760.88
106,106,-4209.49658203125,15.218,2067.37,156.7953,530000,1752.89
107,107,-4323.20947265625,15.4928,2065.34,156.8697,535000,1764.19
108,108,-4310.63525390625,15.4651,2105.56,156.751,540000,1782.68
109,109,-4359.66943359375,15.5022,2171.15,156.7686,545000,1782.11
110,110,-4355.16357421875,15.439,2100.96,156.6953,550000,1787.84
111,111,-4469.3193359375,15.1226,2094.35,157.0757,555000,1773.98
112,112,-4527.6572265625,15.318,2072.99,156.8398,560000,1765.37
113,113,-4595.2802734375,15.7499,2129.19,156.9831,565000,1795.89
114,114,-4618.32275390625,15.6865,2153.95,156.8469,570000,1824.77
115,115,-4656.447265625,15.5042,2189.57,156.766,575000,1822.3
116,116,-4647.31591796875,15.3118,2121.74,156.6009,580000,1799.56
117,117,-4779.56884765625,15.5123,2133.27,156.9398,585000,1799.46
118,118,-4847.39208984375,15.871,2182.56,156.9639,590000,1812.47
119,119,-4858.208984375,15.3712,2065.0,156.8933,595000,1752.77
120,120,-4948.0517578125,15.6104,2127.69,157.1277,600000,1804.74
121,121,-4966.81201171875,15.5794,2147.13,156.875,605000,1766.42
122,122,-4966.36083984375,15.4555,2137.75,156.8445,610000,1790.54
123,123,-5028.19140625,15.5013,2128.31,156.8054,615000,1815.13
124,124,-5135.337890625,15.9439,2194.7,156.8807,620000,1863.02
125,125,-5148.75439453125,15.2025,2105.53,156.953,625000,1768.0
126,126,-5220.60595703125,15.3301,2169.05,156.9401,630000,1788.01
127,127,-5274.0546875,15.6322,2159.92,156.9962,635000,1812.25
128,128,-5321.6962890625,15.4033,2117.52,157.0,640000,1808.18
129,129,-5380.1357421875,15.6136,2187.52,156.9978,645000,1825.96
130,130,-5390.71484375,15.6563,2162.15,156.8585,650000,1822.83
131,131,-5474.6357421875,15.7539,2157.18,156.9567,655000,1808.39
132,132,-5525.28955078125,15.3523,2151.09,156.8443,660000,1791.24
133,133,-5542.58837890625,15.3572,2141.9,156.8694,665000,1802.87
134,134,-5605.99072265625,15.5582,2172.71,156.923,670000,1815.74
135,135,-5658.50732421875,15.3309,2099.18,156.6755,675000,1819.94
136,136,-5689.97314453125,15.5129,2165.04,156.7749,680000,1826.43
137,137,-5771.82958984375,15.2355,2116.54,156.8019,685000,1776.93
138,138,-5833.634765625,15.572,2205.68,156.6415,690000,1841.61
