Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Itration,Real Det Return,Running Update Time,Real Sto Return
40.5175,128.14190673828125,0,37.8471,0,219.5,0,206.58
48.6665,71.52738189697266,5000,37.6145,1,257.96,1,261.54
54.642,62.108821868896484,10000,37.2728,2,260.04,2,258.61
50.1677,38.740478515625,15000,36.6718,3,284.84,3,285.04
55.1614,38.58124923706055,20000,37.5055,4,283.19,4,285.23
66.4681,10.136235237121582,25000,37.7274,5,295.43,5,295.32
19.1882,103.32164764404297,30000,37.2166,6,307.42,6,307.83
60.4265,2.0099356174468994,35000,36.9934,7,318.38,7,309.48
60.2285,-17.626602172851562,40000,37.0278,8,327.87,8,327.85
54.4519,1.9638203382492065,45000,36.3406,9,346.0,9,354.21
42.9881,-2.4387500286102295,50000,32.7103,10,378.61,10,365.1
47.8582,-52.30938720703125,55000,33.4316,11,547.69,11,480.2
57.4689,-25.872066497802734,60000,35.7264,12,342.7,12,357.91
53.5967,-92.02259063720703,65000,33.1131,13,509.8,13,477.22
65.9757,-44.23934555053711,70000,33.7211,14,441.6,14,436.42
46.728,-48.268123626708984,75000,33.732,15,556.36,15,469.76
91.6894,-85.03782653808594,80000,33.5058,16,476.58,16,502.1
66.0745,-71.44241333007812,85000,34.1548,17,448.46,17,484.22
45.9162,-63.76612854003906,90000,32.8096,18,568.46,18,583.13
26.4338,-63.496986389160156,95000,33.2879,19,608.97,19,577.77
47.75,-154.2023162841797,100000,33.153,20,594.38,20,592.08
41.4678,-96.62257385253906,105000,32.3299,21,646.01,21,644.91
38.4229,-93.05537414550781,110000,32.2689,22,683.96,22,664.83
31.3098,-74.53980255126953,115000,32.6067,23,672.84,23,672.08
27.539,-54.74779510498047,120000,32.5604,24,780.22,24,576.85
25.106,-85.64221954345703,125000,32.8438,25,710.62,25,689.88
19.0131,1.5757977962493896,130000,32.9448,26,718.5,26,718.75
19.31,-25.31886863708496,135000,33.2514,27,686.73,27,668.13
17.0882,6.259672164916992,140000,32.8572,28,727.65,28,718.14
16.4164,23.005126953125,145000,32.7556,29,726.41,29,708.21
45.0332,-72.13594055175781,150000,32.3931,30,641.76,30,687.16
19.2926,-43.93455505371094,155000,32.853,31,710.94,31,694.49
54.217,-156.384033203125,160000,34.45,32,613.58,32,642.49
19.8989,-68.21160888671875,165000,33.2526,33,686.24,33,702.15
21.9158,-77.90520477294922,170000,33.0882,34,724.26,34,706.26
25.8428,-128.41366577148438,175000,31.9401,35,744.81,35,803.74
19.3581,-85.10784912109375,180000,32.626,36,741.54,36,748.65
20.1245,-86.87093353271484,185000,32.2144,37,743.58,37,760.77
19.7882,-76.11751556396484,190000,32.5375,38,724.94,38,696.06
17.4107,-71.59403228759766,195000,32.0257,39,692.96,39,674.02
20.7634,-78.98743438720703,200000,31.0723,40,742.87,40,736.28
18.5525,-85.34043884277344,205000,28.8129,41,1706.03,41,1402.49
19.0853,-95.61884307861328,210000,29.6275,42,908.57,42,1012.88
14.988,-50.55768966674805,215000,29.7257,43,1914.85,43,1656.32
14.4588,-50.2427978515625,220000,30.0675,44,1099.7,44,1340.87
15.7918,-97.86573028564453,225000,29.9847,45,1891.19,45,1692.17
34.4585,-166.60276794433594,230000,30.25,46,949.05,46,993.41
22.1045,-84.25904846191406,235000,29.6288,47,1157.69,47,1503.35
15.8742,-43.64051055908203,240000,29.9456,48,3085.01,48,3031.3
17.4347,-137.48484802246094,245000,32.3499,49,914.03,49,915.78
17.7193,-145.1044921875,250000,31.3154,50,958.84,50,894.18
30.4464,-195.86302185058594,255000,31.9611,51,985.02,51,915.05
26.0795,-210.19363403320312,260000,30.3098,52,1134.68,52,1054.35
19.1614,-161.2315216064453,265000,31.6918,53,2471.73,53,1014.77
24.9353,-211.73590087890625,270000,31.5449,54,1180.18,54,1217.76
29.8639,-204.45948791503906,275000,31.0959,55,1143.61,55,1886.1
28.9222,-244.78240966796875,280000,31.0543,56,978.11,56,1453.19
35.4231,-193.64476013183594,285000,30.4628,57,3156.65,57,1574.26
36.2462,-220.2531280517578,290000,30.161,58,3111.65,58,1141.93
46.3201,-290.8013000488281,295000,31.0458,59,1007.35,59,922.56
33.6703,-229.5384979248047,300000,30.8685,60,973.08,60,918.71
36.05,-213.0033721923828,305000,30.167,61,1061.96,61,2045.57
48.9269,-281.2167663574219,310000,30.5155,62,950.98,62,928.52
71.2231,-365.79949951171875,315000,30.9086,63,959.68,63,1218.14
20.1452,-85.74368286132812,320000,29.3134,64,3243.6,64,3088.54
25.5598,-100.08488464355469,325000,29.3431,65,2860.32,65,2377.25
30.1994,-136.1641387939453,330000,29.4785,66,2910.91,66,2876.64
42.8318,-264.4987487792969,335000,29.5045,67,1037.97,67,1655.79
16.0175,-81.55262756347656,340000,29.575,68,3242.3,68,2741.32
37.854,-291.0580139160156,345000,30.1344,69,1068.46,69,1528.86
27.9416,-163.79541015625,350000,30.139,70,3326.09,70,2936.77
18.0355,-151.07337951660156,355000,28.9312,71,3249.54,71,2228.44
16.0141,-61.953277587890625,360000,29.3654,72,3335.24,72,2788.06
16.1539,-73.75341796875,365000,29.4346,73,3345.44,73,3068.14
15.6038,-74.66116333007812,370000,29.173,74,3411.13,74,1796.37
16.8643,-47.71843719482422,375000,29.23,75,3367.97,75,3367.18
23.8427,-130.17501831054688,380000,29.1743,76,3339.34,76,2928.77
15.5743,-27.452260971069336,385000,28.7687,77,3372.67,77,3165.35
14.2219,-31.254947662353516,390000,27.3863,78,3363.23,78,3280.56
15.8624,-44.46718215942383,395000,28.822,79,3369.78,79,3094.42
16.0135,-16.131162643432617,400000,28.2234,80,3330.33,80,3327.19
15.8517,-30.020475387573242,405000,28.1366,81,3299.43,81,3301.89
16.1593,-51.615745544433594,410000,28.6692,82,3362.48,82,3351.21
16.028,-54.94341278076172,415000,28.5875,83,3364.83,83,3344.87
15.2365,-23.604900360107422,420000,28.1384,84,3343.64,84,3329.02
15.5215,-22.970855712890625,425000,28.1225,85,3383.9,85,3339.35
15.3382,-64.67011260986328,430000,28.6948,86,3391.81,86,3055.82
16.7809,-53.480445861816406,435000,28.926,87,3395.39,87,3335.12
15.4171,-38.699893951416016,440000,28.5687,88,3379.51,88,3339.19
14.9809,-34.72843933105469,445000,27.4975,89,3342.79,89,3310.9
16.6587,-64.30194091796875,450000,27.8616,90,3369.25,90,3362.31
15.6126,-38.96323013305664,455000,27.785,91,3315.65,91,3354.55
16.5095,-55.88397216796875,460000,28.4963,92,3340.69,92,3350.84
15.2695,-40.65895080566406,465000,28.038,93,3367.39,93,3394.42
16.1467,-61.626731872558594,470000,28.8497,94,3403.0,94,3247.25
15.4481,-72.57902526855469,475000,29.0335,95,3419.81,95,3124.94
15.1308,-62.62305450439453,480000,28.0857,96,3419.98,96,3422.98
15.0698,-50.94966125488281,485000,27.9773,97,3340.33,97,3262.14
14.9284,-95.49388122558594,490000,27.0266,98,3345.93,98,3139.26
13.8358,-79.31208801269531,495000,27.956,99,3410.16,99,3325.1
14.9361,-101.47344970703125,500000,27.7312,100,3439.31,100,2778.08
13.9169,-56.66849136352539,505000,27.3037,101,3379.57,101,3305.77
14.416,-62.371490478515625,510000,26.8569,102,3406.22,102,3371.85
15.7344,-75.844970703125,515000,28.5367,103,3410.42,103,3380.44
14.4692,-62.038658142089844,520000,27.175,104,3357.78,104,3357.1
14.5723,-105.94808959960938,525000,27.7709,105,3414.13,105,3002.71
14.74,-76.38195037841797,530000,26.765,106,3386.33,106,3273.02
16.0362,-87.87715148925781,535000,28.2922,107,3356.9,107,3347.42
14.6274,-74.40692138671875,540000,27.0035,108,3400.5,108,3269.54
13.8282,-56.43311309814453,545000,26.5254,109,3379.01,109,3285.25
14.6451,-82.37335205078125,550000,27.6631,110,3430.75,110,3159.54
16.7521,-128.78189086914062,555000,28.0114,111,3432.11,111,2982.96
16.8441,-148.26852416992188,560000,28.2283,112,3453.97,112,3129.48
14.695,-78.34520721435547,565000,27.0723,113,3418.76,113,3291.48
13.812,-67.62132263183594,570000,26.6598,114,3387.08,114,3390.3
15.1248,-91.01116943359375,575000,27.6228,115,3441.81,115,2633.09
13.9551,-66.70719146728516,580000,26.7638,116,3417.93,116,3392.65
15.3564,-100.76448059082031,585000,27.3495,117,3440.72,117,3404.22
15.3133,-98.46094512939453,590000,27.1665,118,3397.83,118,3378.21
17.4245,-148.86618041992188,595000,27.1258,119,3394.76,119,2868.34
15.1222,-104.26416778564453,600000,27.0315,120,3430.42,120,3396.58
12.8355,-86.82933807373047,605000,26.1163,121,3408.19,121,3385.99
16.5064,-168.9937286376953,610000,27.8637,122,3439.54,122,3010.95
13.6929,-93.68318176269531,615000,26.514,123,3377.09,123,3350.13
14.6773,-103.63671112060547,620000,26.7198,124,3402.43,124,3369.85
17.9889,-121.069580078125,625000,26.9766,125,3418.39,125,3397.47
16.4413,-125.892578125,630000,28.0437,126,3428.12,126,3404.98
15.0161,-101.29195404052734,635000,26.6001,127,3465.08,127,3435.6
14.7611,-111.29715728759766,640000,26.7469,128,3449.65,128,3405.11
16.0292,-121.57025909423828,645000,27.1875,129,3479.7,129,3450.72
13.9445,-92.00814056396484,650000,26.4313,130,3437.7,130,3252.69
13.7225,-131.65696716308594,655000,26.0036,131,3409.69,131,3336.39
15.1819,-101.25521087646484,660000,27.5972,132,3471.4,132,3344.78
15.2781,-109.14659118652344,665000,26.9906,133,3469.89,133,3341.73
14.0959,-98.97956085205078,670000,26.0355,134,3429.87,134,3301.24
46.9166,-428.9430847167969,675000,28.4517,135,3158.07,135,2234.61
26.8965,-253.97756958007812,680000,27.0926,136,3451.13,136,3021.55
15.5811,-134.49362182617188,685000,26.98,137,3452.63,137,3424.98
23.2584,-210.56094360351562,690000,26.9992,138,3468.75,138,2849.91
30.1318,-300.44091796875,695000,27.7967,139,3486.86,139,2252.19
15.4437,-172.49813842773438,700000,26.6734,140,3345.63,140,2840.28
14.5623,-120.55376434326172,705000,26.9762,141,3421.94,141,3409.03
18.0178,-183.5154266357422,710000,26.924,142,3461.45,142,3119.83
29.3592,-279.750244140625,715000,27.2291,143,2860.82,143,1861.74
13.0607,-99.15843963623047,720000,25.3445,144,3394.49,144,2746.17
13.7351,-99.56491088867188,725000,26.459,145,3440.81,145,3269.08
17.8197,-260.94775390625,730000,27.6655,146,3463.94,146,2801.05
16.607,-159.31246948242188,735000,26.0235,147,3425.35,147,3329.43
14.7468,-153.5782470703125,740000,26.9193,148,3435.31,148,2982.34
14.5185,-131.57069396972656,745000,26.4421,149,3439.78,149,3423.95
17.6697,-219.2291259765625,750000,26.1593,150,3442.75,150,3115.88
16.5985,-208.6585235595703,755000,26.695,151,3468.78,151,2932.85
15.0469,-153.62673950195312,760000,26.4103,152,3415.3,152,3391.16
14.1377,-138.18338012695312,765000,25.6937,153,3454.46,153,3432.64
15.2677,-150.09239196777344,770000,26.5811,154,3453.94,154,3415.51
14.6939,-228.70335388183594,775000,27.175,155,3451.4,155,3330.78
13.2639,-128.34420776367188,780000,26.3005,156,3445.31,156,2971.97
14.5914,-137.14840698242188,785000,25.7756,157,3427.92,157,3320.2
14.1308,-170.6189727783203,790000,26.0943,158,3446.98,158,3345.17
13.7715,-150.58892822265625,795000,26.1124,159,3440.54,159,3350.32
13.7905,-145.33975219726562,800000,26.0734,160,3438.74,160,3400.52
12.6675,-179.02822875976562,805000,26.399,161,3476.5,161,2756.71
13.6701,-218.90472412109375,810000,26.107,162,3452.97,162,2998.44
15.6466,-180.70925903320312,815000,26.1917,163,3446.55,163,3280.95
13.8411,-142.05300903320312,820000,25.8089,164,3466.95,164,3341.49
13.4864,-163.83346557617188,825000,26.5577,165,3476.19,165,3357.86
13.4757,-150.05596923828125,830000,25.2961,166,3428.82,166,3406.85
13.5925,-149.4734344482422,835000,25.3149,167,3439.59,167,3404.05
12.2851,-156.87060546875,840000,25.252,168,3458.54,168,2937.93
13.4383,-211.90577697753906,845000,26.3336,169,3470.28,169,2714.84
13.2052,-152.20457458496094,850000,25.5294,170,3449.26,170,3428.11
12.7707,-169.23745727539062,855000,25.8873,171,3467.63,171,3359.4
18.4295,-235.066650390625,860000,26.4676,172,3470.05,172,3361.95
11.8342,-177.7136993408203,865000,24.7728,173,3441.47,173,2929.3
12.6548,-168.73585510253906,870000,25.3139,174,3433.78,174,3410.51
12.932,-196.91136169433594,875000,25.8512,175,3460.91,175,2932.59
13.2747,-183.0692596435547,880000,26.2982,176,3461.2,176,3314.79
13.6503,-219.28042602539062,885000,26.5381,177,3457.89,177,3355.14
13.1677,-200.01470947265625,890000,26.1942,178,3427.1,178,3425.13
12.2187,-194.020263671875,895000,25.2793,179,3413.82,179,3368.52
13.387,-252.7370147705078,900000,26.9306,180,3442.79,180,3032.59
12.6823,-209.6313934326172,905000,25.555,181,3429.8,181,3169.3
12.9266,-195.5518035888672,910000,26.0376,182,3411.89,182,2991.66
12.8153,-214.87696838378906,915000,26.4665,183,3435.69,183,3169.81
13.3433,-275.84881591796875,920000,25.4815,184,3463.37,184,3101.82
13.1247,-299.5217590332031,925000,27.0246,185,3341.59,185,2943.06
12.6205,-161.0555877685547,930000,24.6389,186,3464.11,186,3226.84
12.1369,-218.33656311035156,935000,25.7805,187,3432.65,187,2814.03
12.8321,-206.20912170410156,940000,25.9299,188,3437.83,188,2833.66
12.834,-177.63201904296875,945000,25.5039,189,3486.11,189,3447.0
13.0783,-207.80520629882812,950000,26.4461,190,3472.91,190,3315.4
12.5483,-244.63600158691406,955000,25.7763,191,3465.92,191,3021.38
15.9095,-409.7627258300781,960000,28.0209,192,2945.68,192,2541.18
12.9126,-284.4622802734375,965000,26.6265,193,3454.46,193,3308.01
12.1794,-296.5937194824219,970000,26.2909,194,3430.99,194,2811.94
12.6699,-428.6536865234375,975000,28.3229,195,3424.04,195,1642.86
13.5693,-365.07244873046875,980000,27.4492,196,3479.71,196,2903.28
12.1895,-198.6161346435547,985000,25.0367,197,3440.97,197,3331.75
13.1559,-192.2781524658203,990000,25.6341,198,3450.94,198,3366.36
12.7835,-207.9539794921875,995000,25.614,199,3443.2,199,3062.33
