Reward Loss,Running Env Steps,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL,Itration,Running Update Time
130.1767578125,0,20.3205,244.64,277.1,35.6147,0,0
156.8233642578125,5000,45.5222,208.13,204.08,43.5542,1,1
86.88286590576172,10000,22.671,246.69,242.39,37.2098,2,2
66.72167205810547,15000,19.5983,303.06,318.5,35.5072,3,3
106.49037170410156,20000,19.4337,295.48,300.41,34.8095,4,4
93.53399658203125,25000,24.3927,411.74,433.31,34.3627,5,5
115.24505615234375,30000,17.5054,344.35,355.31,35.3704,6,6
119.6307373046875,35000,22.5892,226.41,223.09,36.979,7,7
93.34607696533203,40000,24.2134,349.11,351.18,35.2129,8,8
75.21128845214844,45000,20.6631,438.25,665.76,34.5588,9,9
64.95301055908203,50000,20.472,528.18,521.54,33.7342,10,10
54.698280334472656,55000,35.9479,999.83,1002.24,43.7642,11,11
58.808006286621094,60000,19.8069,545.27,527.66,33.9865,12,12
15.061144828796387,65000,63.6692,474.5,342.69,34.0765,13,13
-36.041202545166016,70000,168.4075,562.69,503.76,34.7892,14,14
98.86439514160156,75000,94.3178,16.12,15.45,43.8154,15,15
-26.282794952392578,80000,38.528,993.58,995.48,45.2927,16,16
6.498096466064453,85000,27.545,996.4,998.49,44.4552,17,17
37.36614990234375,90000,33.2627,987.81,990.8,44.1088,18,18
4.232991695404053,95000,25.4007,983.52,984.27,43.3467,19,19
-16.35733413696289,100000,27.4438,937.66,998.32,44.3636,20,20
-51.56987762451172,105000,35.4278,1000.08,997.92,45.1845,21,21
-49.017337799072266,110000,32.9346,1036.4,1036.27,42.0425,22,22
-77.052001953125,115000,36.6133,770.09,1014.3,37.3377,23,23
-34.55839538574219,120000,41.4163,985.92,986.72,42.9603,24,24
-67.02481079101562,125000,34.7218,859.97,991.25,40.5172,25,25
-72.84900665283203,130000,25.2178,1012.67,1015.55,41.9456,26,26
-134.22125244140625,135000,36.2983,1010.8,1010.59,43.5713,27,27
-134.2058868408203,140000,39.4077,1010.5,1009.82,43.3115,28,28
-90.12902069091797,145000,41.9277,1000.37,1000.32,44.1611,29,29
-121.4228286743164,150000,32.6075,1009.33,1010.94,43.6345,30,30
-53.547584533691406,155000,39.8505,390.05,400.12,38.3469,31,31
-87.93669128417969,160000,51.9541,295.7,303.36,40.3897,32,32
-157.79713439941406,165000,53.9798,463.56,71.23,36.8847,33,33
-151.87696838378906,170000,29.8994,1032.1,1032.37,40.3181,34,34
-142.95669555664062,175000,41.4744,982.43,982.24,45.5065,35,35
-196.6941680908203,180000,41.7122,1010.37,1010.29,45.3303,36,36
-97.10587310791016,185000,56.67,357.98,367.19,38.1311,37,37
-198.8108673095703,190000,46.4377,1010.12,1011.7,46.7423,38,38
-156.9833221435547,195000,28.421,319.22,318.41,34.5515,39,39
-214.70289611816406,200000,32.6248,386.62,393.91,36.2448,40,40
-221.9105682373047,205000,27.6407,411.34,397.35,33.7546,41,41
-163.53134155273438,210000,20.284,366.12,367.24,34.9022,42,42
-201.68336486816406,215000,30.8412,482.91,534.8,34.0961,43,43
-195.73631286621094,220000,26.7068,353.08,363.9,35.1082,44,44
-110.93199157714844,225000,20.2176,516.3,562.25,33.5112,45,45
