Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return,Itration
48.7278,402.84,12.9169,346.84,0
49.7575,331.56,56.7684,289.29,1
49.2021,466.26,22.8411,400.71,2
49.6758,439.19,15.1813,316.62,3
49.4492,402.89,17.1345,315.34,4
48.5245,273.79,14.3445,362.36,5
48.5964,457.51,21.4996,377.47,6
48.9946,485.51,25.7206,437.64,7
48.944,891.42,17.8577,462.47,8
47.7096,658.82,16.7709,539.57,9
48.2853,735.34,12.2512,650.9,10
47.8791,1655.03,13.0343,692.99,11
47.543,1871.29,12.026,1185.5,12
47.6699,820.48,12.159,786.59,13
47.5542,1102.78,16.5519,890.17,14
48.5002,757.47,15.8644,599.49,15
47.6455,930.64,16.2996,771.85,16
47.428,1044.35,20.7336,999.13,17
47.622,1033.51,25.7558,947.4,18
47.5957,1065.75,24.7454,902.97,19
