Running Update Time,Itration,Running Reverse KL,Running Env Steps,Real Det Return,Reward Loss,Running Forward KL,Real Sto Return
0,0,32.1704,0,225.56,1.4418587684631348,76.0179,-99.3
1,1,29.271,5000,360.24,-11.533721923828125,75.4411,-71.9
2,2,30.2727,10000,485.12,-21.35708999633789,74.6624,-18.04
3,3,29.4659,15000,664.1,-39.83388137817383,73.9541,55.0
4,4,29.7983,20000,777.93,-57.36056900024414,73.4122,58.63
5,5,30.179,25000,761.2,-74.30451202392578,73.4472,26.72
6,6,30.305,30000,793.06,-90.9763412475586,72.9566,158.37
7,7,30.9327,35000,791.64,-105.99586486816406,72.4646,109.24
8,8,30.9292,40000,876.22,-111.98824310302734,70.4105,163.85
9,9,29.1266,45000,667.67,-124.8941650390625,69.3965,199.38
10,10,29.5597,50000,987.38,-142.65994262695312,69.9283,231.71
11,11,29.5971,55000,519.75,-156.64663696289062,70.8103,236.06
12,12,28.5297,60000,1049.26,-158.07608032226562,67.5824,425.37
13,13,30.0354,65000,1040.63,-187.571533203125,70.1698,320.46
14,14,27.8321,70000,880.28,-192.59446716308594,68.0775,244.12
15,15,29.6702,75000,939.43,-211.2002410888672,69.3211,293.01
16,16,27.9579,80000,863.77,-211.7281951904297,67.3992,211.67
17,17,28.1023,85000,1140.54,-195.1588592529297,65.8371,258.53
18,18,28.9894,90000,1822.12,-245.9871368408203,68.5974,711.02
19,19,29.2789,95000,1788.97,-234.58242797851562,67.5236,767.6
20,20,28.2528,100000,1629.85,-229.19752502441406,65.8056,887.56
