Reward Loss,Itration,Running Update Time,Real Sto Return,Real Det Return,Running Forward KL,Running Env Steps,Running Reverse KL
359.9003601074219,0,0,199.46,193.68,32.6277,0,17.0473
617.9322509765625,1,1,215.12,214.07,31.9051,5000,33.5993
541.5284423828125,2,2,242.17,241.92,31.4865,10000,22.9999
440.8905334472656,3,3,237.03,230.33,31.0746,15000,21.4027
220.9503173828125,4,4,286.75,295.74,30.9255,20000,22.5912
257.7007751464844,5,5,304.93,307.16,30.354,25000,20.7514
59.623966217041016,6,6,316.14,317.67,31.0734,30000,17.838
-105.0105209350586,7,7,345.12,350.41,30.1171,35000,24.1294
-176.53170776367188,8,8,358.53,368.16,31.0157,40000,26.8111
-69.6258544921875,9,9,397.24,404.64,30.5217,45000,19.1262
-122.99851989746094,10,10,400.68,408.83,30.0481,50000,21.3164
-184.19302368164062,11,11,388.42,396.62,29.3168,55000,18.8541
-199.20799255371094,12,12,505.02,523.24,27.0449,60000,16.7057
-245.35215759277344,13,13,473.67,501.27,27.451,65000,18.6749
-279.6089782714844,14,14,914.18,698.84,25.401,70000,15.9424
-311.24749755859375,15,15,552.02,612.44,26.526,75000,20.0814
-390.0019226074219,16,16,623.31,597.91,27.304,80000,28.432
-373.8829040527344,17,17,641.2,603.63,26.0229,85000,55.2206
-418.0963134765625,18,18,869.46,678.0,25.6797,90000,35.9176
-501.0830993652344,19,19,639.35,650.35,27.0373,95000,89.6796
-549.46240234375,20,20,632.82,630.96,27.6127,100000,99.2862
-458.589599609375,21,21,644.47,622.32,27.4064,105000,94.0589
-622.6181030273438,22,22,774.67,696.75,25.7562,110000,67.463
-667.9352416992188,23,23,788.92,648.91,25.9533,115000,70.929
-717.1365966796875,24,24,854.42,905.58,26.2616,120000,41.8328
-590.8222045898438,25,25,1188.33,921.91,25.1659,125000,35.8724
-657.6998291015625,26,26,2082.43,2845.33,25.1628,130000,66.3953
-430.798583984375,27,27,2123.04,2809.3,24.8598,135000,33.4197
-559.7377319335938,28,28,1691.39,2849.55,25.0569,140000,44.245
-588.984375,29,29,2291.1,2954.48,24.7043,145000,27.6731
-591.4176025390625,30,30,1695.41,2229.46,24.0546,150000,39.019
-649.0253295898438,31,31,1458.62,3025.8,23.6362,155000,33.1716
-866.5669555664062,32,32,1101.47,1290.48,25.3307,160000,49.8754
-1014.6312866210938,33,33,1172.7,1069.81,25.1198,165000,79.0596
-923.832275390625,34,34,1435.07,2445.53,24.3232,170000,40.5119
-1059.7791748046875,35,35,1205.39,1430.81,24.9823,175000,65.6555
-1239.83837890625,36,36,981.27,1021.68,25.0732,180000,87.8417
-1194.04443359375,37,37,1139.32,2253.4,24.8889,185000,60.114
-1142.273681640625,38,38,1393.94,3057.26,24.7087,190000,65.2737
-1352.2415771484375,39,39,1189.16,1667.92,25.1317,195000,97.9746
-1253.526123046875,40,40,1475.11,3020.35,24.2368,200000,68.7722
-1049.9012451171875,41,41,1565.51,1187.87,24.2106,205000,57.1716
-1085.8035888671875,42,42,1785.82,3102.19,24.3195,210000,54.5108
