Running Update Time,Real Sto Return,Running Reverse KL,Real Det Return,Running Forward KL,Running Env Steps,Itration,Reward Loss
0,-43.77,25.2266,284.73,73.9079,0,0,85.28826141357422
1,-101.47,25.43,328.42,75.5938,5000,1,64.41163635253906
2,-94.34,26.6868,404.88,73.8932,10000,2,53.07400131225586
3,-15.64,27.0839,556.79,75.3229,15000,3,36.5338134765625
4,35.01,28.7285,569.94,73.8837,20000,4,22.60871696472168
5,60.19,29.4113,692.55,73.6589,25000,5,5.68303108215332
6,69.61,30.1409,674.07,73.6602,30000,6,-8.593938827514648
7,88.33,29.5134,599.49,71.7083,35000,7,-18.92184066772461
8,109.91,30.9252,706.52,72.8433,40000,8,-38.87374496459961
9,125.24,32.4362,718.59,73.9437,45000,9,-53.328590393066406
10,163.29,31.2357,776.69,71.3471,50000,10,-65.92537689208984
11,120.16,31.7689,818.72,72.7146,55000,11,-76.93729400634766
12,167.41,31.7816,653.04,73.6235,60000,12,-91.46099090576172
13,182.8,31.9294,731.96,71.5785,65000,13,-109.98983764648438
14,179.07,31.678,855.73,71.545,70000,14,-124.90130615234375
15,189.5,30.9708,783.77,70.6326,75000,15,-137.2664337158203
16,180.78,30.6747,904.07,70.0256,80000,16,-147.39906311035156
17,240.31,31.5671,724.34,72.7951,85000,17,-164.1380157470703
18,198.79,30.871,918.43,71.7399,90000,18,-177.6150665283203
19,163.42,31.1821,839.03,71.5788,95000,19,-192.1561737060547
20,206.5,31.9964,762.28,73.8623,100000,20,-215.9388885498047
21,225.43,31.3681,798.69,72.6528,105000,21,-222.38807678222656
22,193.3,30.6002,788.43,71.7894,110000,22,-241.38150024414062
23,226.09,31.7225,799.73,72.793,115000,23,-257.2292175292969
24,298.53,31.2878,866.94,70.1358,120000,24,-267.2845458984375
25,300.82,30.9687,1011.23,70.7693,125000,25,-282.3493347167969
26,210.45,30.858,935.84,72.7336,130000,26,-302.1771545410156
27,255.2,31.1724,976.47,71.3843,135000,27,-314.2070617675781
28,224.13,30.7551,892.11,71.8127,140000,28,-327.723876953125
29,249.07,30.9595,884.15,72.6057,145000,29,-348.05303955078125
30,293.71,31.1271,827.13,72.1889,150000,30,-362.3969421386719
31,181.0,31.1154,790.44,72.0031,155000,31,-375.4190673828125
32,214.59,31.1624,833.68,71.8719,160000,32,-392.69952392578125
33,239.96,31.0662,902.2,71.8262,165000,33,-411.13983154296875
34,241.03,31.4673,1014.22,72.2527,170000,34,-426.2155456542969
35,194.3,31.6363,953.4,72.2659,175000,35,-442.18450927734375
36,286.46,30.4305,929.95,70.7496,180000,36,-455.0468444824219
37,258.42,30.8716,921.56,70.3569,185000,37,-472.2885437011719
38,288.39,30.9874,999.27,71.5891,190000,38,-488.5252380371094
39,282.06,31.247,881.4,71.4688,195000,39,-505.7995300292969
40,403.67,31.5755,1112.11,71.2496,200000,40,-525.4861450195312
41,345.37,31.2589,1045.83,70.6983,205000,41,-538.3591918945312
42,249.74,30.8712,975.68,71.557,210000,42,-557.961669921875
43,302.19,29.7074,977.88,68.9012,215000,43,-557.85791015625
44,358.72,29.487,1067.86,67.9844,220000,44,-567.5062866210938
45,415.09,30.526,904.07,70.6181,225000,45,-602.6630249023438
46,355.1,30.0789,1059.56,69.4019,230000,46,-615.5631103515625
47,294.15,30.8548,946.77,69.7207,235000,47,-637.6466064453125
48,397.0,29.5997,1046.94,68.1163,240000,48,-644.7269287109375
49,483.86,29.5502,910.47,69.5338,245000,49,-665.6434326171875
50,386.26,28.5211,954.23,66.625,250000,50,-652.2852172851562
51,400.77,28.2567,880.44,66.5011,255000,51,-673.2777099609375
52,398.89,29.92,960.75,67.9758,260000,52,-712.8583984375
53,487.97,29.4143,1330.82,66.9245,265000,53,-717.9439697265625
54,364.74,28.6257,1023.61,66.4837,270000,54,-735.9446411132812
55,315.7,29.1583,1101.71,67.7585,275000,55,-756.3363647460938
56,854.75,29.865,1327.94,65.3419,280000,56,-717.4357299804688
57,482.2,29.9798,988.48,69.6805,285000,57,-816.4086303710938
58,474.35,28.9741,820.5,67.7485,290000,58,-814.6210327148438
59,705.12,29.3884,1484.25,66.1026,295000,59,-788.054443359375
60,929.31,29.2779,1736.0,66.5398,300000,60,-796.16259765625
61,472.81,29.2891,1268.73,68.296,305000,61,-874.7108764648438
62,640.95,29.0679,1733.93,65.128,310000,62,-822.8312377929688
63,1058.76,30.1411,1641.24,65.547,315000,63,-827.7146606445312
64,717.37,28.5625,1507.63,67.5543,320000,64,-899.0721435546875
65,905.26,27.0319,1690.66,64.4217,325000,65,-821.10205078125
66,925.02,29.5131,1366.61,69.6965,330000,66,-978.1123046875
67,469.26,27.0782,935.86,66.5945,335000,67,-928.587158203125
68,778.32,27.4359,1515.58,65.9532,340000,68,-930.888916015625
69,1006.72,28.1559,1537.53,65.402,345000,69,-947.8720703125
70,1059.85,30.2784,2433.52,64.984,350000,70,-901.8765258789062
71,1632.88,40.2926,2423.66,68.0161,355000,71,-745.462890625
72,1325.98,29.7074,2275.57,66.586,360000,72,-959.2886962890625
73,912.92,29.4382,1673.23,66.4749,365000,73,-963.9313354492188
74,1695.46,41.8739,2340.73,68.0413,370000,74,-762.8208618164062
75,1703.22,30.7418,2511.62,64.8453,375000,75,-936.8931884765625
76,1821.78,40.7838,2885.45,66.9297,380000,76,-760.4710083007812
77,2429.1,42.1672,3150.07,67.3429,385000,77,-811.9083862304688
78,1808.94,34.0782,2486.93,66.4989,390000,78,-1000.986083984375
79,1534.75,30.6002,2211.74,66.3442,395000,79,-992.2319946289062
