Itration,Real Sto Return,Running Reverse KL,Real Det Return,Running Forward KL
0,-31.88,26.222,263.8,74.7686
1,-63.69,25.2965,271.99,72.7912
2,-24.97,26.1504,346.68,73.0197
3,-34.39,27.1747,521.5,73.4023
4,-23.31,28.4088,369.3,70.637
5,8.01,30.2687,612.59,71.7947
6,70.9,28.8245,560.79,71.5219
7,79.32,28.9901,565.2,70.352
8,88.29,29.8859,590.69,70.2721
9,106.95,29.6963,675.87,70.3344
10,129.91,30.5192,735.15,70.1531
11,94.63,30.0201,628.29,70.9379
12,152.7,29.9393,663.51,70.1623
13,165.07,31.9169,875.45,71.5048
14,181.16,31.4657,713.39,72.013
15,228.28,30.4419,825.89,70.5218
16,187.61,29.9701,726.42,67.8799
17,160.32,31.1449,878.27,71.3499
18,349.92,28.8499,946.77,65.4873
19,168.78,29.956,889.65,68.7303
20,175.5,29.964,651.58,68.2109
21,276.15,29.0292,817.2,67.9198
22,201.79,31.7647,902.31,71.3507
23,162.26,30.3877,582.92,68.7377
24,101.55,30.3124,468.89,68.6936
25,-663.52,89.2207,-677.81,84.8364
26,-426.83,45.2918,-1702.0,77.841
27,-277.94,34.3274,-141.23,73.089
28,-165.65,31.9187,307.57,70.4636
29,-257.62,30.3495,-107.76,73.2716
30,-202.26,30.2576,-139.56,70.823
31,-213.58,26.3313,71.92,72.2274
32,-174.02,25.66,-120.66,71.1439
33,-170.78,27.8926,-127.09,71.1294
34,-93.61,30.8011,52.94,73.0903
35,-135.19,28.8617,72.19,74.3164
36,-71.73,31.2975,180.81,73.1902
37,-105.25,28.8102,-41.4,71.9648
38,-90.66,27.9839,274.1,73.8954
39,-15.51,29.0983,82.31,73.2588
40,-63.83,32.2748,36.76,72.9243
41,-93.28,37.5512,15.45,73.359
42,-86.95,29.4213,165.82,71.985
43,-66.48,30.4773,344.79,73.166
44,-47.88,31.8758,305.78,73.0041
45,-77.5,30.308,70.65,72.9671
46,-19.32,34.6572,231.7,74.377
47,-111.83,33.7981,200.86,72.621
48,-110.2,32.8618,83.7,73.6171
49,-31.6,35.1161,215.73,71.8515
50,0.47,30.7238,161.04,72.1507
51,-14.51,37.4269,158.26,73.0852
52,-4.94,30.9928,488.13,72.6077
53,-93.76,34.4327,169.12,73.124
54,-64.25,34.4514,70.26,70.7461
55,-45.79,36.8172,-9.89,75.5826
56,-19.55,29.4244,142.6,73.8847
57,-4.54,29.2452,234.57,72.4879
58,-60.81,28.7412,365.42,71.058
59,-70.9,28.6638,101.1,70.2428
60,-72.5,31.2899,236.29,72.2138
61,-39.96,28.0876,310.28,73.3617
62,-50.36,30.8872,238.29,73.1149
63,-58.34,27.6577,326.56,71.6026
64,-88.2,28.5105,278.21,72.382
65,-58.43,31.4059,172.95,73.9548
66,-63.14,28.8718,-66.39,72.7358
67,-58.52,27.1517,177.05,71.901
68,-46.21,27.2907,198.77,71.7725
69,-70.0,26.0617,-312.92,71.3605
70,-72.44,25.5241,242.39,70.0311
71,-42.71,27.1548,270.64,71.4356
72,-11.64,28.2811,272.98,72.2187
73,4.41,27.7811,253.14,70.6001
74,-16.36,31.6084,186.05,72.1379
75,0.72,26.2988,240.05,70.7614
76,-23.03,29.699,144.12,73.3079
77,-15.39,26.2552,244.24,71.3821
78,-22.74,29.007,207.64,70.5468
79,-42.51,36.2489,22.25,72.1394
80,-103.96,32.2124,-438.19,70.4033
81,47.76,27.1016,370.15,71.0183
82,42.73,29.402,404.01,71.6854
83,-6.94,27.0056,214.59,70.7656
84,-5.15,30.8759,139.94,71.4258
85,24.82,27.7645,315.77,70.1843
86,-116.17,31.0504,-538.36,71.3616
87,-11.08,30.6883,101.25,70.44
88,11.3,27.8901,204.01,71.5599
89,-5.13,27.4451,323.88,67.8523
90,16.65,28.787,303.05,71.748
91,23.59,28.9399,273.68,74.2584
92,-58.56,30.5126,150.14,71.8312
93,-44.64,27.1019,251.9,71.0423
94,-30.91,29.064,445.4,69.1839
95,-25.02,27.2952,-7.14,73.3066
96,-53.64,32.5662,230.15,72.3217
97,-52.4,29.2724,178.59,71.3304
98,-49.35,28.2585,-323.52,71.7938
99,-20.53,28.6339,2.11,71.2563
100,-47.71,29.1874,243.46,71.4777
101,-90.4,27.1161,150.27,71.5454
102,-34.09,25.968,199.13,71.0749
103,-16.36,26.5288,283.84,71.6071
104,-20.88,27.594,341.99,71.4843
105,-51.53,36.5503,-26.72,72.8024
106,7.52,30.0088,167.68,70.3504
107,27.23,28.0634,364.9,70.6584
108,-0.4,27.7316,281.68,70.4265
109,21.1,28.3357,252.13,69.9587
110,-67.41,34.8823,166.58,69.86
111,24.5,26.3474,343.84,69.9112
112,-3.58,26.5497,250.53,69.464
113,9.21,30.2047,381.63,73.4718
114,-55.32,29.2013,-244.1,69.5221
115,-52.71,26.5872,-13.94,68.8194
116,5.59,29.5322,93.96,69.4149
117,-14.79,27.3134,61.86,71.1989
118,-17.67,29.2286,202.14,69.4783
119,-5.21,31.8502,200.38,71.7111
120,9.17,29.1682,294.22,70.353
121,-63.41,34.3122,168.78,70.7363
122,18.7,30.0786,627.68,71.3504
123,40.24,28.7634,360.19,71.1047
124,-23.72,27.26,337.81,68.7291
125,-3.33,30.3825,265.63,71.8083
126,38.5,28.3229,132.69,70.4455
127,23.55,27.4499,330.64,69.694
128,27.34,29.5548,279.13,70.4461
129,9.88,27.2852,251.24,69.7609
130,27.64,28.2527,429.54,69.2301
131,19.37,28.6539,285.0,70.039
132,9.39,29.6536,444.5,70.9401
133,26.03,27.424,431.29,68.5226
134,21.76,26.72,361.26,69.8504
135,32.93,32.072,345.34,71.9834
136,97.0,29.3418,544.11,66.528
137,41.2,30.3694,353.23,69.4133
138,41.85,28.5173,414.55,70.2537
139,28.12,28.9195,309.06,70.3166
140,49.44,28.2981,294.92,70.9063
141,13.81,26.9358,81.49,69.7736
142,31.11,26.5516,163.27,68.7764
143,34.9,29.6747,280.03,70.6277
144,44.84,28.5449,400.16,68.6264
145,59.67,27.5905,375.14,69.7209
146,24.35,29.6421,460.13,70.7425
147,57.91,27.9526,402.0,68.7811
148,132.71,26.8372,479.19,66.5674
149,41.84,27.1722,318.87,68.8129
150,43.91,28.3876,460.98,70.7157
151,98.77,30.2266,428.27,70.7237
152,48.2,29.8574,533.16,67.9185
153,71.28,34.8751,539.66,70.295
154,73.25,31.7399,399.17,67.1101
155,6.21,30.5464,460.3,70.2629
156,64.75,29.6229,228.13,69.7673
157,5.57,30.3554,347.29,70.5032
158,-27.69,30.4713,228.35,69.0916
159,-0.29,32.2837,295.59,67.1166
160,6.92,27.5938,336.36,68.768
161,-66.55,29.0355,164.49,71.826
162,-277.48,34.1608,15.57,70.1322
163,-74.57,41.8707,313.44,70.5504
164,-4.52,29.8362,290.01,67.799
165,-100.04,35.2229,-143.81,69.9182
