Running Update Time,Real Det Return,Real Sto Return,Reward Loss,Running Forward KL,Running Reverse KL,Running Env Steps,Itration
0,18.26,-210.48,-273.4767150878906,158.6425,11.8774,0,0
1,-2.84,-123.72,-328.59197998046875,158.6559,12.2111,5000,1
2,270.58,34.94,-424.39404296875,158.553,12.4616,10000,2
3,696.48,256.43,-579.717529296875,158.346,13.4146,15000,3
4,692.12,393.35,-640.5450439453125,158.316,13.8204,20000,4
5,1029.09,587.35,-711.4658203125,158.177,14.5799,25000,5
6,1004.92,673.38,-761.6795043945312,157.9331,14.5834,30000,6
7,934.83,744.25,-812.39404296875,157.9293,14.8279,35000,7
8,981.12,705.39,-831.1896362304688,157.8412,14.7903,40000,8
9,1303.35,936.94,-875.428466796875,157.6721,15.3466,45000,9
10,1398.22,1037.1,-895.649658203125,157.8894,15.8504,50000,10
11,1503.33,1075.57,-942.8841552734375,157.6391,16.1063,55000,11
12,1628.72,1189.85,-998.914794921875,157.7866,16.4534,60000,12
13,1691.1,1233.98,-1035.094970703125,157.5224,16.4457,65000,13
14,1630.19,1223.43,-1051.6331787109375,157.8132,16.4768,70000,14
15,1714.41,1236.45,-1102.916748046875,157.6144,16.4025,75000,15
16,1673.73,1314.81,-1128.8619384765625,157.9153,16.7755,80000,16
17,1743.31,1326.34,-1144.037841796875,157.6469,16.0872,85000,17
18,1780.4,1390.6,-1190.763427734375,157.55,16.1505,90000,18
19,1793.22,1424.82,-1209.8526611328125,157.5188,16.1202,95000,19
20,1799.42,1474.32,-1237.8841552734375,157.555,16.4005,100000,20
21,1825.54,1470.24,-1286.5712890625,157.5312,15.8685,105000,21
22,1859.94,1477.25,-1335.67431640625,157.7765,16.26,110000,22
23,1868.34,1515.43,-1359.9642333984375,157.6233,16.0637,115000,23
24,1903.26,1523.4,-1414.0887451171875,157.5743,16.3949,120000,24
25,1919.98,1548.12,-1438.080322265625,157.4938,16.3088,125000,25
26,1911.44,1562.16,-1498.9034423828125,157.6139,16.3652,130000,26
27,1905.44,1558.0,-1497.876708984375,157.5049,16.0784,135000,27
28,1953.63,1593.18,-1552.1566162109375,157.5211,16.0119,140000,28
29,1948.95,1614.15,-1598.6636962890625,157.3544,16.4008,145000,29
30,1939.6,1610.56,-1600.3916015625,157.484,16.2488,150000,30
31,1981.68,1633.54,-1652.0587158203125,157.4909,16.5737,155000,31
32,1952.33,1631.29,-1681.67919921875,157.1226,16.3891,160000,32
33,1976.37,1638.0,-1726.017578125,157.391,16.233,165000,33
34,1972.96,1627.91,-1786.5638427734375,157.1933,16.2019,170000,34
35,2010.26,1651.23,-1813.1856689453125,157.4372,16.1071,175000,35
36,2018.16,1676.73,-1859.8623046875,157.0776,16.0016,180000,36
37,2031.1,1685.12,-1888.07861328125,157.3148,16.2404,185000,37
38,2008.97,1686.52,-1912.7138671875,157.2553,15.8491,190000,38
39,2002.22,1677.88,-1964.4222412109375,157.0074,15.7962,195000,39
40,2026.91,1671.91,-1995.1685791015625,157.1316,16.0942,200000,40
41,2083.62,1708.18,-2039.9112548828125,157.1401,16.1692,205000,41
42,2025.73,1684.0,-2052.45068359375,157.3432,16.203,210000,42
43,2045.31,1693.78,-2097.350830078125,157.1523,16.202,215000,43
44,2080.17,1707.34,-2158.328369140625,157.118,16.2327,220000,44
45,1975.62,1656.27,-2167.80078125,157.2675,16.0551,225000,45
46,2083.25,1726.96,-2240.234130859375,157.2806,16.1922,230000,46
47,2059.15,1732.32,-2268.658203125,157.1709,16.257,235000,47
48,2062.44,1723.12,-2307.489990234375,157.019,16.1583,240000,48
49,2049.55,1708.24,-2358.55615234375,157.0908,15.9062,245000,49
50,2059.18,1711.84,-2398.209228515625,156.9719,16.0466,250000,50
51,2060.14,1739.65,-2408.935546875,156.856,16.0462,255000,51
52,2008.51,1705.62,-2448.35693359375,157.1543,16.0054,260000,52
53,2105.13,1773.4,-2508.493408203125,157.0544,16.2688,265000,53
54,2099.44,1743.89,-2561.328125,157.1412,16.1025,270000,54
55,2111.81,1765.11,-2592.474609375,157.1239,16.1109,275000,55
56,2105.58,1748.19,-2628.196533203125,157.1028,16.0345,280000,56
57,2087.2,1726.65,-2686.26220703125,157.0015,15.9961,285000,57
58,2088.07,1742.53,-2727.93017578125,157.102,15.9877,290000,58
59,2087.72,1755.72,-2767.280517578125,157.0965,15.9484,295000,59
