Running Forward KL,Reward Loss,Running Reverse KL,Itration,Running Env Steps,Real Sto Return,Real Det Return,Running Update Time
48.7585,-66.40507507324219,13.2,0,0,309.27,315.3,0
49.0834,-34.00640106201172,13.2572,1,5000,331.69,398.85,1
49.355,-18.69435691833496,23.3317,2,10000,331.15,378.96,2
48.8261,-116.03955841064453,12.9972,3,15000,339.16,337.74,3
49.2442,-106.66754913330078,17.4916,4,20000,375.54,423.98,4
49.1083,-141.26507568359375,17.6042,5,25000,467.58,618.11,5
48.0381,-130.93800354003906,13.6923,6,30000,581.39,999.8,6
48.9752,-280.8704833984375,12.721,7,35000,471.72,423.61,7
48.799,-276.2070007324219,15.6173,8,40000,532.81,558.54,8
48.6214,-290.7899169921875,21.3773,9,45000,570.02,534.49,9
49.0327,-244.1019744873047,24.8392,10,50000,478.03,472.8,10
47.6968,-264.5933837890625,19.7508,11,55000,726.09,552.11,11
47.7992,-260.7203369140625,21.8128,12,60000,687.77,614.54,12
47.4719,-299.20135498046875,21.0773,13,65000,719.05,648.08,13
45.8255,-202.3138885498047,22.2518,14,70000,1369.84,2186.84,14
45.8377,-187.1690216064453,16.936,15,75000,2078.9,2569.8,15
46.2834,-276.7243347167969,23.0333,16,80000,940.55,715.94,16
45.623,-265.3383483886719,32.1074,17,85000,1257.76,1033.84,17
45.4674,-202.80584716796875,27.6357,18,90000,1596.36,1622.71,18
44.9953,-254.52294921875,18.8235,19,95000,1553.58,1537.03,19
44.8894,-256.01812744140625,15.0935,20,100000,1501.67,2947.39,20
45.3572,-269.5626220703125,16.5613,21,105000,2539.25,2176.43,21
44.8052,-279.4420471191406,18.9723,22,110000,1753.44,1501.33,22
44.4724,-346.314453125,16.6238,23,115000,961.43,1299.32,23
44.1633,-402.9553527832031,46.8315,24,120000,1093.78,894.31,24
44.6373,-386.5033874511719,32.6799,25,125000,1538.33,1727.53,25
45.3001,-232.7624053955078,16.3802,26,130000,2718.67,2739.25,26
45.4105,-246.39910888671875,15.5681,27,135000,2237.37,2349.92,27
44.5733,-217.02932739257812,15.9102,28,140000,3101.6,1338.03,28
45.4998,-351.3972473144531,16.0559,29,145000,2279.07,2590.54,29
45.0186,-255.40830993652344,16.3692,30,150000,2850.46,3013.8,30
44.603,-437.41290283203125,17.6374,31,155000,1651.64,1415.45,31
43.0809,-260.6080322265625,15.0163,32,160000,2069.34,1941.71,32
43.527,-221.1033477783203,14.47,33,165000,2743.86,3406.49,33
43.2959,-359.545166015625,15.1981,34,170000,2725.12,1343.52,34
45.1724,-272.7550048828125,15.4711,35,175000,3007.9,3079.02,35
44.2977,-197.00941467285156,14.7808,36,180000,3182.25,3166.58,36
43.0565,-281.42254638671875,15.2021,37,185000,2749.59,3365.37,37
42.8259,-232.72152709960938,14.0503,38,190000,3412.64,3543.64,38
43.0061,-230.6683349609375,13.8768,39,195000,3261.51,3454.59,39
42.7724,-231.8361053466797,13.8218,40,200000,3227.24,3540.44,40
43.3374,-281.878662109375,15.4257,41,205000,3367.0,3483.88,41
42.7576,-201.11163330078125,17.1493,42,210000,3366.19,3321.39,42
43.1775,-375.5280456542969,14.666,43,215000,3725.04,3637.24,43
42.2229,-290.7537841796875,15.3312,44,220000,3405.42,3828.72,44
42.093,-247.42506408691406,14.1436,45,225000,3693.92,3799.36,45
43.288,-292.7979431152344,13.6683,46,230000,3326.82,3311.81,46
42.7937,-238.7040557861328,15.9509,47,235000,3401.61,3633.72,47
42.551,-318.71502685546875,17.4297,48,240000,2634.74,525.26,48
42.269,-243.75096130371094,15.0063,49,245000,3788.71,3890.31,49
42.7774,-495.8800048828125,14.2137,50,250000,1523.71,1816.67,50
43.7806,-660.8333740234375,15.0303,51,255000,86.24,42.72,51
42.4445,-273.1075439453125,15.4284,52,260000,3697.55,3681.25,52
42.3541,-283.6492919921875,14.9886,53,265000,3750.06,3717.49,53
42.4415,-259.18853759765625,14.5486,54,270000,3727.1,3794.95,54
41.9644,-277.01446533203125,15.0676,55,275000,3879.65,3948.24,55
42.0507,-265.08868408203125,15.7726,56,280000,3840.32,3914.21,56
42.0075,-281.1276550292969,16.0661,57,285000,3916.39,3910.36,57
41.1932,-277.86077880859375,15.7764,58,290000,3933.63,3888.42,58
41.4982,-416.46563720703125,13.861,59,295000,3171.43,3710.77,59
41.773,-289.5174865722656,14.9738,60,300000,3825.64,3879.0,60
42.1259,-310.9370422363281,14.6138,61,305000,3833.18,3833.57,61
40.6531,-350.44647216796875,14.7575,62,310000,3738.48,3911.67,62
40.7643,-327.4519348144531,15.3831,63,315000,3975.57,3922.66,63
41.4657,-305.937744140625,15.8849,64,320000,3836.85,3929.47,64
41.1965,-360.5937805175781,19.3892,65,325000,3916.83,3903.58,65
41.4078,-313.79925537109375,15.5389,66,330000,3833.23,4050.95,66
41.9226,-360.8078308105469,14.2503,67,335000,3598.16,4071.36,67
41.4483,-500.8857116699219,14.6642,68,340000,3185.48,2927.94,68
40.3203,-332.73834228515625,15.4005,69,345000,3812.59,4089.97,69
41.6615,-391.2811279296875,13.6039,70,350000,3322.45,2647.36,70
41.5154,-329.9472351074219,15.9309,71,355000,4072.0,4013.65,71
40.5744,-344.1718444824219,14.9624,72,360000,4093.38,4092.15,72
41.0864,-422.6372375488281,15.3742,73,365000,3149.75,3452.16,73
40.751,-481.38336181640625,13.1857,74,370000,3393.77,3774.13,74
41.9516,-426.1291809082031,15.0057,75,375000,3918.53,3675.17,75
42.1174,-414.97674560546875,16.181,76,380000,3995.27,4094.65,76
40.4696,-368.3407287597656,15.4893,77,385000,4066.0,4113.64,77
39.9872,-360.168212890625,13.4115,78,390000,4000.82,4125.73,78
40.5413,-409.75616455078125,16.0061,79,395000,4173.59,4093.61,79
40.9366,-459.013427734375,13.7792,80,400000,3600.29,4160.16,80
40.2553,-392.37066650390625,14.5592,81,405000,3780.52,4104.68,81
40.4346,-390.6604309082031,14.8631,82,410000,3963.56,4103.28,82
39.8654,-391.6475524902344,15.1875,83,415000,4153.82,4148.36,83
39.3609,-376.1662902832031,14.9745,84,420000,4214.23,4136.6,84
40.4268,-466.301025390625,16.1571,85,425000,4065.44,4199.06,85
40.0176,-462.3177795410156,14.9179,86,430000,3415.11,4215.93,86
39.4103,-396.8480224609375,14.6659,87,435000,4227.48,4207.15,87
40.1635,-522.1580200195312,14.4563,88,440000,4183.3,4256.6,88
39.8704,-505.4925231933594,15.9599,89,445000,4131.81,4216.74,89
39.7115,-399.1489562988281,15.13,90,450000,4255.84,4315.87,90
39.1052,-419.0129699707031,14.0397,91,455000,4364.77,4366.99,91
40.067,-406.97174072265625,15.7219,92,460000,4316.57,4375.43,92
40.0174,-421.7498474121094,14.9929,93,465000,4221.26,4114.63,93
39.5654,-404.8096923828125,15.3121,94,470000,4165.77,4225.33,94
40.4823,-444.37860107421875,14.7285,95,475000,4159.55,4288.26,95
40.5865,-515.5032958984375,15.1508,96,480000,3669.74,4479.64,96
39.6233,-443.0269775390625,15.5109,97,485000,4283.98,4274.98,97
41.3422,-631.9183349609375,16.1428,98,490000,3852.23,4448.8,98
39.4678,-518.0576782226562,14.5386,99,495000,4192.23,4279.24,99
42.7149,-772.0625610351562,16.7221,100,500000,3822.68,4007.52,100
39.3017,-425.1072082519531,15.1802,101,505000,4235.63,4318.42,101
39.7997,-465.212158203125,15.7413,102,510000,4401.6,4287.9,102
