Running Forward KL,Running Update Time,Real Det Return,Reward Loss,Real Sto Return,Itration,Running Reverse KL,Running Env Steps
49.5512,0,325.63,92.57575988769531,344.51,0,13.8648,0
50.502,1,318.06,45.52352523803711,273.04,1,30.6092,5000
49.2345,2,403.27,41.0268669128418,389.19,2,17.6717,10000
49.2428,3,349.47,18.467485427856445,380.06,3,13.6891,15000
49.2909,4,426.51,36.7246208190918,415.66,4,15.0269,20000
48.8789,5,426.19,7.013201713562012,399.02,5,17.3446,25000
49.2135,6,467.85,17.193727493286133,460.12,6,13.768,30000
48.67,7,458.15,30.316688537597656,472.66,7,13.8073,35000
48.2148,8,553.47,26.7000789642334,583.63,8,25.9282,40000
47.2779,9,1195.25,19.930932998657227,755.28,9,28.49,45000
47.6149,10,598.25,56.21702194213867,701.81,10,29.5944,50000
47.2007,11,706.53,-3.297574758529663,717.16,11,18.6919,55000
47.7377,12,624.44,50.376564025878906,616.75,12,47.5055,60000
47.8006,13,833.31,51.86205291748047,741.61,13,40.6059,65000
46.7188,14,950.13,34.27599334716797,797.08,14,36.6218,70000
47.0062,15,951.0,34.82999801635742,956.79,15,43.3162,75000
47.3307,16,903.31,36.98790740966797,822.2,16,51.901,80000
46.9651,17,1111.29,-23.17905044555664,821.41,17,26.3398,85000
46.8876,18,1169.28,-2.502490758895874,939.47,18,34.4117,90000
47.0175,19,1592.11,-7.26403284072876,952.16,19,33.4027,95000
46.8433,20,1163.73,-51.36881637573242,1003.02,20,24.4555,100000
46.2777,21,2487.78,-63.222965240478516,1223.32,21,16.2798,105000
47.098,22,1106.22,-35.41420364379883,1121.28,22,32.0023,110000
46.7921,23,908.52,-83.42021942138672,1039.6,23,31.9479,115000
