Running Forward KL,Reward Loss,Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Running Env Steps,Itration
453.6108,59.431373596191406,270.81,307.8349,0,314.1,0,0
429.0534,-5916.3330078125,371.24,257.3103,1,374.29,5000,1
420.2341,-3133.377685546875,509.4,234.9109,2,414.2,10000,2
430.1721,-3689.39306640625,462.08,244.6141,3,411.84,15000,3
425.9565,-2773.00439453125,304.73,276.6517,4,372.54,20000,4
421.3004,-4033.326904296875,345.03,274.0464,5,381.0,25000,5
425.8911,-6401.5283203125,420.05,256.7505,6,451.28,30000,6
424.0387,-7371.99560546875,401.09,251.8512,7,450.37,35000,7
416.9292,-9917.3994140625,457.99,255.847,8,509.31,40000,8
415.6771,-11937.7099609375,537.13,250.0684,9,452.78,45000,9
402.8956,-10102.724609375,539.05,270.8921,10,497.67,50000,10
415.9249,-12089.83984375,422.98,288.7853,11,425.92,55000,11
413.467,-10568.025390625,400.87,293.9992,12,429.71,60000,12
420.2117,-14214.1953125,482.41,263.2102,13,492.43,65000,13
413.0411,-15801.4033203125,509.99,249.2857,14,542.96,70000,14
415.0312,-16314.23046875,517.26,256.5167,15,536.21,75000,15
413.4777,-14270.837890625,463.71,284.4562,16,571.13,80000,16
395.6693,-16190.6064453125,507.54,253.5348,17,604.84,85000,17
417.6089,-16868.1328125,504.14,250.2489,18,558.64,90000,18
399.3545,-17442.814453125,497.76,278.6467,19,543.19,95000,19
408.0664,-19024.93359375,476.53,260.4463,20,586.36,100000,20
404.6939,-18332.349609375,483.22,277.6271,21,640.45,105000,21
411.1177,-18442.6171875,444.7,268.3639,22,530.83,110000,22
405.8062,-19795.03515625,447.97,275.5221,23,580.06,115000,23
399.0237,-20875.41796875,454.57,271.3959,24,550.22,120000,24
400.4226,-21427.962890625,471.85,274.0194,25,674.19,125000,25
407.6959,-23402.7421875,499.6,311.6604,26,618.75,130000,26
397.7094,-23041.83984375,511.04,275.6641,27,667.4,135000,27
388.2109,-23687.73046875,579.68,265.1777,28,737.52,140000,28
384.0316,-24585.755859375,639.86,267.7828,29,784.51,145000,29
397.2009,-28650.994140625,660.36,289.9287,30,737.94,150000,30
380.7934,-26135.572265625,655.35,279.9663,31,776.6,155000,31
384.7565,-25505.435546875,603.8,276.4888,32,868.88,160000,32
376.2161,-24103.107421875,645.6,266.9034,33,847.58,165000,33
387.5019,-25932.58203125,549.55,289.0286,34,1004.44,170000,34
384.3358,-29640.45703125,547.25,267.9327,35,878.65,175000,35
388.4012,-29084.451171875,561.81,290.3267,36,972.8,180000,36
380.0891,-30146.69921875,878.15,254.5075,37,851.5,185000,37
359.3212,-26107.90625,579.37,237.9811,38,1290.29,190000,38
392.7223,-31806.4765625,687.45,251.9699,39,1182.49,195000,39
364.0859,-28627.19140625,683.45,225.9151,40,1212.75,200000,40
371.9776,-30050.767578125,831.35,227.2861,41,1450.5,205000,41
