Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL,Running Env Steps,Itration,Real Sto Return,Reward Loss
0,49.9897,352.11,13.3544,0,0,268.96,439.2141418457031
1,49.1475,365.92,13.5336,5000,1,369.08,154.52908325195312
2,49.5327,353.11,13.0711,10000,2,336.57,516.0331420898438
3,49.9602,309.06,13.9996,15000,3,316.2,426.1637878417969
4,50.0047,413.49,18.6379,20000,4,391.35,246.5461883544922
5,50.2256,389.21,20.163,25000,5,364.21,-48.796695709228516
6,49.5528,570.19,13.7895,30000,6,398.39,2.527468204498291
7,49.8478,401.29,13.7833,35000,7,444.55,40.93643569946289
8,49.204,546.45,14.1488,40000,8,470.63,163.94491577148438
9,49.2421,527.49,13.6272,45000,9,445.9,128.87130737304688
10,49.1671,511.85,13.9064,50000,10,508.27,53.42182922363281
11,47.5621,2069.05,15.9571,55000,11,1357.85,-256.8009338378906
12,48.763,1839.5,14.1673,60000,12,1484.66,-131.38467407226562
13,48.5744,1334.9,16.0735,65000,13,1024.15,-503.9476013183594
14,48.0469,1461.32,16.1416,70000,14,1247.47,-520.0638427734375
15,47.5141,1102.68,17.075,75000,15,936.18,-657.884765625
16,47.524,2030.39,13.7879,80000,16,1247.67,-469.186279296875
17,47.6523,1525.93,17.7574,85000,17,1062.8,-635.4297485351562
18,47.5543,1892.78,16.5782,90000,18,1201.57,-672.2381591796875
19,47.7824,1186.41,18.2818,95000,19,1224.2,-979.297607421875
20,46.1193,2728.88,16.9643,100000,20,2540.97,-785.6898193359375
21,46.4823,2734.66,16.1134,105000,21,2470.41,-734.1934204101562
22,48.042,2662.67,18.8729,110000,22,2597.83,-850.0722045898438
23,47.1091,2543.53,16.9967,115000,23,2535.09,-816.0836181640625
24,46.9247,2296.81,16.1166,120000,24,2456.83,-786.2932739257812
25,46.1867,2943.85,18.1203,125000,25,2985.17,-934.7459106445312
26,45.6317,3358.44,19.0038,130000,26,3195.46,-893.701416015625
27,46.3392,3233.89,21.3276,135000,27,3256.94,-975.7666015625
28,46.0723,3407.62,21.8303,140000,28,3135.71,-965.3132934570312
29,45.6989,3301.19,22.4543,145000,29,3303.58,-1010.3609619140625
30,46.3176,3451.38,20.6444,150000,30,3315.11,-1043.611572265625
31,44.8055,3485.88,19.3482,155000,31,3449.22,-1069.0269775390625
32,45.829,3447.06,19.5902,160000,32,3319.33,-1146.7918701171875
33,45.4928,3698.93,20.5312,165000,33,3177.93,-1155.277099609375
34,45.748,3579.89,18.775,170000,34,3556.1,-1173.322021484375
35,46.1915,3644.06,17.7763,175000,35,2201.62,-1235.5606689453125
36,44.7169,3609.35,19.0812,180000,36,3412.08,-1251.55224609375
37,45.3703,3712.18,19.0263,185000,37,3232.11,-1323.43505859375
38,44.6871,3893.21,20.5836,190000,38,3137.82,-1326.99853515625
39,44.5902,3730.03,19.2723,195000,39,3675.81,-1312.005615234375
40,44.3793,3772.29,19.6554,200000,40,3685.77,-1322.4178466796875
41,43.6818,3785.58,20.1072,205000,41,3490.43,-1338.43701171875
42,44.1499,3689.55,19.9634,210000,42,3639.65,-1459.482666015625
43,43.9847,3762.69,20.0431,215000,43,3613.89,-1437.8018798828125
44,43.3744,3834.14,18.1436,220000,44,3669.41,-1430.8074951171875
45,43.6318,3824.51,20.8741,225000,45,3766.2,-1475.595947265625
46,44.1546,3893.49,20.0092,230000,46,3810.65,-1450.410400390625
47,43.3067,3862.72,16.5224,235000,47,3188.44,-1385.506103515625
48,43.8375,3882.39,19.3809,240000,48,3759.86,-1562.291748046875
49,43.1644,3834.16,19.221,245000,49,3822.91,-1597.4859619140625
50,43.213,3794.75,18.9801,250000,50,3829.37,-1649.1737060546875
51,43.8398,3946.14,22.3841,255000,51,4003.59,-1728.0018310546875
52,43.4369,3762.94,17.6762,260000,52,3800.66,-1687.576904296875
53,42.5849,4025.13,17.4779,265000,53,3838.81,-1592.321044921875
54,43.5192,3948.12,18.725,270000,54,3789.58,-1718.619873046875
