Real Sto Return,Running Forward KL,Running Env Steps,Running Update Time,Running Reverse KL,Reward Loss,Real Det Return,Itration
-205.36,158.5696,0,0,12.0146,-1315.587890625,-34.26,0
-105.28,158.3708,5000,1,11.5314,-1693.2393798828125,2.7,1
26.95,158.4479,10000,2,12.144,-2090.779541015625,1.74,2
177.55,158.285,15000,3,12.6068,-2685.42138671875,732.02,3
378.74,158.0681,20000,4,13.6364,-3470.284423828125,803.17,4
530.75,158.2934,25000,5,13.9392,-3581.61865234375,933.05,5
613.56,157.8981,30000,6,14.2538,-3834.962646484375,948.66,6
645.71,157.8385,35000,7,14.1727,-3697.3916015625,1055.03,7
785.62,157.9651,40000,8,14.5224,-3995.4443359375,1030.42,8
837.0,158.0607,45000,9,14.8356,-4105.62353515625,1004.69,9
982.22,157.8345,50000,10,15.7312,-4320.00146484375,1381.19,10
1085.09,157.9575,55000,11,15.9985,-4544.68115234375,1462.78,11
1103.35,158.1111,60000,12,16.4088,-4696.31201171875,1466.69,12
1131.21,158.0319,65000,13,16.2572,-4959.31982421875,1550.39,13
1099.56,157.8733,70000,14,16.4459,-5227.5498046875,1469.45,14
1210.23,157.8069,75000,15,16.3159,-5373.3447265625,1601.97,15
1263.39,157.8298,80000,16,16.4385,-5608.888671875,1673.11,16
1251.56,157.837,85000,17,16.0305,-5722.083984375,1702.01,17
1301.2,157.6568,90000,18,16.051,-5997.9677734375,1704.64,18
1236.04,157.8319,95000,19,16.4593,-6184.09619140625,1754.58,19
1254.22,158.0331,100000,20,16.4202,-6416.9697265625,1784.97,20
1405.89,157.5895,105000,21,16.353,-6591.78857421875,1831.09,21
1450.0,157.8249,110000,22,16.3427,-6667.69091796875,1839.92,22
1487.45,157.7502,115000,23,16.4521,-6895.900390625,1878.98,23
1456.54,157.8728,120000,24,16.5203,-7184.77685546875,1893.32,24
1500.27,157.7545,125000,25,16.4092,-7338.1943359375,1882.24,25
1486.01,157.5507,130000,26,15.9726,-7370.34130859375,1865.01,26
1484.1,157.6873,135000,27,16.0302,-7580.9248046875,1842.33,27
1539.4,157.4034,140000,28,16.1399,-7842.4853515625,1875.88,28
1561.38,157.7107,145000,29,16.5364,-8088.15234375,1956.28,29
1529.49,157.6112,150000,30,15.9012,-8209.013671875,1861.08,30
1521.66,157.7352,155000,31,15.998,-8370.0966796875,1899.17,31
1551.21,157.6773,160000,32,16.197,-8541.1728515625,1920.5,32
1617.2,157.3218,165000,33,16.2527,-8818.92578125,1929.4,33
1591.95,157.4813,170000,34,16.0391,-8982.5908203125,1963.82,34
1576.22,157.5117,175000,35,16.5747,-9243.6396484375,1970.72,35
1630.33,157.5796,180000,36,16.2943,-9471.478515625,1974.26,36
1576.79,157.6674,185000,37,16.1332,-9599.8349609375,1956.97,37
1558.35,157.4202,190000,38,15.949,-9644.982421875,1890.35,38
1637.94,157.3209,195000,39,16.1809,-9950.2138671875,1987.86,39
1621.49,157.2798,200000,40,16.2476,-10107.8564453125,1991.76,40
1684.96,157.3078,205000,41,16.2719,-10407.6416015625,2024.35,41
1613.58,157.3152,210000,42,15.8273,-10533.248046875,1999.31,42
1701.09,157.4594,215000,43,16.1628,-10777.0234375,2063.88,43
1621.46,157.0829,220000,44,15.921,-10919.2255859375,1986.4,44
1631.51,157.5155,225000,45,15.9399,-11148.5712890625,1985.52,45
1698.2,157.2574,230000,46,16.3605,-11257.3232421875,2036.46,46
1618.61,157.2717,235000,47,15.6805,-11390.8486328125,1975.29,47
1659.24,157.0882,240000,48,15.9136,-11666.103515625,2019.91,48
1685.6,157.4555,245000,49,16.3106,-11941.5166015625,2045.78,49
1636.84,157.2336,250000,50,15.7835,-12188.7421875,2053.86,50
1708.23,157.1937,255000,51,15.8841,-12212.76953125,2034.62,51
1701.87,157.1256,260000,52,16.18,-12496.75,2085.11,52
1714.67,157.1642,265000,53,16.2642,-12664.259765625,2091.28,53
1705.94,157.3367,270000,54,16.078,-12877.1064453125,2061.59,54
1714.16,156.857,275000,55,16.1615,-13139.33984375,2039.81,55
1676.45,157.1226,280000,56,16.0216,-13195.044921875,2069.04,56
1687.85,156.966,285000,57,15.7499,-13424.583984375,2022.71,57
1712.38,157.1025,290000,58,15.8789,-13590.5634765625,2021.47,58
1680.91,157.2691,295000,59,15.9661,-13854.92578125,2029.19,59
1696.4,157.2021,300000,60,15.7311,-14125.1025390625,2078.76,60
1746.02,156.9337,305000,61,15.7822,-14259.537109375,2075.77,61
1696.86,157.1342,310000,62,16.1522,-14520.119140625,2048.9,62
1731.37,157.1528,315000,63,15.7581,-14623.962890625,2064.67,63
1691.11,157.0721,320000,64,16.026,-14934.998046875,2003.85,64
1707.37,157.1337,325000,65,15.6267,-15167.7919921875,2059.35,65
1750.85,156.9879,330000,66,15.7825,-15427.6689453125,2077.91,66
1733.53,157.0393,335000,67,15.7837,-15528.2470703125,2073.76,67
1699.85,157.0403,340000,68,15.7084,-15808.697265625,2008.59,68
1723.13,157.1519,345000,69,15.7562,-16068.1650390625,2047.76,69
1775.67,157.1621,350000,70,16.212,-16255.0859375,2118.67,70
1719.68,156.9777,355000,71,15.4871,-16348.8173828125,2075.11,71
1718.04,157.0507,360000,72,15.6413,-16753.419921875,2076.16,72
1727.3,156.8624,365000,73,15.5245,-16868.150390625,2058.82,73
1746.16,157.0327,370000,74,15.7468,-17164.71875,2059.93,74
1731.3,157.0396,375000,75,15.7211,-17418.017578125,2038.66,75
1735.09,157.159,380000,76,15.9715,-17549.4296875,2099.55,76
1721.48,156.8245,385000,77,15.5155,-17784.921875,2080.83,77
1745.17,156.8652,390000,78,15.564,-17967.916015625,2103.47,78
1746.28,156.9756,395000,79,15.5034,-18195.8515625,2055.86,79
1754.11,156.8293,400000,80,15.7191,-18330.34765625,2115.04,80
1755.94,156.8966,405000,81,15.5416,-18687.833984375,2079.51,81
1786.05,156.9189,410000,82,15.8827,-18899.8125,2140.77,82
1787.97,156.9859,415000,83,15.6901,-19030.197265625,2128.7,83
1793.49,157.2393,420000,84,15.8514,-19260.759765625,2137.29,84
1762.42,157.06,425000,85,15.5992,-19477.736328125,2104.65,85
1768.81,156.8931,430000,86,15.5716,-19704.703125,2116.4,86
1774.54,157.0868,435000,87,15.7436,-19956.974609375,2102.19,87
1805.56,156.7979,440000,88,15.6415,-20262.63671875,2155.73,88
1762.96,156.8199,445000,89,15.5805,-20366.966796875,2101.63,89
1763.42,156.9497,450000,90,15.5261,-20615.42578125,2105.35,90
1774.91,156.836,455000,91,15.8657,-20876.35546875,2136.85,91
1787.79,157.0093,460000,92,15.6828,-21076.51171875,2111.87,92
1760.64,156.9808,465000,93,15.2901,-21236.3515625,2101.31,93
1759.04,156.8456,470000,94,15.5644,-21462.71875,2079.47,94
1789.24,156.9522,475000,95,15.6498,-21845.69921875,2134.13,95
1745.55,156.8155,480000,96,15.2463,-21944.318359375,2105.59,96
1781.29,156.8228,485000,97,15.5538,-22351.591796875,2118.62,97
1764.72,156.7562,490000,98,15.3252,-22494.439453125,2088.62,98
1768.9,156.8133,495000,99,15.3211,-22889.646484375,2094.97,99
1780.9,156.9353,500000,100,15.4909,-22868.177734375,2103.34,100
1792.57,156.7395,505000,101,15.6197,-23333.583984375,2164.8,101
1782.49,157.0874,510000,102,15.8615,-23535.5625,2135.94,102
1796.25,156.6857,515000,103,15.4834,-23866.4921875,2138.69,103
1781.23,156.9695,520000,104,15.4332,-23996.34375,2137.76,104
1793.99,156.7605,525000,105,15.4742,-24281.962890625,2163.98,105
1777.93,157.0048,530000,106,15.3892,-24345.474609375,2169.99,106
1795.79,156.7255,535000,107,15.3817,-24670.599609375,2122.43,107
1823.64,156.7622,540000,108,15.6323,-25108.29296875,2174.49,108
