Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return,Running Env Steps,Itration,Real Sto Return
0,44.189796447753906,74.7507,24.6127,256.12,0,0,-42.11
1,27.51930809020996,74.9291,25.6031,549.0,5000,1,-76.4
2,18.713455200195312,72.1269,26.5403,425.15,10000,2,-0.27
3,9.995915412902832,71.1301,27.4137,561.69,15000,3,-24.04
4,-6.127018451690674,70.9757,27.0733,409.3,20000,4,54.25
5,-9.92318058013916,70.6242,28.5481,667.06,25000,5,117.14
6,-26.980627059936523,71.1345,28.3299,621.82,30000,6,99.86
7,-30.50799560546875,69.6939,29.3534,643.72,35000,7,260.77
8,-42.29187774658203,69.0201,28.6657,648.05,40000,8,173.71
9,-53.809783935546875,67.4634,27.9608,563.33,45000,9,206.86
10,-66.4290771484375,68.2935,28.7857,545.6,50000,10,180.57
11,-77.4531478881836,66.3767,28.8936,938.37,55000,11,415.04
12,-92.13021087646484,64.2891,26.4258,721.69,60000,12,279.69
13,-103.50521850585938,67.9057,29.6856,385.87,65000,13,318.85
14,-104.9000244140625,63.4779,27.2613,1277.03,70000,14,635.05
15,-118.02322387695312,64.3513,26.5834,929.16,75000,15,395.33
16,-128.1255340576172,61.8136,24.6432,1395.05,80000,16,516.9
17,-144.0560760498047,64.6646,26.5555,1056.74,85000,17,587.16
18,-152.81898498535156,64.4316,26.9603,1520.99,90000,18,773.12
19,-150.62969970703125,62.1746,26.151,1905.91,95000,19,953.18
20,-173.4279022216797,64.891,26.9737,1397.45,100000,20,533.21
21,-186.66183471679688,65.2429,27.3624,1300.64,105000,21,589.32
22,-192.7839813232422,65.7628,28.9073,1128.26,110000,22,678.1
23,-193.80238342285156,64.713,28.8869,1161.57,115000,23,922.34
24,-211.8209228515625,65.5065,29.089,1243.52,120000,24,825.91
25,-214.7433624267578,64.1837,30.2239,1189.77,125000,25,776.44
26,-211.42123413085938,63.7586,31.5363,1893.14,130000,26,845.55
27,-232.69406127929688,63.9222,28.6197,2459.81,135000,27,1452.15
28,-234.8739471435547,66.7494,35.1413,2576.02,140000,28,1597.59
29,-249.7979736328125,67.1598,35.8263,2961.01,145000,29,1803.66
30,-255.45361328125,65.6761,31.7063,2758.15,150000,30,1763.82
31,-247.1342315673828,66.9061,36.2692,3234.15,155000,31,2031.87
32,-259.7735290527344,66.6824,37.6605,3901.69,160000,32,2147.1
33,-272.4398498535156,65.2485,34.6607,3017.43,165000,33,2039.04
34,-268.2930603027344,66.0123,38.8268,3963.56,170000,34,2265.58
35,-270.0119323730469,68.2189,44.0302,4002.96,175000,35,2808.9
36,-289.6241455078125,64.4143,35.4239,3535.72,180000,36,1757.39
37,-307.93341064453125,65.2864,34.7373,3600.24,185000,37,2384.64
38,-320.0641174316406,66.1868,36.8911,4215.93,190000,38,2536.25
39,-330.3477783203125,66.0256,42.0502,3753.49,195000,39,3057.46
40,-327.5390319824219,66.7347,41.2958,3812.21,200000,40,2985.35
41,-344.3461608886719,66.0385,40.4233,3719.55,205000,41,2583.08
42,-337.9203186035156,67.7545,43.0225,4206.32,210000,42,2912.3
43,-358.9490661621094,65.8169,37.8885,3714.31,215000,43,2761.82
44,-357.3603515625,71.2634,51.1765,4425.51,220000,44,3279.43
45,-360.05255126953125,71.152,48.7371,4129.09,225000,45,2795.21
46,-376.57183837890625,73.6245,54.3136,3165.22,230000,46,2759.18
47,-392.33123779296875,70.151,49.328,4091.71,235000,47,3469.28
48,-404.7863464355469,70.1028,50.9417,4277.54,240000,48,3420.92
49,-419.9580993652344,69.5657,48.5321,4127.76,245000,49,2891.31
50,-430.7142333984375,66.34,38.6886,3294.17,250000,50,1727.19
51,-443.6378173828125,68.43,48.1197,4696.32,255000,51,3286.63
52,-446.9024658203125,66.9728,40.9546,3300.88,260000,52,2934.52
53,-458.26123046875,68.5217,45.7031,4286.72,265000,53,3630.52
54,-464.9180603027344,66.7239,40.1312,3804.04,270000,54,2694.1
55,-484.7294006347656,68.6027,49.2334,3639.67,275000,55,3278.31
56,-493.7582092285156,71.8673,57.0082,4230.77,280000,56,3764.42
57,-502.52496337890625,68.241,45.7732,4066.76,285000,57,2755.12
58,-513.060791015625,70.2165,52.8432,4173.95,290000,58,3441.96
59,-532.06298828125,73.1183,52.6105,4203.15,295000,59,3922.11
60,-558.1434326171875,69.4335,45.3517,4768.49,300000,60,3785.29
61,-552.9985961914062,65.6977,38.0359,3694.34,305000,61,2769.79
62,-582.2676391601562,69.6688,50.149,3906.58,310000,62,3703.55
63,-585.8173828125,74.765,58.8446,4612.53,315000,63,3687.22
64,-608.0926513671875,66.7127,45.9412,3897.18,320000,64,3557.13
65,-610.89453125,68.6655,48.3203,4110.07,325000,65,4120.04
66,-618.6943969726562,70.362,52.3761,4403.07,330000,66,3765.25
67,-620.4781494140625,71.3233,52.8553,4486.85,335000,67,3592.17
68,-646.6265869140625,74.1772,58.9471,5089.44,340000,68,4232.02
69,-649.640869140625,68.3639,46.4653,4148.81,345000,69,3323.58
70,-681.0620727539062,72.583,56.163,4827.77,350000,70,3938.42
71,-710.6283569335938,72.7455,56.8676,5052.44,355000,71,4684.95
72,-687.4634399414062,67.6962,43.1774,4732.24,360000,72,3063.34
73,-721.0000610351562,70.3501,52.5987,4363.18,365000,73,4524.48
74,-721.5130615234375,70.6779,55.2658,4113.01,370000,74,3315.38
75,-756.2891235351562,75.7944,57.2808,4996.62,375000,75,3783.72
76,-784.3893432617188,74.3683,57.3095,4684.35,380000,76,4804.63
77,-765.5575561523438,69.2676,47.0928,4682.78,385000,77,3967.36
78,-808.2037353515625,74.6015,59.9533,5309.52,390000,78,4726.55
79,-823.0814819335938,77.1527,62.1587,5240.82,395000,79,4505.51
80,-797.136474609375,67.0678,41.2976,4157.35,400000,80,3629.8
81,-844.7850341796875,70.6204,51.6868,4343.72,405000,81,4057.32
82,-859.3466796875,73.6207,59.8693,4849.72,410000,82,4506.24
83,-893.0142822265625,76.8636,62.4394,4768.57,415000,83,4526.01
84,-910.1576538085938,76.6351,60.2546,5035.96,420000,84,3776.5
85,-918.7437133789062,71.0282,52.6322,4745.04,425000,85,4482.4
86,-914.9754028320312,69.2309,48.7015,4655.82,430000,86,3384.44
87,-930.104736328125,69.6292,53.5042,4683.14,435000,87,3821.33
88,-968.8046875,72.2955,55.2534,4592.47,440000,88,4131.45
89,-1013.08056640625,73.8432,58.429,5056.99,445000,89,4496.33
90,-1016.9950561523438,72.8861,56.0356,5363.97,450000,90,4373.6
91,-1018.7002563476562,73.7818,60.4394,5387.41,455000,91,3983.11
92,-1074.2100830078125,76.737,66.3243,5428.49,460000,92,4743.97
93,-1079.8265380859375,73.0111,59.7271,5402.57,465000,93,3800.66
94,-1088.8856201171875,70.969,56.6059,5765.13,470000,94,3812.25
95,-1104.840087890625,70.0304,55.4208,5644.04,475000,95,4996.24
96,-1152.1749267578125,74.6093,58.4575,5497.28,480000,96,4532.91
97,-1130.355224609375,72.1968,56.573,5450.71,485000,97,4529.54
98,-1152.5645751953125,74.0292,61.1699,4881.51,490000,98,3108.29
99,-1124.2987060546875,69.4057,49.1015,5422.28,495000,99,4567.01
100,-1221.6134033203125,75.2046,61.079,5254.34,500000,100,3834.11
101,-1234.0941162109375,70.524,53.3259,5227.99,505000,101,3980.01
102,-1264.5638427734375,78.0557,65.4876,5038.04,510000,102,3805.23
103,-1302.4847412109375,75.9443,63.958,5223.25,515000,103,5076.74
104,-1355.978759765625,79.7365,71.2721,5382.03,520000,104,5321.76
105,-1365.3216552734375,78.8918,65.6336,4980.96,525000,105,4254.95
106,-1409.9945068359375,77.5416,63.4635,5591.79,530000,106,5038.71
107,-1367.388427734375,72.2287,60.24,5651.12,535000,107,5077.31
108,-1397.1649169921875,72.6492,59.0152,5710.85,540000,108,4844.63
109,-1435.0595703125,79.4607,65.2802,4813.32,545000,109,4462.42
110,-1494.6065673828125,77.9938,65.2424,5255.32,550000,110,4771.41
111,-1495.9876708984375,73.8415,60.2816,5673.41,555000,111,4722.68
112,-1514.0008544921875,74.3185,63.6779,5237.36,560000,112,4158.53
113,-1500.5780029296875,73.3759,60.4165,4590.99,565000,113,3989.02
114,-1602.4549560546875,79.2725,67.4227,5441.97,570000,114,5046.45
115,-1550.4693603515625,73.4926,62.513,5759.68,575000,115,4309.6
116,-1527.2393798828125,72.4024,54.0445,5067.46,580000,116,4023.93
117,-1584.0943603515625,71.32,57.2727,5428.26,585000,117,4592.25
118,-1744.0858154296875,80.0328,72.434,5553.4,590000,118,4701.43
119,-1721.944091796875,80.0624,72.6487,5655.51,595000,119,4921.52
120,-1627.7938232421875,70.0747,53.4615,5398.34,600000,120,5039.97
121,-1783.6546630859375,74.009,67.084,5759.09,605000,121,5322.46
122,-1852.82763671875,77.835,69.5028,5266.51,610000,122,5280.86
123,-1864.741455078125,78.1231,64.768,5429.5,615000,123,5092.76
124,-1832.4320068359375,76.6328,64.3753,5440.77,620000,124,4559.72
125,-1749.472412109375,71.64,55.8176,5243.12,625000,125,4326.09
126,-1743.19775390625,70.5032,53.6026,4555.09,630000,126,2874.06
127,-1990.0352783203125,80.4898,68.791,6014.8,635000,127,5301.54
128,-1992.2442626953125,80.5539,70.2483,5420.7,640000,128,5500.24
129,-1949.8450927734375,74.0153,63.4077,5926.1,645000,129,4805.74
130,-2090.5400390625,81.366,70.6831,5539.07,650000,130,5496.46
131,-2120.70947265625,81.3276,75.0085,5946.51,655000,131,5564.85
132,-2107.712646484375,78.7295,68.932,5480.48,660000,132,5153.38
