Real Det Return,Running Env Steps,Running Forward KL,Running Update Time,Itration,Reward Loss,Real Sto Return,Running Reverse KL
275.12,0,31.3818,0,0,406.7802734375,193.96,18.2268
342.5,5000,30.95,1,1,315.6404113769531,342.47,23.1193
337.98,10000,29.6325,2,2,250.70359802246094,318.95,27.9416
445.37,15000,26.7048,3,3,240.17909240722656,405.31,22.0331
430.04,20000,28.423,4,4,159.79676818847656,413.24,23.665
537.41,25000,28.2959,5,5,79.97423553466797,579.6,27.2486
628.58,30000,27.1749,6,6,63.727657318115234,597.46,23.475
498.4,35000,27.111,7,7,-7.812241554260254,507.89,24.2005
572.74,40000,27.0992,8,8,-53.54975128173828,573.56,23.7249
818.96,45000,26.716,9,9,-25.713184356689453,799.56,19.7189
669.62,50000,25.9942,10,10,-74.26182556152344,650.18,21.5917
766.74,55000,26.8219,11,11,-166.87203979492188,734.45,31.3929
866.35,60000,27.9561,12,12,-123.04937744140625,925.66,17.9557
845.42,65000,25.3385,13,13,-75.22906494140625,863.98,16.0794
989.81,70000,26.5238,14,14,-52.84052276611328,976.61,15.7779
1193.52,75000,25.128,15,15,6.416484355926514,1233.15,13.628
920.12,80000,26.323,16,16,1.6666483879089355,813.44,13.9818
714.68,85000,26.244,17,17,-102.49732971191406,770.72,14.8343
947.87,90000,26.6981,18,18,24.990062713623047,983.59,15.445
1012.11,95000,25.7933,19,19,18.217952728271484,995.27,13.2491
961.69,100000,26.814,20,20,141.78167724609375,980.85,13.5208
980.9,105000,26.3924,21,21,-8.028312683105469,1039.19,13.9513
1015.74,110000,25.8182,22,22,-37.61262512207031,987.48,13.9556
910.39,115000,24.9012,23,23,-287.14215087890625,1006.63,14.4458
1403.61,120000,24.4335,24,24,-232.8263397216797,1170.02,20.3704
1154.95,125000,25.0911,25,25,-235.0615997314453,1164.55,13.5943
3290.44,130000,24.6337,26,26,-220.48753356933594,1914.7,13.7259
950.26,135000,24.9321,27,27,-453.5476989746094,1027.25,14.6964
1623.75,140000,24.3598,28,28,-466.8650207519531,1336.6,17.818
2220.35,145000,24.333,29,29,-419.6650695800781,1235.25,14.8949
2121.08,150000,24.6143,30,30,-511.89202880859375,1243.88,14.2108
2103.29,155000,24.7513,31,31,-383.8872375488281,1261.28,13.2193
983.54,160000,25.5433,32,32,-731.8779296875,939.46,18.6741
2389.13,165000,24.0674,33,33,-367.5539855957031,1822.0,17.3506
2430.16,170000,24.7036,34,34,-686.5487060546875,1542.86,21.2708
3232.54,175000,23.2071,35,35,-164.1605224609375,2618.02,14.5777
3249.18,180000,23.6633,36,36,-553.9859008789062,2135.39,18.8069
2832.42,185000,24.2406,37,37,-646.279541015625,2072.99,17.1109
2643.62,190000,22.6821,38,38,-410.2769470214844,2071.17,16.1293
2486.55,195000,24.3002,39,39,-696.0333251953125,1901.99,17.8309
1862.28,200000,24.5627,40,40,-803.0535278320312,1529.77,17.6656
2742.07,205000,23.4763,41,41,-499.21173095703125,2495.51,14.9577
2266.38,210000,23.8866,42,42,-657.1903686523438,1599.91,14.9959
3249.6,215000,23.2334,43,43,-231.92727661132812,3002.32,13.5346
3228.52,220000,22.9951,44,44,-206.16111755371094,2591.23,15.1147
1635.76,225000,24.0844,45,45,-707.0263061523438,1712.42,15.3199
2586.04,230000,22.678,46,46,-543.0413818359375,2611.54,14.1135
2547.48,235000,24.1462,47,47,-764.5936889648438,1710.4,14.2857
1831.05,240000,24.1244,48,48,-837.639892578125,1135.99,13.9942
3249.11,245000,23.4783,49,49,-562.185791015625,2412.84,13.41
3179.52,250000,23.6579,50,50,-769.4823608398438,1935.86,13.2445
1718.62,255000,24.143,51,51,-867.3252563476562,1358.18,16.1623
2383.41,260000,23.3655,52,52,-639.8289184570312,1679.4,12.4862
1626.26,265000,22.6174,53,53,-369.0283203125,2309.94,12.9096
1670.96,270000,23.0757,54,54,-681.25830078125,1712.4,13.7446
1888.96,275000,23.482,55,55,-532.62646484375,1546.45,12.0025
2189.66,280000,23.3614,56,56,-343.6809387207031,1896.87,13.1085
2256.1,285000,23.6696,57,57,-648.4496459960938,1598.91,16.2624
1488.09,290000,23.2098,58,58,-649.3670654296875,1891.58,15.2432
1234.61,295000,23.865,59,59,-780.315673828125,1605.66,25.4867
1397.63,300000,22.6387,60,60,-789.4404296875,1357.6,16.2795
1874.88,305000,23.3802,61,61,-572.5337524414062,1885.46,14.326
1249.61,310000,22.673,62,62,-670.2490844726562,2070.8,16.592
2797.41,315000,23.0183,63,63,-544.3875732421875,2094.29,13.4278
2910.79,320000,22.7723,64,64,-368.8324890136719,2080.35,12.0465
2741.47,325000,23.0482,65,65,-558.5877075195312,1754.54,13.1365
3335.08,330000,21.9661,66,66,-218.52540588378906,2897.57,12.7289
1397.54,335000,23.405,67,67,-588.2227172851562,1755.23,12.2081
3043.07,340000,22.1332,68,68,-425.11273193359375,2576.45,12.2462
3288.4,345000,21.6151,69,69,-410.50927734375,2525.14,12.4649
3160.45,350000,22.3879,70,70,-573.4137573242188,2225.97,13.2371
3421.78,355000,23.1091,71,71,-544.7754516601562,2712.9,14.582
3338.47,360000,22.4965,72,72,-468.75714111328125,2332.06,11.819
3284.4,365000,21.3067,73,73,-242.44129943847656,3082.2,12.2343
2945.42,370000,22.5747,74,74,-468.2909851074219,2448.58,12.3808
2243.55,375000,22.2061,75,75,-536.8579711914062,2540.99,12.4818
1413.24,380000,22.4198,76,76,-781.8884887695312,1849.02,11.801
3140.15,385000,23.6462,77,77,-846.4033813476562,1841.35,12.7669
3333.44,390000,22.5713,78,78,-517.0108032226562,2503.34,12.5492
3264.36,395000,23.4488,79,79,-998.660400390625,2333.05,14.9252
3040.4,400000,23.1185,80,80,-914.2103881835938,1969.25,12.7431
2917.55,405000,22.9066,81,81,-665.3715209960938,2629.88,12.42
3311.84,410000,22.5859,82,82,-690.7703247070312,2128.92,12.7877
3311.76,415000,22.4712,83,83,-958.6580200195312,2597.72,12.4394
3151.97,420000,23.4296,84,84,-1093.607421875,2075.5,12.6972
3061.18,425000,22.3814,85,85,-667.4293823242188,2531.24,12.8846
3346.25,430000,22.3808,86,86,-488.8634948730469,3041.19,13.3481
3078.45,435000,23.0519,87,87,-459.2084655761719,2764.22,13.2574
3364.19,440000,23.1488,88,88,-738.5900268554688,2435.66,12.6829
3170.44,445000,22.9716,89,89,-588.2521362304688,2806.51,12.5246
3277.24,450000,21.4317,90,90,-531.8052368164062,3081.2,12.7528
2666.28,455000,22.0595,91,91,-431.8065185546875,2731.31,12.1178
3392.43,460000,22.4493,92,92,-575.06494140625,2697.4,12.4751
3340.8,465000,21.9763,93,93,-810.9693603515625,2953.52,12.6637
3261.34,470000,22.791,94,94,-1161.6219482421875,1969.99,12.4962
