Real Sto Return,Running Reverse KL,Itration,Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Reward Loss
-67.38,28.4625,0,228.27,0,75.5886,0,6.443330764770508
-43.13,26.7395,1,326.6,1,75.2066,5000,-14.392622947692871
-26.5,26.386,2,402.9,2,74.8679,10000,-113.42362976074219
22.41,26.2626,3,589.17,3,71.5652,15000,-170.1360626220703
37.0,27.7394,4,613.89,4,72.9081,20000,-240.41810607910156
102.05,27.9227,5,608.7,5,70.7133,25000,-335.7369689941406
106.64,27.7435,6,726.93,6,68.4163,30000,-377.2323303222656
103.66,28.3981,7,784.89,7,68.4247,35000,-474.92425537109375
147.09,29.0568,8,540.72,8,71.8444,40000,-523.7012939453125
111.6,29.3769,9,593.84,9,70.0605,45000,-610.8359985351562
190.95,29.9145,10,697.09,10,70.2443,50000,-685.6807250976562
168.14,29.9122,11,694.44,11,70.8944,55000,-726.741943359375
217.21,29.9866,12,676.47,12,70.3592,60000,-809.7857055664062
323.74,29.3291,13,1024.48,13,69.9497,65000,-842.043212890625
216.71,27.7497,14,773.71,14,66.0569,70000,-884.9872436523438
339.41,28.4082,15,783.07,15,66.2135,75000,-951.0493774414062
327.75,28.7852,16,898.75,16,68.0754,80000,-1014.7349853515625
334.25,27.3736,17,745.98,17,63.5753,85000,-1043.1259765625
355.7,28.0498,18,1076.03,18,66.6379,90000,-1121.1964111328125
385.28,26.354,19,995.37,19,62.4685,95000,-1149.7294921875
238.73,26.285,20,940.66,20,62.2562,100000,-1203.91650390625
349.3,27.4105,21,981.17,21,64.2478,105000,-1307.643310546875
482.7,25.8317,22,946.6,22,62.2238,110000,-1284.456298828125
355.8,27.5861,23,997.56,23,66.1688,115000,-1414.3968505859375
359.43,26.6028,24,985.9,24,63.7019,120000,-1454.2996826171875
340.82,25.163,25,846.64,25,62.2061,125000,-1449.5777587890625
346.61,25.1987,26,1115.47,26,62.1881,130000,-1576.38232421875
424.71,25.1651,27,1230.2,27,61.7232,135000,-1576.036865234375
508.5,24.6881,28,986.56,28,61.6118,140000,-1651.2384033203125
464.89,27.0726,29,1092.45,29,65.252,145000,-1828.9561767578125
342.07,23.9225,30,997.52,30,60.0528,150000,-1719.583984375
499.14,24.7511,31,1161.19,31,61.0418,155000,-1830.8629150390625
793.35,23.0023,32,1738.65,32,57.7899,160000,-1801.1845703125
803.11,23.9912,33,1481.51,33,59.5631,165000,-1922.4996337890625
841.09,23.2882,34,1879.34,34,58.5137,170000,-1884.3653564453125
496.39,25.6121,35,1242.41,35,61.1927,175000,-2077.0
610.33,19.7729,36,1905.19,36,53.7023,180000,-1804.457763671875
813.26,22.2832,37,2137.16,37,56.911,185000,-2023.0263671875
1468.86,21.5372,38,2489.29,38,55.5755,190000,-1981.4207763671875
1068.38,22.2187,39,2448.68,39,56.9362,195000,-2079.70263671875
1212.66,22.7082,40,2345.48,40,55.9726,200000,-2019.423583984375
1310.64,22.2633,41,2387.31,41,57.7241,205000,-2160.30224609375
1088.67,23.4003,42,2022.98,42,59.5215,210000,-2376.727783203125
1213.03,22.0124,43,1777.11,43,59.1344,215000,-2385.6904296875
973.94,21.6907,44,1855.19,44,57.8081,220000,-2302.38037109375
1297.1,24.2889,45,2200.83,45,56.9177,225000,-2267.49365234375
1198.12,21.2913,46,2218.86,46,58.0694,230000,-2526.39794921875
723.88,22.4635,47,1587.77,47,59.6383,235000,-2661.773681640625
1474.8,22.72,48,2016.09,48,58.9071,240000,-2674.771484375
974.16,21.6062,49,2133.52,49,58.452,245000,-2618.48046875
1662.85,25.9953,50,2892.14,50,57.1793,250000,-2370.62744140625
2109.76,30.4851,51,3047.34,51,57.1166,255000,-2390.27978515625
1650.63,22.3144,52,2497.08,52,58.2512,260000,-2767.14697265625
1400.12,24.4388,53,2526.6,53,59.1591,265000,-2740.7607421875
2061.31,27.5602,54,3026.94,54,60.3682,270000,-2734.2978515625
2008.24,25.7823,55,2733.25,55,59.3439,275000,-2792.664306640625
1983.63,31.6289,56,3267.16,56,61.3106,280000,-2777.127197265625
1536.31,28.5247,57,2677.82,57,62.8113,285000,-3076.336181640625
1542.17,25.1278,58,3219.46,58,60.7595,290000,-3053.25439453125
2027.16,33.2912,59,3095.94,59,61.9307,295000,-2900.380615234375
2028.61,30.4663,60,3243.46,60,62.6435,300000,-3085.71435546875
2241.35,27.9367,61,3447.49,61,62.8427,305000,-3294.763427734375
1883.97,31.0963,62,3424.45,62,62.768,310000,-3206.021240234375
2671.86,38.8663,63,3680.15,63,65.6292,315000,-3118.67138671875
2718.71,48.6186,64,3954.3,64,70.6881,320000,-3075.035400390625
2142.03,34.2304,65,3047.15,65,64.9664,325000,-3374.527099609375
2845.89,45.935,66,3625.08,66,67.36,330000,-3049.756103515625
2603.81,45.5231,67,3997.56,67,68.2057,335000,-3120.4814453125
2284.36,37.4236,68,3249.81,68,65.9872,340000,-3373.712158203125
3041.7,47.1554,69,3706.69,69,68.7459,345000,-3198.29345703125
3588.8,43.0345,70,4294.12,70,66.8913,350000,-3375.008544921875
2831.22,40.9363,71,2608.76,71,66.3554,355000,-3359.9921875
2689.75,39.7935,72,3107.94,72,67.4492,360000,-3519.851318359375
3665.61,56.0915,73,4431.7,73,75.1537,365000,-3539.315673828125
3743.56,39.7145,74,4333.08,74,67.4336,370000,-3889.916259765625
2524.33,38.3355,75,3455.54,75,65.9484,375000,-3849.315673828125
2186.22,41.8097,76,3483.91,76,66.8438,380000,-3838.8515625
3047.38,47.3652,77,3825.63,77,68.0195,385000,-3776.223388671875
2569.94,43.1508,78,3315.43,78,66.5847,390000,-3869.1953125
3677.87,44.3396,79,4148.47,79,67.7674,395000,-4027.0087890625
4239.91,55.2989,80,4605.67,80,74.1016,400000,-3991.783447265625
3534.57,46.6006,81,4366.99,81,68.2178,405000,-4145.67626953125
3373.4,47.2624,82,4574.46,82,68.6624,410000,-4158.9482421875
2777.43,44.0058,83,4397.12,83,66.8296,415000,-4364.42431640625
3666.75,50.992,84,4251.92,84,71.9578,420000,-4576.36083984375
3406.85,44.6113,85,4371.78,85,68.8901,425000,-4592.57666015625
4147.45,53.0684,86,4520.62,86,71.5231,430000,-4547.3291015625
3662.32,56.6707,87,4353.65,87,71.2709,435000,-4575.8115234375
4023.92,63.073,88,4699.12,88,75.7647,440000,-4693.61328125
3571.89,52.4155,89,4198.27,89,69.7706,445000,-4812.73876953125
4049.54,53.4855,90,4510.49,90,70.3706,450000,-4996.03662109375
3844.73,49.2865,91,4060.62,91,68.9787,455000,-4993.505859375
2813.52,37.6334,92,4171.07,92,67.1445,460000,-5164.04150390625
2961.69,51.3614,93,4161.49,93,68.9846,465000,-5112.73583984375
4043.42,54.0058,94,4914.64,94,71.0154,470000,-5294.767578125
3584.85,64.9643,95,4768.58,95,77.3509,475000,-5323.10986328125
3935.72,58.258,96,4925.92,96,72.5544,480000,-5451.5078125
3326.94,58.286,97,3730.32,97,72.4315,485000,-5568.80322265625
3094.24,51.8661,98,4099.79,98,69.9373,490000,-5430.9365234375
2647.54,50.6583,99,3956.68,99,69.9464,495000,-5620.21484375
3497.13,52.2939,100,4391.89,100,72.4062,500000,-5718.03564453125
3863.87,62.2415,101,4469.86,101,74.1946,505000,-5878.77294921875
3985.29,55.2291,102,4703.77,102,71.7096,510000,-5966.4931640625
3718.29,58.1425,103,5239.93,103,72.3351,515000,-6056.5107421875
3738.18,62.0785,104,4439.6,104,76.8069,520000,-6078.2451171875
4396.76,55.6633,105,4562.68,105,72.6816,525000,-6276.5546875
3881.52,66.7648,106,4990.72,106,78.5243,530000,-6450.5849609375
3741.8,65.4055,107,4995.8,107,78.2813,535000,-6574.072265625
4283.8,67.6166,108,4964.12,108,79.8436,540000,-6662.3095703125
3441.37,60.6002,109,3475.41,109,78.323,545000,-6616.0693359375
4097.67,66.5717,110,4386.5,110,77.0684,550000,-6780.49169921875
4053.37,63.0552,111,4396.57,111,75.8946,555000,-7024.10693359375
3622.11,63.343,112,4136.38,112,76.1303,560000,-6976.70166015625
4321.29,70.1083,113,5008.85,113,79.304,565000,-7273.64794921875
4465.6,62.2573,114,4858.19,114,78.358,570000,-7351.22998046875
4784.51,70.8457,115,5205.13,115,79.7532,575000,-7548.728515625
4732.06,68.1236,116,5007.11,116,74.2121,580000,-7616.29296875
4482.07,72.0402,117,5198.2,117,82.0055,585000,-7720.97265625
3263.77,69.5686,118,4914.49,118,77.5488,590000,-7754.60498046875
4526.39,66.8635,119,4729.59,119,74.6347,595000,-7814.83203125
4309.86,65.1493,120,5374.96,120,73.0267,600000,-7940.1025390625
4382.62,72.584,121,5059.46,121,76.8922,605000,-8185.63330078125
4212.33,67.4881,122,5234.0,122,76.1075,610000,-8259.994140625
4422.31,68.0001,123,4930.55,123,78.7465,615000,-8455.904296875
4174.12,66.2644,124,4972.73,124,76.8818,620000,-8495.271484375
5152.53,75.3695,125,5161.35,125,82.582,625000,-8910.744140625
4111.13,66.5279,126,4954.57,126,74.427,630000,-8790.7255859375
3635.08,59.2258,127,4427.39,127,72.1781,635000,-8702.8818359375
3677.76,70.7379,128,4324.71,128,79.0793,640000,-9069.5859375
4469.04,76.342,129,5491.41,129,82.7964,645000,-9374.5322265625
3508.35,72.4302,130,4534.27,130,79.037,650000,-9374.5595703125
4129.28,62.15,131,5029.65,131,73.7067,655000,-9534.453125
4772.95,77.4841,132,5200.9,132,81.5194,660000,-9785.14453125
4394.79,71.8318,133,5210.73,133,79.3171,665000,-9951.15234375
4656.49,67.73,134,4845.88,134,75.3605,670000,-9864.263671875
4976.24,68.6819,135,5571.63,135,75.0932,675000,-10066.5009765625
4800.0,71.2147,136,5230.46,136,77.963,680000,-10430.9638671875
3516.8,72.6303,137,4034.86,137,77.6266,685000,-10449.69921875
4721.34,74.3781,138,5184.83,138,77.1776,690000,-10664.4580078125
4802.85,57.5646,139,4518.19,139,70.4642,695000,-10316.21875
4147.66,59.8847,140,4954.12,140,71.9729,700000,-10641.9345703125
4764.86,61.4595,141,4517.69,141,72.8097,705000,-10792.2158203125
3851.53,61.8597,142,4748.17,142,72.0035,710000,-10923.6337890625
3461.44,73.1058,143,3890.08,143,76.2673,715000,-11212.09765625
4775.07,66.6012,144,5319.16,144,73.2109,720000,-11539.3095703125
5044.27,73.7756,145,4893.36,145,82.5047,725000,-11830.5859375
3848.25,65.8585,146,4819.52,146,74.2078,730000,-11578.9443359375
3988.05,71.063,147,4252.26,147,75.905,735000,-11944.431640625
4751.28,78.8066,148,5266.19,148,82.8318,740000,-12573.2392578125
5224.87,79.7766,149,5609.51,149,82.5875,745000,-12865.673828125
4559.33,81.2902,150,5075.16,150,83.6313,750000,-12749.1904296875
4397.63,81.7969,151,5040.77,151,83.5552,755000,-12980.6904296875
4061.72,64.3325,152,4551.94,152,73.9991,760000,-12459.1572265625
5107.01,71.6486,153,5505.11,153,76.2567,765000,-13103.84765625
