Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Real Det Return,Itration,Running Update Time,Running Reverse KL
0,137.96,10.390974998474121,34.2035,175.41,0,0,26.1176
5000,355.35,-111.9898681640625,29.8659,361.38,1,1,17.8535
10000,241.06,-201.6616668701172,31.1717,241.5,2,2,21.9161
15000,398.77,-181.5169677734375,29.7044,408.56,3,3,24.9897
20000,410.3,300.776123046875,30.3941,417.11,4,4,74.8021
25000,412.09,-269.0465087890625,31.2093,415.01,5,5,25.9709
30000,287.45,38.242767333984375,29.4254,250.92,6,6,33.1793
35000,782.13,-244.0264434814453,26.172,794.95,7,7,15.5305
40000,596.73,-379.74188232421875,27.6305,721.29,8,8,22.0513
45000,760.89,-244.911376953125,25.2641,732.67,9,9,28.4227
50000,849.36,-378.9681396484375,25.5964,910.46,10,10,17.0899
55000,913.72,-424.8255310058594,25.9862,999.05,11,11,31.569
60000,889.2,-387.53387451171875,25.3245,1013.6,12,12,22.9834
65000,843.47,-443.85986328125,24.3289,935.15,13,13,22.6252
70000,1158.3,-294.05645751953125,23.1817,700.86,14,14,25.7932
75000,760.12,-524.9796752929688,25.1436,796.05,15,15,35.3339
80000,1142.4,-380.3380432128906,23.4298,1403.03,16,16,26.1422
85000,877.19,-491.2346496582031,23.8368,757.27,17,17,20.3029
90000,1053.87,-508.9128723144531,24.3524,1312.78,18,18,22.56
95000,846.56,-662.53076171875,25.3407,1063.87,19,19,25.2887
100000,989.31,-548.638916015625,24.183,1096.99,20,20,20.5463
105000,1107.01,-573.3690795898438,23.2613,1314.43,21,21,21.0707
110000,1237.85,-639.4976196289062,23.3904,1378.88,22,22,23.0956
115000,1224.02,-624.9470825195312,23.144,1480.95,23,23,22.8571
120000,2107.0,-339.1762390136719,21.3673,2427.96,24,24,15.401
125000,2667.09,-256.52410888671875,21.4678,3033.44,25,25,13.3946
130000,1905.96,-597.3422241210938,22.8992,2733.27,26,26,21.5716
135000,2919.8,-415.36328125,21.443,3021.7,27,27,16.3356
140000,1701.14,-603.4492797851562,22.4637,2544.95,28,28,19.2943
145000,3206.2,-155.7243194580078,20.4652,3090.41,29,29,12.7448
150000,1748.9,-646.7916259765625,21.6598,3369.26,30,30,21.0182
155000,3199.56,-333.8563232421875,20.2444,3286.47,31,31,15.8617
160000,1489.81,-784.215087890625,23.8969,2722.02,32,32,23.0792
165000,1167.43,-964.2571411132812,24.1723,1578.69,33,33,24.2164
170000,1280.83,-892.82958984375,23.4064,2551.86,34,34,20.8392
175000,1387.01,-1017.9572143554688,23.4644,1098.39,35,35,23.5374
180000,3215.48,-293.32354736328125,21.8145,3299.41,36,36,14.7599
185000,3217.66,-275.1534423828125,20.5346,3406.36,37,37,15.1038
190000,3113.68,-243.86837768554688,19.8823,3371.04,38,38,13.7998
195000,2556.45,-414.7357482910156,21.9841,3344.97,39,39,15.7675
200000,3302.84,-229.79368591308594,20.0367,3352.92,40,40,13.5719
205000,3324.63,-120.5523910522461,19.9431,3375.02,41,41,13.957
210000,3241.36,-159.7828369140625,20.807,3360.35,42,42,14.5671
215000,3343.4,-234.9447021484375,19.4846,3384.6,43,43,13.1099
220000,3375.52,-198.8668212890625,20.4649,3418.82,44,44,14.5028
225000,3281.41,-168.3846435546875,19.7746,3413.61,45,45,13.4223
230000,3335.93,-171.14012145996094,18.9429,3398.65,46,46,12.6734
235000,2388.73,-658.9686889648438,21.2162,3463.2,47,47,14.835
240000,3344.44,-228.3574981689453,19.2598,3391.12,48,48,14.2102
245000,2147.68,-691.04150390625,21.1399,3467.36,49,49,15.8451
250000,3284.14,-149.17469787597656,19.3859,3408.85,50,50,13.5299
255000,2949.88,-440.6548767089844,21.0798,3431.21,51,51,14.3076
260000,3374.59,-170.63059997558594,19.6974,3421.32,52,52,13.9752
265000,3344.3,-199.3562774658203,18.9083,3402.33,53,53,12.9363
270000,3359.44,-238.5394744873047,20.4662,3384.15,54,54,14.6803
275000,3363.84,-177.3783416748047,19.6968,3397.67,55,55,14.5843
280000,3370.35,-273.9464111328125,19.7093,3409.61,56,56,13.7664
285000,3386.36,-300.2015686035156,20.8356,3428.36,57,57,14.7064
290000,3326.72,-278.1440734863281,18.7968,3375.62,58,58,13.0428
295000,3364.32,-285.7669982910156,19.2551,3409.61,59,59,13.3368
300000,3425.43,-233.4767608642578,19.0232,3449.46,60,60,13.6149
305000,3334.5,-328.4026794433594,19.916,3425.82,61,61,13.448
310000,3387.73,-236.7893524169922,20.3444,3456.95,62,62,13.9954
315000,3371.58,-276.06982421875,20.0562,3457.79,63,63,14.2288
320000,3388.99,-325.1809387207031,19.6432,3421.14,64,64,14.3778
325000,3348.69,-287.4864501953125,18.3027,3386.26,65,65,12.7424
330000,3405.27,-369.09759521484375,19.86,3443.49,66,66,14.4523
335000,3399.58,-336.2523498535156,19.9629,3438.64,67,67,13.7075
340000,3394.21,-379.8950500488281,19.8622,3427.68,68,68,13.8476
345000,3409.87,-372.1606140136719,20.1386,3445.91,69,69,14.1425
350000,3410.66,-393.0318603515625,19.3277,3442.12,70,70,13.7755
355000,3432.18,-352.09130859375,20.2478,3470.76,71,71,14.4521
360000,3413.62,-519.9847412109375,21.6772,3424.7,72,72,15.1425
365000,3381.2,-281.67095947265625,18.2268,3418.44,73,73,12.7939
370000,2702.5,-680.6958618164062,20.9221,3448.97,74,74,13.6218
375000,3399.14,-435.9086608886719,18.7576,3442.04,75,75,13.0585
380000,3347.29,-440.49676513671875,20.0173,3459.02,76,76,13.3106
385000,3137.3,-595.1614990234375,20.5353,3473.72,77,77,12.8777
390000,3272.05,-782.2053833007812,20.2225,3470.14,78,78,12.2378
395000,3049.87,-515.7127685546875,19.1516,3478.36,79,79,12.3573
400000,2824.05,-923.2059936523438,20.9887,3446.69,80,80,13.6796
405000,2925.34,-720.4209594726562,20.7705,3470.52,81,81,12.4925
410000,3153.15,-611.54052734375,20.247,3482.03,82,82,13.1198
415000,3341.89,-555.4946899414062,19.8958,3445.6,83,83,14.2072
420000,3436.62,-508.8290100097656,19.105,3471.13,84,84,12.9176
425000,2620.18,-1047.705810546875,21.415,3484.13,85,85,12.7597
430000,3237.24,-787.367431640625,20.3355,3469.39,86,86,12.8187
435000,3392.71,-534.0131225585938,18.0972,3439.64,87,87,12.6207
440000,3397.79,-720.0941162109375,20.4597,3471.08,88,88,14.0453
445000,3410.66,-601.996337890625,19.3053,3467.51,89,89,13.9059
450000,3414.09,-596.926025390625,19.2887,3452.36,90,90,13.3326
455000,3432.68,-486.1043701171875,17.7737,3457.23,91,91,12.9585
460000,3288.21,-765.71728515625,18.9554,3496.11,92,92,12.4186
465000,3073.96,-741.551513671875,19.0384,3472.19,93,93,12.8482
470000,3420.81,-713.697998046875,19.5249,3461.87,94,94,13.0511
475000,3423.59,-486.0113830566406,18.7395,3463.71,95,95,12.5096
480000,3024.0,-956.8033447265625,20.6602,3486.58,96,96,13.7258
