Real Sto Return,Running Forward KL,Reward Loss,Running Env Steps,Running Update Time,Itration,Running Reverse KL,Real Det Return
-186.21,158.6661,2087.148193359375,0,0,0,11.8595,-40.6
-76.01,158.4924,1941.565185546875,5000,1,1,11.9324,32.85
112.24,158.4764,1802.4332275390625,10000,2,2,12.5325,850.57
323.95,158.2301,1800.9569091796875,15000,3,3,13.4619,883.37
475.82,157.9924,1829.9295654296875,20000,4,4,14.2366,927.79
591.68,158.0552,1479.07666015625,25000,5,5,14.1864,1053.4
719.35,158.0949,1318.802734375,30000,6,6,14.6757,1068.55
779.19,157.9258,996.0752563476562,35000,7,7,14.7701,1265.08
933.1,158.0796,838.1943359375,40000,8,8,15.3962,1304.99
1049.79,157.8216,755.5303344726562,45000,9,9,15.8266,1422.31
1121.98,158.1768,595.222412109375,50000,10,10,16.4388,1547.76
1208.23,157.9309,275.4908447265625,55000,11,11,16.8689,1626.24
1210.78,157.9318,69.95098876953125,60000,12,12,16.9866,1611.13
1206.67,158.0103,-160.4661865234375,65000,13,13,16.947,1615.2
1257.24,158.0056,-352.8553771972656,70000,14,14,16.909,1688.87
1260.84,158.2314,-587.8820190429688,75000,15,15,17.0817,1674.79
1301.71,157.991,-790.4691772460938,80000,16,16,16.9589,1734.61
1318.73,158.0006,-1022.69775390625,85000,17,17,16.6776,1706.02
1321.84,157.9495,-1192.3978271484375,90000,18,18,16.6488,1734.03
1386.69,157.7872,-1329.1038818359375,95000,19,19,16.6011,1808.17
1397.63,157.7438,-1618.5435791015625,100000,20,20,16.5922,1789.97
1428.01,157.8556,-1849.8651123046875,105000,21,21,16.2841,1780.83
1440.43,157.8036,-1958.6751708984375,110000,22,22,16.3519,1793.64
1487.55,157.7472,-2268.86181640625,115000,23,23,16.8292,1839.4
1509.07,157.8333,-2408.369384765625,120000,24,24,16.5582,1862.49
1519.09,157.7455,-2663.748046875,125000,25,25,16.5688,1859.33
1529.45,157.9536,-2860.67431640625,130000,26,26,16.791,1901.57
1552.3,158.0251,-3073.61767578125,135000,27,27,16.6892,1905.24
1582.88,157.6526,-3240.29248046875,140000,28,28,16.5656,1934.13
1577.92,157.9008,-3512.743408203125,145000,29,29,16.8177,1919.52
1554.66,157.7833,-3685.225341796875,150000,30,30,16.6023,1878.79
1537.46,157.6792,-3960.9765625,155000,31,31,16.3425,1836.62
1622.35,157.5625,-4057.962158203125,160000,32,32,16.6782,1987.21
